Pathway	ERR1995231_bin.1	ERR1995231_bin.10	ERR1995231_bin.11	ERR1995231_bin.12	ERR1995231_bin.13	ERR1995231_bin.14	ERR1995231_bin.15	ERR1995231_bin.16	ERR1995231_bin.17	ERR1995231_bin.18	ERR1995231_bin.19	ERR1995231_bin.2	ERR1995231_bin.20	ERR1995231_bin.21	ERR1995231_bin.22	ERR1995231_bin.23	ERR1995231_bin.24	ERR1995231_bin.25	ERR1995231_bin.26	ERR1995231_bin.27	ERR1995231_bin.28	ERR1995231_bin.29	ERR1995231_bin.3	ERR1995231_bin.30	ERR1995231_bin.31	ERR1995231_bin.32	ERR1995231_bin.33	ERR1995231_bin.4	ERR1995231_bin.5	ERR1995231_bin.6	ERR1995231_bin.7	ERR1995231_bin.8	ERR1995231_bin.9
Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	17	15	14	17	16	20	20	18	15	18	18	17	17	14	24	13	12	17	14	14	18	15	16	20	13	14	15	16	15	14	13	16	13
Glyoxylate cycle	3	3	3	4	3	4	4	3	3	4	4	4	4	4	6	4	4	4	3	3	4	4	4	3	4	4	4	2	4	4	4	4	3
Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA	2	1	4	4	4	2	2	2	1	4	1	4	1	1	3	4	0	1	1	1	4	1	1	2	4	4	1	2	1	1	4	1	4
Glucuronate pathway (uronate pathway)	6	7	6	7	9	7	7	6	7	9	7	8	9	6	8	6	7	7	7	5	8	7	8	6	8	9	8	6	7	7	8	7	9
Proline biosynthesis, glutamate => proline	3	3	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	13	13	13	13	13	13	13	13	13	13	12	13	13	13	13	13	13	13	12	13	13	12	13	13	13	13	13	13	13	12	13	13	13
Methionine biosynthesis, aspartate => homoserine => methionine	11	12	12	10	12	12	13	11	13	13	10	11	13	13	13	12	12	12	11	13	11	11	11	9	12	12	12	11	12	12	11	11	12
Threonine biosynthesis, aspartate => homoserine => threonine	10	9	10	10	9	10	10	10	10	10	10	9	9	10	10	9	9	10	10	10	10	10	10	10	10	10	10	10	9	10	10	10	10
Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	5	6	6	5	6	6	6	5	6	6	6	6	6	6	6	6	5	6	6	5	6	6	6	6	6	6	6	5	6	1	6	6	6
Serine biosynthesis, glycerate-3P => serine	5	5	5	4	5	5	5	5	5	5	5	4	5	5	5	3	4	5	5	5	5	4	5	5	5	5	5	5	4	5	5	5	5
Cysteine biosynthesis, serine => cysteine	3	4	4	3	4	4	4	3	4	4	3	4	4	4	4	4	3	4	4	4	4	4	4	3	4	4	4	3	4	4	4	4	4
Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate	12	12	12	10	13	12	12	12	12	12	12	11	11	11	12	12	10	11	11	12	11	10	11	13	12	12	11	12	12	12	12	12	12
Tryptophan biosynthesis, chorismate => tryptophan	9	14	14	9	10	14	14	9	13	14	14	14	14	14	14	8	14	14	14	14	14	14	14	8	14	14	14	9	14	7	9	14	14
Phenylalanine biosynthesis, chorismate => phenylpyruvate => phenylalanine	8	10	10	10	10	9	9	8	10	10	10	10	10	10	10	8	10	10	10	10	10	10	10	10	10	10	10	8	10	10	10	10	4
Tyrosine biosynthesis, chorismate => HPP => tyrosine	7	8	8	8	8	7	7	7	8	8	8	8	8	8	8	6	8	8	8	8	8	8	8	8	8	8	8	7	8	8	8	8	4
Histidine biosynthesis, PRPP => histidine	18	16	16	16	16	18	18	18	16	16	16	16	15	16	18	6	16	15	16	16	18	15	17	18	16	16	16	18	16	16	18	15	15
GABA (gamma-Aminobutyrate) shunt	7	8	8	6	6	5	5	5	8	6	7	6	8	8	8	6	7	7	7	7	6	7	8	5	8	6	8	5	7	7	8	6	8
Ornithine biosynthesis, glutamate => ornithine	11	12	12	12	12	11	11	11	12	12	12	12	12	12	11	11	12	12	12	12	12	12	12	12	11	12	12	11	12	12	12	12	12
Urea cycle	5	5	5	4	5	4	4	5	4	4	4	4	4	4	5	4	4	4	4	4	4	4	5	5	3	5	4	5	4	4	4	4	4
Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine	4	4	4	2	4	4	4	4	3	3	3	4	4	3	4	4	3	4	4	4	4	4	4	3	3	4	3	4	3	2	4	4	3
Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
Lysine degradation, lysine => saccharopine => acetoacetyl-CoA	3	2	4	4	4	3	3	3	2	4	3	4	3	3	4	3	2	2	2	2	4	2	3	2	4	4	2	3	2	3	4	2	4
Ectoine biosynthesis, aspartate => ectoine	4	3	4	4	4	3	3	3	4	3	4	5	3	5	4	4	3	5	3	5	5	3	4	4	5	4	5	3	5	3	5	4	4
Methionine salvage pathway	7	10	10	8	8	9	11	9	11	10	10	10	8	10	11	6	9	10	12	8	11	12	10	12	11	10	9	8	7	7	9	11	11
Methionine degradation	4	6	5	4	5	5	5	5	6	4	6	4	4	5	5	4	4	5	6	4	4	5	4	4	6	5	4	5	5	4	5	5	4
Leucine degradation, leucine => acetoacetate + acetyl-CoA	9	9	13	13	13	13	13	10	9	12	9	12	9	7	13	13	9	9	9	9	12	9	9	11	13	12	8	10	8	8	12	9	12
Melatonin biosynthesis, animals, tryptophan => serotonin => melatonin	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate	4	6	6	5	5	4	3	2	5	5	6	4	6	4	5	5	5	6	5	4	5	4	5	5	4	4	4	3	5	4	4	5	4
Monolignol biosynthesis, phenylalanine/tyrosine => monolignol	2	0	1	1	0	2	2	2	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	1	2	0	0	1	1	1
Tyrosine biosynthesis, chorismate => arogenate => tyrosine	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	5	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	4
Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
Thyroid hormone biosynthesis, tyrosine => triiodothyronine/thyroxine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tyrosine degradation, tyrosine => homogentisate	2	1	2	1	3	3	3	3	2	1	2	2	1	4	4	3	2	1	1	1	2	1	2	3	1	2	3	3	1	1	1	1	1
Histidine degradation, histidine => N-formiminoglutamate => glutamate	7	3	3	2	3	5	6	7	3	2	2	2	2	2	3	3	2	2	2	3	3	3	4	6	1	2	2	7	1	2	2	3	2
Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate	6	5	6	5	5	6	6	5	5	5	4	6	6	6	6	6	4	5	6	6	6	6	5	6	5	6	5	6	4	5	5	6	4
Creatine pathway	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0
De novo purine biosynthesis, PRPP + glutamine => IMP	17	18	18	18	18	17	17	17	18	18	18	18	18	18	17	16	18	18	18	19	18	16	18	17	18	18	16	17	19	17	18	18	18
Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	4	3	4	4	3	5	5	4	3	4	4	4	4	4	5	4	3	4	4	4	4	4	4	5	4	4	4	4	4	4	3	4	4
Guanine ribonucleotide biosynthesis, IMP => GDP,GTP	3	3	3	3	3	4	4	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	4	3	3	3	3	3	4	3	3	3
De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	12	13	13	12	13	13	13	13	12	13	13	13	12	12	12	13	13	13
Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP	3	3	3	3	3	4	4	3	3	3	3	3	3	3	4	2	3	3	3	3	3	2	3	4	3	3	3	3	3	4	2	3	3
Deoxyribonucleotide biosynthesis, ADP/GDP/CDP/UDP => dATP/dGTP/dCTP/dUTP	1	0	0	0	2	2	3	1	0	0	2	1	0	0	3	0	0	0	0	0	0	1	1	3	0	1	0	1	0	1	0	0	0
N-glycan precursor biosynthesis	1	1	1	1	2	2	2	1	1	1	1	1	1	2	1	1	1	1	2	3	1	1	1	0	2	2	2	1	2	1	1	2	2
O-glycan biosynthesis, mucin type core	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glycosaminoglycan biosynthesis, linkage tetrasaccharide	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glycosaminoglycan biosynthesis, chondroitin sulfate backbone	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glycosaminoglycan biosynthesis, heparan sulfate backbone	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type	9	3	3	5	4	9	9	9	3	3	3	3	4	4	9	3	3	3	5	3	3	3	3	9	5	3	3	9	4	4	3	5	4
D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P	5	1	2	2	6	6	5	2	6	5	3	5	5	5	6	4	5	5	1	5	5	4	4	1	3	3	3	2	1	3	4	5	5
CMP-KDO biosynthesis	4	4	3	2	4	4	4	4	3	3	4	3	3	2	4	4	3	2	3	3	2	3	3	4	4	3	2	4	4	4	3	3	3
ADP-L-glycero-D-manno-heptose biosynthesis	5	5	5	6	5	5	5	5	5	6	5	5	5	5	6	5	6	5	5	6	5	5	6	6	5	5	5	5	5	5	6	5	6
GPI-anchor biosynthesis, core oligosaccharide	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactosylceramide biosynthesis	1	0	1	1	1	1	1	1	1	0	0	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	0	1	1	1
Sulfoglycolipids biosynthesis, ceramide/1-alkyl-2-acylglycerol => sulfatide/seminolipid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glycosphingolipid biosynthesis, globo-series, LacCer => Gb4Cer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glycosphingolipid biosynthesis, ganglio series, LacCer => GT3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glycosphingolipid biosynthesis, lacto-series, LacCer => Lc4Cer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glycosphingolipid biosynthesis, neolacto-series, LacCer => nLc4Cer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N-glycosylation by oligosaccharyltransferase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N-glycan precursor trimming	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N-glycan biosynthesis, high-mannose type	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N-glycan biosynthesis, complex type	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Dermatan sulfate degradation	3	2	0	0	3	3	3	3	3	2	1	1	1	2	3	0	3	1	1	0	1	3	2	1	3	2	1	3	1	1	3	1	3
Chondroitin sulfate degradation	3	2	0	0	3	3	3	3	3	1	1	1	1	1	3	0	3	1	1	0	1	3	1	0	3	1	1	3	1	1	2	1	2
Heparan sulfate degradation	5	3	1	1	4	6	6	5	4	2	2	2	1	3	4	1	4	1	1	0	2	4	3	2	4	3	2	4	2	1	3	1	3
Keratan sulfate degradation	3	1	0	0	2	3	3	3	2	0	1	0	0	0	2	0	3	0	0	0	1	2	0	0	3	0	0	3	0	0	0	1	0
Pectin degradation	1	0	0	0	1	1	0	0	1	0	0	1	1	1	1	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	1	0	1
Fatty acid biosynthesis, initiation	9	12	12	10	12	12	12	12	12	12	12	12	12	12	12	11	8	12	11	12	7	11	12	12	11	12	12	10	12	11	12	12	12
Fatty acid biosynthesis, elongation	12	12	12	11	12	12	12	12	12	13	12	12	12	12	12	11	5	12	12	12	6	12	12	12	11	12	12	11	12	11	12	12	12
Fatty acid elongation in mitochondria	0	0	3	3	3	1	0	0	0	3	1	3	1	1	4	0	0	0	0	0	3	0	1	0	3	3	0	0	0	1	3	0	3
beta-Oxidation, acyl-CoA synthesis	2	2	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	0	2	2	2	0	1	2	2	2	0	0	0	0
beta-Oxidation	6	1	14	14	14	10	10	6	2	14	3	14	5	4	13	11	1	2	1	2	14	2	4	6	14	14	2	6	1	5	14	2	14
Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone	3	4	4	4	4	4	4	4	4	4	4	4	4	3	4	3	2	4	4	4	3	3	4	4	4	4	3	4	3	3	4	4	4
Triacylglycerol biosynthesis	2	3	2	2	3	2	2	2	2	2	2	2	2	2	2	0	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Phosphatidylcholine (PC) biosynthesis, choline => PC	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
Phosphatidylcholine (PC) biosynthesis, PE => PC	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Phosphatidylethanolamine (PE) biosynthesis, ethanolamine => PE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE	4	4	2	4	3	4	4	4	2	4	3	2	3	3	4	2	2	3	2	2	3	4	4	3	3	2	3	4	2	2	3	3	3
Ceramide biosynthesis	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
C5 isoprenoid biosynthesis, mevalonate pathway	2	4	5	4	3	5	4	4	5	4	4	4	4	4	5	3	3	4	4	4	2	2	4	3	4	6	3	4	2	4	4	4	3
C5 isoprenoid biosynthesis, non-mevalonate pathway	8	9	8	8	8	9	9	9	9	9	8	9	8	9	9	8	9	9	9	9	8	7	9	9	9	9	9	9	8	9	9	9	8
beta-Carotene biosynthesis, GGAP => beta-carotene	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
Acylglycerol degradation	2	2	1	2	3	2	2	2	1	0	1	2	2	1	2	0	1	1	2	1	1	2	2	2	2	1	2	2	2	2	1	1	1
Sphingosine biosynthesis	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Sphingosine degradation	1	1	1	2	1	2	2	2	2	2	2	2	1	2	0	1	0	1	1	0	2	2	1	1	2	2	2	1	0	1	2	1	2
Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ergocalciferol biosynthesis, squalene 2,3-epoxide => ergosterol/ergocalciferol	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Cholecalciferol biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate	1	1	3	1	1	1	1	1	1	1	0	3	1	1	3	1	2	1	0	1	2	1	0	1	2	2	0	0	1	1	2	0	1
Conjugated bile acid biosynthesis, cholate => taurocholate/glycocholate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Steroid hormone biosynthesis, cholesterol => prognenolone => progesterone	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C21-Steroid hormone biosynthesis, progesterone => corticosterone/aldosterone	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C19/C18-Steroid hormone biosynthesis, pregnenolone => androstenedione => estrone	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tocopherol/tocotorienol biosynthesis, homogentisate + phytyl/geranylgeranyl-PP => tocopherol/tocotorienol	2	2	1	1	2	2	2	2	1	2	1	1	2	1	2	1	1	2	2	1	1	2	2	2	2	1	1	2	2	2	2	2	3
Jasmonic acid biosynthesis	0	0	1	1	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	1
Ascorbate biosynthesis, plants, fructose-6P => ascorbate	4	4	3	3	2	4	4	4	4	4	2	4	4	4	4	3	4	4	4	4	4	3	4	3	4	4	4	4	3	4	4	4	4
NAD biosynthesis, aspartate => quinolinate => NAD	7	7	6	6	6	6	7	7	5	6	7	7	7	4	7	6	6	7	7	5	7	7	7	6	5	7	5	7	7	7	6	7	5
Menaquinone biosynthesis, chorismate (+ polyprenyl-PP) => menaquinol	7	6	8	6	7	9	9	7	5	8	7	8	6	6	9	7	7	6	6	6	7	6	6	8	6	8	6	7	6	3	5	5	6
Ubiquinone biosynthesis, prokaryotes, chorismate (+ polyprenyl-PP) => ubiquinol	5	5	7	6	7	8	8	9	7	8	7	7	7	5	10	7	7	7	7	8	8	7	8	7	6	7	5	8	6	9	5	8	7
Glutathione biosynthesis, glutamate => glutathione	1	0	0	1	0	0	1	0	0	1	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
Pantothenate biosynthesis, valine/L-aspartate => pantothenate	6	3	2	6	3	6	6	6	3	6	3	6	3	3	6	2	3	3	3	3	6	2	3	5	3	6	3	6	3	3	3	3	3
Coenzyme A biosynthesis, pantothenate => CoA	7	8	9	8	8	8	8	8	8	8	8	8	8	5	7	4	7	9	6	6	8	8	9	8	5	7	5	8	6	7	4	8	8
Heme biosynthesis, plants and bacteria, glutamate => heme	8	11	10	7	7	10	10	8	10	11	10	8	12	7	14	7	7	8	7	7	7	11	11	13	7	11	6	9	11	8	7	7	8
Cobalamin biosynthesis, cobyrinate a,c-diamide => cobalamin	5	5	9	4	9	5	9	5	9	4	9	8	4	4	10	5	5	8	9	9	8	10	10	5	9	9	5	5	5	5	8	9	9
Biotin biosynthesis, pimeloyl-ACP/CoA => biotin	5	5	6	5	6	6	6	5	6	5	6	6	5	6	6	6	6	6	6	6	6	6	6	4	6	6	6	5	5	5	6	6	6
Pyridoxal-P biosynthesis, erythrose-4P => pyridoxal-P	4	3	3	2	3	6	6	6	3	3	3	3	3	4	6	3	3	3	3	3	3	2	4	3	3	3	2	6	3	4	2	4	3
Riboflavin biosynthesis, plants and bacteria, GTP => riboflavin/FMN/FAD	16	9	16	10	10	15	14	15	16	15	11	10	15	10	16	16	10	15	9	9	16	15	11	12	10	16	9	16	10	9	15	10	10
Tetrahydrofolate biosynthesis, GTP => THF	10	5	6	8	5	12	12	12	7	9	11	4	6	5	12	4	11	6	6	6	5	11	6	11	5	5	10	12	5	11	10	5	6
Thiamine biosynthesis, prokaryotes, AIR (+ DXP/tyrosine) => TMP/TPP	8	10	9	9	10	10	10	7	10	10	8	10	10	10	10	8	8	10	10	10	10	10	9	9	9	10	9	8	9	9	7	10	7
Ubiquinone biosynthesis, eukaryotes, 4-hydroxybenzoate + polyprenyl-PP => ubiquinol	0	0	1	0	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	2	1	1	0	1	1	0	1	0	1	0	1	1
Ascorbate biosynthesis, animals, glucose-1P => ascorbate	5	4	3	3	5	5	5	5	5	5	4	5	5	4	6	5	4	4	5	3	5	5	5	4	5	4	5	5	4	4	5	5	4
Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol	1	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	1	0	0
Inositol phosphate metabolism, Ins(1,3,4)P3 => phytate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine	3	6	5	2	4	4	4	4	3	4	3	4	5	3	6	4	3	4	5	5	4	5	5	5	3	5	2	3	3	3	4	5	2
Polyamine biosynthesis, arginine => ornithine => putrescine	2	2	2	1	2	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	2	1	2	1	2	1	1	1	1	0
GABA biosynthesis, eukaryotes, putrescine => GABA	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
GABA biosynthesis, prokaryotes, putrescine => GABA	4	4	4	4	4	3	3	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
Flavanone biosynthesis, phenylalanine => naringenin	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
Flavonoid biosynthesis, naringenin => pelargonidin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1-unit interconversion, prokaryotes	3	3	4	4	5	5	5	3	5	3	2	3	4	5	2	4	3	5	4	5	4	4	4	4	4	4	4	3	4	5	3	4	4
C1-unit interconversion, eukaryotes	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
NADH:ubiquinone oxidoreductase, mitochondria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NADH:quinone oxidoreductase, prokaryotes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAD(P)H:quinone oxidoreductase, chloroplasts and cyanobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NADH dehydrogenase (ubiquinone) 1 alpha subcomplex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NADH dehydrogenase (ubiquinone) 1 beta subcomplex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Succinate dehydrogenase (ubiquinone)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Succinate dehydrogenase, prokaryotes	2	2	2	2	1	3	3	3	1	2	2	2	2	1	4	1	1	2	2	2	2	2	2	3	1	2	2	2	1	2	1	2	1
