ko	pathway	ERR1995241_bin.1	ERR1995241_bin.10	ERR1995241_bin.11	ERR1995241_bin.12	ERR1995241_bin.13	ERR1995241_bin.14	ERR1995241_bin.15	ERR1995241_bin.16	ERR1995241_bin.17	ERR1995241_bin.18	ERR1995241_bin.19	ERR1995241_bin.2	ERR1995241_bin.20	ERR1995241_bin.21	ERR1995241_bin.22	ERR1995241_bin.23	ERR1995241_bin.24	ERR1995241_bin.25	ERR1995241_bin.26	ERR1995241_bin.27	ERR1995241_bin.28	ERR1995241_bin.29	ERR1995241_bin.3	ERR1995241_bin.30	ERR1995241_bin.31	ERR1995241_bin.32	ERR1995241_bin.33	ERR1995241_bin.34	ERR1995241_bin.35	ERR1995241_bin.4	ERR1995241_bin.5	ERR1995241_bin.6	ERR1995241_bin.7	ERR1995241_bin.8	ERR1995241_bin.9
ko00073	Cutin, suberine and wax biosynthesis	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ko00100	Steroid biosynthesis	2	2	3	2	2	2	2	2	2	1	3	2	3	3	2	2	2	3	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	3
ko00120	Primary bile acid biosynthesis	0	3	2	1	2	2	2	2	3	1	3	2	2	4	2	2	0	3	2	1	0	1	1	3	2	2	1	0	2	1	2	2	2	2	1
ko00121	Secondary bile acid biosynthesis	0	3	2	2	3	3	1	1	2	1	3	3	3	3	1	1	0	3	3	0	2	3	3	1	3	1	3	0	3	1	3	1	1	2	2
ko00130	Ubiquinone and other terpenoid-quinone biosynthesis	22	30	27	27	29	33	23	33	37	22	26	26	32	23	23	17	26	21	34	24	20	30	27	29	29	28	34	23	32	27	21	27	23	18	30
ko00140	Steroid hormone biosynthesis	4	4	3	3	4	5	5	5	3	3	4	3	4	3	3	3	4	3	5	4	3	5	5	4	3	3	5	4	5	3	4	3	3	4	3
ko00190	Oxidative phosphorylation	3	5	5	7	2	4	5	5	12	4	3	4	5	4	4	4	3	4	5	4	4	5	5	4	4	2	5	4	6	4	4	4	4	2	5
ko00195	Photosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00196	Photosynthesis - antenna proteins	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00220	Arginine biosynthesis	38	37	35	32	37	35	36	35	41	36	36	37	36	35	38	32	39	37	34	39	37	36	34	36	37	37	35	34	35	42	37	42	37	36	39
ko00230	Purine metabolism	86	85	68	81	89	80	81	82	114	74	82	95	84	79	76	79	77	82	80	76	90	84	81	87	70	76	80	74	73	89	74	80	81	70	74
ko00232	Caffeine metabolism	4	1	0	0	1	0	0	0	2	0	1	4	0	1	6	1	3	1	0	0	1	0	0	4	0	0	0	0	0	1	0	0	1	0	0
ko00240	Pyrimidine metabolism	56	58	46	59	54	60	56	57	73	56	51	59	59	55	55	54	56	54	59	52	56	57	59	56	55	52	59	49	51	57	56	53	51	44	54
ko00250	Alanine, aspartate and glutamate metabolism	52	49	45	44	47	54	51	46	55	50	48	51	52	47	46	44	51	44	45	53	45	50	43	48	48	46	46	42	47	50	44	47	52	45	47
ko00253	Tetracycline biosynthesis	7	7	6	8	5	6	6	7	10	8	6	8	6	7	7	7	6	6	8	6	6	7	6	6	7	7	8	6	5	6	4	6	5	5	6
ko00254	Aflatoxin biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00260	Glycine, serine and threonine metabolism	74	72	54	67	70	74	75	76	81	73	73	78	79	65	69	73	71	71	78	80	62	73	70	73	71	69	76	64	73	71	67	67	66	55	74
ko00261	Monobactam biosynthesis	16	13	12	15	15	18	17	18	19	14	12	16	18	14	15	13	15	14	18	15	14	18	18	14	15	15	18	12	15	11	14	15	14	13	16
ko00270	Cysteine and methionine metabolism	71	72	53	64	66	68	61	69	76	64	65	67	66	64	67	64	65	63	69	68	61	67	66	65	65	62	67	62	59	69	63	64	68	59	57
ko00280	Valine, leucine and isoleucine degradation	43	49	40	44	53	49	47	46	59	40	50	59	54	51	32	35	41	51	52	39	51	49	50	43	54	37	52	37	53	34	50	39	39	52	48
ko00281	Geraniol degradation	11	12	11	12	13	13	9	9	15	10	14	15	14	14	7	9	10	13	13	9	13	13	13	8	14	9	13	7	14	8	12	9	9	13	13
ko00290	Valine, leucine and isoleucine biosynthesis	16	16	13	13	16	16	14	16	16	16	16	16	15	16	15	10	16	16	16	15	14	16	14	15	16	16	16	16	11	16	16	16	13	15	16
ko00300	Lysine biosynthesis	41	40	39	36	40	40	41	41	41	40	40	40	41	41	39	39	41	39	41	39	40	40	41	40	39	40	41	37	35	40	37	40	40	36	41
ko00310	Lysine degradation	21	21	18	22	20	23	19	17	30	17	23	29	23	19	20	17	19	20	22	20	21	22	23	18	23	15	22	15	24	17	20	16	19	16	21
ko00311	Penicillin and cephalosporin biosynthesis	5	5	4	5	4	5	4	5	5	6	5	5	5	4	6	5	4	5	5	4	3	5	5	6	5	5	5	3	6	3	5	4	5	3	5
ko00330	Arginine and proline metabolism	49	48	42	43	42	43	43	37	55	45	48	50	48	42	46	38	51	40	39	55	32	44	42	47	51	44	41	35	44	45	32	44	45	30	49
ko00331	Clavulanic acid biosynthesis	4	3	3	1	3	2	3	3	4	3	3	4	4	4	2	1	4	4	3	4	2	2	3	2	3	3	3	2	2	2	3	4	4	3	2
ko00332	Carbapenem biosynthesis	6	7	7	5	6	6	4	6	12	6	10	12	10	10	3	5	6	9	7	4	7	7	10	5	9	5	9	3	5	6	11	4	7	6	6
ko00333	Prodigiosin biosynthesis	13	13	10	14	14	14	15	14	17	12	13	15	15	14	10	11	14	15	15	14	13	14	13	15	13	12	16	9	14	11	12	12	13	15	13
ko00340	Histidine metabolism	26	27	22	22	22	30	31	30	28	26	23	27	31	24	25	15	25	24	28	20	25	30	25	26	24	23	30	19	25	24	23	25	27	21	26
ko00350	Tyrosine metabolism	28	24	22	22	24	32	31	30	35	26	27	34	33	31	25	25	28	19	30	26	30	31	23	22	22	21	30	20	21	25	22	24	24	17	29
ko00360	Phenylalanine metabolism	33	34	36	37	34	36	34	34	39	31	34	39	38	32	32	27	32	26	35	32	32	35	32	30	32	30	35	25	30	30	30	29	30	29	35
ko00361	Chlorocyclohexane and chlorobenzene degradation	16	13	15	15	11	14	15	15	20	15	14	17	14	13	14	14	12	14	14	12	14	14	14	13	9	10	16	9	15	12	12	9	14	8	13
ko00362	Benzoate degradation	45	50	54	45	53	47	47	50	73	38	50	71	59	53	39	40	36	52	61	42	53	49	55	47	53	31	60	27	53	35	47	33	40	43	44
ko00363	Bisphenol degradation	2	2	1	1	1	1	2	2	1	1	1	2	1	1	2	2	2	1	1	2	2	2	2	1	1	2	2	1	2	2	1	2	1	2	2
ko00364	Fluorobenzoate degradation	6	5	6	6	5	6	5	6	7	5	5	7	6	6	4	4	5	6	6	4	4	6	6	6	4	5	6	4	6	5	5	5	6	3	5
ko00365	Furfural degradation	5	5	3	3	5	2	2	1	8	1	7	6	2	5	1	4	2	6	2	2	4	2	2	4	3	2	2	2	2	6	2	1	4	3	2
ko00380	Tryptophan metabolism	22	26	21	23	25	22	19	19	31	23	26	29	23	22	20	18	22	21	24	17	21	24	23	19	26	21	24	16	23	20	23	20	16	23	26
ko00400	Phenylalanine, tyrosine and tryptophan biosynthesis	46	49	38	44	49	45	45	50	52	46	49	43	52	45	47	29	49	45	53	47	28	51	49	48	48	50	53	48	41	50	43	49	48	41	50
ko00401	Novobiocin biosynthesis	15	13	13	15	14	14	14	14	16	13	13	15	14	14	22	13	14	14	15	14	13	14	14	14	14	14	16	15	13	13	14	14	14	14	14
ko00402	Benzoxazinoid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00403	Indole diterpene alkaloid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00404	Staurosporine biosynthesis	6	4	5	6	4	4	6	5	8	2	5	6	4	5	5	5	6	5	6	8	4	5	5	6	2	4	7	5	5	12	2	3	5	2	3
ko00405	Phenazine biosynthesis	8	11	7	8	8	9	8	11	13	9	9	9	12	9	5	3	10	8	11	9	7	10	7	10	10	8	11	9	10	10	7	10	9	9	11
ko00410	beta-Alanine metabolism	19	27	23	21	24	23	21	17	24	18	27	25	24	21	17	17	20	20	22	18	23	23	19	21	24	18	23	15	25	18	18	16	17	21	23
ko00430	Taurine and hypotaurine metabolism	14	12	10	10	13	12	11	12	16	11	14	14	11	12	13	12	13	10	12	14	9	11	12	13	14	12	12	12	11	13	10	11	14	13	10
ko00440	Phosphonate and phosphinate metabolism	11	12	15	12	13	11	11	13	19	12	15	11	15	10	11	11	15	10	11	11	12	12	11	11	12	12	11	11	12	12	12	14	14	13	12
ko00450	Selenocompound metabolism	19	18	19	22	18	19	17	20	25	15	19	18	19	19	17	18	17	17	19	21	15	19	18	21	17	17	19	18	17	17	13	17	17	16	17
ko00460	Cyanoamino acid metabolism	8	10	6	9	6	9	7	10	11	10	8	8	9	7	8	7	8	8	10	6	7	9	7	8	10	6	10	6	8	9	8	6	8	4	6
ko00470	D-Amino acid metabolism	27	25	24	27	26	26	26	25	30	27	26	32	30	24	26	24	29	22	26	35	25	27	22	27	29	26	26	23	27	24	25	24	26	20	24
ko00480	Glutathione metabolism	13	11	13	14	6	14	7	13	26	12	10	11	12	8	10	10	8	12	14	12	10	13	12	8	8	6	13	9	10	9	9	7	8	7	8
ko00500	Starch and sucrose metabolism	51	52	16	15	45	42	43	54	56	51	51	47	50	48	46	33	41	51	46	50	34	48	48	41	50	35	53	38	47	51	51	48	46	52	43
ko00510	N-Glycan biosynthesis	4	2	2	3	2	3	3	3	2	3	2	2	3	2	3	1	3	3	3	2	1	3	3	2	3	3	3	2	2	2	3	2	2	4	4
ko00511	Other glycan degradation	5	3	0	0	2	7	5	7	4	2	0	3	7	2	7	1	2	6	7	3	0	7	6	0	2	0	6	2	6	5	0	3	2	3	5
ko00512	Mucin type O-glycan biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00513	Various types of N-glycan biosynthesis	2	1	0	1	0	2	2	2	0	1	0	0	2	0	2	1	1	3	3	0	0	3	2	0	1	1	2	0	1	2	1	0	0	2	2
ko00514	Other types of O-glycan biosynthesis	1	1	1	2	1	1	1	1	1	1	1	2	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1
ko00515	Mannose type O-glycan biosynthesis	0	0	0	1	0	0	0	1	0	0	0	1	1	0	1	0	1	1	0	1	0	2	0	1	0	1	0	1	0	2	0	0	0	0	1
ko00520	Amino sugar and nucleotide sugar metabolism	105	104	74	75	97	98	94	107	113	99	103	93	108	100	95	86	91	111	102	98	60	90	97	90	93	93	103	80	98	95	98	101	85	95	94
ko00521	Streptomycin biosynthesis	11	12	12	11	10	14	13	14	13	9	11	11	14	11	12	10	11	11	15	10	6	14	13	11	10	11	15	9	13	11	9	9	12	10	13
ko00522	Biosynthesis of 12-, 14- and 16-membered macrolides	6	5	6	13	5	5	14	7	17	4	5	13	16	6	7	14	5	7	10	6	5	5	14	13	4	7	18	6	6	14	5	6	14	4	7
ko00523	Polyketide sugar unit biosynthesis	31	32	26	18	26	28	33	34	27	19	34	27	29	22	28	20	34	33	33	25	12	27	18	29	22	31	33	23	29	31	20	26	25	23	31
ko00524	Neomycin, kanamycin and gentamicin biosynthesis	5	4	3	34	36	41	39	41	45	40	37	41	10	40	36	8	41	7	42	40	7	41	40	3	39	41	42	37	39	6	39	41	40	39	41
ko00525	Acarbose and validamycin biosynthesis	18	16	14	12	15	15	15	17	19	16	18	18	17	17	18	15	18	15	18	17	16	19	15	14	15	17	23	15	15	17	14	17	16	14	16
ko00531	Glycosaminoglycan degradation	3	4	1	2	3	10	9	9	7	2	2	2	9	3	10	3	2	8	10	7	1	10	9	1	3	2	10	3	10	4	6	4	3	3	10
ko00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ko00533	Glycosaminoglycan biosynthesis - keratan sulfate	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00540	Lipopolysaccharide biosynthesis	22	22	16	29	21	36	31	32	35	20	22	23	37	21	24	20	19	24	32	22	19	33	33	20	20	25	36	21	28	22	21	24	18	20	34
ko00541	O-Antigen nucleotide sugar biosynthesis	50	51	42	41	49	54	50	57	57	46	51	49	57	48	49	43	52	54	55	51	29	46	51	45	43	49	56	46	55	46	49	50	46	47	52
ko00542	O-Antigen repeat unit biosynthesis	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
ko00550	Peptidoglycan biosynthesis	21	23	20	20	20	23	24	24	20	20	19	20	26	20	26	23	20	24	21	20	20	22	22	19	20	26	21	18	21	20	26	26	18	19	19
ko00552	Teichoic acid biosynthesis	12	14	12	12	16	14	13	17	15	13	15	13	16	13	16	12	16	12	15	13	9	14	14	10	12	15	14	15	13	13	17	16	14	15	13
ko00561	Glycerolipid metabolism	30	29	25	20	29	25	26	26	37	31	30	35	30	28	31	28	29	31	26	26	26	24	22	26	24	25	26	21	24	31	27	29	28	21	25
ko00562	Inositol phosphate metabolism	19	21	13	8	15	18	19	21	24	15	18	18	20	15	23	19	18	16	21	16	12	21	18	11	11	16	22	12	17	16	13	12	17	16	18
ko00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00564	Glycerophospholipid metabolism	38	35	26	32	34	33	37	35	44	34	35	36	40	35	36	34	32	36	37	36	31	32	34	30	30	27	36	36	37	34	30	37	33	31	33
ko00565	Ether lipid metabolism	5	4	3	4	4	4	6	4	4	3	5	2	8	6	7	1	3	5	4	4	3	2	4	4	4	1	4	3	6	5	3	4	1	2	4
ko00571	Lipoarabinomannan (LAM) biosynthesis	3	3	3	4	3	4	5	4	4	3	3	5	5	4	3	4	3	5	5	3	4	4	4	3	3	5	5	3	3	4	3	3	3	4	4
ko00572	Arabinogalactan biosynthesis - Mycobacterium	4	3	3	3	4	5	5	5	5	4	4	4	5	5	5	3	5	5	5	3	1	5	5	4	4	5	5	5	5	5	4	4	4	4	3
ko00590	Arachidonic acid metabolism	4	4	4	4	2	5	3	3	7	3	2	3	7	4	4	2	2	5	3	4	4	4	4	3	2	2	4	2	5	3	2	2	3	2	2
ko00591	Linoleic acid metabolism	2	2	2	2	2	2	2	2	3	1	2	2	4	3	2	2	2	3	2	2	1	2	2	2	2	2	2	1	3	2	1	2	2	2	2
ko00592	alpha-Linolenic acid metabolism	2	2	1	1	2	1	1	1	3	1	3	3	3	3	0	2	1	3	1	2	3	1	1	2	2	2	1	1	2	1	2	1	2	2	2
ko00600	Sphingolipid metabolism	10	9	5	4	8	12	13	14	10	9	8	12	14	5	15	7	6	13	14	8	4	11	12	5	7	5	13	4	12	11	6	10	8	9	11
ko00601	Glycosphingolipid biosynthesis - lacto and neolacto series	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ko00603	Glycosphingolipid biosynthesis - globo and isoglobo series	1	2	0	0	1	3	2	2	2	2	1	2	2	1	3	1	1	4	2	1	1	2	2	0	2	1	2	1	3	3	1	1	2	1	3
ko00604	Glycosphingolipid biosynthesis - ganglio series	0	1	0	0	0	1	1	1	0	0	0	0	1	0	1	1	0	1	1	0	0	1	1	0	0	0	1	0	1	1	0	0	0	0	1
ko00620	Pyruvate metabolism	78	73	62	72	72	78	77	79	96	78	76	78	84	70	74	68	72	68	73	75	65	76	71	71	68	72	75	60	74	72	71	72	77	61	86
ko00621	Dioxin degradation	7	5	8	10	5	7	10	8	10	6	5	8	7	6	7	5	7	5	7	7	8	6	6	8	6	5	9	4	9	7	8	5	6	5	5
ko00622	Xylene degradation	17	10	16	19	10	15	18	19	22	14	14	20	18	11	19	16	11	13	17	14	19	16	15	14	11	12	18	7	16	14	10	9	17	8	16
ko00623	Toluene degradation	17	14	22	17	13	16	19	20	27	15	20	21	22	17	12	14	12	13	21	14	16	17	20	22	18	12	21	9	18	17	14	13	19	12	16
ko00624	Polycyclic aromatic hydrocarbon degradation	14	11	14	12	11	14	15	13	18	14	13	16	15	10	14	16	11	11	13	17	9	13	13	11	9	10	14	8	15	11	11	11	12	8	13
ko00625	Chloroalkane and chloroalkene degradation	15	13	14	14	10	15	16	17	22	14	14	19	15	15	17	14	14	12	15	16	15	13	15	14	12	12	18	11	14	16	12	14	16	5	13
ko00626	Naphthalene degradation	11	8	9	7	8	11	19	11	14	11	12	12	11	10	12	13	11	8	11	12	10	11	10	9	8	10	11	6	8	10	9	10	11	4	12
ko00627	Aminobenzoate degradation	30	25	23	26	28	28	27	26	47	31	28	39	28	27	30	30	25	26	28	34	29	26	26	31	26	26	28	21	26	30	27	26	26	23	26
ko00630	Glyoxylate and dicarboxylate metabolism	62	61	48	53	60	61	66	68	79	59	64	74	69	61	52	58	57	62	69	62	52	63	61	64	55	53	69	51	60	62	58	57	54	52	68
ko00633	Nitrotoluene degradation	13	13	16	14	11	14	13	13	19	10	10	13	16	12	12	9	13	8	13	13	11	15	11	8	12	13	13	9	14	11	10	12	13	10	14
ko00640	Propanoate metabolism	63	62	52	53	64	63	59	63	78	58	65	75	69	62	48	47	57	60	69	60	58	63	61	54	66	56	69	49	55	53	60	56	55	56	65
ko00642	Ethylbenzene degradation	6	5	6	6	4	5	4	6	7	4	4	4	5	5	6	6	5	4	5	8	4	5	4	5	4	3	6	3	4	4	4	4	4	5	5
ko00643	Styrene degradation	7	6	6	8	6	10	7	8	14	8	8	13	8	6	9	7	6	5	8	6	11	10	7	5	5	5	8	3	8	6	7	4	6	3	11
ko00650	Butanoate metabolism	62	61	54	64	58	69	60	62	80	57	64	78	68	61	50	48	58	52	63	58	68	70	60	54	56	52	63	45	59	56	58	55	56	53	67
ko00660	C5-Branched dibasic acid metabolism	9	13	14	9	9	13	13	14	19	10	15	15	10	16	10	6	10	13	12	10	10	11	9	16	9	9	12	11	5	11	8	9	7	10	12
ko00670	One carbon pool by folate	21	24	15	22	23	26	25	28	22	21	21	25	26	20	16	21	26	16	28	24	20	28	21	18	17	17	28	21	22	24	13	16	24	21	21
ko00680	Methane metabolism	90	85	83	82	80	89	85	90	120	84	88	92	93	77	83	74	85	76	98	95	72	89	82	88	91	83	98	76	79	85	79	84	80	79	85
ko00710	Carbon fixation in photosynthetic organisms	17	16	12	14	15	16	15	18	22	16	18	17	16	15	16	15	14	16	18	16	14	16	14	15	16	16	18	10	15	15	16	17	15	16	13
ko00720	Carbon fixation pathways in prokaryotes	72	70	66	73	73	74	71	79	94	69	74	80	81	78	63	67	71	71	84	71	61	77	73	65	73	69	84	67	66	70	67	73	75	69	80
ko00730	Thiamine metabolism	21	21	17	22	20	20	15	21	21	19	20	19	20	22	21	15	22	19	21	21	23	20	21	23	21	21	21	20	19	21	16	21	19	21	21
ko00740	Riboflavin metabolism	29	31	17	24	32	29	29	30	37	26	25	19	33	29	25	18	30	20	28	23	20	28	28	29	32	20	30	25	24	26	25	24	23	33	25
ko00750	Vitamin B6 metabolism	11	13	11	13	11	11	11	13	17	10	12	14	13	9	11	9	11	12	11	13	13	12	9	11	10	8	14	8	11	12	12	8	9	11	12
ko00760	Nicotinate and nicotinamide metabolism	57	51	37	38	46	36	39	39	62	35	50	57	41	50	41	51	35	51	40	42	51	40	33	49	35	33	40	27	38	50	31	34	48	31	33
ko00770	Pantothenate and CoA biosynthesis	25	29	21	21	28	30	28	30	31	25	30	26	31	27	22	16	30	27	28	24	23	29	25	25	27	23	30	27	26	25	22	28	24	27	29
ko00780	Biotin metabolism	16	16	15	15	16	17	16	18	18	15	15	16	18	16	14	14	16	16	18	17	14	18	17	15	15	15	18	13	18	16	15	15	16	13	18
ko00785	Lipoic acid metabolism	1	1	0	1	1	4	5	4	6	0	1	4	6	0	0	4	1	0	7	4	4	3	4	1	0	0	7	1	4	0	0	0	0	0	6
ko00790	Folate biosynthesis	34	39	33	53	48	46	46	47	57	34	52	33	48	32	39	23	46	27	51	36	30	46	47	38	33	26	50	38	45	36	23	26	47	41	50
ko00791	Atrazine degradation	5	6	7	6	7	1	2	2	7	6	7	5	4	2	7	4	6	4	1	5	4	1	1	7	4	7	1	6	1	11	5	12	4	5	6
ko00830	Retinol metabolism	8	6	6	6	6	8	6	8	8	8	8	8	8	8	8	8	8	6	8	8	8	8	8	6	6	8	8	7	6	8	7	8	8	6	8
ko00860	Porphyrin metabolism	70	66	35	47	72	59	49	73	74	42	53	77	72	68	43	42	70	61	61	67	39	61	59	59	64	53	63	49	50	66	44	58	71	43	71
ko00900	Terpenoid backbone biosynthesis	28	30	17	27	30	30	29	30	31	30	30	28	31	28	27	27	29	29	31	23	27	30	28	28	29	30	30	27	25	29	29	28	27	18	29
ko00901	Indole alkaloid biosynthesis	2	0	1	1	0	1	1	0	2	1	3	1	1	1	0	1	1	0	0	1	0	1	0	1	1	1	0	1	1	1	0	2	0	1	1
ko00902	Monoterpenoid biosynthesis	7	7	2	7	5	6	8	8	8	5	6	5	8	8	7	3	5	9	8	6	4	8	7	5	6	5	8	5	5	9	5	6	7	8	5
ko00903	Limonene and pinene degradation	8	10	9	9	10	9	6	6	11	7	10	10	9	9	6	5	6	10	9	6	8	9	9	7	8	6	9	5	8	7	10	6	7	7	9
ko00904	Diterpenoid biosynthesis	6	5	0	0	5	5	5	5	4	0	0	5	5	5	5	5	5	5	5	5	0	5	5	5	5	5	5	0	5	5	0	5	5	5	5
ko00905	Brassinosteroid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00906	Carotenoid biosynthesis	13	13	16	14	13	13	14	12	15	13	14	13	13	14	14	14	13	14	14	13	11	15	13	12	14	14	15	13	13	13	13	13	12	13	16
ko00908	Zeatin biosynthesis	1	1	0	1	1	1	1	2	2	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
ko00909	Sesquiterpenoid and triterpenoid biosynthesis	1	1	2	0	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	0	1	2	1	1	2	1	0	1	1	0	2	1	1	3
ko00910	Nitrogen metabolism	19	21	21	21	17	20	15	26	32	16	21	22	24	17	17	17	19	17	27	22	14	19	18	22	19	16	26	17	16	19	16	20	19	16	28
ko00920	Sulfur metabolism	40	45	54	50	40	48	45	51	73	34	38	45	52	41	43	35	38	36	54	48	37	50	52	47	44	39	53	39	45	35	35	37	39	38	52
ko00930	Caprolactam degradation	11	13	13	11	12	15	10	9	17	12	14	15	15	12	10	7	10	10	11	8	10	15	10	9	9	7	11	6	14	7	10	7	9	10	12
ko00940	Phenylpropanoid biosynthesis	2	2	1	0	2	3	3	3	3	2	3	1	3	1	1	1	2	1	3	2	1	3	1	2	1	1	3	2	1	2	2	1	1	2	1
ko00941	Flavonoid biosynthesis	1	1	0	0	1	1	1	1	0	1	1	0	4	0	0	3	1	0	1	1	0	1	1	1	0	0	1	1	1	0	1	0	0	1	0
ko00942	Anthocyanin biosynthesis	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00943	Isoflavonoid biosynthesis	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ko00944	Flavone and flavonol biosynthesis	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	0	1	1	0	1	0	1	1	1	1	0	1	1	1	1
ko00945	Stilbenoid, diarylheptanoid and gingerol biosynthesis	2	2	1	1	2	2	2	2	1	2	2	1	2	1	1	1	2	1	2	2	1	2	2	2	1	1	2	1	1	1	2	1	1	2	1
ko00950	Isoquinoline alkaloid biosynthesis	9	8	7	7	6	7	7	7	6	7	7	7	7	6	7	6	7	7	7	7	6	7	7	6	7	6	7	6	7	7	6	8	6	7	6
