Pathway	ERR1995223_bin.1	ERR1995223_bin.2	ERR1995223_bin.3	ERR1995223_bin.4	ERR1995223_bin.5	ERR1995223_bin.6	ERR1995223_bin.7
Cholecalciferol biosynthesis	0	0	0	0	0	0	0
Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate	1	3	3	0	0	1	0
Conjugated bile acid biosynthesis, cholate => taurocholate/glycocholate	0	0	0	0	0	0	0
Steroid hormone biosynthesis, cholesterol => prognenolone => progesterone	0	0	0	0	0	0	0
C21-Steroid hormone biosynthesis, progesterone => corticosterone/aldosterone	0	0	0	0	0	0	0
C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone	0	0	0	0	0	0	0
C19/C18-Steroid hormone biosynthesis, pregnenolone => androstenedione => estrone	0	0	0	0	0	0	0
Tocopherol/tocotorienol biosynthesis, homogentisate + phytyl/geranylgeranyl-PP => tocopherol/tocotorienol	2	2	2	2	1	2	1
Jasmonic acid biosynthesis	0	0	1	0	0	0	0
Ascorbate biosynthesis, plants, fructose-6P => ascorbate	3	4	4	3	3	3	4
NAD biosynthesis, aspartate => quinolinate => NAD	5	7	7	6	4	5	7
Menaquinone biosynthesis, chorismate (+ polyprenyl-PP) => menaquinol	6	9	9	9	4	5	2
Ubiquinone biosynthesis, prokaryotes, chorismate (+ polyprenyl-PP) => ubiquinol	8	10	10	7	4	8	6
Glutathione biosynthesis, glutamate => glutathione	1	2	2	0	1	1	0
Pantothenate biosynthesis, valine/L-aspartate => pantothenate	3	6	6	5	2	3	2
Coenzyme A biosynthesis, pantothenate => CoA	7	8	7	8	5	8	6
Heme biosynthesis, plants and bacteria, glutamate => heme	7	14	14	13	5	6	6
Cobalamin biosynthesis, cobyrinate a,c-diamide => cobalamin	4	10	9	10	3	4	1
Biotin biosynthesis, pimeloyl-ACP/CoA => biotin	6	6	6	6	2	6	2
Pyridoxal-P biosynthesis, erythrose-4P => pyridoxal-P	3	6	6	2	3	1	2
Riboflavin biosynthesis, plants and bacteria, GTP => riboflavin/FMN/FAD	7	16	15	16	10	6	10
Tetrahydrofolate biosynthesis, GTP => THF	6	12	12	11	3	6	4
Thiamine biosynthesis, prokaryotes, AIR (+ DXP/tyrosine) => TMP/TPP	5	10	10	10	5	6	4
Ubiquinone biosynthesis, eukaryotes, 4-hydroxybenzoate + polyprenyl-PP => ubiquinol	1	1	1	0	0	1	1
Ascorbate biosynthesis, animals, glucose-1P => ascorbate	4	6	5	3	3	4	4
Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4	0	0	0	0	0	0	0
Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol	0	1	1	0	1	0	0
Inositol phosphate metabolism, Ins(1,3,4)P3 => phytate	0	0	0	0	0	0	0
Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine	6	6	5	5	4	4	3
Polyamine biosynthesis, arginine => ornithine => putrescine	2	2	2	1	1	1	1
GABA biosynthesis, eukaryotes, putrescine => GABA	3	3	3	3	3	3	3
GABA biosynthesis, prokaryotes, putrescine => GABA	4	4	4	4	4	4	4
Flavanone biosynthesis, phenylalanine => naringenin	0	0	1	0	0	0	0
Flavonoid biosynthesis, naringenin => pelargonidin	0	0	0	0	0	0	0
C1-unit interconversion, prokaryotes	3	2	3	5	3	3	4
C1-unit interconversion, eukaryotes	2	2	2	2	2	2	2
NADH:ubiquinone oxidoreductase, mitochondria	0	0	0	0	0	0	0
NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria	0	0	0	0	0	0	0
NADH:quinone oxidoreductase, prokaryotes	0	0	0	0	0	0	0
NAD(P)H:quinone oxidoreductase, chloroplasts and cyanobacteria	0	0	0	0	0	0	0
NADH dehydrogenase (ubiquinone) 1 alpha subcomplex	0	0	0	0	0	0	0
NADH dehydrogenase (ubiquinone) 1 beta subcomplex	0	0	0	0	0	0	0
Succinate dehydrogenase (ubiquinone)	0	0	0	0	0	0	0
Succinate dehydrogenase, prokaryotes	2	4	4	2	2	2	2
Fumarate reductase, prokaryotes	1	4	4	2	2	2	1
Cytochrome bc1 complex respiratory unit	0	0	0	0	0	0	0
Cytochrome bc1 complex	0	0	0	0	0	0	0
Cytochrome bd ubiquinol oxidase	0	0	0	0	0	0	0
Cytochrome c oxidase	0	1	1	0	0	0	0
Cytochrome c oxidase, prokaryotes	0	3	3	0	0	1	0
Cytochrome c oxidase, cbb3-type	0	0	0	0	0	0	0
F-type ATPase, prokaryotes and chloroplasts	0	0	0	0	0	0	0
F-type ATPase, eukaryotes	0	0	0	0	0	0	0
V/A-type ATPase, prokaryotes	0	0	0	0	0	0	0
V-type ATPase, eukaryotes	0	0	0	0	0	0	0
Photosystem II	0	0	0	0	0	0	0
Cytochrome b6f complex	0	0	0	0	0	0	0
Photosystem I	0	0	0	0	0	0	0
Reductive pentose phosphate cycle (Calvin cycle)	6	12	12	10	7	6	7
Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P	3	4	4	5	4	3	4
Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P	3	8	8	5	3	3	3
CAM (Crassulacean acid metabolism), dark	1	2	2	1	0	1	0
CAM (Crassulacean acid metabolism), light	2	2	2	2	0	2	2
C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type	0	2	2	1	1	1	1
C4-dicarboxylic acid cycle, NAD - malic enzyme type	2	3	3	2	0	2	2
C4-dicarboxylic acid cycle, NADP - malic enzyme type	2	3	3	2	0	2	2
Reductive citrate cycle (Arnon-Buchanan cycle)	31	42	42	32	16	31	28
Methane oxidation, methanotroph, methane => formaldehyde	0	3	3	0	0	0	1
Nitrogen fixation, nitrogen => ammonia	2	1	2	3	2	1	2
Assimilatory sulfate reduction, sulfate => H2S	5	10	10	6	4	5	3
Pyruvate oxidation, pyruvate => acetyl-CoA	10	11	11	11	9	11	11
Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P	5	7	7	6	5	6	6
Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate	3	8	7	6	3	3	3
Cysteine biosynthesis, homocysteine + serine => cysteine	3	3	3	3	3	3	3
Formaldehyde assimilation, xylulose monophosphate pathway	1	3	3	1	1	1	2
Formaldehyde assimilation, ribulose monophosphate pathway	6	7	7	6	6	6	6
Formaldehyde assimilation, serine pathway	4	9	9	6	4	3	4
Methanogenesis, methanol => methane	7	14	13	12	6	6	5
Methanogenesis, acetate => methane	9	15	14	13	10	10	6
Coenzyme M biosynthesis	2	3	3	3	1	2	1
EHEC pathogenicity signature, Shiga toxin	0	0	0	0	0	0	0
C10-C20 isoprenoid biosynthesis, bacteria	3	4	4	4	0	3	0
C10-C20 isoprenoid biosynthesis, archaea	1	2	2	2	0	1	0
C10-C20 isoprenoid biosynthesis, plants	1	2	2	2	0	1	0
C10-C20 isoprenoid biosynthesis, non-plant eukaryotes	0	1	1	1	0	0	0
Ethylene biosynthesis, methionine => ethylene	3	3	3	3	3	3	3
Cyanogenic glycoside biosynthesis, tyrosine => dhurrin	0	0	0	0	0	0	0
Glucosinolate biosynthesis, tryptophan => glucobrassicin	0	0	0	0	0	0	0
Castasterone biosynthesis, campesterol => castasterone	0	0	0	0	0	0	0
Abscisic acid biosynthesis, beta-carotene => abscisic acid	0	0	0	0	0	0	0
Ethylmalonyl pathway	6	12	11	10	1	6	5
Dicarboxylate-hydroxybutyrate cycle	17	19	21	16	8	16	14
Hydroxypropionate-hydroxybutylate cycle	13	15	16	13	3	9	7
3-Hydroxypropionate bi-cycle	12	19	18	15	3	10	8
Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	6	6	6	8	6	7	4
F420 biosynthesis, archaea	0	4	4	5	0	0	0
Fatty acid elongation in endoplasmic reticulum	1	1	1	1	1	1	1
Cytochrome aa3-600 menaquinol oxidase	0	0	0	0	0	0	0
Cytochrome o ubiquinol oxidase	0	0	0	0	0	0	0
Toluene degradation, anaerobic, toluene => benzoyl-CoA	2	8	8	3	3	2	3
Cymene degradation, p-cymene => p-cumate	2	3	3	2	1	2	2
Acetyl-CoA pathway, CO2 => acetyl-CoA	1	1	1	1	3	2	0
Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate	4	4	4	4	0	4	2
Lysine biosynthesis, 2-oxoglutarate => 2-oxoadipate	5	5	5	5	0	5	3
Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine	9	9	9	9	7	9	9
Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine	8	8	9	9	7	8	9
Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine	10	10	10	10	9	10	10
Nitrification, ammonia => nitrite	0	1	0	0	0	0	0
Denitrification, nitrate => nitrogen	1	7	6	4	0	1	0
Dissimilatory nitrate reduction, nitrate => ammonia	3	9	6	5	1	2	1
Assimilatory nitrate reduction, nitrate => ammonia	1	4	4	4	1	1	1
Photorespiration	6	11	11	6	5	4	5
Homoprotocatechuate degradation, homoprotocatechuate => 2-oxohept-3-enedioate	1	3	4	3	1	1	1
Naphthalene degradation, naphthalene => salicylate	5	5	6	3	1	4	4
Isoleucine biosynthesis, pyruvate => 2-oxobutanoate	4	4	4	4	0	4	2
Xylene degradation, xylene => methylbenzoate	2	3	3	1	1	2	1
Toluene degradation, toluene => benzoate	4	3	4	1	1	3	2
Cumate degradation, p-cumate => 2-oxopent-4-enoate + 2-methylpropanoate	3	5	8	3	1	3	1
Benzoate degradation, cyclohexanecarboxylic acid =>pimeloyl-CoA	2	5	5	4	2	2	1
Benzoyl-CoA degradation, benzoyl-CoA => 3-hydroxypimeloyl-CoA	4	9	8	4	4	3	2
EHEC/EPEC pathogenicity signature, T3SS and effectors	0	0	0	0	0	0	0
Biphenyl degradation, biphenyl => 2-oxopent-4-enoate + benzoate	2	3	7	2	2	3	1
Carbazole degradation, carbazole => 2-oxopent-4-enoate + anthranilate	1	2	5	1	1	1	1
Trans-cinnamate degradation, trans-cinnamate => acetyl-CoA	6	7	11	6	4	6	4
Purine degradation, xanthine => urea	4	15	17	12	3	4	3
Benzene/toluene degradation, benzene => catechol / toluene => 3-methylcatechol	2	2	5	2	1	2	1
Benzene degradation, benzene => catechol	1	1	1	0	0	1	1
Nucleotide sugar biosynthesis, glucose => UDP-glucose	4	4	4	4	4	4	4
Ascorbate degradation, ascorbate => D-xylulose-5P	3	7	7	5	2	3	2
Benzoate degradation, benzoate => catechol / methylbenzoate => methylcatechol	3	2	4	2	1	2	2
D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P	2	5	5	3	2	3	3
Nucleotide sugar biosynthesis, galactose => UDP-galactose	2	2	2	2	2	2	2
Betaine biosynthesis, choline => betaine	4	4	5	3	3	3	3
Methanogenesis, methylamine/dimethylamine/trimethylamine => methane	9	16	15	14	6	8	5
Helicobacter pylori pathogenicity signature, cagA pathogenicity island	0	0	0	0	0	0	0
Trehalose biosynthesis, D-glucose 1P => trehalose	5	6	6	2	5	6	1
Methanogenesis, CO2 => methane	11	20	20	15	9	11	10
Catechol ortho-cleavage, catechol => 3-oxoadipate	2	3	5	3	3	2	3
Catechol meta-cleavage, catechol => acetyl-CoA / 4-methylcatechol => propanoyl-CoA	4	8	12	8	3	4	2
Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine	8	8	8	8	2	8	2
Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP	8	8	8	7	4	7	7
Biotin biosynthesis, BioI pathway, long-chain-acyl-ACP => pimeloyl-ACP => biotin	4	4	4	4	2	4	2
Pertussis pathogenicity signature, pertussis toxin	0	0	0	0	0	0	0
Pertussis pathogenicity signature, T1SS	0	0	0	0	0	0	0
ETEC pathogenicity signature, heat-labile and heat-stable enterotoxins	0	0	0	0	0	0	0
Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin	5	6	6	6	2	5	2
Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA => acetate	3	4	4	3	2	3	2
Pentose phosphate pathway, archaea, fructose 6P => ribose 5P	3	5	5	3	3	3	3
Thiosulfate oxidation by SOX complex, thiosulfate => sulfate	0	4	4	0	1	0	0
Dissimilatory sulfate reduction, sulfate => H2S	2	5	5	4	1	2	3
Anoxygenic photosystem II	0	0	0	0	0	0	0
Anoxygenic photosystem I	0	0	0	0	0	0	0
2-Oxocarboxylic acid chain extension, 2-oxoglutarate => 2-oxoadipate => 2-oxopimelate => 2-oxosuberate	4	4	4	4	0	4	2
Cysteine biosynthesis, methionine => cysteine	5	6	6	5	5	6	6
Oxygenic photosynthesis in plants and cyanobacteria	7	11	11	10	8	6	7
Anoxygenic photosynthesis in purple bacteria	7	11	11	10	8	6	7
Anoxygenic photosynthesis in green nonsulfur bacteria	21	33	32	25	6	19	15
Anoxygenic photosynthesis in green sulfur bacteria	29	38	37	28	15	29	25
Nitrate assimilation	1	4	4	4	1	1	1
Sulfate-sulfur assimilation	5	10	10	6	4	5	3
Methanogen	15	21	22	18	9	17	8
Acetogen	9	10	10	10	8	10	6
Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	16	17	17	16	11	16	15
Nicotinate degradation, nicotinate => fumarate	3	5	5	6	2	4	3
Phthalate degradation, phthalate => protocatechuate	2	3	4	0	1	1	2
Terephthalate degradation, terephthalate => 3,4-dihydroxybenzoate	0	2	3	0	0	0	0
Methicillin resistance	0	0	0	0	0	0	0
beta-Lactam resistance, Bla system	1	1	2	1	1	1	1
D-Galacturonate degradation (fungi), D-galacturonate => glycerol	0	1	1	0	1	0	0
D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P	1	7	8	1	1	3	7
Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	4	4	4	3	4	4	4
Semi-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate-3P	4	5	5	5	4	4	4
Phthalate degradation, phthalate => protocatechuate	2	3	5	1	1	2	1
Anthranilate degradation, anthranilate => catechol	3	3	7	1	1	1	2
Salicylate degradation, salicylate => gentisate	2	2	4	0	0	1	1
Multidrug resistance, efflux pump MexCD-OprJ	0	0	0	0	0	0	0
Multidrug resistance, efflux pump MexEF-OprN	0	0	0	0	0	0	0
Multidrug resistance, efflux pump MexJK-OprM	0	0	0	0	0	0	0
Multidrug resistance, efflux pump MexXY-OprM	0	0	0	0	0	0	0
Multidrug resistance, efflux pump AdeABC	0	0	0	0	0	0	0
Vancomycin resistance, D-Ala-D-Lac type	1	1	1	1	1	1	1
Vancomycin resistance, D-Ala-D-Ser type	0	0	0	0	0	0	0
Xanthomonas spp. pathogenicity signature, T3SS and effectors	0	0	0	0	0	0	0
Paspaline biosynthesis, geranylgeranyl-PP + indoleglycerol phosphate => paspaline	0	0	0	0	0	0	0
Nodulation	0	0	0	0	0	0	0
Penicillin biosynthesis, aminoadipate + cycteine + valine => penicillin	1	1	2	1	1	0	0
Cephamycin C biosynthesis, aminoadipate + cycteine + valine => cephamycin C	2	2	3	2	2	1	1
Clavaminate biosynthesis, arginine + glyceraldehyde-3P => clavaminate	2	3	3	1	2	1	1
Carbapenem-3-carboxylate biosynthesis, pyrroline-5-carboxylate + malonyl-CoA => carbapenem-3-carboxylate	0	2	2	1	1	0	1
Multidrug resistance, efflux pump AcrEF-TolC	0	0	0	0	0	0	0
Multidrug resistance, efflux pump MdtEF-TolC	0	0	0	0	0	0	0
Multidrug resistance, efflux pump BpeEF-OprC	0	0	0	0	0	0	0
Multidrug resistance, efflux pump AbcA	0	0	0	0	0	0	0
Multidrug resistance, efflux pump NorB	0	0	0	0	0	0	0
Tetracycline resistance, efflux pump Tet38	0	0	0	0	0	0	0
Multidrug resistance, efflux pump MepA	0	0	0	0	0	0	0
Multidrug resistance, efflux pump QacA	0	0	0	0	0	0	0
Multidrug resistance, efflux pump MexAB-OprM	0	0	0	0	0	0	0
Cationic antimicrobial peptide (CAMP) resistance, dltABCD operon	2	2	2	2	2	2	1
Cationic antimicrobial peptide (CAMP) resistance, lysyl-phosphatidylglycerol (L-PG) synthase MprF	0	0	0	0	0	0	0
Cationic antimicrobial peptide (CAMP) resistance, VraFG transporter	0	0	0	0	0	0	0
Nocardicin A biosynthesis, L-pHPG + arginine + serine => nocardicin A	2	4	4	1	2	0	0
Methylaspartate cycle	6	8	9	7	0	6	2
Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA	10	12	10	12	0	8	8
Cationic antimicrobial peptide (CAMP) resistance, protease PgtE	0	0	0	0	0	0	0
Imipenem resistance, repression of porin OprD	0	0	0	0	0	0	0
Multidrug resistance, repression of porin OmpF	0	0	0	0	0	0	0
Undecaprenylphosphate alpha-L-Ara4N biosynthesis, UDP-GlcA => undecaprenyl phosphate alpha-L-Ara4N	3	4	4	3	4	4	3
Ornithine biosynthesis, mediated by LysW, glutamate => ornithine	5	5	5	5	3	5	3
Multidrug resistance, efflux pump MexPQ-OpmE	0	0	0	0	0	0	0
Tylosin biosynthesis, methylmalonyl-CoA + malonyl-CoA => tylactone => tylosin	0	8	8	0	0	0	0
Erythromycin biosynthesis, propanoyl-CoA + methylmalonyl-CoA => deoxyerythronolide B => erythromycin A/B	1	2	2	1	1	1	1
Oleandomycin biosynthesis, malonyl-CoA + methylmalonyl-CoA => 8,8a-deoxyoleandolide => oleandomycin	0	0	0	1	0	0	0
Pikromycin/methymycin biosynthesis, methylmalonyl-CoA + malonyl-CoA => narbonolide/10-deoxymethynolide => pikromycin/methymycin	0	0	0	0	0	0	0
Avermectin biosynthesis, 2-methylbutanoyl-CoA/isobutyryl-CoA => 6,8a-Seco-6,8a-deoxy-5-oxoavermectin 1a/1b aglycone => avermectin A1a/B1a/A1b/B1b	2	3	3	3	1	2	2
Type II polyketide backbone biosynthesis, acyl-CoA + malonyl-CoA => polyketide	5	6	6	5	3	5	5
Dihydrokalafungin biosynthesis, octaketide => dihydrokalafungin	1	4	4	1	0	1	1
Tetracycline/oxytetracycline biosynthesis, pretetramide => tetracycline/oxytetracycline	1	4	4	1	1	1	1
Nogalavinone/aklavinone biosynthesis, deoxynogalonate/deoxyaklanonate => nogalavinone/aklavinone	1	2	2	2	0	1	1
Mithramycin biosynthesis, 4-demethylpremithramycinone => mithramycin	0	0	0	0	0	0	0
Tetracenomycin C/8-demethyltetracenomycin C biosynthesis, tetracenomycin F2 => tetracenomycin C/8-demethyltetracenomycin C	0	1	0	0	0	0	0
Elloramycin biosynthesis, 8-demethyltetracenomycin C => elloramycin A	3	3	3	3	0	3	0
Cycloserine biosynthesis, arginine/serine => cycloserine	5	5	5	5	0	0	0
Fumitremorgin alkaloid biosynthesis, tryptophan + proline => fumitremorgin C/A	0	0	0	0	0	0	0
Bacilysin biosynthesis, prephenate => bacilysin	4	5	6	5	4	3	5
Terpentecin biosynthesis, GGAP => terpentecin	0	0	0	0	0	0	0
Rebeccamycin biosynthesis, tryptophan => rebeccamycin	0	1	1	0	0	0	0
Pyrrolnitrin biosynthesis, tryptophan => pyrrolnitrin	2	2	3	1	0	1	1
dTDP-L-rhamnose biosynthesis	4	4	4	4	4	4	5
dTDP-6-deoxy-D-allose biosynthesis	1	1	1	1	1	1	2
dTDP-beta-L-noviose biosynthesis	0	0	0	0	0	0	1
dTDP-D-mycaminose biosynthesis	1	1	2	1	0	1	1
dTDP-D-desosamine biosynthesis	1	4	4	4	1	3	3
dTDP-L-mycarose biosynthesis	1	1	2	2	1	1	3
dTDP-L-oleandrose biosynthesis	1	1	1	2	1	1	2
dTDP-L-megosamine biosynthesis	1	2	1	2	0	1	3
dTDP-L-olivose biosynthesis	0	1	1	2	1	0	1
dTDP-D-forosamine biosynthesis	2	3	3	2	1	1	1
dTDP-D-angolosamine biosynthesis	1	1	1	2	0	1	2
Complete nitrification, comammox, ammonia => nitrite => nitrate	1	3	2	2	0	1	0
