ko	pathway	ERR1995223_bin.1	ERR1995223_bin.2	ERR1995223_bin.3	ERR1995223_bin.4	ERR1995223_bin.5	ERR1995223_bin.6	ERR1995223_bin.7
ko00910	Nitrogen metabolism	17	32	30	26	8	17	14
ko00920	Sulfur metabolism	38	72	73	47	27	36	27
ko00930	Caprolactam degradation	9	16	18	8	7	9	9
ko00940	Phenylpropanoid biosynthesis	2	3	5	2	0	2	1
ko00941	Flavonoid biosynthesis	1	0	1	1	0	1	1
ko00942	Anthocyanin biosynthesis	0	0	0	0	0	0	0
ko00943	Isoflavonoid biosynthesis	1	1	1	1	1	1	1
ko00944	Flavone and flavonol biosynthesis	1	1	1	0	1	1	1
ko00945	Stilbenoid, diarylheptanoid and gingerol biosynthesis	2	1	2	2	1	2	2
ko00950	Isoquinoline alkaloid biosynthesis	6	6	8	6	7	6	7
ko00960	Tropane, piperidine and pyridine alkaloid biosynthesis	11	13	14	12	9	9	11
ko00965	Betalain biosynthesis	4	4	6	1	0	1	1
ko00966	Glucosinolate biosynthesis	2	2	2	2	0	2	1
ko00970	Aminoacyl-tRNA biosynthesis	34	33	34	37	34	35	32
ko00980	Metabolism of xenobiotics by cytochrome P450	7	9	10	4	4	7	6
ko00981	Insect hormone biosynthesis	1	1	2	1	1	1	1
ko00982	Drug metabolism - cytochrome P450	5	6	6	3	3	5	3
ko00983	Drug metabolism - other enzymes	12	21	21	15	14	13	17
ko00984	Steroid degradation	8	10	13	7	6	9	6
ko00996	Biosynthesis of various alkaloids	0	1	1	1	0	0	0
ko00997	Biosynthesis of various other secondary metabolites	4	8	8	5	2	4	2
ko00998	Biosynthesis of various antibiotics	17	25	25	21	12	11	13
ko00999	Biosynthesis of various plant secondary metabolites	6	8	8	9	4	6	7
ko01040	Biosynthesis of unsaturated fatty acids	2	6	7	2	2	3	3
ko01051	Biosynthesis of ansamycins	6	9	10	6	4	6	7
ko01052	Type I polyketide structures	3	14	14	6	2	3	4
ko01053	Biosynthesis of siderophore group nonribosomal peptides	7	13	13	11	7	6	5
ko01054	Nonribosomal peptide structures	1	1	1	1	0	1	1
ko01055	Biosynthesis of vancomycin group antibiotics	6	12	10	12	4	4	5
ko01056	Biosynthesis of type II polyketide backbone	4	5	5	4	2	4	4
ko01057	Biosynthesis of type II polyketide products	14	24	23	15	4	14	11
ko01059	Biosynthesis of enediyne antibiotics	19	21	23	26	9	18	11
ko01100	Metabolic pathways	1398	2153	2256	1627	1019	1380	1228
ko01110	Biosynthesis of secondary metabolites	630	913	939	733	438	593	517
ko01120	Microbial metabolism in diverse environments	472	801	892	576	319	461	395
ko01200	Carbon metabolism	172	262	261	202	118	165	143
ko01210	2-Oxocarboxylic acid metabolism	52	52	52	51	17	52	27
ko01212	Fatty acid metabolism	29	44	45	32	7	26	27
ko01220	Degradation of aromatic compounds	75	113	163	69	47	77	54
ko01230	Biosynthesis of amino acids	182	204	206	187	115	183	138
ko01232	Nucleotide metabolism	40	79	77	61	49	42	51
ko01240	Biosynthesis of cofactors	173	267	263	246	123	173	151
ko01250	Biosynthesis of nucleotide sugars	87	120	119	120	86	86	102
ko01501	beta-Lactam resistance	4	4	8	3	3	4	3
ko01502	Vancomycin resistance	7	7	7	7	7	7	7
ko01503	Cationic antimicrobial peptide (CAMP) resistance	7	12	12	10	8	8	7
ko01521	EGFR tyrosine kinase inhibitor resistance	0	0	0	0	0	0	0
ko01522	Endocrine resistance	0	0	0	0	0	0	0
ko01523	Antifolate resistance	4	4	4	4	1	4	4
ko01524	Platinum drug resistance	0	1	1	0	0	0	0
ko02010	ABC transporters	0	1	1	1	0	0	0
ko02020	Two-component system	14	44	43	30	12	17	17
ko02024	Quorum sensing	12	27	28	14	10	13	13
ko02025	Biofilm formation - Pseudomonas aeruginosa	4	9	9	8	5	4	4
ko02026	Biofilm formation - Escherichia coli	2	5	5	1	2	3	2
ko02030	Bacterial chemotaxis	0	0	0	0	0	0	0
ko02040	Flagellar assembly	0	0	0	0	0	0	0
ko02060	Phosphotransferase system (PTS)	1	59	58	16	10	1	6
ko03008	Ribosome biogenesis in eukaryotes	0	1	1	1	1	1	1
ko03010	Ribosome	0	0	0	0	0	0	0
ko03013	Nucleocytoplasmic transport	0	0	0	0	0	0	0
ko03015	mRNA surveillance pathway	0	0	0	0	0	0	0
ko03018	RNA degradation	2	3	3	3	3	2	3
ko03020	RNA polymerase	0	0	0	0	0	0	0
ko03022	Basal transcription factors	0	0	0	0	0	0	0
ko03030	DNA replication	2	2	2	2	2	2	1
ko03040	Spliceosome	0	0	0	0	0	0	0
ko03050	Proteasome	0	0	0	0	0	0	0
ko03060	Protein export	0	0	0	0	0	0	0
ko03070	Bacterial secretion system	0	0	0	0	0	0	0
ko03230	Viral genome structure	0	0	0	0	0	0	0
ko03240	Viral replication	0	0	1	0	0	0	0
ko03250	Viral life cycle - HIV-1	0	0	0	0	0	0	0
ko03320	PPAR signaling pathway	4	8	9	5	3	3	2
ko03410	Base excision repair	1	1	1	1	1	1	1
ko03420	Nucleotide excision repair	1	1	1	1	1	1	1
ko03430	Mismatch repair	1	1	1	1	1	1	1
ko03440	Homologous recombination	0	0	0	0	0	0	0
ko03450	Non-homologous end-joining	0	0	0	0	0	0	0
ko03460	Fanconi anemia pathway	0	0	0	0	0	0	0
ko04010	MAPK signaling pathway	0	0	0	0	0	0	0
ko04011	MAPK signaling pathway - yeast	0	1	1	0	0	0	0
ko04012	ErbB signaling pathway	0	0	0	0	0	0	0
ko04013	MAPK signaling pathway - fly	0	0	0	0	0	0	0
ko04014	Ras signaling pathway	1	0	0	0	1	0	2
ko04015	Rap1 signaling pathway	0	0	0	0	0	0	0
ko04016	MAPK signaling pathway - plant	1	3	3	2	1	1	2
ko04020	Calcium signaling pathway	1	2	2	0	0	1	0
ko04022	cGMP-PKG signaling pathway	0	1	1	0	0	0	0
ko04024	cAMP signaling pathway	1	0	1	0	1	0	1
ko04060	Cytokine-cytokine receptor interaction	0	0	0	0	0	0	0
ko04061	Viral protein interaction with cytokine and cytokine receptor	0	0	0	0	0	0	0
ko04062	Chemokine signaling pathway	0	0	0	0	0	0	0
ko04064	NF-kappa B signaling pathway	0	0	0	0	0	0	0
ko04066	HIF-1 signaling pathway	6	10	10	8	5	6	6
ko04068	FoxO signaling pathway	0	1	1	1	0	0	0
ko04070	Phosphatidylinositol signaling system	2	6	6	2	6	1	2
ko04071	Sphingolipid signaling pathway	5	1	2	0	1	4	1
ko04072	Phospholipase D signaling pathway	4	2	2	2	3	2	3
ko04075	Plant hormone signal transduction	0	0	0	0	0	0	0
ko04080	Neuroactive ligand-receptor interaction	0	0	0	0	0	0	0
ko04110	Cell cycle	0	0	0	0	0	0	0
ko04111	Cell cycle - yeast	0	0	0	0	0	0	0
ko04112	Cell cycle - Caulobacter	2	3	3	2	3	2	3
ko04113	Meiosis - yeast	0	0	0	0	0	0	0
ko04114	Oocyte meiosis	0	0	0	0	0	0	0
ko04115	p53 signaling pathway	0	0	0	0	0	0	0
ko04120	Ubiquitin mediated proteolysis	0	0	0	0	0	0	0
ko04122	Sulfur relay system	8	16	15	13	8	9	8
ko04130	SNARE interactions in vesicular transport	0	0	0	0	0	0	0
ko04136	Autophagy - other	0	0	0	0	0	0	0
ko04137	Mitophagy - animal	0	0	0	0	0	0	0
ko04138	Autophagy - yeast	0	0	0	0	0	0	0
ko04139	Mitophagy - yeast	0	0	0	0	0	0	0
ko04140	Autophagy - animal	0	0	0	0	0	0	0
ko04141	Protein processing in endoplasmic reticulum	0	0	0	0	0	0	0
ko04142	Lysosome	1	8	7	1	1	1	9
ko04144	Endocytosis	1	0	0	0	1	0	1
ko04145	Phagosome	0	0	0	0	0	0	0
ko04146	Peroxisome	7	18	20	9	5	8	5
ko04150	mTOR signaling pathway	0	0	0	0	0	0	0
ko04151	PI3K-Akt signaling pathway	0	1	1	0	0	0	0
ko04152	AMPK signaling pathway	1	3	3	2	1	1	1
ko04210	Apoptosis	0	0	0	0	0	0	0
ko04211	Longevity regulating pathway	0	1	1	0	0	0	0
ko04212	Longevity regulating pathway - worm	0	2	4	0	0	0	0
ko04213	Longevity regulating pathway - multiple species	0	1	1	0	0	0	0
ko04214	Apoptosis - fly	0	0	0	0	0	0	0
ko04215	Apoptosis - multiple species	0	0	0	0	0	0	0
ko04216	Ferroptosis	2	2	2	2	2	2	1
ko04217	Necroptosis	3	3	3	2	2	3	2
ko04218	Cellular senescence	0	0	0	0	0	0	0
ko04260	Cardiac muscle contraction	0	0	0	0	0	0	0
ko04261	Adrenergic signaling in cardiomyocytes	0	0	0	0	0	0	0
ko04270	Vascular smooth muscle contraction	0	0	0	0	0	0	0
ko04310	Wnt signaling pathway	0	0	0	0	0	0	0
ko04320	Dorso-ventral axis formation	0	0	0	0	0	0	0
ko04330	Notch signaling pathway	0	0	0	0	0	0	0
ko04340	Hedgehog signaling pathway	0	0	0	0	0	0	0
ko04341	Hedgehog signaling pathway - fly	0	0	0	0	0	0	0
ko04350	TGF-beta signaling pathway	0	0	0	0	0	0	0
ko04360	Axon guidance	0	0	0	0	0	0	0
ko04361	Axon regeneration	1	1	2	1	1	0	1
ko04370	VEGF signaling pathway	1	1	1	0	0	1	0
ko04371	Apelin signaling pathway	1	2	2	0	0	1	0
ko04380	Osteoclast differentiation	0	0	0	0	0	0	0
ko04390	Hippo signaling pathway	0	0	0	0	0	0	0
ko04391	Hippo signaling pathway - fly	0	0	0	0	0	0	0
ko04392	Hippo signaling pathway - multiple species	0	0	0	0	0	0	0
ko04510	Focal adhesion	0	0	0	0	0	0	0
ko04512	ECM-receptor interaction	0	0	0	0	0	0	0
ko04514	Cell adhesion molecules	0	0	0	0	0	0	0
ko04520	Adherens junction	0	0	0	0	0	0	0
ko04530	Tight junction	0	0	0	0	0	0	0
ko04540	Gap junction	0	0	0	0	0	0	0
ko04550	Signaling pathways regulating pluripotency of stem cells	0	0	0	0	0	0	0
ko04610	Complement and coagulation cascades	0	0	0	0	0	0	0
ko04611	Platelet activation	0	1	1	0	0	0	0
ko04612	Antigen processing and presentation	0	0	0	0	0	0	0
ko04613	Neutrophil extracellular trap formation	0	0	0	0	0	0	0
ko04614	Renin-angiotensin system	0	0	0	0	0	0	0
ko04620	Toll-like receptor signaling pathway	0	0	0	0	0	0	0
ko04621	NOD-like receptor signaling pathway	0	0	0	0	0	0	0
ko04622	RIG-I-like receptor signaling pathway	0	1	1	0	0	0	1
ko04623	Cytosolic DNA-sensing pathway	0	0	0	0	0	0	0
ko04624	Toll and Imd signaling pathway	0	0	0	0	0	0	0
ko04625	C-type lectin receptor signaling pathway	0	0	0	0	0	0	0
ko04626	Plant-pathogen interaction	1	1	1	1	1	1	1
ko04630	JAK-STAT signaling pathway	0	0	0	0	0	0	0
ko04640	Hematopoietic cell lineage	0	0	0	0	0	0	0
ko04650	Natural killer cell mediated cytotoxicity	0	0	0	0	0	0	0
ko04657	IL-17 signaling pathway	0	0	0	0	0	0	0
ko04658	Th1 and Th2 cell differentiation	0	0	0	0	0	0	0
ko04659	Th17 cell differentiation	0	0	0	0	0	0	0
ko04660	T cell receptor signaling pathway	0	0	0	0	0	0	0
ko04662	B cell receptor signaling pathway	0	0	0	0	0	0	0
ko04664	Fc epsilon RI signaling pathway	0	0	0	0	0	0	0
ko04666	Fc gamma R-mediated phagocytosis	2	0	0	0	1	1	1
ko04668	TNF signaling pathway	0	0	0	0	0	0	0
ko04670	Leukocyte transendothelial migration	0	0	0	0	0	0	0
ko04672	Intestinal immune network for IgA production	0	0	0	0	0	0	0
ko04710	Circadian rhythm	0	0	0	0	0	0	0
ko04711	Circadian rhythm - fly	0	0	0	0	0	0	0
ko04712	Circadian rhythm - plant	0	0	0	0	0	0	0
ko04713	Circadian entrainment	0	0	0	0	0	0	0
ko04714	Thermogenesis	1	3	3	1	2	2	1
ko04720	Long-term potentiation	0	0	0	0	0	0	0
ko04721	Synaptic vesicle cycle	0	0	0	0	0	0	0
ko04722	Neurotrophin signaling pathway	0	0	0	0	0	0	0
ko04723	Retrograde endocannabinoid signaling	0	2	2	1	1	2	2
ko04724	Glutamatergic synapse	2	2	2	1	2	1	3
ko04725	Cholinergic synapse	0	0	0	0	0	0	0
ko04726	Serotonergic synapse	1	1	2	1	1	1	1
ko04727	GABAergic synapse	3	5	5	3	2	3	3
ko04728	Dopaminergic synapse	2	1	3	2	1	2	2
ko04730	Long-term depression	0	0	0	0	0	0	0
ko04740	Olfactory transduction	0	0	0	0	0	0	0
ko04742	Taste transduction	0	0	0	0	0	0	0
ko04744	Phototransduction	0	0	0	0	0	0	0
ko04745	Phototransduction - fly	0	0	0	0	0	0	0
ko04750	Inflammatory mediator regulation of TRP channels	0	0	0	0	0	0	0
ko04810	Regulation of actin cytoskeleton	0	0	0	0	0	0	0
ko04910	Insulin signaling pathway	1	2	2	0	1	1	0
ko04911	Insulin secretion	0	0	0	0	0	0	0
ko04912	GnRH signaling pathway	1	0	0	0	1	0	1
ko04913	Ovarian steroidogenesis	0	0	0	0	0	0	0
ko04914	Progesterone-mediated oocyte maturation	0	0	0	0	0	0	0
ko04915	Estrogen signaling pathway	0	1	1	0	0	0	0
ko04916	Melanogenesis	0	0	0	0	0	0	0
ko04917	Prolactin signaling pathway	1	1	1	1	1	1	1
ko04918	Thyroid hormone synthesis	1	2	2	1	1	2	1
ko04919	Thyroid hormone signaling pathway	1	1	1	1	1	1	1
ko04920	Adipocytokine signaling pathway	2	2	2	2	2	1	0
ko04921	Oxytocin signaling pathway	0	1	1	0	0	0	0
ko04922	Glucagon signaling pathway	6	8	8	7	5	7	4
ko04923	Regulation of lipolysis in adipocytes	0	2	2	0	1	1	3
ko04924	Renin secretion	0	0	0	0	0	0	0
ko04925	Aldosterone synthesis and secretion	0	0	0	0	0	0	0
ko04926	Relaxin signaling pathway	0	2	2	0	0	0	0
ko04927	Cortisol synthesis and secretion	0	0	0	0	0	0	0
ko04928	Parathyroid hormone synthesis, secretion and action	1	0	0	0	1	0	1
ko04929	GnRH secretion	0	0	0	0	0	0	0
ko04930	Type II diabetes mellitus	0	1	1	1	1	1	1
ko04931	Insulin resistance	4	5	5	3	3	3	2
ko04932	Non-alcoholic fatty liver disease	0	0	0	0	0	0	0
ko04933	AGE-RAGE signaling pathway in diabetic complications	0	1	1	0	0	0	0
ko04934	Cushing syndrome	1	1	1	1	1	1	1
ko04935	Growth hormone synthesis, secretion and action	0	0	0	0	0	0	0
ko04936	Alcoholic liver disease	2	4	5	1	1	2	1
ko04940	Type I diabetes mellitus	1	1	1	0	1	1	1
ko04950	Maturity onset diabetes of the young	0	0	0	0	0	0	0
ko04960	Aldosterone-regulated sodium reabsorption	0	0	0	0	0	0	0
ko04961	Endocrine and other factor-regulated calcium reabsorption	0	0	0	0	0	0	0
ko04962	Vasopressin-regulated water reabsorption	0	0	0	0	0	0	0
ko04964	Proximal tubule bicarbonate reclamation	1	2	2	1	0	1	2
ko04966	Collecting duct acid secretion	0	0	0	0	0	0	0
ko04970	Salivary secretion	1	1	1	0	1	1	0
ko04971	Gastric acid secretion	0	0	0	0	0	0	0
ko04972	Pancreatic secretion	1	1	1	0	1	1	0
ko04973	Carbohydrate digestion and absorption	1	1	1	0	1	1	0
ko04974	Protein digestion and absorption	0	0	0	0	0	0	0
ko04975	Fat digestion and absorption	2	2	2	2	1	2	2
ko04976	Bile secretion	0	0	1	0	0	0	0
ko04977	Vitamin digestion and absorption	0	0	0	0	0	0	0
ko04978	Mineral absorption	0	0	0	0	0	0	0
ko04979	Cholesterol metabolism	0	0	0	0	0	0	0
ko05010	Alzheimer disease	2	3	3	2	2	2	2
ko05012	Parkinson disease	1	1	1	1	1	1	1
ko05014	Amyotrophic lateral sclerosis	0	3	3	0	0	1	0
ko05016	Huntington disease	0	1	1	0	0	1	0
ko05017	Spinocerebellar ataxia	0	0	0	0	0	0	0
ko05020	Prion disease	0	0	0	0	0	0	0
ko05022	Pathways of neurodegeneration - multiple diseases	1	4	4	1	1	2	1
ko05030	Cocaine addiction	1	1	2	1	1	1	1
ko05031	Amphetamine addiction	1	1	2	1	1	1	1
ko05032	Morphine addiction	0	0	0	0	0	0	0
ko05033	Nicotine addiction	0	0	0	0	0	0	0
ko05034	Alcoholism	1	1	2	1	1	1	1
ko05100	Bacterial invasion of epithelial cells	0	0	0	0	0	0	0
ko05110	Vibrio cholerae infection	0	0	0	0	0	0	0
ko05111	Biofilm formation - Vibrio cholerae	3	9	9	5	4	5	5
ko05120	Epithelial cell signaling in Helicobacter pylori infection	0	1	2	1	0	0	0
ko05130	Pathogenic Escherichia coli infection	1	1	1	1	1	1	1
ko05131	Shigellosis	0	0	0	0	0	0	0
ko05132	Salmonella infection	1	1	1	1	1	1	1
ko05133	Pertussis	0	2	2	0	0	0	0
ko05134	Legionellosis	1	1	1	1	1	1	1
ko05135	Yersinia infection	0	0	0	0	0	0	0
ko05140	Leishmaniasis	0	1	1	0	0	0	0
ko05142	Chagas disease	0	1	1	0	0	0	0
ko05143	African trypanosomiasis	0	0	0	0	0	0	0
ko05144	Malaria	0	0	0	0	0	0	0
ko05145	Toxoplasmosis	0	1	1	0	0	0	0
ko05146	Amoebiasis	2	3	3	1	2	1	1
ko05150	Staphylococcus aureus infection	2	2	2	2	2	2	1
ko05152	Tuberculosis	1	1	1	0	0	1	0
ko05160	Hepatitis C	0	0	0	0	0	0	0
ko05161	Hepatitis B	0	0	0	0	0	0	0
ko05162	Measles	0	0	0	0	0	0	0
ko05163	Human cytomegalovirus infection	0	0	0	0	0	0	0
ko05164	Influenza A	0	0	0	0	0	0	0
ko05165	Human papillomavirus infection	0	1	1	1	1	1	1
ko05166	Human T-cell leukemia virus 1 infection	0	0	0	0	0	0	0
ko05167	Kaposi sarcoma-associated herpesvirus infection	0	0	0	0	0	0	0
ko05168	Herpes simplex virus 1 infection	0	0	0	0	0	0	0
ko05169	Epstein-Barr virus infection	0	0	0	0	0	0	0
ko05170	Human immunodeficiency virus 1 infection	0	0	0	0	0	0	0
ko05171	Coronavirus disease - COVID-19	0	0	0	0	0	0	0
ko05200	Pathways in cancer	3	4	4	2	2	2	3
ko05202	Transcriptional misregulation in cancer	0	0	0	0	0	0	0
ko05203	Viral carcinogenesis	0	1	1	1	1	1	1
ko05204	Chemical carcinogenesis - DNA adducts	1	3	4	1	0	1	1
ko05205	Proteoglycans in cancer	0	0	0	0	0	0	0
ko05206	MicroRNAs in cancer	1	2	2	0	1	1	2
ko05207	Chemical carcinogenesis - receptor activation	0	2	3	0	0	1	0
