ko	pathway	ERR1995263_bin.1	ERR1995263_bin.10	ERR1995263_bin.11	ERR1995263_bin.12	ERR1995263_bin.13	ERR1995263_bin.14	ERR1995263_bin.15	ERR1995263_bin.16	ERR1995263_bin.17	ERR1995263_bin.18	ERR1995263_bin.19	ERR1995263_bin.2	ERR1995263_bin.20	ERR1995263_bin.21	ERR1995263_bin.22	ERR1995263_bin.23	ERR1995263_bin.24	ERR1995263_bin.25	ERR1995263_bin.26	ERR1995263_bin.27	ERR1995263_bin.28	ERR1995263_bin.29	ERR1995263_bin.3	ERR1995263_bin.30	ERR1995263_bin.31	ERR1995263_bin.32	ERR1995263_bin.33	ERR1995263_bin.34	ERR1995263_bin.35	ERR1995263_bin.36	ERR1995263_bin.37	ERR1995263_bin.38	ERR1995263_bin.39	ERR1995263_bin.4	ERR1995263_bin.5	ERR1995263_bin.6	ERR1995263_bin.7	ERR1995263_bin.8	ERR1995263_bin.9
ko00404	Staurosporine biosynthesis	6	4	11	5	6	5	1	6	5	7	4	5	5	4	4	5	4	5	4	1	6	4	5	6	6	2	6	3	4	5	5	5	3	6	5	3	5	6	5
ko00405	Phenazine biosynthesis	7	8	5	11	7	9	5	9	7	8	11	11	9	7	9	9	10	8	9	7	6	8	10	9	7	5	10	10	5	10	11	8	10	7	4	10	11	12	7
ko00410	beta-Alanine metabolism	16	19	18	21	17	24	15	25	19	21	24	22	21	13	26	17	20	20	24	23	20	21	22	24	22	18	22	18	16	27	22	21	16	21	17	25	17	15	14
ko00430	Taurine and hypotaurine metabolism	10	10	10	11	14	12	10	12	12	7	11	12	13	10	12	10	12	10	9	13	11	12	11	12	11	11	10	12	11	13	12	11	11	11	11	13	12	13	9
ko00440	Phosphonate and phosphinate metabolism	14	10	12	14	11	12	10	15	13	11	15	12	12	13	11	10	11	10	13	9	14	11	12	12	11	12	12	11	10	20	11	11	11	12	11	11	13	15	9
ko00450	Selenocompound metabolism	17	17	18	19	14	17	15	19	15	18	19	19	19	16	18	17	17	18	14	18	16	17	17	18	16	17	15	16	17	16	17	16	16	15	17	17	20	22	17
ko00460	Cyanoamino acid metabolism	7	6	9	9	8	13	9	9	7	6	10	9	9	6	7	5	7	8	6	8	8	7	10	8	7	10	7	7	8	8	7	6	5	7	7	8	8	8	6
ko00470	D-Amino acid metabolism	29	24	26	25	24	29	20	28	27	26	30	28	30	27	25	27	29	23	27	24	25	28	29	25	26	20	22	29	29	29	26	24	25	23	22	26	25	27	22
ko00480	Glutathione metabolism	12	6	11	12	10	14	7	12	7	11	12	14	7	14	7	7	11	12	8	7	8	9	11	8	7	9	8	8	6	12	7	10	8	14	10	12	12	13	6
ko00500	Starch and sucrose metabolism	41	42	49	44	43	43	35	44	36	14	46	48	41	41	49	35	37	49	18	49	49	38	47	46	40	49	44	49	33	15	47	45	48	45	35	43	52	20	32
ko00510	N-Glycan biosynthesis	2	2	3	3	2	3	2	3	2	1	3	2	2	2	2	2	3	3	4	3	3	3	2	2	2	3	2	4	1	3	3	2	2	3	2	3	3	3	1
ko00511	Other glycan degradation	6	5	5	3	6	1	2	7	2	0	7	7	2	5	2	2	4	6	1	2	2	1	6	3	4	2	5	6	0	0	2	4	3	3	1	4	8	0	3
ko00512	Mucin type O-glycan biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00513	Various types of N-glycan biosynthesis	1	1	3	2	1	0	0	4	0	0	2	2	0	2	0	0	2	3	1	1	1	1	1	0	1	0	1	3	0	0	1	2	0	2	1	1	3	1	1
ko00514	Other types of O-glycan biosynthesis	0	1	1	1	0	1	0	1	1	1	1	1	1	2	1	1	1	1	2	0	2	1	1	2	1	0	1	2	0	0	0	1	0	0	1	1	1	1	0
ko00515	Mannose type O-glycan biosynthesis	0	0	0	2	0	0	0	2	1	0	2	2	1	1	0	0	1	1	1	0	2	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1
ko00520	Amino sugar and nucleotide sugar metabolism	91	96	98	105	91	98	79	99	79	75	107	102	94	86	96	87	94	111	84	94	100	87	96	101	91	103	100	102	65	94	96	100	100	88	90	102	106	94	83
ko00521	Streptomycin biosynthesis	10	12	10	14	10	10	8	14	12	12	14	14	11	11	10	13	13	11	9	11	13	11	13	11	11	11	12	10	8	10	12	13	10	12	10	10	14	12	11
ko00522	Biosynthesis of 12-, 14- and 16-membered macrolides	4	15	13	7	6	8	4	14	13	13	15	14	5	5	5	14	15	7	6	4	8	7	14	6	14	2	6	7	6	6	6	15	5	4	14	6	7	6	6
ko00523	Polyketide sugar unit biosynthesis	27	24	28	33	28	25	17	29	27	22	31	28	34	25	25	28	25	34	25	21	29	30	28	30	23	30	28	25	16	26	26	30	17	32	21	20	35	35	24
ko00524	Neomycin, kanamycin and gentamicin biosynthesis	35	39	37	39	38	40	5	9	4	32	10	41	39	8	35	39	39	9	40	34	40	39	41	9	38	10	9	42	2	36	37	41	40	8	3	9	41	41	6
ko00525	Acarbose and validamycin biosynthesis	16	14	15	15	18	16	11	17	14	14	16	19	15	13	15	15	15	17	14	15	15	14	17	18	15	15	17	17	12	12	18	16	16	17	14	15	17	13	13
ko00531	Glycosaminoglycan degradation	8	9	3	10	9	2	3	10	1	2	9	10	1	7	4	2	5	4	0	2	3	1	10	3	9	2	10	2	1	2	6	4	5	3	3	5	9	0	2
ko00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0
ko00533	Glycosaminoglycan biosynthesis - keratan sulfate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00540	Lipopolysaccharide biosynthesis	22	32	20	34	24	25	19	34	26	30	37	33	23	20	21	31	33	24	31	21	27	25	34	23	31	24	31	24	20	34	21	32	21	17	19	29	33	16	20
ko00541	O-Antigen nucleotide sugar biosynthesis	47	52	50	57	50	48	40	54	45	40	56	55	48	44	48	51	50	54	49	46	54	47	55	50	49	53	53	57	33	52	49	54	48	45	44	50	56	54	45
ko00542	O-Antigen repeat unit biosynthesis	2	2	2	2	2	2	1	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2	2	2	2	2	1	2	2	2	1
ko00550	Peptidoglycan biosynthesis	25	19	25	23	26	20	25	23	20	25	23	23	20	20	21	19	19	24	20	20	20	22	21	20	19	25	22	25	20	20	20	19	21	25	24	19	23	21	20
ko00552	Teichoic acid biosynthesis	16	16	10	13	16	13	9	14	15	10	13	13	13	12	14	13	12	12	14	16	16	15	14	11	12	14	13	14	9	17	12	13	15	11	12	12	16	13	9
ko00561	Glycerolipid metabolism	26	28	31	25	30	30	25	30	24	21	30	25	27	31	30	24	27	30	25	29	29	23	24	27	25	25	25	30	24	27	29	26	28	25	28	26	26	23	23
ko00562	Inositol phosphate metabolism	18	19	14	21	16	14	11	22	9	15	20	21	17	18	15	13	19	17	10	15	20	14	18	17	18	16	14	18	14	13	17	19	12	19	18	13	22	18	14
ko00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ko00564	Glycerophospholipid metabolism	27	39	31	38	29	33	33	40	36	33	40	35	32	33	33	36	38	36	34	33	33	27	36	31	36	25	35	30	28	32	37	35	30	30	32	27	34	33	34
ko00565	Ether lipid metabolism	2	6	3	4	2	4	5	7	4	2	7	4	3	2	3	3	3	5	2	5	4	1	5	3	6	2	3	4	3	2	5	4	2	2	2	3	5	2	4
ko00571	Lipoarabinomannan (LAM) biosynthesis	4	4	4	4	4	4	3	5	4	4	5	4	5	5	3	4	5	5	5	3	3	4	4	3	4	3	4	5	4	4	4	5	3	4	4	5	4	3	4
ko00572	Arabinogalactan biosynthesis - Mycobacterium	3	5	2	5	3	4	3	5	3	3	5	5	4	4	4	5	5	5	3	5	4	4	5	4	5	4	5	5	3	4	5	5	4	4	3	4	5	3	2
ko00590	Arachidonic acid metabolism	3	3	2	3	3	4	3	6	2	4	7	5	2	3	3	4	5	5	3	4	2	3	5	3	3	4	4	2	2	3	4	4	2	3	3	3	3	3	2
ko00591	Linoleic acid metabolism	2	2	2	2	2	2	1	4	2	2	4	2	2	2	2	2	3	3	3	3	2	2	3	2	2	2	2	2	2	2	3	3	2	2	3	1	2	2	2
ko00592	alpha-Linolenic acid metabolism	0	1	1	1	0	3	2	3	0	1	3	1	1	0	2	2	2	3	4	3	0	1	2	2	1	0	1	2	2	2	3	2	1	1	2	3	1	2	2
ko00600	Sphingolipid metabolism	10	12	9	10	12	6	9	12	6	4	14	13	6	9	8	8	12	11	3	5	7	4	12	11	12	9	13	10	8	6	8	9	8	7	8	9	14	3	8
ko00601	Glycosphingolipid biosynthesis - lacto and neolacto series	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00603	Glycosphingolipid biosynthesis - globo and isoglobo series	2	3	3	2	3	1	1	2	0	0	2	2	0	3	2	1	3	3	0	1	2	0	3	1	2	1	2	3	1	0	1	2	1	3	1	1	2	0	1
ko00604	Glycosphingolipid biosynthesis - ganglio series	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	0	1	1	0	0	0	0	1	0	1	0	1	1	0	0	0	1	0	1	1	0	1	0	1
ko00620	Pyruvate metabolism	69	73	67	77	71	80	66	79	64	69	84	76	71	70	76	64	74	72	65	70	69	67	77	71	78	62	70	78	56	78	70	74	70	61	69	71	76	73	52
ko00621	Dioxin degradation	6	11	6	7	9	8	5	7	7	8	7	7	7	8	7	10	9	5	6	5	9	4	10	8	9	5	8	7	4	10	6	9	4	10	5	5	8	6	5
ko00622	Xylene degradation	12	19	17	16	17	16	11	17	13	18	18	18	11	15	12	15	21	13	17	9	14	10	19	15	17	12	18	17	9	20	11	21	10	16	16	13	18	12	8
ko00623	Toluene degradation	10	18	20	20	15	20	15	22	20	19	22	21	12	14	13	17	19	15	13	15	11	11	22	17	19	15	21	16	16	20	15	21	12	13	14	15	20	20	10
ko00624	Polycyclic aromatic hydrocarbon degradation	12	14	14	13	13	11	9	15	8	13	15	14	11	14	11	12	15	11	11	10	14	11	13	12	15	10	10	13	8	13	10	16	13	13	16	12	13	14	7
ko00625	Chloroalkane and chloroalkene degradation	16	14	15	13	16	15	11	15	13	17	15	17	13	13	13	14	17	14	13	12	13	12	16	15	16	16	17	12	6	18	13	18	13	15	14	13	17	17	6
ko00626	Naphthalene degradation	10	18	22	9	10	11	9	11	6	9	11	11	9	9	9	19	22	10	10	9	10	8	10	12	19	10	19	12	5	10	10	21	11	11	13	10	11	11	4
ko00627	Aminobenzoate degradation	23	28	30	27	22	29	23	28	23	27	28	25	27	24	31	27	31	26	24	26	21	24	28	20	25	33	25	23	36	36	28	29	24	23	29	30	25	40	26
ko00630	Glyoxylate and dicarboxylate metabolism	53	59	61	67	53	66	52	66	49	48	68	65	60	55	61	54	64	62	52	59	56	53	64	58	64	46	58	61	49	65	66	63	58	54	60	54	67	58	52
ko00633	Nitrotoluene degradation	11	13	11	13	11	12	9	11	10	13	16	14	12	11	13	14	14	10	12	12	10	12	14	10	13	10	13	10	9	16	12	13	11	6	11	9	13	16	10
ko00640	Propanoate metabolism	58	60	49	68	49	66	60	69	53	52	69	60	59	52	66	56	62	63	53	62	56	54	60	58	60	42	61	59	47	69	63	59	54	53	53	63	61	54	45
ko00642	Ethylbenzene degradation	4	5	5	4	4	5	2	5	2	6	5	5	5	4	4	5	6	4	3	4	4	3	4	6	4	3	4	5	3	5	3	4	4	3	6	4	6	7	4
ko00643	Styrene degradation	5	7	7	8	7	12	9	8	10	6	9	10	8	10	8	9	8	5	11	5	6	6	9	6	6	8	8	9	10	14	6	7	4	7	8	9	6	6	7
ko00650	Butanoate metabolism	55	56	60	63	50	73	59	70	51	54	67	67	61	54	63	56	65	58	59	58	55	51	63	59	61	60	63	57	55	69	59	62	56	53	54	69	57	55	50
ko00660	C5-Branched dibasic acid metabolism	10	10	12	14	9	15	11	12	13	8	10	11	10	12	11	8	10	13	5	12	9	9	10	12	12	4	10	11	9	17	13	13	9	10	7	10	13	11	8
ko00670	One carbon pool by folate	22	25	20	28	18	20	9	27	19	20	26	28	23	17	20	27	21	16	21	19	16	17	20	22	24	19	18	17	18	20	19	20	15	21	21	20	28	17	21
ko00680	Methane metabolism	77	85	95	85	73	87	73	88	78	82	93	93	87	87	84	80	89	77	75	76	71	81	85	84	84	77	87	90	75	92	81	85	82	64	77	92	90	104	73
ko00710	Carbon fixation in photosynthetic organisms	15	17	17	16	17	17	14	18	16	15	16	17	15	16	16	16	15	15	18	17	16	15	15	15	15	15	16	16	16	16	16	16	16	14	14	14	18	17	15
ko00720	Carbon fixation pathways in prokaryotes	66	69	68	79	63	74	67	81	61	72	81	76	75	64	74	70	72	76	63	69	62	68	70	66	68	52	73	73	61	75	71	75	71	64	67	70	77	66	56
ko00730	Thiamine metabolism	18	16	15	21	17	24	16	20	21	21	20	21	23	19	22	19	20	19	16	21	18	21	19	18	16	22	21	21	18	20	21	19	20	19	14	18	21	19	19
ko00740	Riboflavin metabolism	21	30	24	31	19	29	17	31	20	25	33	33	22	22	28	30	31	21	26	22	24	21	29	22	25	27	27	21	15	29	23	27	24	18	22	14	30	26	24
ko00750	Vitamin B6 metabolism	11	12	9	12	9	12	8	11	7	13	13	13	9	11	12	12	13	12	10	9	10	8	11	11	10	13	10	11	7	11	10	13	8	10	9	11	13	10	8
ko00760	Nicotinate and nicotinamide metabolism	34	35	58	37	36	57	49	40	34	33	41	41	48	41	49	37	38	51	36	46	46	34	37	33	39	50	34	39	47	38	53	35	32	36	51	31	39	46	49
ko00770	Pantothenate and CoA biosynthesis	24	28	23	29	21	26	19	30	17	18	30	30	25	26	26	23	31	27	24	28	27	29	26	21	28	20	27	21	20	32	27	30	26	21	17	23	30	27	17
ko00780	Biotin metabolism	12	16	13	17	13	16	12	18	11	15	18	18	15	9	16	15	18	16	16	15	12	15	18	17	16	8	16	15	12	16	16	17	14	13	15	13	18	17	12
ko00785	Lipoic acid metabolism	0	3	4	3	5	1	0	7	0	1	6	3	1	0	1	3	6	0	1	0	0	0	3	1	5	1	0	4	0	1	1	5	0	4	4	0	4	5	5
ko00790	Folate biosynthesis	43	46	29	46	45	35	26	49	28	50	47	47	35	30	38	48	49	27	48	29	29	26	46	46	44	33	46	23	27	45	31	46	25	44	25	24	48	48	31
ko00791	Atrazine degradation	7	7	5	2	7	3	7	4	4	6	2	1	5	6	6	2	3	4	6	1	7	8	1	6	2	6	1	4	3	7	2	2	12	5	4	4	2	4	5
ko00830	Retinol metabolism	8	6	8	6	8	8	8	8	6	6	8	8	6	6	7	7	8	8	8	7	6	6	8	8	6	8	8	8	6	7	8	8	8	6	8	8	8	8	6
ko00860	Porphyrin metabolism	44	54	45	71	41	66	38	67	44	50	73	69	67	62	68	52	58	61	73	64	49	57	52	61	46	42	56	50	59	81	67	55	57	43	36	35	72	65	42
ko00900	Terpenoid backbone biosynthesis	27	30	27	30	27	27	28	30	24	31	30	31	28	26	28	28	30	29	28	30	26	28	29	27	29	26	30	29	27	29	28	31	28	26	27	28	29	29	26
ko00901	Indole alkaloid biosynthesis	1	0	1	0	1	1	1	2	0	1	1	1	2	1	0	0	3	0	3	1	1	1	1	1	1	2	0	0	0	1	1	1	2	2	1	3	0	0	0
ko00902	Monoterpenoid biosynthesis	5	7	4	8	6	4	3	8	4	7	8	8	6	6	6	7	5	9	4	6	6	5	6	6	8	6	8	5	3	4	6	7	6	8	3	5	8	7	7
ko00903	Limonene and pinene degradation	6	9	8	9	7	9	9	9	8	9	9	7	8	7	10	5	7	10	8	9	8	6	10	10	7	8	9	8	10	8	9	7	6	9	5	8	7	7	9
ko00904	Diterpenoid biosynthesis	5	5	5	5	5	5	5	5	0	0	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0	5	5	5	5	5	0	5	0	5	5	5	0	5
ko00905	Brassinosteroid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
