ko	pathway	ERR1995267_bin.1	ERR1995267_bin.2	ERR1995267_bin.4	ERR1995267_bin.5	ERR1995267_bin.6	ERR1995267_bin.7	ERR1995267_bin.8
ko00290	Valine, leucine and isoleucine biosynthesis	16	16	16	2	15	16	15
ko00300	Lysine biosynthesis	41	40	41	23	40	39	39
ko00310	Lysine degradation	21	24	29	4	19	21	28
ko00311	Penicillin and cephalosporin biosynthesis	5	3	6	4	4	5	8
ko00330	Arginine and proline metabolism	48	52	54	21	36	47	58
ko00331	Clavulanic acid biosynthesis	4	3	4	3	4	3	4
ko00332	Carbapenem biosynthesis	6	6	12	3	9	6	14
ko00333	Prodigiosin biosynthesis	11	15	15	6	17	13	16
ko00340	Histidine metabolism	26	25	27	7	31	30	31
ko00350	Tyrosine metabolism	27	33	41	12	28	29	41
ko00360	Phenylalanine metabolism	32	40	47	14	33	38	47
ko00361	Chlorocyclohexane and chlorobenzene degradation	16	16	23	6	15	15	25
ko00362	Benzoate degradation	42	70	82	17	47	52	73
ko00363	Bisphenol degradation	2	2	1	1	2	1	1
ko00364	Fluorobenzoate degradation	6	5	9	2	5	4	9
ko00365	Furfural degradation	4	6	8	1	4	3	7
ko00380	Tryptophan metabolism	23	29	30	7	21	22	33
ko00400	Phenylalanine, tyrosine and tryptophan biosynthesis	50	47	53	11	46	44	51
ko00401	Novobiocin biosynthesis	13	15	15	10	14	15	14
ko00402	Benzoxazinoid biosynthesis	0	0	0	0	0	0	0
ko00403	Indole diterpene alkaloid biosynthesis	0	0	0	0	0	0	0
ko00404	Staurosporine biosynthesis	7	5	9	0	4	6	9
ko00405	Phenazine biosynthesis	8	10	13	2	8	10	13
ko00410	beta-Alanine metabolism	20	22	25	7	20	24	26
ko00430	Taurine and hypotaurine metabolism	14	12	16	6	11	9	17
ko00440	Phosphonate and phosphinate metabolism	11	17	18	9	10	13	18
ko00450	Selenocompound metabolism	19	22	25	11	17	18	24
ko00460	Cyanoamino acid metabolism	8	9	11	4	5	8	13
ko00470	D-Amino acid metabolism	27	31	30	14	23	29	32
ko00480	Glutathione metabolism	12	11	26	5	6	17	27
ko00500	Starch and sucrose metabolism	51	21	59	47	41	16	52
ko00510	N-Glycan biosynthesis	4	2	2	2	2	1	2
ko00511	Other glycan degradation	2	0	3	2	5	0	3
ko00512	Mucin type O-glycan biosynthesis	0	0	0	0	0	0	0
ko00513	Various types of N-glycan biosynthesis	2	1	0	0	1	0	1
ko00514	Other types of O-glycan biosynthesis	1	1	1	1	1	1	1
ko00515	Mannose type O-glycan biosynthesis	0	0	0	0	0	0	0
ko00520	Amino sugar and nucleotide sugar metabolism	105	91	110	81	95	87	108
ko00521	Streptomycin biosynthesis	11	13	13	9	12	12	13
ko00522	Biosynthesis of 12-, 14- and 16-membered macrolides	6	7	14	3	15	13	18
ko00523	Polyketide sugar unit biosynthesis	29	30	29	14	24	30	26
ko00524	Neomycin, kanamycin and gentamicin biosynthesis	9	42	44	1	39	35	44
ko00525	Acarbose and validamycin biosynthesis	17	14	19	11	14	13	18
ko00531	Glycosaminoglycan degradation	3	5	7	3	9	3	4
ko00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	1	1	1	1	1	1	1
ko00533	Glycosaminoglycan biosynthesis - keratan sulfate	0	0	0	0	0	0	0
ko00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	0	0	0	0	0	0	0
ko00540	Lipopolysaccharide biosynthesis	23	27	35	21	31	31	32
ko00541	O-Antigen nucleotide sugar biosynthesis	52	53	55	39	51	49	50
ko00542	O-Antigen repeat unit biosynthesis	2	2	2	1	2	2	2
ko00550	Peptidoglycan biosynthesis	21	21	20	18	19	19	19
ko00552	Teichoic acid biosynthesis	11	13	13	11	16	13	13
ko00561	Glycerolipid metabolism	31	23	33	24	28	22	33
ko00562	Inositol phosphate metabolism	19	21	24	9	19	18	24
ko00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	0	0	0	0	0	0	0
ko00564	Glycerophospholipid metabolism	38	39	43	23	39	33	41
ko00565	Ether lipid metabolism	5	3	4	1	6	2	5
ko00571	Lipoarabinomannan (LAM) biosynthesis	3	4	4	3	4	4	4
ko00572	Arabinogalactan biosynthesis - Mycobacterium	4	4	5	1	5	3	4
ko00590	Arachidonic acid metabolism	4	2	7	0	3	4	6
ko00591	Linoleic acid metabolism	2	2	3	2	2	2	2
ko00592	alpha-Linolenic acid metabolism	2	3	3	0	1	1	2
ko00600	Sphingolipid metabolism	6	4	8	6	13	5	9
ko00601	Glycosphingolipid biosynthesis - lacto and neolacto series	0	0	0	0	0	0	0
ko00603	Glycosphingolipid biosynthesis - globo and isoglobo series	1	0	2	2	3	0	3
ko00604	Glycosphingolipid biosynthesis - ganglio series	0	0	0	0	1	0	1
ko00620	Pyruvate metabolism	78	76	97	25	73	79	92
ko00621	Dioxin degradation	7	9	25	1	11	11	17
ko00622	Xylene degradation	17	21	31	3	19	19	27
ko00623	Toluene degradation	15	22	31	4	18	18	27
ko00624	Polycyclic aromatic hydrocarbon degradation	14	14	34	5	14	15	25
ko00625	Chloroalkane and chloroalkene degradation	16	16	26	8	14	15	24
ko00626	Naphthalene degradation	11	11	18	4	18	8	13
ko00627	Aminobenzoate degradation	26	39	61	11	29	31	51
ko00630	Glyoxylate and dicarboxylate metabolism	61	72	80	25	59	59	76
ko00633	Nitrotoluene degradation	12	17	21	2	13	15	14
ko00640	Propanoate metabolism	61	66	74	20	60	55	67
ko00642	Ethylbenzene degradation	5	7	13	1	5	6	10
ko00643	Styrene degradation	7	10	14	4	7	11	12
ko00650	Butanoate metabolism	60	63	83	17	56	55	79
ko00660	C5-Branched dibasic acid metabolism	10	13	22	1	10	10	17
ko00670	One carbon pool by folate	21	17	22	8	25	24	20
ko00680	Methane metabolism	87	111	120	56	86	93	106
ko00710	Carbon fixation in photosynthetic organisms	17	18	22	10	17	15	21
ko00720	Carbon fixation pathways in prokaryotes	68	84	96	24	68	78	88
ko00730	Thiamine metabolism	21	19	21	13	16	19	22
ko00740	Riboflavin metabolism	23	30	37	13	32	24	25
ko00750	Vitamin B6 metabolism	10	12	17	5	12	9	17
ko00760	Nicotinate and nicotinamide metabolism	56	50	62	18	38	43	55
ko00770	Pantothenate and CoA biosynthesis	25	22	31	13	28	30	30
ko00780	Biotin metabolism	16	16	18	7	16	15	18
ko00785	Lipoic acid metabolism	1	7	6	0	3	3	4
ko00790	Folate biosynthesis	35	40	57	14	46	49	52
ko00791	Atrazine degradation	5	10	6	3	7	7	12
ko00830	Retinol metabolism	8	8	8	6	6	6	8
ko00860	Porphyrin metabolism	69	67	74	29	54	49	63
ko00900	Terpenoid backbone biosynthesis	28	27	31	17	30	29	26
ko00901	Indole alkaloid biosynthesis	3	1	2	0	0	0	3
ko00902	Monoterpenoid biosynthesis	6	7	8	5	7	5	7
ko00903	Limonene and pinene degradation	8	8	11	4	9	9	12
ko00904	Diterpenoid biosynthesis	5	0	0	0	5	0	4
ko00905	Brassinosteroid biosynthesis	0	0	0	0	0	0	0
ko00906	Carotenoid biosynthesis	13	13	15	9	15	15	16
ko00908	Zeatin biosynthesis	1	2	2	1	1	2	2
ko00909	Sesquiterpenoid and triterpenoid biosynthesis	1	1	2	0	1	1	1
ko00910	Nitrogen metabolism	18	31	33	7	15	26	28
ko00920	Sulfur metabolism	35	67	75	16	44	57	69
ko00930	Caprolactam degradation	11	13	16	4	8	8	16
ko00940	Phenylpropanoid biosynthesis	2	1	3	0	4	2	4
ko00941	Flavonoid biosynthesis	1	0	0	0	1	0	3
ko00942	Anthocyanin biosynthesis	0	0	0	0	1	0	0
ko00943	Isoflavonoid biosynthesis	1	1	1	1	1	1	2
ko00944	Flavone and flavonol biosynthesis	1	0	1	1	1	0	1
ko00945	Stilbenoid, diarylheptanoid and gingerol biosynthesis	2	1	1	1	2	1	1
ko00950	Isoquinoline alkaloid biosynthesis	8	7	7	5	7	6	8
ko00960	Tropane, piperidine and pyridine alkaloid biosynthesis	10	9	14	8	9	9	12
ko00965	Betalain biosynthesis	2	3	4	0	4	4	6
ko00966	Glucosinolate biosynthesis	2	2	2	0	2	2	2
ko00970	Aminoacyl-tRNA biosynthesis	31	36	33	34	28	37	33
ko00980	Metabolism of xenobiotics by cytochrome P450	8	6	9	3	4	6	10
ko00981	Insect hormone biosynthesis	1	2	2	0	1	1	2
ko00982	Drug metabolism - cytochrome P450	6	5	6	1	2	4	7
ko00983	Drug metabolism - other enzymes	16	12	21	12	14	14	20
ko00984	Steroid degradation	8	11	11	5	11	8	11
ko00996	Biosynthesis of various alkaloids	0	1	1	0	0	1	1
ko00997	Biosynthesis of various other secondary metabolites	5	8	7	1	6	7	7
ko00998	Biosynthesis of various antibiotics	18	22	25	11	18	23	25
ko00999	Biosynthesis of various plant secondary metabolites	8	6	8	3	6	7	8
ko01040	Biosynthesis of unsaturated fatty acids	4	4	6	2	3	4	6
ko01051	Biosynthesis of ansamycins	7	7	9	4	9	8	12
ko01052	Type I polyketide structures	5	7	14	2	14	14	18
ko01053	Biosynthesis of siderophore group nonribosomal peptides	9	12	13	5	8	7	13
ko01054	Nonribosomal peptide structures	1	1	1	0	1	1	1
ko01055	Biosynthesis of vancomycin group antibiotics	6	11	13	4	6	12	12
ko01056	Biosynthesis of type II polyketide backbone	4	5	5	2	4	4	5
ko01057	Biosynthesis of type II polyketide products	17	24	23	8	16	18	27
ko01059	Biosynthesis of enediyne antibiotics	18	29	24	10	25	20	26
ko01100	Metabolic pathways	1669	1799	2231	847	1635	1651	2098
ko01110	Biosynthesis of secondary metabolites	711	802	926	360	779	735	928
ko01120	Microbial metabolism in diverse environments	572	698	873	235	538	592	785
ko01200	Carbon metabolism	193	237	264	88	188	196	240
ko01210	2-Oxocarboxylic acid metabolism	53	52	52	19	50	52	50
ko01212	Fatty acid metabolism	28	43	44	7	35	33	43
ko01220	Degradation of aromatic compounds	80	100	157	34	88	87	129
ko01230	Biosynthesis of amino acids	197	185	206	83	187	182	199
ko01232	Nucleotide metabolism	66	59	77	40	56	54	69
ko01240	Biosynthesis of cofactors	216	234	267	109	222	219	252
ko01250	Biosynthesis of nucleotide sugars	114	117	126	84	109	114	119
ko01501	beta-Lactam resistance	4	3	4	3	3	7	5
ko01502	Vancomycin resistance	7	7	7	7	7	7	7
ko01503	Cationic antimicrobial peptide (CAMP) resistance	8	11	12	9	11	10	11
ko01521	EGFR tyrosine kinase inhibitor resistance	0	0	0	0	0	0	0
ko01522	Endocrine resistance	0	0	0	0	0	0	0
ko01523	Antifolate resistance	4	2	4	1	4	4	4
ko01524	Platinum drug resistance	0	0	1	0	0	1	2
ko02010	ABC transporters	1	0	1	0	0	0	1
ko02020	Two-component system	16	28	44	9	24	27	37
ko02024	Quorum sensing	15	15	27	8	17	16	38
ko02025	Biofilm formation - Pseudomonas aeruginosa	7	8	9	4	7	8	10
ko02026	Biofilm formation - Escherichia coli	4	2	5	1	2	1	5
ko02030	Bacterial chemotaxis	0	0	0	0	0	0	0
ko02040	Flagellar assembly	0	0	0	0	0	0	0
ko02060	Phosphotransferase system (PTS)	49	1	59	11	10	14	52
ko03008	Ribosome biogenesis in eukaryotes	1	1	1	0	1	1	1
ko03010	Ribosome	0	0	0	0	0	0	0
ko03013	Nucleocytoplasmic transport	0	0	0	0	0	0	0
ko03015	mRNA surveillance pathway	0	0	0	0	0	0	0
ko03018	RNA degradation	3	3	3	1	3	2	3
ko03020	RNA polymerase	0	0	0	0	0	0	0
ko03022	Basal transcription factors	0	0	0	0	0	0	0
ko03030	DNA replication	2	2	2	2	2	2	2
ko03040	Spliceosome	0	0	0	0	0	0	0
ko03050	Proteasome	0	0	0	0	0	0	0
ko03060	Protein export	0	0	0	0	0	0	0
ko03070	Bacterial secretion system	0	0	0	0	0	0	0
ko03230	Viral genome structure	0	0	0	0	0	0	0
ko03240	Viral replication	1	1	0	0	1	0	1
ko03250	Viral life cycle - HIV-1	0	0	0	0	0	0	0
ko03320	PPAR signaling pathway	3	7	8	3	8	5	7
ko03410	Base excision repair	1	1	1	1	1	1	1
ko03420	Nucleotide excision repair	1	1	1	1	1	1	1
ko03430	Mismatch repair	1	1	1	1	1	1	1
ko03440	Homologous recombination	0	0	0	0	0	0	0
ko03450	Non-homologous end-joining	0	0	0	0	0	0	0
ko03460	Fanconi anemia pathway	0	0	0	0	0	0	0
ko04010	MAPK signaling pathway	0	0	0	0	0	0	0
ko04011	MAPK signaling pathway - yeast	0	1	1	0	0	0	1
ko04012	ErbB signaling pathway	0	0	0	0	0	0	0
ko04013	MAPK signaling pathway - fly	0	0	0	0	0	0	0
ko04014	Ras signaling pathway	1	0	0	0	1	0	0
ko04015	Rap1 signaling pathway	0	0	0	0	0	0	0
ko04016	MAPK signaling pathway - plant	1	3	3	0	1	2	2
ko04020	Calcium signaling pathway	0	0	2	0	1	0	2
ko04022	cGMP-PKG signaling pathway	0	0	1	0	0	0	1
ko04024	cAMP signaling pathway	1	1	0	0	1	0	0
ko04060	Cytokine-cytokine receptor interaction	0	0	0	0	0	0	0
ko04061	Viral protein interaction with cytokine and cytokine receptor	0	0	0	0	0	0	0
ko04062	Chemokine signaling pathway	0	0	0	0	0	0	0
ko04064	NF-kappa B signaling pathway	0	0	0	0	0	0	0
ko04066	HIF-1 signaling pathway	7	7	10	1	6	6	10
ko04068	FoxO signaling pathway	0	1	1	0	1	0	1
ko04070	Phosphatidylinositol signaling system	3	5	6	2	5	5	6
ko04071	Sphingolipid signaling pathway	2	0	1	0	3	1	2
ko04072	Phospholipase D signaling pathway	3	1	2	2	4	1	2
ko04075	Plant hormone signal transduction	0	0	0	0	0	0	0
ko04080	Neuroactive ligand-receptor interaction	0	0	0	0	0	0	0
ko04110	Cell cycle	0	0	0	0	0	0	0
ko04111	Cell cycle - yeast	0	0	0	0	0	0	0
ko04112	Cell cycle - Caulobacter	3	3	3	3	2	2	3
ko04113	Meiosis - yeast	0	0	0	0	0	0	0
ko04114	Oocyte meiosis	0	0	0	0	0	0	0
ko04115	p53 signaling pathway	0	0	0	0	0	0	0
ko04120	Ubiquitin mediated proteolysis	0	0	0	0	0	0	0
ko04122	Sulfur relay system	11	14	15	7	9	15	15
ko04130	SNARE interactions in vesicular transport	0	0	0	0	0	0	0
ko04136	Autophagy - other	0	0	0	0	0	0	0
ko04137	Mitophagy - animal	0	0	0	0	0	0	0
ko04138	Autophagy - yeast	0	0	0	0	0	0	0
ko04139	Mitophagy - yeast	0	0	0	0	0	0	0
ko04140	Autophagy - animal	0	0	0	0	0	0	0
ko04141	Protein processing in endoplasmic reticulum	0	0	0	0	0	0	0
ko04142	Lysosome	3	5	7	3	11	3	4
ko04144	Endocytosis	1	0	0	0	1	0	0
ko04145	Phagosome	0	0	0	0	0	0	0
ko04146	Peroxisome	12	12	18	5	8	8	17
ko04150	mTOR signaling pathway	0	0	0	0	0	0	0
ko04151	PI3K-Akt signaling pathway	0	0	1	0	1	0	1
ko04152	AMPK signaling pathway	1	3	3	0	2	1	3
ko04210	Apoptosis	0	0	0	0	0	0	0
ko04211	Longevity regulating pathway	0	1	1	0	0	0	1
ko04212	Longevity regulating pathway - worm	0	2	3	0	0	1	4
ko04213	Longevity regulating pathway - multiple species	0	1	1	0	0	0	1
ko04214	Apoptosis - fly	0	0	0	0	0	0	0
ko04215	Apoptosis - multiple species	0	0	0	0	0	0	0
ko04216	Ferroptosis	1	2	2	2	2	2	2
ko04217	Necroptosis	3	3	3	1	3	1	3
ko04218	Cellular senescence	0	0	0	0	0	0	0
ko04260	Cardiac muscle contraction	0	0	0	0	0	0	0
ko04261	Adrenergic signaling in cardiomyocytes	0	0	0	0	0	0	0
ko04270	Vascular smooth muscle contraction	0	0	0	0	0	0	0
ko04310	Wnt signaling pathway	0	0	0	0	0	0	0
ko04320	Dorso-ventral axis formation	0	0	0	0	0	0	0
ko04330	Notch signaling pathway	0	0	0	0	0	0	0
ko04340	Hedgehog signaling pathway	0	0	0	0	0	0	0
ko04341	Hedgehog signaling pathway - fly	0	0	0	0	0	0	0
ko04350	TGF-beta signaling pathway	0	0	0	0	0	0	0
ko04360	Axon guidance	0	0	0	0	0	0	0
ko04361	Axon regeneration	2	0	1	1	1	0	2
ko04370	VEGF signaling pathway	0	0	1	0	1	0	1
ko04371	Apelin signaling pathway	0	0	2	0	1	0	2
ko04380	Osteoclast differentiation	0	0	0	0	1	0	0
ko04390	Hippo signaling pathway	0	0	0	0	0	0	0
ko04391	Hippo signaling pathway - fly	0	0	0	0	0	0	0
ko04392	Hippo signaling pathway - multiple species	0	0	0	0	0	0	0
ko04510	Focal adhesion	0	0	0	0	0	0	0
ko04512	ECM-receptor interaction	0	0	0	0	0	0	0
ko04514	Cell adhesion molecules	0	0	0	0	0	0	0
ko04520	Adherens junction	0	0	0	0	0	0	0
ko04530	Tight junction	0	0	0	0	0	0	0
ko04540	Gap junction	0	0	0	0	0	0	0
ko04550	Signaling pathways regulating pluripotency of stem cells	0	0	0	0	0	0	0
ko04610	Complement and coagulation cascades	0	0	0	0	0	0	0
ko04611	Platelet activation	0	0	1	0	0	0	1
ko04612	Antigen processing and presentation	0	0	0	0	0	0	0
ko04613	Neutrophil extracellular trap formation	0	0	0	0	0	0	0
ko04614	Renin-angiotensin system	0	0	0	0	0	0	0
ko04620	Toll-like receptor signaling pathway	0	0	0	0	0	0	0
ko04621	NOD-like receptor signaling pathway	0	0	0	0	0	0	0
ko04622	RIG-I-like receptor signaling pathway	0	0	1	0	0	0	1
ko04623	Cytosolic DNA-sensing pathway	0	0	0	0	0	0	0
ko04624	Toll and Imd signaling pathway	0	0	0	0	0	0	0
ko04625	C-type lectin receptor signaling pathway	0	0	0	0	0	0	0
ko04626	Plant-pathogen interaction	1	1	1	1	1	1	1
ko04630	JAK-STAT signaling pathway	0	0	0	0	0	0	0
ko04640	Hematopoietic cell lineage	0	0	0	0	0	0	0
ko04650	Natural killer cell mediated cytotoxicity	0	0	0	0	0	0	0
ko04657	IL-17 signaling pathway	0	0	0	0	0	0	0
ko04658	Th1 and Th2 cell differentiation	0	0	0	0	0	0	0
ko04659	Th17 cell differentiation	0	0	0	0	0	0	0
ko04660	T cell receptor signaling pathway	0	0	0	0	0	0	0
ko04662	B cell receptor signaling pathway	0	0	0	0	0	0	0
ko04664	Fc epsilon RI signaling pathway	0	0	0	0	0	0	0
ko04666	Fc gamma R-mediated phagocytosis	1	0	0	0	2	0	0
ko04668	TNF signaling pathway	0	0	0	0	0	0	0
ko04670	Leukocyte transendothelial migration	0	0	0	0	0	0	0
ko04672	Intestinal immune network for IgA production	0	0	0	0	0	0	0
ko04710	Circadian rhythm	0	0	0	0	0	0	0
ko04711	Circadian rhythm - fly	0	0	0	0	0	0	0
ko04712	Circadian rhythm - plant	0	0	0	0	0	0	0
ko04713	Circadian entrainment	0	0	0	0	0	0	0
ko04714	Thermogenesis	1	1	3	2	3	2	3
ko04720	Long-term potentiation	0	0	0	0	0	0	0
ko04721	Synaptic vesicle cycle	0	0	0	0	0	0	0
ko04722	Neurotrophin signaling pathway	0	0	0	0	0	0	0
ko04723	Retrograde endocannabinoid signaling	2	0	2	1	2	2	2
ko04724	Glutamatergic synapse	2	1	2	1	3	2	2
ko04725	Cholinergic synapse	0	0	0	0	0	0	0
ko04726	Serotonergic synapse	2	1	1	0	1	1	2
ko04727	GABAergic synapse	4	3	5	2	4	4	5
ko04728	Dopaminergic synapse	3	1	1	0	2	1	3
ko04730	Long-term depression	0	0	0	0	0	0	0
ko04740	Olfactory transduction	0	0	0	0	0	0	0
ko04742	Taste transduction	0	0	0	0	0	0	0
ko04744	Phototransduction	0	0	0	0	0	0	0
ko04745	Phototransduction - fly	0	0	0	0	0	0	0
ko04750	Inflammatory mediator regulation of TRP channels	0	0	0	0	0	0	0
ko04810	Regulation of actin cytoskeleton	0	0	0	0	0	0	0
ko04910	Insulin signaling pathway	1	2	2	0	2	1	2
ko04911	Insulin secretion	0	0	0	0	0	0	0
ko04912	GnRH signaling pathway	1	0	0	0	1	0	0
ko04913	Ovarian steroidogenesis	0	0	0	0	0	0	0
ko04914	Progesterone-mediated oocyte maturation	0	0	0	0	0	0	0
ko04915	Estrogen signaling pathway	0	0	1	0	0	0	1
ko04916	Melanogenesis	0	0	0	0	0	0	0
ko04917	Prolactin signaling pathway	1	0	1	1	0	0	1
ko04918	Thyroid hormone synthesis	2	1	2	1	1	1	2
ko04919	Thyroid hormone signaling pathway	1	1	1	0	1	0	2
ko04920	Adipocytokine signaling pathway	0	2	2	2	3	2	2
ko04921	Oxytocin signaling pathway	0	0	1	0	0	0	1
ko04922	Glucagon signaling pathway	7	7	8	3	7	5	8
ko04923	Regulation of lipolysis in adipocytes	1	0	2	1	2	1	2
ko04924	Renin secretion	0	0	0	0	0	0	0
ko04925	Aldosterone synthesis and secretion	0	0	0	0	0	0	0
ko04926	Relaxin signaling pathway	0	0	2	0	0	0	2
ko04927	Cortisol synthesis and secretion	0	0	0	0	0	0	0
ko04928	Parathyroid hormone synthesis, secretion and action	1	0	0	0	1	0	0
ko04929	GnRH secretion	0	0	0	0	0	0	0
ko04930	Type II diabetes mellitus	1	1	1	1	1	0	1
ko04931	Insulin resistance	4	4	5	2	5	3	5
ko04932	Non-alcoholic fatty liver disease	0	0	0	0	0	0	0
ko04933	AGE-RAGE signaling pathway in diabetic complications	0	0	1	0	0	0	1
ko04934	Cushing syndrome	1	1	1	1	1	1	1
ko04935	Growth hormone synthesis, secretion and action	0	0	0	0	0	0	0
ko04936	Alcoholic liver disease	2	5	4	0	3	1	4
ko04940	Type I diabetes mellitus	1	0	1	1	1	0	1
ko04950	Maturity onset diabetes of the young	0	0	0	0	0	0	0
ko04960	Aldosterone-regulated sodium reabsorption	0	0	0	0	0	0	0
ko04961	Endocrine and other factor-regulated calcium reabsorption	0	0	0	0	0	0	0
ko04962	Vasopressin-regulated water reabsorption	0	0	0	0	0	0	0
ko04964	Proximal tubule bicarbonate reclamation	1	1	2	0	3	1	2
ko04966	Collecting duct acid secretion	0	0	0	0	0	0	0
ko04970	Salivary secretion	1	0	1	1	1	0	1
ko04971	Gastric acid secretion	0	0	0	0	0	0	0
ko04972	Pancreatic secretion	1	0	1	1	1	0	1
ko04973	Carbohydrate digestion and absorption	1	0	1	1	1	0	1
ko04974	Protein digestion and absorption	0	0	0	0	0	0	0
ko04975	Fat digestion and absorption	2	2	2	1	2	2	2
ko04976	Bile secretion	0	0	0	0	0	0	0
ko04977	Vitamin digestion and absorption	0	0	0	0	0	0	0
ko04978	Mineral absorption	0	0	0	0	0	0	0
ko04979	Cholesterol metabolism	0	0	0	0	0	0	0
ko05010	Alzheimer disease	2	2	3	1	2	2	3
ko05012	Parkinson disease	1	1	1	0	1	1	1
ko05014	Amyotrophic lateral sclerosis	1	1	3	0	0	0	3
ko05016	Huntington disease	1	0	1	0	0	0	1
ko05017	Spinocerebellar ataxia	0	0	0	0	0	0	0
ko05020	Prion disease	0	0	0	0	0	0	0
ko05022	Pathways of neurodegeneration - multiple diseases	2	2	4	1	1	1	4
ko05030	Cocaine addiction	2	1	1	0	1	1	2
ko05031	Amphetamine addiction	2	1	1	0	1	1	2
ko05032	Morphine addiction	0	0	0	0	0	0	0
ko05033	Nicotine addiction	0	0	0	0	0	0	0
ko05034	Alcoholism	2	1	1	0	1	1	2
ko05100	Bacterial invasion of epithelial cells	0	0	0	0	0	0	0
ko05110	Vibrio cholerae infection	0	0	0	0	0	0	0
ko05111	Biofilm formation - Vibrio cholerae	6	4	9	4	5	4	9
ko05120	Epithelial cell signaling in Helicobacter pylori infection	1	2	1	0	2	1	2
ko05130	Pathogenic Escherichia coli infection	1	1	1	0	1	1	1
ko05131	Shigellosis	0	0	0	0	0	0	0
ko05132	Salmonella infection	1	1	1	0	1	1	1
ko05133	Pertussis	0	0	2	0	0	1	3
ko05134	Legionellosis	1	1	1	1	1	1	1
ko05135	Yersinia infection	0	0	0	0	0	0	0
ko05140	Leishmaniasis	0	0	1	0	0	0	1
ko05142	Chagas disease	0	0	1	0	0	0	1
ko05143	African trypanosomiasis	0	0	0	0	0	0	0
ko05144	Malaria	0	0	0	0	0	0	0
ko05145	Toxoplasmosis	0	0	1	0	0	0	1
ko05146	Amoebiasis	2	2	3	2	2	2	3
ko05150	Staphylococcus aureus infection	1	2	2	2	2	2	2
ko05152	Tuberculosis	0	0	1	0	1	0	1
ko05160	Hepatitis C	0	0	0	0	0	0	0
ko05161	Hepatitis B	0	0	0	0	0	0	0
ko05162	Measles	0	0	0	0	0	0	0
ko05163	Human cytomegalovirus infection	0	0	0	0	0	0	0
ko05164	Influenza A	0	0	0	0	0	0	0
ko05165	Human papillomavirus infection	1	1	1	1	1	0	1
ko05166	Human T-cell leukemia virus 1 infection	0	0	0	0	0	0	0
ko05167	Kaposi sarcoma-associated herpesvirus infection	0	0	0	0	0	0	0
ko05168	Herpes simplex virus 1 infection	0	0	0	0	0	0	0
ko05169	Epstein-Barr virus infection	0	0	0	0	0	0	0
ko05170	Human immunodeficiency virus 1 infection	0	0	0	0	0	0	0
ko05171	Coronavirus disease - COVID-19	0	0	0	0	0	0	0
ko05200	Pathways in cancer	3	2	4	1	3	3	5
ko05202	Transcriptional misregulation in cancer	0	0	0	0	0	0	0
ko05203	Viral carcinogenesis	1	1	1	1	1	0	1
ko05204	Chemical carcinogenesis - DNA adducts	1	1	3	0	1	2	4
ko05205	Proteoglycans in cancer	0	0	0	0	0	0	0
ko05206	MicroRNAs in cancer	0	0	2	1	2	2	2
ko05207	Chemical carcinogenesis - receptor activation	1	0	2	0	1	1	2
