ko	pathway	ERR1995234_bin.1	ERR1995234_bin.10	ERR1995234_bin.11	ERR1995234_bin.12	ERR1995234_bin.13	ERR1995234_bin.14	ERR1995234_bin.15	ERR1995234_bin.16	ERR1995234_bin.17	ERR1995234_bin.18	ERR1995234_bin.19	ERR1995234_bin.2	ERR1995234_bin.20	ERR1995234_bin.21	ERR1995234_bin.22	ERR1995234_bin.23	ERR1995234_bin.24	ERR1995234_bin.25	ERR1995234_bin.26	ERR1995234_bin.27	ERR1995234_bin.28	ERR1995234_bin.29	ERR1995234_bin.30	ERR1995234_bin.31	ERR1995234_bin.32	ERR1995234_bin.33	ERR1995234_bin.34	ERR1995234_bin.36	ERR1995234_bin.37	ERR1995234_bin.38	ERR1995234_bin.39	ERR1995234_bin.4	ERR1995234_bin.40	ERR1995234_bin.41	ERR1995234_bin.42	ERR1995234_bin.43	ERR1995234_bin.44	ERR1995234_bin.45	ERR1995234_bin.46	ERR1995234_bin.47	ERR1995234_bin.48	ERR1995234_bin.49	ERR1995234_bin.5	ERR1995234_bin.50	ERR1995234_bin.6	ERR1995234_bin.7	ERR1995234_bin.8	ERR1995234_bin.9
ko00332	Carbapenem biosynthesis	5	6	5	8	6	3	4	5	4	5	6	11	8	6	6	7	5	10	8	6	7	8	5	4	7	5	7	6	6	2	9	10	4	7	4	6	6	6	7	7	6	10	7	3	5	7	4	6
ko00333	Prodigiosin biosynthesis	14	14	14	14	13	13	12	9	14	14	8	14	8	13	11	12	6	15	13	13	14	15	13	8	13	14	16	11	13	7	10	12	9	15	9	11	13	8	13	15	14	13	10	12	12	9	14	6
ko00340	Histidine metabolism	23	24	24	23	29	26	25	14	27	20	25	31	18	24	26	23	13	24	23	26	24	24	24	24	24	26	27	17	23	14	23	26	25	25	12	16	23	21	22	25	25	24	13	15	18	18	27	23
ko00350	Tyrosine metabolism	22	30	20	27	33	20	25	25	30	28	28	32	19	28	27	20	19	28	27	26	28	32	22	23	26	31	31	17	17	20	31	31	23	27	26	18	25	26	25	28	27	28	23	18	21	16	31	23
ko00360	Phenylalanine metabolism	27	35	26	35	38	30	29	30	33	30	27	36	30	27	34	27	22	34	34	35	34	33	32	28	32	34	34	22	22	26	33	33	29	35	31	24	30	28	32	36	31	30	29	20	26	27	32	32
ko00361	Chlorocyclohexane and chlorobenzene degradation	11	15	11	14	14	15	10	12	15	11	15	14	10	12	14	9	10	15	13	15	10	14	14	10	15	15	16	12	13	12	16	16	12	15	11	13	14	11	15	15	14	15	10	12	12	8	17	15
ko00362	Benzoate degradation	36	58	47	57	48	40	36	31	50	35	35	58	48	36	47	31	23	56	54	48	51	60	37	34	39	49	46	34	32	29	63	61	39	54	53	35	40	32	55	64	51	55	52	22	34	53	49	40
ko00363	Bisphenol degradation	2	2	1	1	1	2	2	2	1	1	2	1	1	2	2	1	2	1	1	2	1	2	2	1	2	2	1	1	1	1	2	2	2	1	1	2	2	2	1	2	1	2	1	1	1	1	1	2
ko00364	Fluorobenzoate degradation	4	6	5	5	6	6	5	4	6	4	5	6	5	5	6	5	4	6	4	5	4	4	5	3	5	6	6	4	5	4	6	6	4	6	4	4	5	5	6	5	6	6	4	5	5	3	6	5
ko00365	Furfural degradation	3	2	6	5	2	1	1	1	1	3	1	2	5	4	6	6	1	3	7	5	3	5	2	2	4	1	4	2	3	2	6	7	2	3	5	2	2	6	2	4	1	5	6	0	5	5	4	5
ko00380	Tryptophan metabolism	20	22	21	25	23	22	20	16	23	22	18	23	21	18	24	18	14	21	25	20	25	26	20	17	18	17	15	16	17	13	24	23	20	24	24	19	21	17	21	22	24	22	24	13	17	20	21	21
ko00400	Phenylalanine, tyrosine and tryptophan biosynthesis	45	42	45	49	45	48	49	41	51	49	46	53	27	46	49	38	22	48	49	49	50	49	48	46	49	45	45	18	42	39	46	34	44	47	36	27	48	47	48	49	49	47	41	24	43	35	51	41
ko00401	Novobiocin biosynthesis	14	14	14	14	14	14	14	15	15	14	13	14	15	14	13	11	10	15	13	15	15	14	15	15	14	14	14	8	12	11	14	16	15	15	14	10	14	11	14	15	12	14	14	10	12	16	16	14
ko00402	Benzoxazinoid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00403	Indole diterpene alkaloid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00404	Staurosporine biosynthesis	7	5	5	5	4	4	3	11	6	1	2	4	1	3	11	2	0	5	5	7	5	1	3	4	5	5	4	6	4	3	11	5	6	5	1	4	3	8	4	5	12	1	1	2	12	4	5	4
ko00405	Phenazine biosynthesis	9	10	8	10	9	11	10	5	11	8	7	10	4	9	9	7	4	8	9	8	9	9	9	7	6	10	9	6	8	5	7	8	7	8	4	9	11	9	9	10	9	8	7	5	9	6	9	6
ko00410	beta-Alanine metabolism	18	25	19	27	23	18	16	18	23	21	17	24	15	17	22	18	12	23	27	18	27	25	17	16	20	16	19	15	14	13	23	22	20	24	15	14	20	18	18	27	23	20	16	15	18	20	20	19
ko00430	Taurine and hypotaurine metabolism	12	11	10	12	12	13	11	13	12	13	12	11	5	13	9	10	6	14	14	15	14	11	11	11	13	12	11	8	12	9	14	14	11	10	10	7	12	12	12	15	13	12	9	9	11	13	11	9
ko00440	Phosphonate and phosphinate metabolism	12	12	10	12	11	10	14	11	11	12	13	15	10	10	15	10	11	11	15	13	14	11	11	13	12	12	11	12	11	10	11	10	14	12	9	10	12	11	11	21	15	10	10	12	12	9	11	11
ko00450	Selenocompound metabolism	19	17	17	18	17	16	16	13	15	17	15	19	15	18	18	22	12	17	19	21	19	18	15	17	18	19	15	11	16	13	17	17	16	20	15	13	17	18	16	16	16	18	17	11	17	18	17	18
ko00460	Cyanoamino acid metabolism	7	9	8	7	9	6	6	5	7	8	7	10	7	8	5	6	5	7	8	8	8	7	6	5	7	9	6	4	7	6	10	12	6	9	9	5	5	9	6	9	8	7	7	2	6	9	5	6
ko00470	D-Amino acid metabolism	25	29	26	26	26	26	24	22	27	26	24	31	23	27	26	25	17	25	27	28	29	27	22	26	27	20	25	18	24	24	39	28	24	29	21	18	27	23	24	29	26	23	24	14	26	29	25	25
ko00480	Glutathione metabolism	7	11	13	8	13	8	7	8	9	7	12	12	5	8	10	6	7	10	10	11	9	6	9	8	7	12	9	9	12	5	10	10	8	13	7	8	8	9	12	13	7	7	7	11	7	9	9	7
ko00500	Starch and sucrose metabolism	35	48	45	50	42	41	48	33	46	50	50	47	34	48	48	48	45	44	50	49	42	44	43	38	44	53	36	33	45	37	38	44	48	15	35	35	35	47	43	14	52	43	35	33	51	34	41	37
ko00510	N-Glycan biosynthesis	2	3	3	3	3	3	2	0	2	4	4	3	2	2	3	2	3	3	2	2	3	1	3	2	2	3	2	3	3	0	3	2	3	2	2	3	1	2	2	2	3	3	0	3	3	2	3	2
ko00511	Other glycan degradation	3	6	2	3	7	4	3	3	8	2	3	6	0	3	3	2	2	3	0	2	2	1	3	6	5	7	3	0	2	2	3	0	2	0	2	0	1	5	3	0	4	2	0	0	5	0	5	0
ko00512	Mucin type O-glycan biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00513	Various types of N-glycan biosynthesis	0	2	1	1	2	0	0	1	2	1	1	2	0	0	0	0	1	1	0	0	1	1	0	1	1	2	1	1	1	2	1	0	1	0	0	1	0	2	1	0	1	1	0	1	2	0	3	0
ko00514	Other types of O-glycan biosynthesis	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	2	0	1	0	1	1	1	1	1	1	2	1	2	1	0	1	2	2	1	0	2	0	0	1	1	1	2	1
ko00515	Mannose type O-glycan biosynthesis	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	1	2	0	0	1	0	1	1	2	0	0	0	2	2	2	1	1	0	0	0	0	0	1	1
ko00520	Amino sugar and nucleotide sugar metabolism	83	99	108	98	98	92	100	82	99	92	85	106	59	94	110	88	82	94	103	104	97	103	95	87	97	106	90	87	104	78	84	86	99	78	79	85	83	95	92	94	105	103	77	79	102	58	99	80
ko00521	Streptomycin biosynthesis	11	13	11	11	14	10	9	10	13	10	11	13	5	12	12	9	10	13	11	12	10	9	9	10	9	14	13	12	11	10	10	11	13	10	8	12	9	10	10	10	11	11	9	11	11	6	12	10
ko00522	Biosynthesis of 12-, 14- and 16-membered macrolides	6	6	7	5	5	13	6	3	7	3	3	16	4	4	4	5	3	15	5	15	6	4	5	4	14	6	13	6	6	1	5	13	9	13	4	6	6	4	6	6	6	4	4	4	6	8	15	3
ko00523	Polyketide sugar unit biosynthesis	32	28	34	32	28	29	27	15	36	22	15	29	6	22	29	16	13	33	34	29	25	23	17	26	22	29	22	33	34	11	24	20	30	11	16	32	23	26	12	25	29	24	24	29	26	14	26	30
ko00524	Neomycin, kanamycin and gentamicin biosynthesis	35	41	7	39	41	34	41	43	41	40	8	9	2	34	38	40	5	40	41	37	38	38	41	35	40	9	41	6	39	2	3	9	40	34	5	3	42	6	38	36	9	35	7	38	7	1	38	7
ko00525	Acarbose and validamycin biosynthesis	15	16	15	15	17	14	15	13	18	14	17	16	10	16	14	16	11	17	17	17	17	14	19	15	16	17	15	12	15	8	13	14	15	11	11	11	15	17	15	12	18	15	11	12	16	12	17	14
ko00531	Glycosaminoglycan degradation	1	10	7	3	10	2	4	3	4	3	2	9	1	2	3	1	2	3	2	2	3	3	2	8	4	9	9	2	7	2	4	1	3	2	3	2	1	4	9	2	5	2	0	2	8	1	5	1
ko00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1
ko00533	Glycosaminoglycan biosynthesis - keratan sulfate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00540	Lipopolysaccharide biosynthesis	19	34	25	18	36	24	23	17	28	21	16	34	16	22	29	20	19	30	21	22	24	19	22	17	19	34	26	28	23	21	18	21	27	30	22	26	23	20	30	33	24	21	19	30	22	15	33	18
ko00541	O-Antigen nucleotide sugar biosynthesis	47	54	54	48	54	49	49	47	52	43	39	57	26	47	57	41	38	50	50	53	51	51	44	44	47	56	50	50	55	38	44	45	54	40	39	49	43	45	49	53	53	50	42	47	52	24	54	44
ko00542	O-Antigen repeat unit biosynthesis	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2	1	1	2	2	2	2	2	2	1	1	2	2	2	2
ko00550	Peptidoglycan biosynthesis	17	21	24	20	23	21	26	17	19	19	20	24	18	20	19	20	18	21	20	20	19	20	22	25	20	23	19	18	20	19	20	20	20	19	25	19	26	20	23	20	20	20	20	19	21	20	19	20
ko00552	Teichoic acid biosynthesis	8	14	12	14	14	13	16	8	11	11	11	14	10	12	11	12	11	17	15	17	16	10	13	15	16	17	13	11	11	9	10	12	16	10	9	12	14	13	12	14	14	13	12	12	15	10	13	10
ko00561	Glycerolipid metabolism	25	24	30	30	25	33	28	29	26	25	26	30	23	30	33	27	26	24	28	27	26	25	26	26	29	25	27	22	30	26	28	27	29	23	23	22	26	28	21	25	29	29	23	22	28	22	26	23
ko00562	Inositol phosphate metabolism	11	18	15	13	18	13	12	18	19	14	18	20	12	16	18	14	17	17	17	18	15	14	11	17	15	22	20	16	14	13	17	17	20	11	11	14	13	15	13	14	16	15	11	14	14	8	21	12
ko00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ko00564	Glycerophospholipid metabolism	27	30	36	34	33	34	36	27	34	30	29	40	29	35	27	26	29	37	36	36	37	33	28	28	31	36	35	28	34	30	32	35	32	36	26	27	29	32	29	33	33	34	31	30	25	24	35	26
ko00565	Ether lipid metabolism	3	4	5	3	4	2	3	3	5	3	3	7	3	4	1	1	2	4	4	3	3	4	3	1	2	4	4	1	5	5	3	5	3	3	5	0	1	5	4	2	4	5	2	0	5	3	4	3
ko00571	Lipoarabinomannan (LAM) biosynthesis	3	4	4	3	4	3	3	3	4	3	4	5	4	4	4	3	3	4	3	3	3	4	4	4	3	4	4	3	4	3	5	5	3	4	3	3	4	4	4	1	3	4	4	3	3	3	5	4
ko00572	Arabinogalactan biosynthesis - Mycobacterium	4	5	5	4	5	4	4	1	5	3	5	5	2	5	4	4	3	5	3	5	5	3	4	2	4	5	5	3	5	2	2	2	4	3	3	4	4	5	5	3	4	5	1	4	4	2	5	4
ko00590	Arachidonic acid metabolism	2	4	4	3	5	3	2	3	3	2	4	7	3	3	3	2	0	4	2	3	3	3	3	2	3	2	5	3	4	1	4	4	2	5	3	2	2	0	4	4	3	4	2	1	2	3	4	3
ko00591	Linoleic acid metabolism	2	2	3	2	2	2	2	1	2	1	2	4	1	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	3	3	2	1	2	2	1	2	2	2	2	2	2	3	2	2	2	1	3	2
ko00592	alpha-Linolenic acid metabolism	1	1	3	2	2	1	1	0	3	1	1	3	2	1	1	1	0	1	3	2	2	2	2	0	2	1	2	1	2	1	2	2	0	1	2	1	2	1	1	2	3	3	2	1	1	2	2	1
ko00600	Sphingolipid metabolism	7	11	9	9	13	10	10	5	11	6	7	13	6	8	7	7	5	7	7	8	8	8	6	9	11	15	9	4	8	6	9	8	6	4	9	6	4	9	9	6	13	7	4	5	10	7	11	6
ko00601	Glycosphingolipid biosynthesis - lacto and neolacto series	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ko00603	Glycosphingolipid biosynthesis - globo and isoglobo series	1	2	2	2	2	2	1	2	3	1	2	2	0	2	2	1	1	1	1	2	1	2	1	2	3	2	2	0	3	3	2	1	2	0	1	1	0	2	3	0	2	1	1	0	3	1	2	1
ko00604	Glycosphingolipid biosynthesis - ganglio series	0	1	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0
ko00620	Pyruvate metabolism	71	73	69	78	78	73	71	73	73	69	57	83	54	65	74	61	43	74	77	80	73	78	75	67	77	74	71	61	65	53	72	72	69	72	65	58	72	72	71	81	72	71	62	52	64	59	78	68
ko00621	Dioxin degradation	6	10	5	7	7	9	6	8	8	5	7	6	5	6	5	3	4	10	5	6	5	8	5	6	6	8	11	5	4	8	9	10	9	10	5	6	7	5	7	10	8	7	6	4	5	5	11	7
ko00622	Xylene degradation	10	19	9	13	15	15	10	15	15	13	18	17	9	10	16	8	7	19	14	18	10	14	14	12	17	17	21	9	10	12	18	19	14	19	11	11	16	12	16	20	16	15	12	11	15	11	22	16
ko00623	Toluene degradation	10	22	12	14	16	18	13	12	19	12	12	22	12	12	18	12	9	19	17	19	14	14	14	10	20	19	21	13	10	11	20	23	11	18	15	11	14	11	20	20	16	14	13	8	13	12	21	15
ko00624	Polycyclic aromatic hydrocarbon degradation	9	15	10	10	13	13	10	11	15	11	9	15	10	11	14	10	6	14	13	15	11	12	12	12	15	13	18	6	10	6	13	13	13	14	9	9	12	7	11	13	10	11	7	6	12	9	15	11
ko00625	Chloroalkane and chloroalkene degradation	11	15	12	13	15	18	14	15	18	13	16	16	11	13	13	12	9	17	16	19	13	14	14	15	17	15	18	16	13	11	16	17	13	15	12	15	14	14	15	19	13	13	10	12	10	7	20	13
ko00626	Naphthalene degradation	8	10	8	10	10	9	10	9	12	9	10	11	8	9	11	8	5	10	12	11	9	10	11	10	12	11	20	7	8	6	11	11	10	9	9	6	11	10	6	10	11	9	7	7	9	5	22	7
ko00627	Aminobenzoate degradation	23	28	26	32	27	28	26	21	27	27	23	27	21	26	30	20	16	25	32	31	26	33	24	24	28	25	28	21	21	18	33	38	22	27	25	18	25	30	24	36	22	28	28	11	21	26	29	28
ko00630	Glyoxylate and dicarboxylate metabolism	56	64	59	59	62	54	56	56	58	55	52	68	46	57	68	52	27	56	58	60	61	62	54	52	54	68	58	40	54	32	66	56	56	59	53	34	52	58	58	65	55	62	55	33	53	53	60	52
ko00633	Nitrotoluene degradation	10	14	9	13	14	11	12	8	16	12	6	16	6	9	16	12	8	13	10	13	9	13	8	9	11	13	10	9	9	10	12	14	10	15	9	10	12	11	13	16	9	11	8	9	9	8	13	13
ko00640	Propanoate metabolism	55	59	60	66	63	59	56	47	61	56	51	69	42	51	65	53	26	59	65	60	63	65	57	58	55	62	55	51	49	34	58	57	57	57	60	52	58	51	61	72	59	61	55	49	51	57	60	41
ko00642	Ethylbenzene degradation	4	4	4	4	5	6	4	3	5	4	3	5	3	4	4	4	1	6	4	6	3	6	4	3	4	6	4	3	3	3	5	4	4	6	2	3	4	3	5	5	5	5	2	3	3	2	6	5
ko00643	Styrene degradation	8	9	3	9	10	9	5	3	10	9	9	8	4	6	9	4	7	9	11	8	4	13	7	6	8	8	7	9	3	4	12	12	6	9	9	7	8	7	6	15	8	7	8	8	6	10	7	7
