ko	pathway	ERR1995211_bin.1	ERR1995211_bin.10	ERR1995211_bin.11	ERR1995211_bin.12	ERR1995211_bin.13	ERR1995211_bin.14	ERR1995211_bin.15	ERR1995211_bin.16	ERR1995211_bin.17	ERR1995211_bin.18	ERR1995211_bin.19	ERR1995211_bin.2	ERR1995211_bin.20	ERR1995211_bin.21	ERR1995211_bin.22	ERR1995211_bin.23	ERR1995211_bin.24	ERR1995211_bin.25	ERR1995211_bin.26	ERR1995211_bin.27	ERR1995211_bin.28	ERR1995211_bin.29	ERR1995211_bin.3	ERR1995211_bin.30	ERR1995211_bin.31	ERR1995211_bin.32	ERR1995211_bin.4	ERR1995211_bin.5	ERR1995211_bin.6	ERR1995211_bin.7	ERR1995211_bin.8	ERR1995211_bin.9
ko00633	Nitrotoluene degradation	11	15	16	9	9	11	14	11	12	6	9	11	11	12	10	14	9	12	10	11	12	13	12	14	11	10	10	10	8	9	12	9
ko00640	Propanoate metabolism	69	53	69	44	59	48	58	57	55	56	59	64	45	58	50	54	49	49	63	61	61	60	55	60	67	49	58	62	57	55	52	48
ko00642	Ethylbenzene degradation	5	6	5	4	4	4	5	4	4	4	2	4	2	6	5	6	4	3	2	6	3	6	4	4	4	3	3	3	3	5	4	3
ko00643	Styrene degradation	8	6	9	7	6	7	9	7	8	5	10	7	10	11	5	6	6	6	10	8	7	8	7	9	9	7	10	5	10	6	8	10
ko00650	Butanoate metabolism	70	55	67	47	54	51	56	57	60	50	59	57	43	62	54	53	48	51	63	63	59	54	52	64	76	34	65	62	62	61	58	56
ko00660	C5-Branched dibasic acid metabolism	11	8	10	7	10	9	8	11	10	12	11	9	12	12	9	5	10	8	9	12	11	14	10	10	9	3	11	15	11	8	10	11
ko00670	One carbon pool by folate	23	20	26	16	22	18	27	21	24	14	7	23	20	20	23	22	16	16	24	19	23	27	24	22	25	12	18	17	20	19	17	17
ko00680	Methane metabolism	87	85	92	69	79	75	80	81	85	68	70	77	78	84	84	84	67	71	79	83	87	84	85	84	93	51	75	76	79	76	81	74
ko00710	Carbon fixation in photosynthetic organisms	18	15	17	13	15	16	16	16	14	14	13	15	16	16	15	16	14	14	15	13	18	17	15	16	17	11	13	14	14	14	16	16
ko00720	Carbon fixation pathways in prokaryotes	80	72	81	52	60	63	71	68	74	67	66	72	59	72	59	64	54	67	62	68	67	77	71	72	80	47	66	72	69	66	69	62
ko00730	Thiamine metabolism	20	20	20	16	21	17	19	17	22	18	16	20	19	22	20	20	16	20	21	17	20	18	23	19	21	7	21	20	15	17	18	18
ko00740	Riboflavin metabolism	31	26	30	16	23	20	30	26	29	20	15	32	19	30	22	23	18	21	21	21	25	29	29	30	28	15	23	20	8	20	28	15
ko00750	Vitamin B6 metabolism	11	14	13	8	12	9	13	10	9	10	8	11	8	10	10	10	9	8	11	11	11	11	9	11	14	5	9	9	10	8	11	9
ko00760	Nicotinate and nicotinamide metabolism	39	35	40	41	49	34	36	35	45	39	51	47	36	44	35	53	40	31	50	31	52	37	46	40	34	24	49	50	48	48	37	49
ko00770	Pantothenate and CoA biosynthesis	30	18	30	16	19	21	23	29	24	24	17	27	18	27	22	20	24	28	22	25	25	28	27	28	26	11	25	27	20	19	28	20
ko00780	Biotin metabolism	17	15	18	12	15	13	15	15	14	14	12	16	12	14	17	15	9	15	14	18	16	16	15	18	18	14	11	16	12	15	16	12
ko00785	Lipoic acid metabolism	7	1	6	5	0	5	3	1	1	0	0	1	0	1	0	0	0	0	5	0	1	1	1	5	3	1	0	0	5	4	0	0
ko00790	Folate biosynthesis	48	50	47	21	33	45	48	46	38	25	23	48	27	48	46	44	26	25	36	44	47	46	33	48	44	19	34	29	22	23	39	27
ko00791	Atrazine degradation	2	7	2	5	4	6	2	2	6	5	7	6	4	7	6	6	5	8	5	1	6	2	7	1	8	4	2	4	3	3	2	3
ko00830	Retinol metabolism	8	6	8	5	6	8	7	5	6	5	8	6	6	6	8	8	6	6	6	8	6	6	6	8	8	4	8	8	8	8	8	6
ko00860	Porphyrin metabolism	67	52	74	41	63	43	51	52	54	61	40	67	57	53	60	47	42	56	60	59	52	57	66	53	65	30	40	62	38	43	54	59
ko00900	Terpenoid backbone biosynthesis	30	31	30	25	29	28	28	27	26	29	27	30	24	28	27	27	25	27	25	28	28	25	28	29	31	22	27	29	22	26	28	26
ko00901	Indole alkaloid biosynthesis	2	1	1	0	2	1	0	1	2	0	1	1	0	1	1	2	1	1	0	0	1	0	2	1	1	0	0	0	0	1	1	0
ko00902	Monoterpenoid biosynthesis	8	7	8	5	7	6	7	6	6	8	3	5	4	6	7	5	6	5	6	5	6	8	5	8	5	4	6	7	4	3	7	3
ko00903	Limonene and pinene degradation	9	9	9	9	9	7	5	9	8	11	9	10	5	9	8	8	7	6	8	10	10	5	7	10	10	6	10	10	10	8	6	10
ko00904	Diterpenoid biosynthesis	5	0	5	0	5	5	5	5	5	5	5	5	0	5	5	0	0	5	5	5	5	5	6	5	5	0	5	5	0	5	5	5
ko00905	Brassinosteroid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00906	Carotenoid biosynthesis	13	14	13	14	14	13	14	12	13	13	14	14	15	13	15	13	13	14	14	13	13	13	13	13	13	7	13	13	14	14	13	14
ko00908	Zeatin biosynthesis	1	2	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
ko00909	Sesquiterpenoid and triterpenoid biosynthesis	1	1	1	1	1	1	1	1	1	1	0	1	1	2	0	0	1	2	0	1	1	1	1	1	1	1	0	1	2	1	1	1
ko00910	Nitrogen metabolism	22	25	22	12	18	13	15	19	17	13	12	16	12	16	18	21	15	15	17	16	17	22	18	15	16	6	17	16	13	16	17	16
ko00920	Sulfur metabolism	48	55	52	32	33	35	45	42	36	32	28	40	29	39	36	43	33	37	36	49	40	46	39	48	43	22	34	41	39	42	35	35
ko00930	Caprolactam degradation	14	11	15	8	15	8	7	10	13	10	10	12	3	10	9	12	10	5	9	11	14	6	6	15	16	4	10	11	11	12	8	8
ko00940	Phenylpropanoid biosynthesis	2	1	3	1	2	1	4	2	2	1	0	2	0	2	1	1	0	1	2	2	2	3	2	2	3	0	1	1	1	1	2	2
ko00941	Flavonoid biosynthesis	4	0	4	0	1	0	1	1	1	0	0	1	0	1	1	0	0	0	0	1	1	1	1	1	1	0	0	0	3	3	1	0
ko00942	Anthocyanin biosynthesis	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ko00943	Isoflavonoid biosynthesis	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	0	1	2	1	1	0
ko00944	Flavone and flavonol biosynthesis	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	0	1	1	0
ko00945	Stilbenoid, diarylheptanoid and gingerol biosynthesis	2	1	2	0	2	1	2	2	2	1	1	2	1	2	2	1	1	1	1	1	2	2	2	2	2	1	1	1	0	1	2	1
ko00950	Isoquinoline alkaloid biosynthesis	9	6	7	6	8	7	6	7	6	6	8	7	7	7	7	6	7	6	7	6	6	7	6	7	6	3	7	8	6	7	6	6
ko00960	Tropane, piperidine and pyridine alkaloid biosynthesis	10	11	10	10	9	9	9	10	11	9	11	9	11	10	9	9	9	10	10	9	10	10	10	10	11	6	10	10	11	12	9	11
ko00965	Betalain biosynthesis	5	3	4	0	2	3	4	4	1	0	1	2	3	1	1	0	0	0	0	4	1	4	1	4	4	0	3	0	0	0	4	0
ko00966	Glucosinolate biosynthesis	2	1	2	1	1	2	1	2	2	2	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	1	1	1	1
ko00970	Aminoacyl-tRNA biosynthesis	30	37	30	30	32	35	31	29	33	28	32	35	32	33	33	37	32	36	29	29	35	30	34	30	30	33	31	33	29	28	30	30
ko00980	Metabolism of xenobiotics by cytochrome P450	8	5	8	3	6	8	4	4	5	3	6	6	3	5	7	7	6	5	3	7	5	5	5	8	8	5	7	7	7	8	7	4
ko00981	Insect hormone biosynthesis	1	1	1	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	2	2	1	1	1	2	1	1	1	1
ko00982	Drug metabolism - cytochrome P450	5	4	5	1	3	5	3	1	3	1	4	4	2	2	6	5	3	3	2	5	3	2	3	5	5	5	5	4	4	5	4	2
ko00983	Drug metabolism - other enzymes	14	14	17	14	15	14	13	14	15	14	15	15	16	16	13	13	13	12	15	14	16	13	15	15	14	11	15	16	14	15	15	14
ko00984	Steroid degradation	10	9	10	8	8	7	10	9	9	8	8	9	9	9	8	8	7	6	8	10	9	9	8	9	10	4	8	8	9	9	9	8
ko00996	Biosynthesis of various alkaloids	1	1	1	1	1	0	0	1	0	1	1	1	0	1	0	0	0	0	1	1	1	0	0	1	1	0	1	1	1	1	0	1
ko00997	Biosynthesis of various other secondary metabolites	4	4	6	4	5	4	5	3	5	5	4	5	4	6	6	5	6	4	4	4	5	5	4	4	5	2	7	4	3	5	3	7
