ko	pathway	ERR1995254_bin.1	ERR1995254_bin.10	ERR1995254_bin.11	ERR1995254_bin.12	ERR1995254_bin.13	ERR1995254_bin.14	ERR1995254_bin.15	ERR1995254_bin.16	ERR1995254_bin.17	ERR1995254_bin.18	ERR1995254_bin.19	ERR1995254_bin.2	ERR1995254_bin.20	ERR1995254_bin.21	ERR1995254_bin.22	ERR1995254_bin.23	ERR1995254_bin.24	ERR1995254_bin.25	ERR1995254_bin.26	ERR1995254_bin.27	ERR1995254_bin.28	ERR1995254_bin.29	ERR1995254_bin.3	ERR1995254_bin.30	ERR1995254_bin.31	ERR1995254_bin.32	ERR1995254_bin.33	ERR1995254_bin.34	ERR1995254_bin.35	ERR1995254_bin.36	ERR1995254_bin.37	ERR1995254_bin.38	ERR1995254_bin.39	ERR1995254_bin.4	ERR1995254_bin.40	ERR1995254_bin.41	ERR1995254_bin.42	ERR1995254_bin.43	ERR1995254_bin.44	ERR1995254_bin.5	ERR1995254_bin.6	ERR1995254_bin.7	ERR1995254_bin.8	ERR1995254_bin.9
ko00230	Purine metabolism	81	88	82	80	84	72	80	80	82	79	92	56	83	82	75	74	84	57	76	77	69	76	76	79	76	67	72	75	80	86	87	85	72	76	77	76	74	75	51	90	89	70	87	64
ko00232	Caffeine metabolism	0	1	0	1	1	0	3	0	1	0	1	3	0	1	1	0	0	0	0	1	3	0	0	0	0	0	3	3	0	0	1	1	0	1	0	0	0	0	0	1	1	0	0	0
ko00240	Pyrimidine metabolism	57	57	55	55	55	48	59	53	55	58	55	49	57	56	52	45	64	47	55	59	50	53	56	55	53	50	56	54	56	61	58	54	54	50	54	54	55	51	41	52	55	50	58	46
ko00250	Alanine, aspartate and glutamate metabolism	51	49	48	46	47	46	50	50	50	43	52	30	47	47	49	49	50	40	45	50	37	44	45	50	37	46	48	36	43	43	49	44	47	38	44	46	46	48	27	49	51	48	42	41
ko00253	Tetracycline biosynthesis	6	6	5	7	5	3	6	7	6	5	5	4	9	7	4	5	5	4	5	8	4	3	8	3	6	6	6	4	6	6	6	6	5	6	6	8	7	7	2	7	6	6	9	5
ko00254	Aflatoxin biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00260	Glycine, serine and threonine metabolism	76	71	75	70	67	61	69	72	68	67	73	60	73	67	70	71	68	65	64	70	51	66	77	74	59	61	71	62	68	72	72	71	63	60	73	70	68	70	43	71	72	71	72	68
ko00261	Monobactam biosynthesis	18	14	17	15	14	15	16	15	14	14	15	12	17	13	14	14	14	14	14	16	13	16	15	17	14	13	15	11	18	18	14	15	14	12	17	15	15	15	12	14	14	14	15	12
ko00270	Cysteine and methionine metabolism	65	63	69	63	62	67	70	68	63	64	69	47	64	63	62	68	69	59	60	67	51	57	69	57	50	61	67	55	70	66	67	65	67	62	62	62	66	62	43	63	67	67	65	58
ko00280	Valine, leucine and isoleucine degradation	54	50	47	55	52	38	38	52	42	52	53	19	53	40	36	38	40	32	41	58	29	43	46	45	36	31	39	39	52	52	53	56	42	44	46	37	38	48	12	53	43	52	44	33
ko00281	Geraniol degradation	13	14	13	13	14	9	9	13	11	13	14	6	14	9	8	7	10	7	9	13	8	7	11	9	9	8	8	12	13	13	13	13	7	12	9	9	9	12	2	15	10	14	11	8
ko00290	Valine, leucine and isoleucine biosynthesis	15	15	16	16	14	15	15	16	16	9	16	8	16	16	12	16	16	9	16	16	11	8	16	14	9	16	16	12	16	16	16	16	16	11	16	16	16	15	5	16	16	16	16	13
ko00300	Lysine biosynthesis	40	41	40	40	41	39	41	40	41	33	39	28	39	39	36	40	38	30	39	40	31	32	40	41	31	37	40	30	41	40	40	39	40	30	40	39	39	38	21	40	41	41	39	35
ko00310	Lysine degradation	22	24	21	22	23	14	17	24	18	20	23	10	24	18	19	19	17	13	17	23	12	20	21	18	13	14	17	23	22	21	21	24	19	24	16	15	17	22	8	22	18	21	21	15
ko00311	Penicillin and cephalosporin biosynthesis	5	5	5	6	4	5	5	3	4	5	3	5	5	4	5	5	5	4	5	4	6	5	5	4	5	5	6	2	5	5	5	4	5	5	5	5	5	4	3	4	5	5	5	3
ko00330	Arginine and proline metabolism	47	56	46	44	42	43	44	47	50	38	45	38	54	45	39	44	44	32	44	49	28	31	35	43	32	39	47	23	38	39	49	43	48	34	32	44	48	45	31	46	44	44	43	40
ko00331	Clavulanic acid biosynthesis	4	2	3	2	4	3	2	3	3	3	3	2	3	4	2	3	2	2	3	2	1	2	3	3	2	3	3	1	3	3	3	3	4	1	2	3	3	3	1	3	3	3	2	1
ko00332	Carbapenem biosynthesis	10	8	9	9	10	7	3	8	6	8	8	2	8	7	8	6	4	2	4	7	3	1	8	4	3	5	4	4	10	10	8	7	3	7	2	6	5	7	2	9	5	11	6	5
ko00333	Prodigiosin biosynthesis	15	12	11	14	13	8	12	14	15	14	13	6	14	13	9	8	9	10	12	16	6	11	14	12	14	8	15	9	15	15	13	14	13	8	13	12	13	11	3	14	14	14	14	9
ko00340	Histidine metabolism	30	18	22	23	24	20	25	24	25	18	23	14	23	24	15	26	25	11	24	25	14	20	27	31	18	23	26	17	24	24	27	23	25	14	24	23	23	22	14	27	23	26	27	16
ko00350	Tyrosine metabolism	30	32	29	25	31	22	30	28	22	27	24	22	27	27	23	24	23	20	21	28	16	27	27	30	26	28	26	27	28	29	24	22	20	20	29	21	22	27	17	25	24	24	27	25
ko00360	Phenylalanine metabolism	35	36	35	33	31	29	30	34	30	33	34	24	34	29	31	31	29	30	31	36	26	29	32	33	30	27	31	30	34	35	34	32	30	29	33	31	29	34	20	35	29	32	38	28
ko00361	Chlorocyclohexane and chlorobenzene degradation	14	15	14	13	15	13	12	10	12	14	12	10	12	13	15	12	12	11	14	15	13	14	15	15	11	14	13	13	14	14	13	13	15	11	15	10	14	10	5	14	15	12	15	11
ko00362	Benzoate degradation	55	56	49	57	55	35	37	52	39	57	56	23	54	39	47	36	39	26	39	61	39	39	57	45	40	33	36	47	54	55	52	60	40	54	48	33	35	41	14	57	44	55	51	33
ko00363	Bisphenol degradation	1	2	2	1	2	1	1	1	2	2	1	2	1	1	1	2	2	1	1	2	2	1	2	2	2	1	2	1	1	1	2	2	2	1	2	2	2	1	1	2	2	2	1	1
ko00364	Fluorobenzoate degradation	6	5	6	5	6	6	4	4	5	6	4	4	4	6	5	4	4	4	4	5	5	4	6	5	4	5	5	5	6	6	5	4	6	5	6	5	6	5	2	5	5	5	4	5
ko00365	Furfural degradation	2	5	2	5	5	1	1	3	4	2	5	1	2	4	5	2	2	1	1	4	2	4	2	2	1	1	1	2	3	2	8	5	1	7	1	2	2	3	2	5	5	2	3	2
ko00380	Tryptophan metabolism	22	25	21	25	22	21	21	25	23	23	26	18	24	18	17	18	20	16	21	22	17	17	22	18	16	18	19	18	21	22	26	26	22	21	17	19	19	25	13	24	25	22	22	14
ko00400	Phenylalanine, tyrosine and tryptophan biosynthesis	48	43	52	49	46	45	49	50	48	40	48	33	48	46	45	48	44	29	44	49	35	38	47	43	35	46	49	35	49	50	50	50	48	38	43	50	48	44	15	45	49	50	44	41
ko00401	Novobiocin biosynthesis	13	13	15	14	14	15	14	15	14	14	14	11	13	15	15	15	15	11	15	15	13	14	14	13	13	13	21	12	15	15	15	14	14	13	14	14	14	15	8	14	15	15	15	14
ko00402	Benzoxazinoid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00403	Indole diterpene alkaloid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00404	Staurosporine biosynthesis	5	3	11	5	1	4	5	5	6	4	3	3	5	4	5	9	5	1	4	5	6	5	5	5	5	2	2	1	5	6	3	2	4	4	4	4	4	2	0	10	5	3	6	5
ko00405	Phenazine biosynthesis	10	10	10	10	7	8	7	10	11	8	10	4	9	8	5	7	7	5	7	10	5	7	9	5	9	7	9	4	10	9	12	8	12	5	8	7	8	8	4	10	9	10	9	7
ko00410	beta-Alanine metabolism	24	23	21	27	20	19	18	27	20	21	26	12	26	16	17	16	20	13	19	27	11	17	21	22	11	18	18	14	22	20	27	24	18	17	17	19	21	24	8	25	19	24	24	16
ko00430	Taurine and hypotaurine metabolism	11	12	11	11	12	13	12	14	12	10	12	6	15	12	13	11	11	10	10	15	10	10	11	11	7	12	11	10	12	11	11	13	13	11	11	12	12	14	4	11	12	11	9	10
ko00440	Phosphonate and phosphinate metabolism	15	11	13	11	9	12	12	14	14	11	13	15	12	10	12	14	14	9	14	16	10	10	11	11	11	13	16	9	11	10	12	11	13	10	12	12	11	14	9	12	16	12	11	10
ko00450	Selenocompound metabolism	18	18	18	18	18	17	17	19	19	15	21	13	19	18	17	17	16	12	16	16	15	18	17	17	13	15	17	14	17	19	18	19	16	17	18	17	17	19	12	17	19	16	18	13
ko00460	Cyanoamino acid metabolism	8	8	8	7	7	6	7	8	9	6	8	7	9	7	8	6	7	3	7	8	7	5	9	7	7	7	6	7	8	5	10	7	7	7	8	7	8	9	4	10	9	9	8	6
ko00470	D-Amino acid metabolism	28	30	26	27	24	25	25	29	27	23	30	20	30	25	27	29	25	21	22	29	22	26	25	25	23	24	25	28	25	24	23	28	26	29	23	26	28	28	14	24	27	25	29	25
ko00480	Glutathione metabolism	12	12	14	7	7	12	9	9	7	8	8	4	8	8	8	10	8	7	6	12	6	7	12	7	9	12	9	9	12	11	11	7	8	6	12	5	8	8	5	6	8	7	17	8
ko00500	Starch and sucrose metabolism	45	39	44	46	42	48	46	41	41	42	50	49	43	46	38	42	49	12	42	18	37	35	42	41	40	49	37	34	45	41	51	49	42	33	48	35	39	47	43	50	38	48	15	42
ko00510	N-Glycan biosynthesis	3	2	3	2	2	3	3	2	3	3	3	3	3	3	3	3	2	2	3	5	3	2	4	2	2	4	3	2	2	4	2	2	3	1	3	3	3	3	2	3	2	2	1	2
ko00511	Other glycan degradation	6	0	8	2	2	2	3	3	0	4	2	2	2	2	2	6	2	0	3	0	2	2	3	4	5	2	1	0	3	8	3	2	4	0	6	0	0	2	0	3	3	2	0	4
ko00512	Mucin type O-glycan biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00513	Various types of N-glycan biosynthesis	3	0	2	0	1	0	1	0	1	2	1	1	1	1	1	1	0	1	0	2	0	0	3	1	1	1	1	0	0	3	1	0	0	0	3	1	1	1	0	1	0	0	0	1
ko00514	Other types of O-glycan biosynthesis	1	1	2	1	0	2	1	2	1	1	2	1	1	0	1	0	2	0	0	0	1	1	1	1	1	0	2	2	1	1	1	2	1	0	1	1	1	2	0	1	1	1	1	0
ko00515	Mannose type O-glycan biosynthesis	0	1	1	0	0	1	0	1	2	1	1	1	1	0	0	1	2	0	1	0	1	0	2	0	1	0	2	1	1	1	1	1	1	0	1	1	0	2	0	0	1	0	0	1
ko00520	Amino sugar and nucleotide sugar metabolism	99	87	90	96	90	88	93	98	88	105	102	94	91	96	75	91	99	59	84	94	82	87	100	87	97	68	95	71	102	93	110	100	93	60	93	92	85	95	67	102	89	99	78	94
ko00521	Streptomycin biosynthesis	13	10	13	11	11	8	11	10	11	13	10	11	10	11	8	11	13	7	10	10	11	13	13	11	12	10	11	9	13	14	12	10	9	7	12	11	11	11	7	10	11	11	11	13
ko00522	Biosynthesis of 12-, 14- and 16-membered macrolides	8	5	6	5	4	6	5	6	5	15	6	3	5	7	12	2	8	3	6	6	3	14	6	14	13	3	5	1	15	6	5	5	13	6	6	6	7	4	1	5	5	4	13	13
ko00523	Polyketide sugar unit biosynthesis	28	30	13	32	22	15	37	25	28	29	24	14	25	23	23	21	29	11	30	26	18	27	29	23	30	10	35	18	34	20	32	24	28	13	16	30	31	34	9	23	37	22	21	30
ko00524	Neomycin, kanamycin and gentamicin biosynthesis	7	5	41	35	37	38	7	38	10	41	39	4	37	38	5	38	40	35	7	36	3	39	38	38	9	8	41	8	41	40	3	39	34	2	40	41	41	39	5	9	36	36	34	9
ko00525	Acarbose and validamycin biosynthesis	15	17	21	15	17	15	17	17	16	17	14	11	17	15	14	17	15	11	14	12	9	15	14	15	15	13	16	12	18	17	14	15	14	11	16	17	17	16	8	18	17	17	12	15
ko00531	Glycosaminoglycan degradation	8	1	10	3	2	3	4	3	1	5	4	3	3	3	2	8	3	1	2	2	3	2	9	10	4	2	0	2	3	10	4	3	2	0	9	2	1	3	0	7	3	3	3	7
ko00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
ko00533	Glycosaminoglycan biosynthesis - keratan sulfate	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ko00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00540	Lipopolysaccharide biosynthesis	33	19	29	18	21	20	23	24	24	33	18	15	23	21	19	20	27	15	20	34	20	29	33	31	29	15	25	15	31	33	21	18	25	18	30	25	25	23	12	20	25	21	28	25
ko00541	O-Antigen nucleotide sugar biosynthesis	51	46	48	47	46	44	50	51	52	55	50	49	47	48	34	47	54	34	43	53	41	50	55	45	53	25	55	37	56	51	55	50	49	29	48	50	48	49	32	49	48	46	43	48
ko00542	O-Antigen repeat unit biosynthesis	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	1	2	2	2	1	2	2	1	2	2	2	2	2	1	2	2	2	2	0	2	2	2	2	1
ko00550	Peptidoglycan biosynthesis	24	21	22	21	20	20	19	19	20	19	19	19	20	20	25	25	20	19	22	20	20	19	25	19	22	20	21	18	21	23	25	20	21	19	22	26	22	20	15	20	20	20	19	19
ko00552	Teichoic acid biosynthesis	12	12	11	13	13	17	13	16	12	14	17	10	17	11	10	16	16	10	15	15	12	11	14	12	12	11	14	11	14	13	17	13	13	8	12	15	15	17	9	16	16	12	11	14
ko00561	Glycerolipid metabolism	30	25	25	30	30	24	26	27	29	28	29	28	30	28	29	28	29	21	26	26	25	22	26	25	25	23	27	25	24	22	27	29	33	25	24	23	23	25	18	28	28	28	22	27
ko00562	Inositol phosphate metabolism	19	11	21	12	16	14	17	15	17	18	10	19	14	14	16	20	20	7	15	13	15	13	16	19	12	17	18	10	18	19	21	13	13	13	19	16	14	11	10	17	16	19	18	17
ko00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00564	Glycerophospholipid metabolism	33	30	36	33	34	31	32	38	34	32	29	27	30	34	32	29	33	30	27	32	30	36	34	37	34	27	30	22	37	33	34	36	33	29	34	28	27	30	24	31	34	28	33	28
ko00565	Ether lipid metabolism	5	4	3	3	5	4	4	3	3	5	1	2	2	5	3	1	4	4	1	2	3	3	3	6	5	3	2	1	4	3	4	5	1	3	4	1	1	2	2	4	4	2	2	3
ko00571	Lipoarabinomannan (LAM) biosynthesis	5	3	4	3	4	4	3	3	4	4	3	4	4	4	4	3	3	3	3	4	4	4	4	5	4	4	3	4	4	4	4	3	3	4	4	5	4	4	3	3	4	3	4	3
ko00572	Arabinogalactan biosynthesis - Mycobacterium	5	4	5	4	5	3	4	5	4	5	5	3	5	5	3	3	4	2	5	3	3	5	5	5	4	5	5	3	5	5	3	4	4	3	4	3	5	5	1	3	4	3	3	5
ko00590	Arachidonic acid metabolism	5	2	4	3	4	2	3	3	2	4	3	2	4	4	2	2	2	3	3	3	3	4	4	3	4	4	3	3	4	3	4	3	3	2	3	2	3	3	0	2	2	3	4	3
ko00591	Linoleic acid metabolism	4	2	2	2	2	2	2	2	2	3	2	2	2	3	1	2	2	2	1	2	1	2	2	2	2	1	2	2	2	2	2	2	2	1	2	2	2	2	0	2	2	2	2	2
ko00592	alpha-Linolenic acid metabolism	3	1	1	2	4	1	1	2	1	2	2	1	3	2	0	0	0	0	1	2	0	1	1	0	1	1	1	2	1	1	2	2	1	2	1	2	2	1	0	3	1	2	1	0
ko00600	Sphingolipid metabolism	13	6	12	7	7	7	10	7	6	10	9	7	8	5	8	14	6	7	6	6	6	7	10	12	12	6	4	5	7	12	9	8	10	7	13	4	3	7	2	8	6	8	5	11
ko00601	Glycosphingolipid biosynthesis - lacto and neolacto series	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ko00603	Glycosphingolipid biosynthesis - globo and isoglobo series	2	1	2	1	1	2	1	1	2	3	1	2	1	1	2	3	2	0	1	0	0	0	3	2	3	2	0	1	1	2	2	1	2	1	2	0	0	1	0	1	0	1	0	3
ko00604	Glycosphingolipid biosynthesis - ganglio series	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1
ko00620	Pyruvate metabolism	76	80	76	77	71	72	72	73	72	72	71	55	73	67	67	73	69	63	71	80	53	55	73	77	61	55	73	57	74	70	74	72	73	57	72	72	71	70	36	76	74	68	80	58
ko00621	Dioxin degradation	5	9	7	7	6	5	6	5	7	10	5	5	5	6	6	9	9	6	8	10	5	10	7	10	6	7	9	10	10	6	6	6	9	4	8	5	7	6	1	6	6	6	11	5
ko00622	Xylene degradation	14	19	19	12	15	12	14	11	10	18	10	11	10	10	18	14	14	9	15	20	9	15	17	18	11	17	14	14	17	17	10	13	15	9	18	12	12	11	4	12	13	14	19	15
ko00623	Toluene degradation	16	17	17	13	15	13	11	14	11	21	18	10	14	14	18	16	11	9	10	20	12	15	20	18	17	12	12	18	20	16	14	13	18	14	20	11	14	13	3	16	13	15	18	17
ko00624	Polycyclic aromatic hydrocarbon degradation	14	13	15	10	10	11	12	11	9	11	12	7	11	10	13	13	14	10	11	13	8	12	11	15	13	8	11	9	14	13	11	10	13	9	12	10	11	11	1	11	10	12	14	13
ko00625	Chloroalkane and chloroalkene degradation	9	14	16	13	14	15	12	13	11	17	14	14	18	13	16	17	13	13	14	18	14	13	16	15	14	16	16	13	17	14	13	14	18	6	16	12	16	12	11	14	12	15	15	15
ko00626	Naphthalene degradation	9	11	13	9	10	11	9	9	7	9	9	8	10	9	13	11	10	12	9	10	8	19	8	19	20	10	10	7	10	10	8	8	9	5	10	11	10	10	6	11	8	10	8	10
ko00627	Aminobenzoate degradation	27	30	26	31	28	26	23	26	23	29	28	13	28	26	27	24	22	18	26	36	18	27	27	26	20	23	26	21	25	24	33	32	28	38	27	25	24	25	11	27	28	24	32	23
ko00630	Glyoxylate and dicarboxylate metabolism	68	62	63	60	62	53	58	61	57	60	58	35	61	57	60	57	57	47	54	65	41	50	62	63	55	52	61	54	57	62	59	62	54	50	63	53	54	53	19	62	62	59	60	48
ko00633	Nitrotoluene degradation	16	13	14	13	12	12	12	10	11	11	12	9	12	12	11	12	10	9	10	16	12	11	10	13	12	4	12	9	13	15	13	12	11	10	13	13	12	12	9	10	13	10	15	11
ko00640	Propanoate metabolism	68	64	65	67	62	55	54	63	56	58	61	36	65	53	50	56	57	47	57	71	44	54	61	60	50	51	57	47	61	61	63	63	59	50	61	56	57	60	26	64	58	62	55	48
ko00642	Ethylbenzene degradation	5	7	4	4	5	4	5	3	4	4	3	2	4	5	5	4	4	3	6	5	3	4	5	3	4	3	4	3	6	5	5	6	6	3	6	3	4	4	0	5	5	4	6	2
ko00643	Styrene degradation	9	13	7	8	8	5	10	5	6	8	5	5	5	6	9	6	6	4	8	14	8	9	8	7	5	8	6	8	8	9	6	10	9	10	7	5	6	4	4	7	10	5	11	4
ko00650	Butanoate metabolism	65	68	63	62	58	52	56	62	58	58	63	38	63	53	64	61	55	45	53	69	47	54	60	58	46	45	57	53	64	64	62	64	61	58	59	54	53	57	29	66	53	67	57	47
ko00660	C5-Branched dibasic acid metabolism	10	10	11	11	14	10	10	10	11	9	9	3	12	15	11	11	10	5	9	18	11	8	14	12	9	10	10	13	12	11	13	12	10	13	14	9	10	9	1	11	11	11	10	8
ko00670	One carbon pool by folate	25	21	16	21	20	20	24	22	24	27	18	16	22	19	17	15	16	19	23	20	17	27	27	19	24	15	26	18	21	23	24	23	16	19	28	17	17	21	7	22	23	21	20	10
ko00680	Methane metabolism	88	84	93	84	83	84	80	84	83	75	83	60	88	76	92	79	71	66	80	96	74	75	83	81	74	59	87	73	86	88	84	89	87	76	85	84	84	83	51	87	84	80	92	73
ko00710	Carbon fixation in photosynthetic organisms	15	15	18	13	16	14	15	16	15	16	13	12	16	13	15	13	16	14	14	16	14	13	16	15	16	14	14	14	16	16	16	18	14	15	17	16	15	15	10	18	15	14	15	13
ko00720	Carbon fixation pathways in prokaryotes	81	73	79	75	73	69	68	74	74	73	69	40	72	66	68	67	63	61	68	76	54	64	72	68	66	62	71	61	72	76	71	74	73	65	75	69	69	69	35	76	73	69	77	58
ko00730	Thiamine metabolism	20	20	21	22	21	18	21	20	23	22	21	12	21	21	14	18	18	15	21	19	18	12	20	15	18	20	21	16	20	21	21	22	18	17	21	21	21	20	16	20	23	22	19	16
ko00740	Riboflavin metabolism	29	29	25	30	22	20	24	29	22	31	30	16	30	21	18	18	24	19	20	29	18	26	27	30	26	15	23	17	25	27	32	32	25	18	30	20	21	31	17	23	32	27	26	20
ko00750	Vitamin B6 metabolism	13	14	13	10	10	10	10	13	9	11	11	6	11	7	9	11	10	7	11	11	10	10	12	11	9	10	10	9	12	11	11	11	11	9	9	9	9	11	4	11	10	11	9	7
