ko	pathway	ERR1995258_bin.1	ERR1995258_bin.10	ERR1995258_bin.11	ERR1995258_bin.12	ERR1995258_bin.2	ERR1995258_bin.3	ERR1995258_bin.4	ERR1995258_bin.5	ERR1995258_bin.6	ERR1995258_bin.7	ERR1995258_bin.8	ERR1995258_bin.9
ko00232	Caffeine metabolism	0	0	4	0	0	1	5	0	1	0	3	1
ko00240	Pyrimidine metabolism	59	59	58	59	60	59	69	58	56	60	72	49
ko00250	Alanine, aspartate and glutamate metabolism	46	46	49	45	45	50	54	41	50	53	55	49
ko00253	Tetracycline biosynthesis	8	4	7	4	6	8	11	9	6	6	10	10
ko00254	Aflatoxin biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0
ko00260	Glycine, serine and threonine metabolism	78	71	77	71	77	70	82	72	65	78	84	72
ko00261	Monobactam biosynthesis	18	14	16	14	18	16	19	14	14	18	19	12
ko00270	Cysteine and methionine metabolism	69	58	65	60	70	66	77	64	68	67	78	68
ko00280	Valine, leucine and isoleucine degradation	52	25	59	35	52	58	57	43	49	54	59	40
ko00281	Geraniol degradation	13	8	15	9	13	13	15	11	12	14	15	9
ko00290	Valine, leucine and isoleucine biosynthesis	16	10	16	11	16	16	16	15	16	15	16	16
ko00300	Lysine biosynthesis	41	34	39	35	41	40	40	39	40	41	41	39
ko00310	Lysine degradation	22	12	29	14	22	23	29	20	21	24	30	16
ko00311	Penicillin and cephalosporin biosynthesis	6	6	5	6	5	4	7	5	3	5	6	4
ko00330	Arginine and proline metabolism	42	38	47	38	37	48	58	42	48	53	55	42
ko00331	Clavulanic acid biosynthesis	3	3	4	2	3	2	4	2	2	4	4	3
ko00332	Carbapenem biosynthesis	9	7	11	6	8	7	12	6	9	11	12	7
ko00333	Prodigiosin biosynthesis	18	10	15	8	14	16	16	14	13	16	16	12
ko00340	Histidine metabolism	30	16	22	16	28	25	25	27	25	31	27	24
ko00350	Tyrosine metabolism	30	26	34	25	30	28	45	27	30	33	41	26
ko00360	Phenylalanine metabolism	35	31	40	33	35	36	50	35	37	38	48	31
ko00361	Chlorocyclohexane and chlorobenzene degradation	16	14	16	15	14	15	28	15	15	14	23	16
ko00362	Benzoate degradation	60	35	72	40	59	62	88	51	52	60	83	39
ko00363	Bisphenol degradation	1	2	2	1	1	2	1	1	1	1	1	1
ko00364	Fluorobenzoate degradation	6	4	6	5	6	5	10	4	5	6	9	6
ko00365	Furfural degradation	2	2	6	2	2	4	8	3	6	2	8	4
ko00380	Tryptophan metabolism	24	23	26	24	24	22	33	22	22	23	33	21
ko00400	Phenylalanine, tyrosine and tryptophan biosynthesis	52	42	43	41	53	49	49	43	49	52	53	50
ko00401	Novobiocin biosynthesis	15	15	15	15	14	15	16	15	14	14	15	12
ko00402	Benzoxazinoid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0
ko00403	Indole diterpene alkaloid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0
ko00404	Staurosporine biosynthesis	12	3	6	12	6	5	9	6	4	5	8	6
ko00405	Phenazine biosynthesis	11	7	9	6	12	10	13	9	10	10	13	9
ko00410	beta-Alanine metabolism	23	13	25	14	21	27	26	23	24	25	25	17
ko00430	Taurine and hypotaurine metabolism	12	11	14	11	12	14	19	9	13	12	16	12
ko00440	Phosphonate and phosphinate metabolism	11	13	11	18	11	16	19	11	13	15	18	12
ko00450	Selenocompound metabolism	19	13	20	18	19	16	25	17	22	19	25	18
ko00460	Cyanoamino acid metabolism	9	13	7	13	10	8	12	8	5	10	11	7
ko00470	D-Amino acid metabolism	28	26	30	26	26	29	31	28	27	31	30	26
ko00480	Glutathione metabolism	13	11	10	10	14	12	26	17	15	12	26	9
ko00500	Starch and sucrose metabolism	53	55	40	51	59	18	55	15	20	50	60	46
ko00510	N-Glycan biosynthesis	3	3	1	4	3	5	3	1	4	3	2	4
ko00511	Other glycan degradation	6	2	3	2	7	0	5	0	0	6	3	5
ko00512	Mucin type O-glycan biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0
ko00513	Various types of N-glycan biosynthesis	3	1	0	2	4	2	2	0	1	2	0	3
ko00514	Other types of O-glycan biosynthesis	1	2	2	2	1	0	1	1	2	1	1	1
ko00515	Mannose type O-glycan biosynthesis	1	3	1	3	0	0	0	0	2	2	0	0
ko00520	Amino sugar and nucleotide sugar metabolism	109	110	87	109	114	94	111	77	95	108	110	105
ko00521	Streptomycin biosynthesis	15	11	11	12	15	10	12	11	10	14	12	10
ko00522	Biosynthesis of 12-, 14- and 16-membered macrolides	18	6	13	5	7	6	18	13	6	15	14	6
ko00523	Polyketide sugar unit biosynthesis	36	34	24	35	30	26	24	21	23	28	24	20
ko00524	Neomycin, kanamycin and gentamicin biosynthesis	42	9	41	10	42	36	45	34	39	10	44	9
ko00525	Acarbose and validamycin biosynthesis	23	15	17	15	18	12	24	12	12	18	18	17
ko00531	Glycosaminoglycan degradation	10	7	1	7	10	2	7	3	2	9	7	3
ko00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	1	1	1	1	1	1	1	1	1	1	1	1
ko00533	Glycosaminoglycan biosynthesis - keratan sulfate	0	0	0	0	0	0	0	1	0	0	0	0
ko00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	0	0	0	0	0	0	0	0	0	0	0	0
ko00540	Lipopolysaccharide biosynthesis	35	23	21	25	30	34	32	28	30	34	35	21
ko00541	O-Antigen nucleotide sugar biosynthesis	57	55	49	56	54	53	53	43	54	57	54	51
ko00542	O-Antigen repeat unit biosynthesis	2	1	2	1	2	2	2	2	2	2	2	2
ko00550	Peptidoglycan biosynthesis	21	25	20	25	22	20	20	19	19	24	20	21
ko00552	Teichoic acid biosynthesis	14	13	12	13	13	15	13	11	12	17	13	14
ko00561	Glycerolipid metabolism	26	26	33	27	26	26	31	21	24	31	34	27
ko00562	Inositol phosphate metabolism	20	17	17	20	20	13	22	18	11	20	24	16
ko00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0
ko00564	Glycerophospholipid metabolism	36	32	36	31	37	32	33	33	33	41	43	33
ko00565	Ether lipid metabolism	4	4	2	4	4	2	4	2	1	8	4	2
ko00571	Lipoarabinomannan (LAM) biosynthesis	4	4	5	3	5	4	4	4	4	5	4	3
ko00572	Arabinogalactan biosynthesis - Mycobacterium	5	4	4	5	5	3	4	3	3	5	5	4
ko00590	Arachidonic acid metabolism	4	5	3	4	3	3	8	4	4	6	7	4
ko00591	Linoleic acid metabolism	2	2	2	2	2	2	3	2	2	4	3	1
ko00592	alpha-Linolenic acid metabolism	1	1	3	0	1	2	3	1	1	3	3	2
ko00600	Sphingolipid metabolism	13	8	11	8	13	6	11	5	3	13	8	12
ko00601	Glycosphingolipid biosynthesis - lacto and neolacto series	0	0	0	0	0	0	0	1	0	2	0	0
ko00603	Glycosphingolipid biosynthesis - globo and isoglobo series	2	1	2	1	2	0	3	0	0	3	2	3
ko00604	Glycosphingolipid biosynthesis - ganglio series	1	0	0	0	1	0	1	0	0	1	0	1
ko00620	Pyruvate metabolism	75	67	79	75	73	79	94	74	82	84	97	75
ko00621	Dioxin degradation	9	5	11	6	7	10	24	10	9	7	25	7
ko00622	Xylene degradation	18	14	23	16	17	20	30	18	18	18	31	15
ko00623	Toluene degradation	21	14	19	16	20	20	30	18	16	22	31	14
ko00624	Polycyclic aromatic hydrocarbon degradation	15	14	15	14	13	13	35	14	11	16	34	11
ko00625	Chloroalkane and chloroalkene degradation	18	15	19	15	15	18	26	15	16	15	26	15
ko00626	Naphthalene degradation	11	12	11	12	11	10	16	8	10	11	18	10
ko00627	Aminobenzoate degradation	28	33	38	32	28	36	65	32	29	28	63	27
ko00630	Glyoxylate and dicarboxylate metabolism	70	59	73	63	70	65	77	58	61	70	80	62
ko00633	Nitrotoluene degradation	13	12	12	12	14	16	19	13	16	16	21	11
ko00640	Propanoate metabolism	69	41	73	52	70	70	71	54	64	71	74	56
ko00642	Ethylbenzene degradation	6	3	4	5	5	5	12	6	7	5	13	6
ko00643	Styrene degradation	8	8	12	8	8	14	15	11	10	9	15	6
ko00650	Butanoate metabolism	64	49	80	52	62	70	82	53	62	68	83	58
ko00660	C5-Branched dibasic acid metabolism	12	7	15	9	12	18	19	10	13	12	21	11
ko00670	One carbon pool by folate	28	19	25	20	28	20	23	20	25	27	22	22
ko00680	Methane metabolism	97	80	87	81	97	94	121	91	99	93	120	87
ko00710	Carbon fixation in photosynthetic organisms	18	15	15	18	18	16	23	14	18	17	21	15
ko00720	Carbon fixation pathways in prokaryotes	84	63	79	72	84	76	92	70	75	81	96	72
ko00730	Thiamine metabolism	22	18	18	20	21	19	22	19	19	20	21	18
ko00740	Riboflavin metabolism	30	26	18	28	29	29	35	26	25	31	36	27
ko00750	Vitamin B6 metabolism	14	10	11	11	12	11	16	9	8	13	16	11
ko00760	Nicotinate and nicotinamide metabolism	41	40	55	40	43	37	61	41	44	40	62	48
ko00770	Pantothenate and CoA biosynthesis	31	25	26	27	28	32	31	28	30	30	31	26
ko00780	Biotin metabolism	18	9	16	11	18	16	18	15	17	18	18	15
ko00785	Lipoic acid metabolism	7	4	4	4	7	1	6	3	1	6	6	0
ko00790	Folate biosynthesis	51	27	34	29	50	45	55	47	56	49	56	51
ko00791	Atrazine degradation	1	8	3	7	2	6	8	7	6	3	8	4
ko00830	Retinol metabolism	8	8	8	8	8	7	8	6	7	8	8	8
ko00860	Porphyrin metabolism	63	49	71	46	62	82	69	49	77	73	73	67
ko00900	Terpenoid backbone biosynthesis	31	28	25	30	29	28	31	29	29	30	31	29
ko00901	Indole alkaloid biosynthesis	0	1	0	1	0	1	5	0	2	1	2	1
ko00902	Monoterpenoid biosynthesis	8	7	4	7	9	4	7	5	4	8	6	5
ko00903	Limonene and pinene degradation	9	7	10	7	9	8	11	9	8	9	11	6
ko00904	Diterpenoid biosynthesis	5	0	5	5	5	5	0	0	5	5	0	5
ko00905	Brassinosteroid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0
ko00906	Carotenoid biosynthesis	15	13	13	13	14	13	14	14	13	14	15	14
ko00908	Zeatin biosynthesis	1	2	1	2	1	2	3	2	1	1	2	1
ko00909	Sesquiterpenoid and triterpenoid biosynthesis	1	0	1	1	1	1	2	1	1	1	2	0
ko00910	Nitrogen metabolism	26	16	22	20	26	25	32	26	27	25	33	19
ko00920	Sulfur metabolism	54	38	48	47	54	44	71	56	50	54	75	37
ko00930	Caprolactam degradation	11	13	12	13	11	10	16	8	8	15	17	8
ko00940	Phenylpropanoid biosynthesis	3	2	1	2	3	2	5	2	2	3	3	2
ko00941	Flavonoid biosynthesis	1	1	3	1	1	0	4	0	1	4	0	1
ko00942	Anthocyanin biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0
ko00943	Isoflavonoid biosynthesis	1	1	1	1	1	1	2	1	1	2	1	1
ko00944	Flavone and flavonol biosynthesis	1	1	0	1	1	0	1	0	0	1	1	1
ko00945	Stilbenoid, diarylheptanoid and gingerol biosynthesis	2	2	1	2	2	1	2	1	2	2	1	2
ko00950	Isoquinoline alkaloid biosynthesis	7	7	7	7	7	6	8	6	6	7	7	7
ko00960	Tropane, piperidine and pyridine alkaloid biosynthesis	10	10	9	11	10	11	12	9	11	11	14	9
ko00965	Betalain biosynthesis	4	1	0	1	4	0	6	4	2	4	4	1
ko00966	Glucosinolate biosynthesis	2	1	2	2	2	2	2	1	2	2	2	2
ko00970	Aminoacyl-tRNA biosynthesis	29	34	34	34	30	37	33	36	37	30	33	29
ko00980	Metabolism of xenobiotics by cytochrome P450	7	8	8	8	7	6	9	6	5	8	9	8
ko00981	Insect hormone biosynthesis	1	1	1	1	2	1	3	1	1	1	2	2
ko00982	Drug metabolism - cytochrome P450	4	5	5	5	4	4	6	4	4	5	6	5
ko00983	Drug metabolism - other enzymes	17	14	15	15	17	16	19	14	14	17	21	15
ko00984	Steroid degradation	11	9	9	9	10	9	13	8	8	10	11	9
ko00996	Biosynthesis of various alkaloids	1	0	1	0	1	1	1	1	1	1	1	0
ko00997	Biosynthesis of various other secondary metabolites	6	5	4	4	5	6	8	7	4	7	7	6
ko00998	Biosynthesis of various antibiotics	20	22	20	21	20	22	25	13	20	24	25	22
ko00999	Biosynthesis of various plant secondary metabolites	12	8	6	8	12	10	8	7	10	10	8	7
ko01040	Biosynthesis of unsaturated fatty acids	3	3	6	3	3	6	6	4	3	3	6	4
ko01051	Biosynthesis of ansamycins	11	10	9	10	9	7	11	6	6	11	9	7
ko01052	Type I polyketide structures	17	6	13	5	6	6	17	13	6	15	14	6
ko01053	Biosynthesis of siderophore group nonribosomal peptides	13	8	7	8	13	13	13	7	11	11	13	11
ko01054	Nonribosomal peptide structures	1	1	1	1	1	1	1	1	1	1	1	1
ko01055	Biosynthesis of vancomycin group antibiotics	12	5	11	6	10	11	12	12	12	12	12	5
ko01056	Biosynthesis of type II polyketide backbone	4	2	4	1	3	6	5	4	4	4	5	4
ko01057	Biosynthesis of type II polyketide products	24	14	19	15	17	18	30	18	16	19	23	21
ko01059	Biosynthesis of enediyne antibiotics	31	21	21	21	25	26	27	21	25	28	23	22
ko01100	Metabolic pathways	1873	1551	1762	1622	1827	1693	2213	1589	1671	1873	2225	1625
ko01110	Biosynthesis of secondary metabolites	890	656	776	683	838	769	941	700	741	838	916	707
ko01120	Microbial metabolism in diverse environments	599	514	645	555	593	601	883	577	610	618	880	549
ko01200	Carbon metabolism	225	172	220	192	223	205	258	188	206	225	263	195
ko01210	2-Oxocarboxylic acid metabolism	52	38	53	39	52	52	52	50	51	51	52	53
ko01212	Fatty acid metabolism	40	16	45	20	40	43	43	33	35	39	44	28
ko01220	Degradation of aromatic compounds	91	73	97	81	82	85	157	83	82	89	157	74
ko01230	Biosynthesis of amino acids	200	159	183	166	199	193	195	179	190	199	205	194
ko01232	Nucleotide metabolism	57	57	63	58	58	52	75	54	60	59	77	60
ko01240	Biosynthesis of cofactors	246	187	212	187	246	243	258	212	245	246	265	225
ko01250	Biosynthesis of nucleotide sugars	136	124	105	127	125	118	120	101	117	128	120	108
ko01501	beta-Lactam resistance	7	5	4	5	7	2	5	7	3	3	4	3
ko01502	Vancomycin resistance	7	7	7	7	7	7	7	7	7	7	7	7
ko01503	Cationic antimicrobial peptide (CAMP) resistance	11	9	7	8	9	11	12	9	10	10	12	8
ko01521	EGFR tyrosine kinase inhibitor resistance	0	0	0	0	0	0	0	0	0	0	0	0
ko01522	Endocrine resistance	0	0	0	0	0	0	0	0	0	0	0	0
ko01523	Antifolate resistance	4	3	4	3	4	2	4	4	4	4	4	4
ko01524	Platinum drug resistance	0	0	0	0	0	0	1	1	0	0	1	0
ko02010	ABC transporters	0	0	1	0	0	1	1	0	1	0	1	0
ko02020	Two-component system	28	21	23	24	29	25	40	28	31	29	44	18
ko02024	Quorum sensing	21	12	17	10	21	16	27	16	16	20	27	18
ko02025	Biofilm formation - Pseudomonas aeruginosa	8	5	7	5	8	8	9	8	10	8	9	6
ko02026	Biofilm formation - Escherichia coli	2	3	3	3	3	1	5	1	2	2	5	4
ko02030	Bacterial chemotaxis	0	0	0	0	0	0	0	0	0	0	0	0
ko02040	Flagellar assembly	0	0	0	0	0	0	0	0	0	0	0	0
ko02060	Phosphotransferase system (PTS)	3	56	2	56	38	1	56	14	16	1	59	48
ko03008	Ribosome biogenesis in eukaryotes	1	1	1	1	1	0	1	1	1	1	1	1
ko03010	Ribosome	0	0	0	0	0	0	0	0	0	0	0	0
ko03013	Nucleocytoplasmic transport	0	0	0	0	0	0	0	0	0	0	0	0
ko03015	mRNA surveillance pathway	0	0	0	0	0	0	0	0	0	0	0	0
ko03018	RNA degradation	3	2	3	3	3	3	3	2	3	3	3	3
ko03020	RNA polymerase	0	0	0	0	0	0	0	0	0	0	0	0
ko03022	Basal transcription factors	0	0	0	0	0	0	0	0	0	0	0	0
ko03030	DNA replication	2	2	2	3	3	3	2	2	2	2	2	2
ko03040	Spliceosome	0	0	0	0	0	0	0	0	0	0	0	0
ko03050	Proteasome	0	0	0	0	0	0	0	0	0	0	0	0
ko03060	Protein export	0	0	0	0	0	0	0	0	0	0	0	0
ko03070	Bacterial secretion system	0	0	0	0	0	0	0	0	0	0	0	0
ko03230	Viral genome structure	0	0	0	0	0	0	0	0	0	0	0	0
ko03240	Viral replication	1	0	1	0	1	0	1	0	0	1	0	1
ko03250	Viral life cycle - HIV-1	0	0	0	0	0	0	0	0	0	0	0	0
ko03320	PPAR signaling pathway	7	4	10	4	7	8	7	5	5	7	8	4
ko03410	Base excision repair	1	1	1	2	2	2	1	1	1	1	1	1
ko03420	Nucleotide excision repair	1	1	1	2	2	2	1	1	1	1	1	1
ko03430	Mismatch repair	1	1	1	2	2	2	1	1	1	1	1	1
ko03440	Homologous recombination	0	0	0	0	0	0	0	0	0	0	0	0
ko03450	Non-homologous end-joining	1	0	0	1	1	1	0	0	0	0	0	0
ko03460	Fanconi anemia pathway	0	0	0	0	0	0	0	0	0	0	0	0
ko04010	MAPK signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0
ko04011	MAPK signaling pathway - yeast	1	0	0	0	1	0	1	0	1	1	1	0
ko04012	ErbB signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0
ko04013	MAPK signaling pathway - fly	0	0	0	0	0	0	0	0	0	0	0	0
ko04014	Ras signaling pathway	1	1	1	1	1	0	0	0	0	1	0	0
ko04015	Rap1 signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0
ko04016	MAPK signaling pathway - plant	3	1	1	1	3	2	3	2	3	3	3	1
ko04020	Calcium signaling pathway	1	0	1	0	1	0	2	0	0	1	2	1
ko04022	cGMP-PKG signaling pathway	0	0	0	0	0	0	1	0	0	0	1	0
ko04024	cAMP signaling pathway	1	1	2	1	1	1	0	0	0	1	0	0
ko04060	Cytokine-cytokine receptor interaction	0	0	0	0	0	0	0	0	0	0	0	0
ko04061	Viral protein interaction with cytokine and cytokine receptor	0	0	0	0	0	0	0	0	0	0	0	0
ko04062	Chemokine signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0
ko04064	NF-kappa B signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0
ko04066	HIF-1 signaling pathway	8	6	7	8	8	7	10	6	8	9	9	8
ko04068	FoxO signaling pathway	1	1	2	0	1	1	1	0	1	1	1	0
ko04070	Phosphatidylinositol signaling system	4	2	3	4	4	2	4	5	2	5	6	2
ko04071	Sphingolipid signaling pathway	3	3	4	2	3	3	2	1	0	3	1	2
ko04072	Phospholipase D signaling pathway	3	2	4	2	3	2	1	1	2	4	2	3
ko04075	Plant hormone signal transduction	0	0	0	0	0	0	0	0	0	0	0	0
ko04080	Neuroactive ligand-receptor interaction	0	0	0	0	0	0	0	0	0	0	0	0
ko04110	Cell cycle	0	0	0	0	0	0	0	0	0	0	0	0
ko04111	Cell cycle - yeast	0	0	0	0	0	0	0	0	0	0	0	0
ko04112	Cell cycle - Caulobacter	2	3	2	3	2	3	3	2	2	2	3	3
ko04113	Meiosis - yeast	0	0	0	0	0	0	0	0	1	0	0	0
ko04114	Oocyte meiosis	0	0	0	0	0	0	0	0	0	0	0	0
ko04115	p53 signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0
ko04120	Ubiquitin mediated proteolysis	0	0	0	0	0	0	0	0	0	0	0	0
ko04122	Sulfur relay system	12	9	11	9	12	11	15	15	12	8	16	11
ko04130	SNARE interactions in vesicular transport	0	0	0	0	0	0	0	0	0	0	0	0
ko04136	Autophagy - other	0	0	0	0	0	0	0	0	0	0	0	0
ko04137	Mitophagy - animal	0	0	0	0	0	0	0	0	0	0	0	0
ko04138	Autophagy - yeast	0	0	0	0	0	0	0	0	0	0	0	0
ko04139	Mitophagy - yeast	0	0	0	0	0	0	0	0	0	0	0	0
ko04140	Autophagy - animal	0	0	0	0	0	0	0	0	0	0	0	0
ko04141	Protein processing in endoplasmic reticulum	0	0	0	0	0	0	0	0	0	0	0	0
ko04142	Lysosome	12	8	3	7	13	1	8	3	2	11	7	5
ko04144	Endocytosis	1	1	1	1	1	0	0	0	0	1	0	0
ko04145	Phagosome	0	0	0	0	0	0	0	0	0	0	0	0
ko04146	Peroxisome	10	10	9	11	8	15	18	9	11	10	18	10
ko04150	mTOR signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0
ko04151	PI3K-Akt signaling pathway	0	0	1	0	0	0	1	0	0	0	1	0
ko04152	AMPK signaling pathway	1	1	4	1	1	2	3	1	2	2	3	2
ko04210	Apoptosis	0	0	0	0	0	0	0	0	0	0	0	0
ko04211	Longevity regulating pathway	1	0	0	0	1	0	1	0	1	1	1	0
ko04212	Longevity regulating pathway - worm	1	0	0	1	1	0	4	1	1	1	3	0
ko04213	Longevity regulating pathway - multiple species	1	0	0	0	1	0	1	0	2	1	1	0
ko04214	Apoptosis - fly	0	0	0	0	0	0	0	0	0	0	0	0
ko04215	Apoptosis - multiple species	0	0	0	0	0	0	0	0	0	0	0	0
ko04216	Ferroptosis	2	2	2	2	2	2	2	2	2	2	2	2
ko04217	Necroptosis	3	3	3	3	3	2	3	1	2	3	3	3
ko04218	Cellular senescence	0	0	0	0	0	0	0	0	0	0	0	0
ko04260	Cardiac muscle contraction	0	0	0	0	0	0	0	0	0	0	0	0
ko04261	Adrenergic signaling in cardiomyocytes	0	0	0	0	0	0	0	0	0	0	0	0
ko04270	Vascular smooth muscle contraction	0	0	0	0	0	0	0	0	0	0	0	0
ko04310	Wnt signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0
ko04320	Dorso-ventral axis formation	0	0	0	0	0	0	0	0	0	0	0	0
ko04330	Notch signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0
ko04340	Hedgehog signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0
ko04341	Hedgehog signaling pathway - fly	0	0	0	0	0	0	0	0	0	0	0	0
ko04350	TGF-beta signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0
ko04360	Axon guidance	0	0	0	0	0	0	0	0	0	0	0	0
ko04361	Axon regeneration	0	1	1	1	0	1	1	0	1	1	1	1
ko04370	VEGF signaling pathway	1	0	1	0	1	0	1	0	0	1	1	1
ko04371	Apelin signaling pathway	1	0	1	0	1	0	2	0	0	1	2	1
ko04380	Osteoclast differentiation	0	0	0	0	1	0	0	0	0	0	0	0
ko04390	Hippo signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0
ko04391	Hippo signaling pathway - fly	0	0	0	0	0	0	0	0	0	0	0	0
ko04392	Hippo signaling pathway - multiple species	0	0	0	0	0	0	0	0	0	0	0	0
ko04510	Focal adhesion	0	0	0	0	0	0	0	0	0	0	0	0
ko04512	ECM-receptor interaction	0	0	0	0	0	0	0	0	0	0	0	0
ko04514	Cell adhesion molecules	0	0	0	0	0	0	0	0	0	0	0	0
ko04520	Adherens junction	0	0	0	0	0	0	0	0	0	0	0	0
ko04530	Tight junction	0	0	0	0	0	0	0	0	0	0	0	0
ko04540	Gap junction	0	0	0	0	0	0	0	0	0	0	0	0
ko04550	Signaling pathways regulating pluripotency of stem cells	0	0	0	0	0	0	0	0	0	0	0	0
ko04610	Complement and coagulation cascades	0	0	0	0	0	0	0	0	0	0	0	0
ko04611	Platelet activation	0	0	0	0	0	0	1	0	0	0	1	0
ko04612	Antigen processing and presentation	0	0	0	0	0	0	0	0	0	0	0	0
ko04613	Neutrophil extracellular trap formation	0	0	0	0	0	0	0	0	0	0	0	0
ko04614	Renin-angiotensin system	0	0	0	0	0	0	0	0	0	0	0	0
ko04620	Toll-like receptor signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0
ko04621	NOD-like receptor signaling pathway	0	0	0	0	0	0	1	0	0	0	0	0
ko04622	RIG-I-like receptor signaling pathway	0	0	1	0	0	1	1	0	0	1	1	0
ko04623	Cytosolic DNA-sensing pathway	0	0	0	0	0	0	0	0	0	0	0	0
ko04624	Toll and Imd signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0
ko04625	C-type lectin receptor signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0
ko04626	Plant-pathogen interaction	1	1	1	1	1	0	1	1	1	1	1	1
ko04630	JAK-STAT signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0
ko04640	Hematopoietic cell lineage	0	0	0	0	0	0	0	0	0	0	0	0
ko04650	Natural killer cell mediated cytotoxicity	0	0	0	0	0	0	0	0	0	0	0	0
ko04657	IL-17 signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0
ko04658	Th1 and Th2 cell differentiation	0	0	0	0	0	0	0	0	0	0	0	0
ko04659	Th17 cell differentiation	0	0	0	0	0	0	0	0	0	0	0	0
ko04660	T cell receptor signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0
ko04662	B cell receptor signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0
ko04664	Fc epsilon RI signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0
ko04666	Fc gamma R-mediated phagocytosis	2	1	2	1	2	0	0	0	0	2	0	1
ko04668	TNF signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0
ko04670	Leukocyte transendothelial migration	0	0	0	0	0	0	0	0	0	0	0	0
ko04672	Intestinal immune network for IgA production	0	0	0	0	0	0	0	0	0	0	0	0
ko04710	Circadian rhythm	0	0	0	0	0	0	0	0	0	0	0	0
ko04711	Circadian rhythm - fly	0	0	0	0	0	0	0	0	0	0	0	0
ko04712	Circadian rhythm - plant	0	0	0	0	0	0	0	0	0	0	0	0
ko04713	Circadian entrainment	0	0	0	0	0	0	0	0	0	0	0	0
ko04714	Thermogenesis	2	3	2	2	3	2	3	2	2	2	3	2
