ko	pathway	ERR1995224_bin.1	ERR1995224_bin.2	ERR1995224_bin.3	ERR1995224_bin.4	ERR1995224_bin.5	ERR1995224_bin.6	ERR1995224_bin.7	ERR1995224_bin.8	ERR1995224_bin.9
ko00361	Chlorocyclohexane and chlorobenzene degradation	14	12	12	14	15	15	20	14	11
ko00362	Benzoate degradation	49	26	39	59	47	38	72	52	41
ko00363	Bisphenol degradation	1	2	2	1	2	2	1	1	1
ko00364	Fluorobenzoate degradation	5	5	5	6	5	5	7	6	5
ko00365	Furfural degradation	1	0	1	2	2	2	8	1	2
ko00380	Tryptophan metabolism	18	18	16	23	19	23	29	22	24
ko00400	Phenylalanine, tyrosine and tryptophan biosynthesis	52	40	35	53	43	40	52	42	50
ko00401	Novobiocin biosynthesis	14	12	13	14	14	15	15	12	14
ko00402	Benzoxazinoid biosynthesis	0	0	0	0	0	0	0	0	0
ko00403	Indole diterpene alkaloid biosynthesis	0	0	0	0	0	0	0	0	0
ko00404	Staurosporine biosynthesis	5	9	5	5	6	3	7	1	4
ko00405	Phenazine biosynthesis	11	5	9	10	7	7	13	9	11
ko00410	beta-Alanine metabolism	17	14	11	24	21	13	24	18	23
ko00430	Taurine and hypotaurine metabolism	12	7	6	12	11	11	16	12	10
ko00440	Phosphonate and phosphinate metabolism	14	12	11	15	11	16	18	14	13
ko00450	Selenocompound metabolism	18	14	13	19	16	14	25	19	18
ko00460	Cyanoamino acid metabolism	10	5	7	10	7	13	11	7	7
ko00470	D-Amino acid metabolism	25	20	23	31	26	24	30	31	24
ko00480	Glutathione metabolism	13	7	9	12	7	10	26	14	8
ko00500	Starch and sucrose metabolism	54	16	42	47	41	53	58	24	41
ko00510	N-Glycan biosynthesis	5	3	3	3	2	3	2	4	4
ko00511	Other glycan degradation	7	4	5	5	5	2	4	0	5
ko00512	Mucin type O-glycan biosynthesis	0	0	0	0	0	0	0	0	0
ko00513	Various types of N-glycan biosynthesis	4	1	2	2	1	1	0	1	2
ko00514	Other types of O-glycan biosynthesis	1	0	1	1	1	2	1	1	1
ko00515	Mannose type O-glycan biosynthesis	1	0	1	1	0	3	0	0	1
ko00520	Amino sugar and nucleotide sugar metabolism	106	89	99	108	93	100	110	95	94
ko00521	Streptomycin biosynthesis	13	11	12	14	11	10	12	10	12
ko00522	Biosynthesis of 12-, 14- and 16-membered macrolides	7	4	13	16	14	5	14	13	6
ko00523	Polyketide sugar unit biosynthesis	34	33	31	29	27	27	24	21	32
ko00524	Neomycin, kanamycin and gentamicin biosynthesis	41	7	9	10	38	9	45	8	41
ko00525	Acarbose and validamycin biosynthesis	17	11	15	16	15	15	18	10	16
ko00531	Glycosaminoglycan degradation	9	8	4	9	10	7	7	2	10
ko00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	1	1	1	2	1	1	1	1	1
ko00533	Glycosaminoglycan biosynthesis - keratan sulfate	0	0	0	0	0	0	0	0	0
ko00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	0	0	0	1	0	0	0	0	0
ko00540	Lipopolysaccharide biosynthesis	33	18	29	34	30	23	36	31	33
ko00541	O-Antigen nucleotide sugar biosynthesis	58	48	54	57	51	48	54	51	52
ko00542	O-Antigen repeat unit biosynthesis	2	0	1	2	2	1	2	1	2
ko00550	Peptidoglycan biosynthesis	24	17	21	25	19	25	20	20	19
ko00552	Teichoic acid biosynthesis	16	8	13	17	13	13	13	13	13
ko00561	Glycerolipid metabolism	24	29	25	30	27	26	36	24	25
ko00562	Inositol phosphate metabolism	18	14	12	20	19	18	23	8	18
ko00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	0	0	0	0	0	0	0	0	0
ko00564	Glycerophospholipid metabolism	35	30	34	40	37	31	43	30	34
ko00565	Ether lipid metabolism	4	4	5	7	5	4	4	1	4
ko00571	Lipoarabinomannan (LAM) biosynthesis	4	3	4	5	4	4	4	4	4
ko00572	Arabinogalactan biosynthesis - Mycobacterium	5	3	4	5	5	4	4	3	4
ko00590	Arachidonic acid metabolism	3	3	4	7	3	5	7	4	2
ko00591	Linoleic acid metabolism	2	3	2	4	2	2	3	2	2
ko00592	alpha-Linolenic acid metabolism	1	2	1	3	1	1	3	2	2
ko00600	Sphingolipid metabolism	14	5	12	12	12	7	9	5	10
ko00601	Glycosphingolipid biosynthesis - lacto and neolacto series	0	0	0	0	0	0	0	0	0
ko00603	Glycosphingolipid biosynthesis - globo and isoglobo series	2	0	3	2	2	1	2	0	2
ko00604	Glycosphingolipid biosynthesis - ganglio series	1	0	1	1	1	0	0	0	1
ko00620	Pyruvate metabolism	77	61	61	81	76	69	96	72	84
ko00621	Dioxin degradation	10	5	6	7	10	5	10	5	5
ko00622	Xylene degradation	20	10	11	18	18	15	22	14	13
ko00623	Toluene degradation	19	10	18	22	19	15	27	20	16
ko00624	Polycyclic aromatic hydrocarbon degradation	13	12	13	15	15	14	18	11	12
ko00625	Chloroalkane and chloroalkene degradation	14	10	14	16	16	15	22	13	14
ko00626	Naphthalene degradation	9	9	20	11	19	12	14	10	12
ko00627	Aminobenzoate degradation	24	17	21	28	24	32	46	28	26
ko00630	Glyoxylate and dicarboxylate metabolism	66	40	57	67	63	58	79	57	69
ko00633	Nitrotoluene degradation	13	10	12	16	13	12	19	12	16
ko00640	Propanoate metabolism	58	43	50	69	57	43	78	60	66
ko00642	Ethylbenzene degradation	6	4	4	5	4	4	7	5	5
ko00643	Styrene degradation	8	6	5	9	7	8	13	13	9
ko00650	Butanoate metabolism	59	40	46	67	60	49	80	63	66
ko00660	C5-Branched dibasic acid metabolism	13	7	10	10	12	7	19	17	12
ko00670	One carbon pool by folate	27	19	24	26	25	19	22	26	21
ko00680	Methane metabolism	86	58	75	94	84	81	120	86	84
ko00710	Carbon fixation in photosynthetic organisms	16	14	15	17	16	17	22	16	13
ko00720	Carbon fixation pathways in prokaryotes	79	55	66	78	70	63	94	73	79
ko00730	Thiamine metabolism	21	13	17	20	14	18	21	18	21
ko00740	Riboflavin metabolism	30	20	26	31	29	27	37	24	24
ko00750	Vitamin B6 metabolism	13	8	9	13	11	11	17	8	12
ko00760	Nicotinate and nicotinamide metabolism	40	36	32	40	38	43	62	40	32
ko00770	Pantothenate and CoA biosynthesis	29	18	23	31	28	25	31	26	29
ko00780	Biotin metabolism	18	11	13	18	16	9	18	13	17
ko00785	Lipoic acid metabolism	4	0	4	6	4	4	6	1	5
ko00790	Folate biosynthesis	47	25	45	48	46	28	57	48	50
ko00791	Atrazine degradation	3	3	1	3	1	8	6	7	4
ko00830	Retinol metabolism	8	6	8	8	6	8	8	7	8
ko00860	Porphyrin metabolism	72	37	50	72	48	48	74	68	66
ko00900	Terpenoid backbone biosynthesis	30	19	29	31	28	29	31	27	29
ko00901	Indole alkaloid biosynthesis	0	1	0	1	1	1	2	1	2
ko00902	Monoterpenoid biosynthesis	8	5	6	8	8	5	7	5	5
ko00903	Limonene and pinene degradation	6	7	6	9	6	8	11	8	9
ko00904	Diterpenoid biosynthesis	5	0	0	5	5	0	0	0	5
ko00905	Brassinosteroid biosynthesis	0	0	0	0	0	0	0	0	0
ko00906	Carotenoid biosynthesis	14	13	13	13	14	13	14	13	15
ko00908	Zeatin biosynthesis	1	1	1	1	1	2	2	2	2
ko00909	Sesquiterpenoid and triterpenoid biosynthesis	1	1	1	2	1	2	1	2	3
ko00910	Nitrogen metabolism	26	14	13	25	13	16	32	24	28
ko00920	Sulfur metabolism	44	26	35	53	43	40	72	45	54
ko00930	Caprolactam degradation	10	9	8	15	10	12	16	11	12
ko00940	Phenylpropanoid biosynthesis	3	1	3	3	2	2	3	1	1
ko00941	Flavonoid biosynthesis	1	1	1	4	1	1	0	1	3
ko00942	Anthocyanin biosynthesis	1	0	0	0	0	0	0	0	0
ko00943	Isoflavonoid biosynthesis	1	1	1	2	1	1	1	1	2
ko00944	Flavone and flavonol biosynthesis	1	1	1	1	1	1	1	0	1
ko00945	Stilbenoid, diarylheptanoid and gingerol biosynthesis	2	2	2	2	2	2	1	2	1
ko00950	Isoquinoline alkaloid biosynthesis	7	7	7	7	7	7	6	6	6
ko00960	Tropane, piperidine and pyridine alkaloid biosynthesis	10	10	10	11	9	9	13	12	10
ko00965	Betalain biosynthesis	4	1	4	4	4	1	4	1	0
ko00966	Glucosinolate biosynthesis	2	1	2	2	2	1	2	1	2
ko00970	Aminoacyl-tRNA biosynthesis	30	31	30	29	28	34	33	37	34
ko00980	Metabolism of xenobiotics by cytochrome P450	7	6	6	8	6	8	9	5	8
ko00981	Insect hormone biosynthesis	1	1	0	1	1	2	1	1	2
ko00982	Drug metabolism - cytochrome P450	4	3	4	5	3	5	6	4	5
ko00983	Drug metabolism - other enzymes	16	17	15	17	14	14	21	13	13
ko00984	Steroid degradation	10	6	9	10	10	9	10	8	7
ko00996	Biosynthesis of various alkaloids	0	0	0	1	0	0	1	1	1
ko00997	Biosynthesis of various other secondary metabolites	5	2	1	7	7	4	8	5	4
ko00998	Biosynthesis of various antibiotics	24	17	20	22	14	15	25	20	22
ko00999	Biosynthesis of various plant secondary metabolites	12	6	5	10	6	8	8	11	7
ko01040	Biosynthesis of unsaturated fatty acids	4	3	3	3	3	3	6	4	4
ko01051	Biosynthesis of ansamycins	8	7	9	11	9	9	9	3	7
ko01052	Type I polyketide structures	5	4	13	15	13	5	14	10	6
ko01053	Biosynthesis of siderophore group nonribosomal peptides	9	5	10	11	7	8	13	5	11
ko01054	Nonribosomal peptide structures	1	0	1	1	1	1	1	1	0
ko01055	Biosynthesis of vancomycin group antibiotics	6	5	9	12	9	5	12	10	11
ko01056	Biosynthesis of type II polyketide backbone	4	4	4	4	4	2	5	4	4
ko01057	Biosynthesis of type II polyketide products	17	11	12	18	14	13	24	13	17
ko01059	Biosynthesis of enediyne antibiotics	26	11	19	24	21	17	21	19	18
ko01100	Metabolic pathways	1766	1228	1415	1845	1603	1535	2153	1556	1663
ko01110	Biosynthesis of secondary metabolites	819	535	653	825	743	633	913	642	786
ko01120	Microbial metabolism in diverse environments	548	389	440	611	530	526	801	541	556
ko01200	Carbon metabolism	201	143	166	219	190	178	262	192	204
ko01210	2-Oxocarboxylic acid metabolism	52	31	32	51	50	38	52	45	53
ko01212	Fatty acid metabolism	34	27	34	39	34	17	44	42	33
ko01220	Degradation of aromatic compounds	80	55	78	89	89	74	113	72	72
ko01230	Biosynthesis of amino acids	200	141	136	198	180	162	204	166	189
ko01232	Nucleotide metabolism	56	50	53	58	53	57	79	52	45
ko01240	Biosynthesis of cofactors	247	153	203	248	205	184	267	215	237
ko01250	Biosynthesis of nucleotide sugars	132	108	123	129	118	109	120	111	121
ko01501	beta-Lactam resistance	7	2	3	3	2	5	4	5	7
ko01502	Vancomycin resistance	7	6	7	7	7	7	7	7	7
ko01503	Cationic antimicrobial peptide (CAMP) resistance	10	6	9	10	9	9	12	9	10
ko01521	EGFR tyrosine kinase inhibitor resistance	0	0	0	0	0	0	0	0	0
ko01522	Endocrine resistance	0	0	0	0	0	0	0	0	0
ko01523	Antifolate resistance	4	4	4	4	4	3	4	4	4
ko01524	Platinum drug resistance	0	0	0	0	0	0	1	0	0
ko02010	ABC transporters	0	0	0	0	0	0	1	0	1
ko02020	Two-component system	26	15	26	27	22	20	44	23	28
ko02024	Quorum sensing	21	12	15	20	14	11	27	16	18
ko02025	Biofilm formation - Pseudomonas aeruginosa	8	4	8	9	7	5	9	7	8
ko02026	Biofilm formation - Escherichia coli	3	2	3	2	2	3	5	2	2
ko02030	Bacterial chemotaxis	0	0	0	0	0	0	0	0	0
ko02040	Flagellar assembly	0	0	0	0	0	0	0	0	0
ko02060	Phosphotransferase system (PTS)	3	6	1	1	1	56	59	24	5
ko03008	Ribosome biogenesis in eukaryotes	1	1	1	1	1	1	1	0	1
ko03010	Ribosome	0	0	0	0	0	0	0	0	0
ko03013	Nucleocytoplasmic transport	0	0	0	0	0	0	0	0	0
ko03015	mRNA surveillance pathway	0	0	0	0	0	0	0	0	0
ko03018	RNA degradation	3	3	3	3	3	3	3	3	3
ko03020	RNA polymerase	0	0	0	0	0	0	0	0	0
ko03022	Basal transcription factors	0	0	0	0	0	0	0	0	0
ko03030	DNA replication	2	1	2	2	2	3	2	2	2
ko03040	Spliceosome	0	0	0	0	0	0	0	0	0
ko03050	Proteasome	0	0	0	0	0	0	0	0	0
ko03060	Protein export	0	0	0	0	0	0	0	0	0
ko03070	Bacterial secretion system	0	0	0	0	0	0	0	0	0
ko03230	Viral genome structure	0	0	0	0	0	0	0	0	0
ko03240	Viral replication	1	0	0	1	0	0	0	0	1
ko03250	Viral life cycle - HIV-1	0	0	0	0	0	0	0	0	0
ko03320	PPAR signaling pathway	7	2	6	7	7	4	8	7	6
ko03410	Base excision repair	1	1	1	1	1	2	1	1	1
ko03420	Nucleotide excision repair	1	1	1	1	1	2	1	1	1
ko03430	Mismatch repair	1	1	1	1	1	2	1	1	1
ko03440	Homologous recombination	0	0	0	0	0	0	0	0	0
ko03450	Non-homologous end-joining	0	0	0	0	0	1	0	0	0
ko03460	Fanconi anemia pathway	0	0	0	0	0	0	0	0	0
ko04010	MAPK signaling pathway	0	0	0	0	0	0	0	0	0
ko04011	MAPK signaling pathway - yeast	0	0	0	1	1	0	1	0	1
ko04012	ErbB signaling pathway	0	0	0	0	0	0	0	0	0
ko04013	MAPK signaling pathway - fly	0	0	0	0	0	0	0	0	0
ko04014	Ras signaling pathway	1	2	1	1	1	1	0	0	1
ko04015	Rap1 signaling pathway	0	0	0	0	0	0	0	0	0
ko04016	MAPK signaling pathway - plant	1	2	1	3	2	1	3	1	3
ko04020	Calcium signaling pathway	1	0	1	1	1	0	2	1	2
ko04022	cGMP-PKG signaling pathway	0	0	0	0	0	0	1	0	1
ko04024	cAMP signaling pathway	1	1	1	1	1	1	0	1	1
ko04060	Cytokine-cytokine receptor interaction	0	0	0	0	0	0	0	0	0
ko04061	Viral protein interaction with cytokine and cytokine receptor	0	0	0	0	0	0	0	0	0
ko04062	Chemokine signaling pathway	0	0	0	0	0	0	0	0	0
ko04064	NF-kappa B signaling pathway	0	0	0	0	0	0	0	0	0
ko04066	HIF-1 signaling pathway	8	6	7	9	7	9	10	9	9
ko04068	FoxO signaling pathway	0	0	1	1	1	0	1	1	2
ko04070	Phosphatidylinositol signaling system	4	2	2	5	5	4	6	2	5
ko04071	Sphingolipid signaling pathway	3	1	2	3	2	2	1	2	3
ko04072	Phospholipase D signaling pathway	3	3	4	4	4	2	2	3	2
ko04075	Plant hormone signal transduction	0	0	0	0	0	0	0	0	0
ko04080	Neuroactive ligand-receptor interaction	0	0	0	0	0	0	0	0	0
ko04110	Cell cycle	0	0	0	0	0	0	0	0	0
ko04111	Cell cycle - yeast	0	0	0	0	0	0	0	0	0
ko04112	Cell cycle - Caulobacter	2	3	2	2	2	3	3	2	2
ko04113	Meiosis - yeast	0	0	0	1	0	0	0	0	0
ko04114	Oocyte meiosis	0	0	0	0	0	0	0	0	0
ko04115	p53 signaling pathway	0	0	0	0	0	0	0	0	0
ko04120	Ubiquitin mediated proteolysis	0	0	0	0	0	0	0	0	0
ko04122	Sulfur relay system	10	8	10	8	10	9	16	10	11
ko04130	SNARE interactions in vesicular transport	0	0	0	0	0	0	0	0	0
ko04136	Autophagy - other	0	0	0	0	0	0	0	0	0
ko04137	Mitophagy - animal	0	0	0	0	0	0	0	0	0
ko04138	Autophagy - yeast	0	0	0	0	0	0	0	0	0
ko04139	Mitophagy - yeast	0	0	0	0	0	0	0	0	0
ko04140	Autophagy - animal	0	0	0	0	0	0	0	0	0
ko04141	Protein processing in endoplasmic reticulum	0	0	0	0	0	0	0	0	0
ko04142	Lysosome	12	9	6	10	14	7	8	1	11
ko04144	Endocytosis	1	1	1	1	1	1	0	0	1
ko04145	Phagosome	0	0	0	0	0	0	0	0	0
ko04146	Peroxisome	8	5	8	11	9	9	18	11	12
ko04150	mTOR signaling pathway	0	0	0	0	0	0	0	0	0
ko04151	PI3K-Akt signaling pathway	0	0	0	0	0	0	1	0	2
ko04152	AMPK signaling pathway	2	1	2	2	1	2	3	2	2
ko04210	Apoptosis	0	0	0	0	0	0	0	0	0
ko04211	Longevity regulating pathway	0	0	0	1	1	0	1	0	1
ko04212	Longevity regulating pathway - worm	0	0	0	1	1	0	2	0	1
ko04213	Longevity regulating pathway - multiple species	0	0	0	2	1	0	1	0	1
ko04214	Apoptosis - fly	0	0	0	0	0	0	0	0	0
ko04215	Apoptosis - multiple species	0	0	0	0	0	0	0	0	0
ko04216	Ferroptosis	2	1	2	2	2	2	2	1	2
ko04217	Necroptosis	3	2	3	3	2	3	3	2	3
ko04218	Cellular senescence	0	0	0	0	0	0	0	0	0
ko04260	Cardiac muscle contraction	0	0	0	0	0	0	0	0	0
ko04261	Adrenergic signaling in cardiomyocytes	0	0	0	0	0	0	0	0	0
ko04270	Vascular smooth muscle contraction	0	0	0	0	0	0	0	0	0
ko04310	Wnt signaling pathway	0	0	0	0	0	0	0	0	0
ko04320	Dorso-ventral axis formation	0	0	0	0	0	0	0	0	0
ko04330	Notch signaling pathway	0	0	0	0	0	0	0	0	0
ko04340	Hedgehog signaling pathway	0	0	0	0	0	0	0	0	0
ko04341	Hedgehog signaling pathway - fly	0	0	0	0	0	0	0	0	0
ko04350	TGF-beta signaling pathway	0	0	0	0	0	0	0	0	0
ko04360	Axon guidance	0	0	0	0	0	0	0	0	0
ko04361	Axon regeneration	1	1	1	1	1	1	1	1	0
ko04370	VEGF signaling pathway	1	0	1	1	1	0	1	1	1
ko04371	Apelin signaling pathway	1	0	1	1	1	0	2	1	2
ko04380	Osteoclast differentiation	1	0	0	0	1	0	0	0	0
ko04390	Hippo signaling pathway	0	0	0	0	0	0	0	0	0
ko04391	Hippo signaling pathway - fly	0	0	0	0	0	0	0	0	0
ko04392	Hippo signaling pathway - multiple species	0	0	0	0	0	0	0	0	0
ko04510	Focal adhesion	0	0	0	0	0	0	0	0	0
ko04512	ECM-receptor interaction	0	0	0	0	0	0	0	0	0
ko04514	Cell adhesion molecules	0	0	0	0	0	0	0	0	0
ko04520	Adherens junction	0	0	0	0	0	0	0	0	0
ko04530	Tight junction	0	0	0	0	0	0	0	0	0
ko04540	Gap junction	0	0	0	0	0	0	0	0	0
ko04550	Signaling pathways regulating pluripotency of stem cells	0	0	0	0	0	0	0	0	0
ko04610	Complement and coagulation cascades	0	0	0	0	0	0	0	0	0
ko04611	Platelet activation	0	0	0	0	0	0	1	0	1
ko04612	Antigen processing and presentation	0	0	0	0	0	0	0	0	0
ko04613	Neutrophil extracellular trap formation	0	0	0	0	0	0	0	0	0
ko04614	Renin-angiotensin system	0	0	0	0	0	0	0	0	0
ko04620	Toll-like receptor signaling pathway	0	0	0	0	0	0	0	0	0
ko04621	NOD-like receptor signaling pathway	0	0	0	0	0	0	0	1	0
ko04622	RIG-I-like receptor signaling pathway	0	1	0	1	0	0	1	0	0
ko04623	Cytosolic DNA-sensing pathway	0	0	0	0	0	0	0	0	0
ko04624	Toll and Imd signaling pathway	0	0	0	0	0	0	0	0	0
ko04625	C-type lectin receptor signaling pathway	0	0	0	0	0	0	0	0	0
ko04626	Plant-pathogen interaction	1	1	1	1	1	1	1	1	1
ko04630	JAK-STAT signaling pathway	0	0	0	0	0	0	0	0	0
ko04640	Hematopoietic cell lineage	0	0	0	0	0	0	0	0	0
ko04650	Natural killer cell mediated cytotoxicity	0	0	0	0	0	0	0	0	0
ko04657	IL-17 signaling pathway	0	0	0	0	0	0	0	0	0
ko04658	Th1 and Th2 cell differentiation	0	0	0	0	0	0	0	0	0
ko04659	Th17 cell differentiation	0	0	0	0	0	0	0	0	0
ko04660	T cell receptor signaling pathway	0	0	0	0	0	0	0	0	0
ko04662	B cell receptor signaling pathway	0	0	0	0	0	0	0	0	0
ko04664	Fc epsilon RI signaling pathway	0	0	0	0	0	0	0	0	0
ko04666	Fc gamma R-mediated phagocytosis	2	1	2	2	2	1	0	1	1
ko04668	TNF signaling pathway	0	0	0	0	0	0	0	0	0
ko04670	Leukocyte transendothelial migration	0	0	0	0	0	0	0	0	0
ko04672	Intestinal immune network for IgA production	0	0	0	0	0	0	0	0	0
ko04710	Circadian rhythm	0	0	0	0	0	0	0	0	0
ko04711	Circadian rhythm - fly	0	0	0	0	0	0	0	0	0
ko04712	Circadian rhythm - plant	0	0	0	0	0	0	0	0	0
ko04713	Circadian entrainment	0	0	0	0	0	0	0	0	0
ko04714	Thermogenesis	3	2	3	2	2	2	3	1	1
ko04720	Long-term potentiation	0	0	0	0	0	0	0	0	0
ko04721	Synaptic vesicle cycle	0	0	0	0	0	0	0	0	0
ko04722	Neurotrophin signaling pathway	0	0	0	0	0	0	0	0	0
ko04723	Retrograde endocannabinoid signaling	1	2	1	1	2	2	2	1	0
ko04724	Glutamatergic synapse	3	3	3	3	2	3	2	1	3
ko04725	Cholinergic synapse	0	0	0	0	0	0	0	0	0
ko04726	Serotonergic synapse	1	1	1	1	1	1	1	1	1
ko04727	GABAergic synapse	4	3	2	4	3	2	5	3	4
ko04728	Dopaminergic synapse	2	2	2	2	2	2	1	2	1
ko04730	Long-term depression	0	0	0	0	0	0	0	0	0
ko04740	Olfactory transduction	0	0	0	0	0	0	0	0	0
ko04742	Taste transduction	0	0	0	0	0	0	0	0	0
ko04744	Phototransduction	0	0	0	0	0	0	0	0	0
ko04745	Phototransduction - fly	0	0	0	0	0	0	0	0	0
ko04750	Inflammatory mediator regulation of TRP channels	0	0	0	0	0	0	0	0	0
ko04810	Regulation of actin cytoskeleton	0	0	0	0	0	0	0	0	0
ko04910	Insulin signaling pathway	1	0	1	2	1	1	2	1	2
ko04911	Insulin secretion	0	0	0	0	0	0	0	0	0
ko04912	GnRH signaling pathway	1	1	1	1	1	1	0	0	1
ko04913	Ovarian steroidogenesis	0	0	0	0	0	0	0	0	0
ko04914	Progesterone-mediated oocyte maturation	0	0	0	0	0	0	0	0	0
ko04915	Estrogen signaling pathway	0	0	0	0	0	0	1	0	1
ko04916	Melanogenesis	0	0	0	0	0	0	0	0	0
ko04917	Prolactin signaling pathway	0	1	0	0	0	1	1	1	0
ko04918	Thyroid hormone synthesis	2	1	2	2	1	2	2	2	1
ko04919	Thyroid hormone signaling pathway	1	1	1	1	1	1	1	1	1
ko04920	Adipocytokine signaling pathway	2	0	2	2	2	2	2	0	3
ko04921	Oxytocin signaling pathway	0	0	0	0	0	0	1	0	1
ko04922	Glucagon signaling pathway	7	4	7	7	7	7	8	7	8
ko04923	Regulation of lipolysis in adipocytes	1	3	1	1	2	1	2	1	0
ko04924	Renin secretion	0	0	0	0	0	0	0	0	0
ko04925	Aldosterone synthesis and secretion	0	0	0	0	0	0	0	0	0
ko04926	Relaxin signaling pathway	0	0	0	0	0	0	2	0	2
ko04927	Cortisol synthesis and secretion	0	0	0	0	0	0	0	0	0
ko04928	Parathyroid hormone synthesis, secretion and action	1	1	1	1	1	1	0	0	1
ko04929	GnRH secretion	0	0	0	0	0	0	0	0	0
ko04930	Type II diabetes mellitus	1	1	1	2	1	1	1	2	1
ko04931	Insulin resistance	4	2	4	4	4	3	5	3	6
ko04932	Non-alcoholic fatty liver disease	0	0	0	0	0	0	0	0	0
ko04933	AGE-RAGE signaling pathway in diabetic complications	0	0	0	0	0	0	1	0	1
ko04934	Cushing syndrome	1	1	1	1	1	1	1	1	1
ko04935	Growth hormone synthesis, secretion and action	0	0	0	0	0	0	0	0	0
ko04936	Alcoholic liver disease	4	1	3	4	3	2	4	4	2
ko04940	Type I diabetes mellitus	1	1	0	1	1	0	1	1	1
ko04950	Maturity onset diabetes of the young	0	0	0	0	0	0	0	0	0
ko04960	Aldosterone-regulated sodium reabsorption	0	0	0	0	0	0	0	0	0
ko04961	Endocrine and other factor-regulated calcium reabsorption	0	0	0	0	0	0	0	0	0
ko04962	Vasopressin-regulated water reabsorption	0	0	0	0	0	0	0	0	0
ko04964	Proximal tubule bicarbonate reclamation	2	2	2	2	2	2	2	1	3
ko04966	Collecting duct acid secretion	0	0	0	0	0	0	0	0	0
ko04970	Salivary secretion	1	0	1	1	1	1	1	0	1
ko04971	Gastric acid secretion	0	0	0	0	0	0	0	0	0
ko04972	Pancreatic secretion	1	0	1	1	1	1	1	0	1
ko04973	Carbohydrate digestion and absorption	1	0	1	2	1	1	1	1	1
ko04974	Protein digestion and absorption	0	0	0	0	0	0	0	0	0
ko04975	Fat digestion and absorption	1	2	2	2	2	1	2	2	2
ko04976	Bile secretion	0	0	0	0	0	0	0	0	0
