ko	pathway	ERR1995225_bin.1	ERR1995225_bin.10	ERR1995225_bin.11	ERR1995225_bin.12	ERR1995225_bin.13	ERR1995225_bin.14	ERR1995225_bin.15	ERR1995225_bin.16	ERR1995225_bin.17	ERR1995225_bin.18	ERR1995225_bin.19	ERR1995225_bin.2	ERR1995225_bin.20	ERR1995225_bin.21	ERR1995225_bin.22	ERR1995225_bin.23	ERR1995225_bin.24	ERR1995225_bin.25	ERR1995225_bin.26	ERR1995225_bin.27	ERR1995225_bin.28	ERR1995225_bin.29	ERR1995225_bin.3	ERR1995225_bin.30	ERR1995225_bin.31	ERR1995225_bin.32	ERR1995225_bin.33	ERR1995225_bin.34	ERR1995225_bin.35	ERR1995225_bin.36	ERR1995225_bin.37	ERR1995225_bin.4	ERR1995225_bin.5	ERR1995225_bin.6	ERR1995225_bin.7	ERR1995225_bin.8	ERR1995225_bin.9
ko00130	Ubiquinone and other terpenoid-quinone biosynthesis	23	22	20	24	19	24	27	27	28	25	29	29	24	34	24	24	24	21	27	29	20	32	28	26	21	23	25	28	28	21	21	26	20	22	21	30	30
ko00140	Steroid hormone biosynthesis	3	3	4	3	3	3	4	3	4	4	3	4	3	5	3	4	4	3	3	4	3	5	3	4	3	4	3	4	4	3	4	4	3	3	3	4	4
ko00190	Oxidative phosphorylation	4	4	3	2	2	3	4	6	4	4	2	2	4	6	3	2	2	4	4	4	3	6	4	3	2	3	2	2	4	2	2	4	4	4	2	3	5
ko00195	Photosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00196	Photosynthesis - antenna proteins	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00220	Arginine biosynthesis	37	27	39	36	12	34	41	31	37	36	37	36	35	35	42	36	37	37	36	36	28	36	38	39	35	36	33	38	38	35	37	42	31	35	37	36	37
ko00230	Purine metabolism	73	76	86	69	58	84	87	80	83	88	72	85	78	78	68	85	79	72	77	87	83	82	73	76	63	96	70	77	82	75	88	88	82	84	83	84	83
ko00232	Caffeine metabolism	0	1	1	0	0	1	1	0	1	1	0	1	3	0	0	1	3	0	0	1	1	0	0	3	0	1	3	0	1	4	1	1	1	1	0	0	1
ko00240	Pyrimidine metabolism	50	51	54	49	46	55	55	52	51	60	53	54	61	53	49	54	61	54	50	56	51	53	57	56	56	57	48	59	53	46	49	57	47	53	64	57	53
ko00250	Alanine, aspartate and glutamate metabolism	44	38	50	50	19	44	49	44	49	49	46	42	49	40	49	49	50	43	45	46	37	52	49	51	46	45	42	48	48	48	50	51	38	45	50	47	45
ko00253	Tetracycline biosynthesis	7	6	10	5	4	6	5	8	8	7	7	7	3	6	7	7	6	6	6	7	5	6	7	6	5	6	4	6	6	7	7	6	7	5	5	9	6
ko00254	Aflatoxin biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00260	Glycine, serine and threonine metabolism	71	63	69	67	41	70	68	61	71	73	69	72	67	73	67	68	69	72	69	70	64	78	72	71	65	71	60	62	70	72	73	71	66	66	65	74	70
ko00261	Monobactam biosynthesis	14	10	11	14	9	12	14	14	14	13	15	15	14	17	15	13	15	14	16	16	14	17	15	15	13	11	14	15	14	12	12	12	11	14	14	17	13
ko00270	Cysteine and methionine metabolism	69	50	64	68	37	64	64	54	65	70	65	66	61	60	62	63	69	62	63	66	61	69	66	67	58	69	57	65	63	60	64	67	59	59	68	64	65
ko00280	Valine, leucine and isoleucine degradation	41	42	38	39	41	52	38	40	42	42	38	56	35	48	39	48	38	52	49	54	51	55	40	41	43	42	35	56	42	34	47	35	28	40	38	53	47
ko00281	Geraniol degradation	8	13	8	8	12	13	8	12	11	8	9	13	11	9	9	14	9	13	13	14	14	14	8	10	10	8	8	14	11	10	14	8	8	7	8	14	12
ko00290	Valine, leucine and isoleucine biosynthesis	16	10	9	16	4	16	16	10	16	16	16	16	16	16	16	14	16	16	16	16	14	15	16	16	11	16	16	12	16	15	15	16	12	16	16	16	16
ko00300	Lysine biosynthesis	41	24	36	38	21	37	41	39	39	41	39	39	39	40	39	40	41	39	39	40	35	41	39	41	37	41	37	39	41	40	39	38	36	40	38	40	40
ko00310	Lysine degradation	16	22	20	17	17	20	16	18	22	20	15	24	19	17	17	22	18	19	23	22	19	23	19	19	19	18	14	22	19	17	20	16	15	18	15	24	18
ko00311	Penicillin and cephalosporin biosynthesis	5	3	5	4	3	5	5	5	5	5	5	4	3	5	4	3	5	5	3	5	3	5	5	4	5	4	3	4	4	5	3	4	3	4	5	6	5
ko00330	Arginine and proline metabolism	45	28	44	46	27	41	46	40	54	45	44	42	43	36	45	45	45	37	37	43	32	48	52	52	37	51	39	47	50	38	40	45	29	39	44	54	39
ko00331	Clavulanic acid biosynthesis	4	1	2	3	1	4	3	1	3	2	3	3	2	4	3	3	2	4	3	3	3	4	3	4	2	3	2	1	3	3	3	2	2	4	2	3	3
ko00332	Carbapenem biosynthesis	6	7	7	5	7	9	7	7	6	3	5	7	4	8	2	8	4	9	7	10	9	9	7	6	9	6	4	8	6	7	9	6	4	7	4	8	7
ko00333	Prodigiosin biosynthesis	12	9	11	8	11	14	13	13	14	13	12	14	9	16	13	13	13	15	13	14	13	15	13	14	13	13	9	14	14	11	14	11	4	14	9	14	12
ko00340	Histidine metabolism	24	21	25	24	17	23	24	26	22	25	23	23	27	30	25	26	27	24	21	23	14	31	23	25	12	17	25	24	25	22	23	24	15	24	25	24	26
ko00350	Tyrosine metabolism	24	22	22	24	16	20	26	23	22	31	21	22	30	27	23	26	30	21	23	26	25	35	24	27	25	33	26	34	22	19	26	26	16	28	23	27	19
ko00360	Phenylalanine metabolism	29	31	29	31	25	29	32	34	28	27	31	32	30	31	29	35	31	26	32	35	31	39	30	32	31	31	27	34	30	24	30	30	24	29	29	34	33
ko00361	Chlorocyclohexane and chlorobenzene degradation	13	8	13	9	14	16	14	13	12	13	14	13	15	15	10	12	8	12	10	14	11	14	10	12	15	14	12	15	12	11	12	14	11	14	12	13	13
ko00362	Benzoate degradation	38	45	29	36	39	57	39	40	41	42	39	61	38	46	36	52	34	49	47	59	56	56	36	36	50	48	33	56	37	29	55	38	34	39	36	55	49
ko00363	Bisphenol degradation	1	2	1	1	2	1	2	1	2	2	2	2	1	2	2	2	2	1	1	1	2	2	1	2	2	2	1	2	2	1	1	2	1	1	2	2	2
ko00364	Fluorobenzoate degradation	5	3	5	3	4	6	5	5	4	5	5	4	5	5	5	4	4	4	4	5	3	6	4	5	5	5	5	6	5	4	5	5	4	6	4	5	5
ko00365	Furfural degradation	2	6	4	2	2	6	4	2	5	4	2	5	1	4	1	4	1	3	3	5	6	2	2	2	3	3	1	3	4	2	4	4	3	5	2	2	5
ko00380	Tryptophan metabolism	17	21	21	20	15	22	18	18	23	20	19	25	22	20	20	24	21	19	23	25	22	24	20	21	18	22	18	23	22	22	23	20	16	16	18	24	24
ko00400	Phenylalanine, tyrosine and tryptophan biosynthesis	44	37	44	48	26	46	49	40	48	47	50	50	49	46	42	39	49	45	49	49	42	54	48	49	45	44	41	49	47	47	44	49	48	45	43	48	48
ko00401	Novobiocin biosynthesis	14	13	12	15	10	14	14	15	14	15	14	14	15	14	14	12	14	14	14	14	15	14	14	14	14	12	13	15	14	11	13	13	14	14	15	13	13
ko00402	Benzoxazinoid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00403	Indole diterpene alkaloid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00404	Staurosporine biosynthesis	3	5	6	4	1	5	5	6	5	5	4	3	6	5	4	5	6	5	2	5	3	6	2	6	5	3	6	4	6	10	13	12	4	1	5	5	4
ko00405	Phenazine biosynthesis	7	7	7	7	7	7	6	6	9	9	7	8	7	7	9	5	7	8	9	10	8	9	10	10	7	8	5	9	11	9	8	9	5	8	7	10	9
ko00410	beta-Alanine metabolism	17	15	18	16	12	20	20	21	21	17	18	24	21	18	17	25	18	20	23	27	16	25	19	20	21	20	16	24	20	17	24	18	11	14	18	28	23
ko00430	Taurine and hypotaurine metabolism	11	9	12	10	7	12	13	8	13	12	12	13	11	11	10	11	12	10	14	12	9	12	14	13	15	11	8	11	12	15	12	13	10	12	11	14	12
ko00440	Phosphonate and phosphinate metabolism	14	11	11	14	9	10	12	11	10	11	13	11	12	10	12	12	12	10	10	12	11	15	16	15	13	12	12	14	10	14	12	12	9	10	14	12	11
ko00450	Selenocompound metabolism	17	17	22	17	11	18	17	18	19	18	17	19	13	17	17	18	17	15	19	18	16	19	17	17	15	17	14	16	19	17	18	17	17	18	16	19	18
ko00460	Cyanoamino acid metabolism	6	5	7	6	2	8	7	7	10	9	6	7	8	5	5	10	8	7	8	8	9	9	10	8	10	11	5	8	8	8	7	10	7	7	7	9	10
ko00470	D-Amino acid metabolism	30	24	26	27	16	25	27	26	29	25	26	28	23	21	25	23	26	23	28	26	27	27	29	30	27	27	24	28	26	22	24	24	28	24	25	30	23
ko00480	Glutathione metabolism	7	8	9	8	9	12	8	13	7	8	7	7	15	10	7	8	9	8	7	7	7	12	8	8	9	14	12	13	7	7	10	8	7	7	8	8	10
ko00500	Starch and sucrose metabolism	37	34	50	40	36	47	45	13	42	50	33	49	47	40	45	47	45	46	38	53	38	41	45	41	37	42	45	16	40	54	52	51	33	42	50	47	44
ko00510	N-Glycan biosynthesis	2	2	3	2	2	3	3	2	2	4	2	2	3	2	2	3	3	3	2	3	2	4	3	3	2	2	3	4	3	2	4	3	3	2	3	2	2
ko00511	Other glycan degradation	3	3	0	6	0	2	4	0	0	6	0	2	4	3	3	2	3	2	2	2	0	7	2	2	2	2	3	0	0	4	4	5	0	3	2	2	3
ko00512	Mucin type O-glycan biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00513	Various types of N-glycan biosynthesis	1	1	1	1	1	1	2	0	0	4	0	0	2	1	0	1	1	1	0	1	0	4	1	1	0	0	1	1	1	1	3	3	0	1	1	0	1
ko00514	Other types of O-glycan biosynthesis	1	0	1	0	1	1	1	1	1	1	1	2	0	1	0	1	1	1	2	1	0	1	1	1	1	1	1	1	1	0	1	2	1	0	2	1	1
ko00515	Mannose type O-glycan biosynthesis	1	1	1	0	0	1	1	0	1	0	2	1	0	0	0	0	0	1	1	0	0	0	0	1	1	1	1	0	0	0	0	1	0	0	2	1	1
ko00520	Amino sugar and nucleotide sugar metabolism	80	86	99	93	86	106	98	71	90	101	91	99	87	92	96	85	106	106	80	96	96	100	83	91	88	91	75	90	89	101	108	93	62	97	100	105	94
ko00521	Streptomycin biosynthesis	9	11	11	10	12	11	11	10	11	13	11	10	12	12	10	10	12	11	10	11	10	14	9	11	12	10	12	10	11	11	11	11	6	11	13	11	11
ko00522	Biosynthesis of 12-, 14- and 16-membered macrolides	13	6	7	3	4	6	14	14	5	6	7	6	3	14	6	5	6	7	4	5	4	15	5	5	13	3	3	6	7	4	6	14	8	4	8	4	4
ko00523	Polyketide sugar unit biosynthesis	15	26	23	26	26	34	27	20	35	37	30	25	26	25	26	18	36	34	21	32	25	29	23	34	28	30	22	18	34	31	33	31	12	22	28	32	26
ko00524	Neomycin, kanamycin and gentamicin biosynthesis	36	6	40	35	6	39	39	32	35	9	41	39	8	37	41	8	7	7	38	41	5	9	39	41	4	38	8	36	10	3	9	10	2	34	40	41	1
ko00525	Acarbose and validamycin biosynthesis	18	13	17	16	11	15	16	11	15	18	16	15	17	13	15	17	16	15	15	17	15	16	14	18	14	16	15	15	16	15	17	17	11	15	15	17	15
ko00531	Glycosaminoglycan degradation	3	2	5	8	3	2	5	2	1	9	2	3	3	4	4	3	4	3	3	3	2	10	2	2	2	5	2	0	1	3	8	3	2	2	3	4	4
ko00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ko00533	Glycosaminoglycan biosynthesis - keratan sulfate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00540	Lipopolysaccharide biosynthesis	22	19	24	22	29	21	22	27	22	22	26	19	17	29	21	16	23	23	19	18	20	34	21	22	26	17	20	35	25	23	24	22	17	22	27	23	21
ko00541	O-Antigen nucleotide sugar biosynthesis	40	47	49	46	50	56	48	38	48	50	48	49	45	50	48	37	57	54	43	48	54	54	42	52	49	46	40	48	52	49	53	46	26	48	53	56	49
ko00542	O-Antigen repeat unit biosynthesis	2	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2
ko00550	Peptidoglycan biosynthesis	21	20	21	24	19	21	20	19	19	21	26	20	25	19	25	20	20	24	19	21	25	24	20	20	20	20	25	20	19	19	21	20	20	20	20	20	21
ko00552	Teichoic acid biosynthesis	15	12	12	14	12	14	16	7	13	13	16	13	12	15	15	13	13	12	16	14	12	17	12	12	15	10	11	15	13	14	16	13	11	12	16	17	16
ko00561	Glycerolipid metabolism	29	24	26	27	22	28	28	20	26	31	27	29	25	28	27	28	24	30	24	29	25	29	25	29	27	26	23	27	28	29	29	30	23	29	28	30	28
ko00562	Inositol phosphate metabolism	18	15	15	17	13	15	13	12	17	19	16	12	18	18	12	15	20	14	12	14	17	21	11	18	12	13	12	11	17	14	18	16	10	13	20	16	20
ko00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00564	Glycerophospholipid metabolism	29	32	29	28	27	35	31	36	31	34	28	36	30	37	34	32	31	36	34	33	24	39	30	32	35	29	24	34	32	36	32	34	29	34	33	29	35
ko00565	Ether lipid metabolism	2	3	1	2	0	5	4	2	2	3	1	5	2	6	2	4	4	5	3	3	2	7	4	3	5	3	2	2	4	3	4	5	5	5	4	2	4
ko00571	Lipoarabinomannan (LAM) biosynthesis	4	4	3	4	3	4	3	2	3	4	5	3	4	4	3	3	3	5	3	3	4	4	4	3	4	3	4	4	4	3	3	4	4	4	4	4	3
ko00572	Arabinogalactan biosynthesis - Mycobacterium	4	3	4	3	3	5	3	3	4	3	4	4	4	5	3	3	4	5	5	4	3	5	4	5	3	4	5	4	4	4	5	5	3	5	4	5	3
ko00590	Arachidonic acid metabolism	3	2	2	2	2	4	4	5	2	2	2	3	3	3	2	3	3	4	2	3	2	6	3	2	3	4	2	5	2	2	3	3	2	4	2	4	3
ko00591	Linoleic acid metabolism	1	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	3	1	2	2	4	2	2	2	2	2	2	2	2	2	2	1	3	2	2	2
ko00592	alpha-Linolenic acid metabolism	1	2	1	0	1	3	1	1	1	1	2	2	1	1	1	2	1	3	2	3	2	3	1	1	0	2	1	2	1	1	2	1	1	2	0	3	2
ko00600	Sphingolipid metabolism	9	7	5	10	4	5	10	5	4	11	4	8	8	10	10	6	10	7	5	8	4	12	7	7	6	7	7	4	5	11	9	11	5	8	6	9	9
ko00601	Glycosphingolipid biosynthesis - lacto and neolacto series	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00603	Glycosphingolipid biosynthesis - globo and isoglobo series	3	1	0	2	0	1	3	0	0	3	1	1	3	2	1	1	1	2	1	1	1	2	2	1	0	0	2	0	2	3	3	3	0	1	2	1	2
ko00604	Glycosphingolipid biosynthesis - ganglio series	1	1	0	1	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1
ko00620	Pyruvate metabolism	71	61	61	67	58	68	77	68	69	74	73	72	62	77	70	71	70	69	73	78	64	79	71	72	64	75	55	69	71	67	70	76	59	69	70	73	65
ko00621	Dioxin degradation	6	5	4	6	9	4	7	9	7	5	6	7	10	10	4	5	5	5	5	7	4	7	6	7	7	7	9	9	6	5	5	5	6	6	9	5	5
ko00622	Xylene degradation	14	10	9	12	14	13	16	17	11	16	15	14	18	17	10	12	11	13	9	14	14	16	12	11	13	13	17	16	10	9	16	17	11	13	14	11	8
ko00623	Toluene degradation	18	13	14	10	11	14	20	18	11	18	12	13	13	19	13	15	11	11	14	14	17	22	16	12	20	15	12	16	11	10	16	18	12	12	10	15	13
ko00624	Polycyclic aromatic hydrocarbon degradation	13	9	12	12	7	11	15	10	10	11	10	10	13	12	12	11	12	10	5	10	10	15	9	11	8	10	8	13	9	10	11	12	11	11	13	11	11
ko00625	Chloroalkane and chloroalkene degradation	17	8	15	14	13	13	17	15	13	17	14	14	14	16	14	13	10	12	15	14	12	15	15	14	13	14	17	17	11	12	13	16	11	12	13	18	11
ko00626	Naphthalene degradation	10	5	9	10	6	8	11	7	8	10	10	8	12	18	11	11	9	8	7	11	11	11	10	10	6	10	10	11	7	8	11	10	8	9	10	10	8
ko00627	Aminobenzoate degradation	21	26	22	25	20	22	28	22	28	28	25	32	24	30	25	22	24	22	22	32	32	29	26	25	23	22	23	26	27	19	18	25	22	24	21	28	24
ko00630	Glyoxylate and dicarboxylate metabolism	60	51	54	52	32	57	53	43	59	60	53	61	54	60	55	60	56	62	60	61	57	69	55	57	50	67	55	57	58	54	58	60	48	59	53	60	60
ko00633	Nitrotoluene degradation	12	9	14	8	9	9	12	13	11	11	13	12	6	14	11	12	12	9	11	13	9	16	12	13	11	11	7	10	11	10	9	11	10	11	10	12	13
ko00640	Propanoate metabolism	58	45	53	59	52	62	55	51	58	55	58	63	53	60	54	58	53	60	63	67	56	69	57	58	51	61	51	66	56	51	61	54	40	53	54	66	59
ko00642	Ethylbenzene degradation	4	4	6	3	4	3	4	6	5	3	4	6	3	5	4	3	4	5	3	4	3	5	4	5	2	5	3	4	4	3	3	4	3	4	4	4	4
ko00643	Styrene degradation	5	6	6	7	11	5	7	5	8	13	8	11	9	7	4	7	8	4	4	9	10	8	5	6	10	13	6	12	6	3	7	8	4	7	6	6	5
ko00650	Butanoate metabolism	54	53	48	54	51	60	54	51	58	66	56	65	53	57	57	62	55	52	62	67	64	69	55	57	52	56	44	61	56	48	58	57	43	50	51	62	56
ko00660	C5-Branched dibasic acid metabolism	10	11	5	10	4	15	10	7	10	10	9	12	10	11	10	10	10	13	11	11	9	13	9	11	11	18	10	11	11	9	10	9	9	15	9	12	13
ko00670	One carbon pool by folate	16	20	23	22	14	16	25	21	24	24	17	23	19	25	15	22	25	16	20	21	17	27	17	26	20	24	17	24	24	20	22	24	19	21	16	22	23
ko00680	Methane metabolism	86	72	84	80	58	76	87	83	88	88	82	88	65	84	75	82	82	76	83	87	71	93	93	85	82	80	59	75	81	78	81	84	75	80	70	88	84
ko00710	Carbon fixation in photosynthetic organisms	15	15	16	15	8	15	15	13	14	16	16	17	14	17	17	14	15	15	15	15	13	18	16	14	16	16	12	17	15	16	15	16	13	15	16	16	13
ko00720	Carbon fixation pathways in prokaryotes	73	58	63	66	58	68	75	71	73	71	71	74	63	69	69	67	67	73	71	76	62	82	71	72	64	70	57	69	74	61	62	70	45	66	62	72	68
ko00730	Thiamine metabolism	21	17	20	18	9	20	21	20	22	20	21	22	18	15	19	18	21	18	20	22	21	20	21	22	17	22	17	19	21	20	21	21	22	20	18	22	20
ko00740	Riboflavin metabolism	22	18	22	22	15	20	30	21	23	21	20	32	18	31	22	22	23	20	27	30	21	32	32	29	21	29	20	28	22	21	23	26	18	21	24	31	28
ko00750	Vitamin B6 metabolism	9	8	10	10	5	10	9	9	10	9	10	11	11	11	8	9	10	11	11	11	9	11	9	11	7	10	10	11	9	12	11	11	11	9	9	11	11
ko00760	Nicotinate and nicotinamide metabolism	32	48	51	33	29	49	51	29	47	51	34	44	40	36	27	50	37	36	32	50	47	41	36	35	38	49	28	34	48	40	48	49	44	49	43	40	42
ko00770	Pantothenate and CoA biosynthesis	26	16	23	25	13	27	29	19	26	23	25	27	22	27	25	21	22	27	28	27	24	30	27	30	18	27	19	25	26	23	21	25	19	26	27	29	28
ko00780	Biotin metabolism	15	10	16	12	12	16	14	15	14	16	15	14	12	16	15	16	16	16	14	16	11	18	15	15	12	16	11	17	16	15	16	16	12	14	12	16	16
ko00785	Lipoic acid metabolism	0	4	1	0	0	0	1	1	1	1	0	2	4	3	0	1	1	0	1	1	0	7	0	1	0	1	3	1	1	0	0	0	0	0	0	1	1
ko00790	Folate biosynthesis	36	29	44	44	22	29	51	50	36	49	27	48	44	47	23	43	41	27	39	39	35	48	33	46	27	32	29	52	32	36	31	36	30	29	29	34	40
ko00791	Atrazine degradation	3	5	6	6	5	4	12	6	5	4	5	7	6	2	11	7	6	4	8	6	3	5	6	5	4	7	4	6	4	3	4	11	2	1	6	6	6
ko00830	Retinol metabolism	8	6	6	8	5	6	8	6	6	8	8	6	6	6	7	8	6	6	8	8	8	8	8	8	6	8	7	8	6	6	8	8	6	7	6	8	6
ko00860	Porphyrin metabolism	57	41	50	40	40	62	70	47	53	66	53	54	43	54	56	57	46	61	41	68	39	68	68	70	52	65	41	70	60	41	65	66	58	64	48	74	64
ko00900	Terpenoid backbone biosynthesis	28	26	28	28	26	29	28	30	27	28	30	29	26	30	25	28	27	29	26	28	29	31	30	29	24	29	24	29	24	29	28	30	24	28	26	30	27
ko00901	Indole alkaloid biosynthesis	2	0	2	1	0	0	2	1	2	1	1	1	1	0	3	1	2	0	1	0	0	2	1	1	0	1	1	3	2	1	1	1	0	2	1	1	0
ko00902	Monoterpenoid biosynthesis	5	6	6	4	6	6	6	5	6	7	5	7	8	8	6	5	8	6	5	6	6	8	5	5	4	8	5	4	5	8	7	7	3	8	6	6	8
ko00903	Limonene and pinene degradation	6	10	7	7	10	10	5	9	8	7	6	9	9	8	6	10	6	10	9	10	8	9	5	6	8	7	5	10	8	8	10	7	9	6	6	10	9
ko00904	Diterpenoid biosynthesis	5	0	0	5	0	5	5	0	5	5	5	5	0	5	5	5	5	5	5	5	5	5	5	5	5	5	0	5	0	0	5	5	0	5	5	5	5
ko00905	Brassinosteroid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00906	Carotenoid biosynthesis	14	14	14	14	15	13	13	13	13	13	14	13	13	14	12	13	14	14	13	13	13	13	14	13	15	13	13	13	13	13	15	14	15	13	14	13	12
ko00908	Zeatin biosynthesis	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	2	1	1	1	1
ko00909	Sesquiterpenoid and triterpenoid biosynthesis	0	2	1	1	2	1	2	1	1	1	2	2	1	1	2	1	1	1	0	0	1	1	1	1	1	1	1	1	2	1	1	1	0	1	1	1	1
ko00910	Nitrogen metabolism	15	13	21	16	8	13	21	19	18	21	17	19	16	14	17	17	17	16	20	19	17	24	18	19	16	15	15	15	20	15	19	19	14	14	15	22	20
ko00920	Sulfur metabolism	41	39	44	34	34	41	37	48	38	39	40	42	27	43	36	43	37	37	42	40	34	50	42	38	31	36	26	32	39	33	35	32	30	37	37	44	43
ko00930	Caprolactam degradation	6	8	9	6	7	10	8	11	10	9	7	10	14	8	9	15	10	10	11	12	8	14	6	10	7	10	8	13	9	9	16	8	8	6	10	11	11
ko00940	Phenylpropanoid biosynthesis	1	1	1	1	0	1	2	2	2	1	1	2	2	4	0	1	1	1	1	2	1	3	1	2	0	2	0	2	2	1	1	2	2	1	1	2	2
