ko	pathway	ERR1995246_bin.1	ERR1995246_bin.10	ERR1995246_bin.11	ERR1995246_bin.12	ERR1995246_bin.13	ERR1995246_bin.14	ERR1995246_bin.15	ERR1995246_bin.16	ERR1995246_bin.17	ERR1995246_bin.18	ERR1995246_bin.19	ERR1995246_bin.2	ERR1995246_bin.20	ERR1995246_bin.21	ERR1995246_bin.22	ERR1995246_bin.23	ERR1995246_bin.24	ERR1995246_bin.3	ERR1995246_bin.4	ERR1995246_bin.5	ERR1995246_bin.6	ERR1995246_bin.7	ERR1995246_bin.8	ERR1995246_bin.9
ko00730	Thiamine metabolism	21	21	14	19	10	20	22	19	23	22	22	19	20	20	21	21	17	21	19	20	24	22	20	20
ko00740	Riboflavin metabolism	26	29	31	23	18	33	35	30	30	22	25	21	21	28	21	30	26	29	29	26	22	30	33	22
ko00750	Vitamin B6 metabolism	13	9	11	10	5	13	16	11	10	10	13	9	12	12	8	13	9	13	11	11	8	13	13	12
ko00760	Nicotinate and nicotinamide metabolism	48	48	34	34	29	43	45	36	50	49	39	50	39	54	34	37	34	41	37	51	54	53	42	34
ko00770	Pantothenate and CoA biosynthesis	26	28	26	29	14	31	29	23	26	27	22	29	29	26	25	30	23	28	31	27	27	27	29	22
ko00780	Biotin metabolism	16	16	16	15	14	18	16	15	14	15	16	14	16	18	15	18	13	18	16	13	17	16	18	17
ko00785	Lipoic acid metabolism	0	0	3	1	1	3	6	3	1	1	1	0	0	7	0	4	4	7	1	0	0	1	6	1
ko00790	Folate biosynthesis	35	31	42	46	18	47	57	47	38	30	54	49	31	45	23	47	45	49	45	37	30	39	47	36
ko00791	Atrazine degradation	11	1	2	6	4	1	9	2	5	2	7	4	7	11	12	1	1	1	6	7	4	6	4	6
ko00830	Retinol metabolism	8	7	6	8	6	8	8	7	6	7	6	8	6	8	8	8	8	8	7	8	8	7	8	6
ko00860	Porphyrin metabolism	65	65	50	72	36	68	70	51	57	64	51	65	65	71	57	72	49	68	81	49	68	71	72	65
ko00900	Terpenoid backbone biosynthesis	30	29	29	27	23	31	30	28	27	28	28	28	29	27	26	30	30	30	28	28	26	28	30	29
ko00901	Indole alkaloid biosynthesis	0	1	0	1	0	1	3	0	2	2	1	1	0	1	1	0	0	0	1	1	1	1	1	1
ko00902	Monoterpenoid biosynthesis	9	8	8	5	4	8	5	7	6	8	7	5	7	7	6	8	6	8	4	7	6	6	8	9
ko00903	Limonene and pinene degradation	7	9	8	8	7	9	10	5	8	9	9	6	10	10	6	6	6	9	8	6	10	10	9	10
ko00904	Diterpenoid biosynthesis	5	5	5	5	4	5	0	5	5	5	0	5	5	4	5	5	0	5	5	9	5	5	5	5
ko00905	Brassinosteroid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00906	Carotenoid biosynthesis	14	13	14	14	15	15	16	14	13	13	15	14	13	14	12	13	13	15	13	14	13	13	13	13
ko00908	Zeatin biosynthesis	1	1	1	1	1	1	2	1	1	1	2	1	1	2	1	1	1	1	2	1	1	1	1	2
ko00909	Sesquiterpenoid and triterpenoid biosynthesis	1	1	1	1	1	1	2	1	1	1	0	0	1	1	2	1	1	1	1	1	1	0	1	1
ko00910	Nitrogen metabolism	19	17	13	17	7	20	29	15	19	17	22	18	18	28	19	26	15	22	25	15	19	19	25	20
ko00920	Sulfur metabolism	33	41	42	35	27	50	68	43	38	41	53	36	41	66	37	51	34	49	44	42	47	42	52	45
ko00930	Caprolactam degradation	8	11	8	9	5	15	15	6	13	11	12	8	12	14	6	9	8	11	10	10	11	10	15	11
ko00940	Phenylpropanoid biosynthesis	3	1	4	2	0	3	4	4	2	1	1	2	2	2	1	3	3	3	2	1	2	2	3	0
ko00941	Flavonoid biosynthesis	1	0	1	1	0	1	3	1	1	0	0	1	1	0	0	1	1	1	0	0	1	1	4	0
ko00942	Anthocyanin biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ko00943	Isoflavonoid biosynthesis	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
ko00944	Flavone and flavonol biosynthesis	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	1	1	1
ko00945	Stilbenoid, diarylheptanoid and gingerol biosynthesis	2	1	2	2	1	2	1	2	2	1	1	2	2	1	1	2	2	2	1	1	2	2	2	1
ko00950	Isoquinoline alkaloid biosynthesis	7	7	7	6	3	7	8	6	6	7	6	7	8	7	7	7	7	7	6	8	7	6	7	7
ko00960	Tropane, piperidine and pyridine alkaloid biosynthesis	10	10	8	9	6	10	12	9	11	10	11	9	12	13	9	10	10	9	11	11	13	10	10	10
ko00965	Betalain biosynthesis	4	1	4	1	0	4	5	4	1	1	0	1	1	3	0	4	4	4	0	3	4	1	4	0
ko00966	Glucosinolate biosynthesis	2	2	2	2	0	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
ko00970	Aminoacyl-tRNA biosynthesis	36	32	28	33	34	30	33	30	34	32	38	29	35	37	36	30	30	29	37	36	30	33	30	35
ko00980	Metabolism of xenobiotics by cytochrome P450	9	6	5	8	4	7	10	4	6	6	6	8	6	6	7	7	6	7	6	8	8	7	8	7
ko00981	Insect hormone biosynthesis	2	2	1	1	1	1	2	0	2	2	1	2	1	1	2	1	0	1	1	2	1	1	1	2
ko00982	Drug metabolism - cytochrome P450	7	3	2	6	5	5	6	3	3	3	5	5	4	5	5	4	4	4	5	5	5	5	5	5
ko00983	Drug metabolism - other enzymes	18	16	13	13	14	17	18	13	15	15	15	15	15	12	13	16	15	17	16	16	14	16	17	16
ko00984	Steroid degradation	8	9	10	9	6	10	12	10	9	8	9	8	10	10	7	10	9	10	9	9	10	9	10	10
ko00996	Biosynthesis of various alkaloids	0	1	0	0	0	1	1	0	0	1	1	0	1	1	0	0	0	1	1	0	1	1	1	1
ko00997	Biosynthesis of various other secondary metabolites	5	5	6	4	3	5	16	6	5	4	5	5	4	9	4	5	1	5	6	6	5	4	6	6
ko00998	Biosynthesis of various antibiotics	20	19	14	19	11	19	25	18	21	22	12	21	19	21	16	22	20	20	22	20	20	20	22	20
ko00999	Biosynthesis of various plant secondary metabolites	6	7	6	6	4	11	8	4	7	6	7	7	7	6	7	12	5	8	10	7	8	8	10	7
ko01040	Biosynthesis of unsaturated fatty acids	4	6	3	4	1	3	6	6	3	5	2	4	5	5	3	4	3	3	6	4	4	5	3	5
ko01051	Biosynthesis of ansamycins	7	9	9	8	3	8	10	7	8	9	7	7	7	6	6	8	9	9	7	9	8	7	10	7
ko01052	Type I polyketide structures	13	7	14	6	3	13	14	13	5	6	14	6	5	6	5	5	13	6	6	10	6	5	15	5
ko01053	Biosynthesis of siderophore group nonribosomal peptides	9	7	7	11	2	12	15	10	12	7	11	11	12	12	12	10	10	13	13	8	8	11	12	13
ko01054	Nonribosomal peptide structures	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ko01055	Biosynthesis of vancomycin group antibiotics	5	9	9	5	6	12	10	9	7	9	10	5	11	11	6	7	8	11	11	6	12	9	12	10
ko01056	Biosynthesis of type II polyketide backbone	4	4	4	4	4	4	5	4	4	4	5	4	4	4	4	4	4	4	6	2	4	4	4	4
ko01057	Biosynthesis of type II polyketide products	17	22	15	16	13	17	23	16	17	18	19	19	16	21	15	18	12	18	18	15	19	17	17	20
ko01059	Biosynthesis of enediyne antibiotics	20	20	24	24	15	29	24	23	22	16	21	22	24	24	20	26	19	23	25	15	20	23	23	18
ko01100	Metabolic pathways	1620	1606	1591	1548	1056	1839	2094	1486	1628	1613	1618	1597	1660	1840	1457	1794	1415	1766	1707	1618	1749	1683	1843	1679
ko01110	Biosynthesis of secondary metabolites	723	745	765	714	489	851	927	717	749	729	711	693	771	820	695	821	647	774	772	723	759	776	817	750
ko01120	Microbial metabolism in diverse environments	544	542	527	491	326	591	775	498	556	539	591	541	545	719	467	567	433	583	610	565	628	583	614	544
ko01200	Carbon metabolism	193	200	184	177	122	217	247	179	198	199	191	193	202	239	177	210	163	223	210	183	205	204	223	192
ko01210	2-Oxocarboxylic acid metabolism	53	53	51	52	16	52	52	29	53	53	49	53	53	52	53	52	32	52	52	53	52	53	51	53
ko01212	Fatty acid metabolism	26	45	35	28	24	39	43	37	32	44	38	28	44	44	28	34	34	37	43	18	41	44	40	44
ko01220	Degradation of aromatic compounds	70	68	87	65	50	88	129	82	69	70	83	69	72	103	55	82	79	87	87	81	91	78	89	71
ko01230	Biosynthesis of amino acids	193	194	182	193	97	198	203	150	193	195	184	193	194	192	186	201	134	198	193	188	176	195	197	198
ko01232	Nucleotide metabolism	62	60	52	47	48	61	66	50	58	58	54	60	49	59	49	56	53	56	52	58	60	61	58	54
ko01240	Biosynthesis of cofactors	218	214	211	223	128	240	253	222	214	208	217	222	210	248	189	247	204	249	241	193	217	233	247	214
ko01250	Biosynthesis of nucleotide sugars	111	104	114	105	94	132	124	114	115	107	97	107	122	112	105	127	122	110	119	108	120	117	128	127
ko01501	beta-Lactam resistance	5	5	7	5	7	8	4	5	4	3	2	2	4	4	3	7	3	8	2	6	4	5	3	4
ko01502	Vancomycin resistance	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
ko01503	Cationic antimicrobial peptide (CAMP) resistance	7	7	10	9	9	10	12	10	7	7	11	8	9	11	8	10	9	10	11	7	10	8	10	8
ko01521	EGFR tyrosine kinase inhibitor resistance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko01522	Endocrine resistance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko01523	Antifolate resistance	3	2	2	3	2	4	4	4	3	2	4	4	4	2	2	4	4	4	2	2	3	4	4	3
ko01524	Platinum drug resistance	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ko02010	ABC transporters	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
ko02020	Two-component system	19	19	26	17	10	28	42	26	19	22	34	18	17	27	19	27	26	26	27	21	29	16	28	26
ko02024	Quorum sensing	16	18	16	18	7	21	28	15	18	17	15	16	18	18	15	21	15	20	16	14	15	21	22	17
ko02025	Biofilm formation - Pseudomonas aeruginosa	7	6	7	8	6	8	9	8	8	7	6	6	8	8	8	8	8	8	8	4	7	8	8	7
ko02026	Biofilm formation - Escherichia coli	4	4	2	4	2	3	5	2	4	4	1	4	4	2	3	3	3	2	1	3	4	4	2	4
ko02030	Bacterial chemotaxis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko02040	Flagellar assembly	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko02060	Phosphotransferase system (PTS)	21	29	10	21	15	3	42	1	22	27	13	50	29	3	16	3	1	3	1	16	52	28	1	22
ko03008	Ribosome biogenesis in eukaryotes	1	0	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	1	1	1
ko03010	Ribosome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03013	Nucleocytoplasmic transport	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03015	mRNA surveillance pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
