Pathway	ERR1995246_bin.1	ERR1995246_bin.10	ERR1995246_bin.11	ERR1995246_bin.12	ERR1995246_bin.13	ERR1995246_bin.14	ERR1995246_bin.15	ERR1995246_bin.16	ERR1995246_bin.17	ERR1995246_bin.18	ERR1995246_bin.19	ERR1995246_bin.2	ERR1995246_bin.20	ERR1995246_bin.21	ERR1995246_bin.22	ERR1995246_bin.23	ERR1995246_bin.24	ERR1995246_bin.3	ERR1995246_bin.4	ERR1995246_bin.5	ERR1995246_bin.6	ERR1995246_bin.7	ERR1995246_bin.8	ERR1995246_bin.9
De novo purine biosynthesis, PRPP + glutamine => IMP	18	18	17	19	6	17	17	17	18	18	17	18	18	19	17	17	17	17	17	18	18	18	17	18
Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	4	3	4	3	2	5	5	4	4	3	5	4	4	5	3	4	4	5	4	3	4	4	5	4
Guanine ribonucleotide biosynthesis, IMP => GDP,GTP	3	3	3	3	3	4	4	3	3	3	4	3	3	4	3	3	3	4	4	3	3	3	4	3
De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP	13	13	13	12	5	13	13	13	13	13	12	13	13	12	13	13	13	13	12	13	13	13	13	13
Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP	3	3	3	3	3	4	3	3	3	2	4	3	3	4	3	3	3	4	4	3	3	3	4	3
Deoxyribonucleotide biosynthesis, ADP/GDP/CDP/UDP => dATP/dGTP/dCTP/dUTP	0	0	1	0	2	3	3	1	0	0	3	2	1	2	0	1	1	2	2	0	0	0	2	0
N-glycan precursor biosynthesis	3	1	1	2	2	2	2	1	1	1	1	3	1	1	1	4	3	1	3	1	1	1	2	4
O-glycan biosynthesis, mucin type core	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glycosaminoglycan biosynthesis, linkage tetrasaccharide	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Glycosaminoglycan biosynthesis, chondroitin sulfate backbone	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glycosaminoglycan biosynthesis, heparan sulfate backbone	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type	4	4	9	4	7	9	9	8	3	4	9	3	4	9	3	9	9	9	9	2	3	3	9	4
D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P	5	6	2	5	2	6	7	1	5	5	3	2	5	2	2	6	2	6	3	5	6	3	5	5
CMP-KDO biosynthesis	3	4	4	4	4	4	4	4	3	4	4	3	3	3	4	4	4	3	4	3	4	3	4	3
ADP-L-glycero-D-manno-heptose biosynthesis	6	5	5	6	6	5	6	5	5	5	6	5	5	6	5	6	5	5	6	6	5	5	6	5
GPI-anchor biosynthesis, core oligosaccharide	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactosylceramide biosynthesis	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1
Sulfoglycolipids biosynthesis, ceramide/1-alkyl-2-acylglycerol => sulfatide/seminolipid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glycosphingolipid biosynthesis, globo-series, LacCer => Gb4Cer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glycosphingolipid biosynthesis, ganglio series, LacCer => GT3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glycosphingolipid biosynthesis, lacto-series, LacCer => Lc4Cer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glycosphingolipid biosynthesis, neolacto-series, LacCer => nLc4Cer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N-glycosylation by oligosaccharyltransferase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N-glycan precursor trimming	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N-glycan biosynthesis, high-mannose type	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N-glycan biosynthesis, complex type	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Dermatan sulfate degradation	1	1	3	1	0	3	2	1	1	1	0	1	1	2	2	3	2	3	0	3	3	4	3	1
Chondroitin sulfate degradation	1	1	3	1	0	3	1	1	1	1	0	1	1	2	1	3	1	3	0	3	3	3	3	1
Heparan sulfate degradation	1	1	5	2	1	6	3	2	1	1	1	2	2	3	3	5	3	6	1	4	4	5	5	2
Keratan sulfate degradation	1	0	3	0	0	3	1	0	0	0	0	1	0	2	0	3	1	3	0	3	2	2	3	0
Pectin degradation	0	1	0	0	0	1	1	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	0	1
Fatty acid biosynthesis, initiation	12	12	12	12	12	12	12	12	12	12	11	12	12	11	12	12	12	10	12	7	12	12	12	12
Fatty acid biosynthesis, elongation	12	12	12	12	12	12	12	12	12	12	11	12	12	12	12	12	12	10	12	5	12	12	12	12
Fatty acid elongation in mitochondria	0	3	0	0	0	0	4	0	1	3	0	1	3	3	0	0	0	0	2	0	0	3	0	3
beta-Oxidation, acyl-CoA synthesis	0	2	2	2	0	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2
beta-Oxidation	2	14	6	1	1	10	12	6	5	14	10	3	14	14	1	5	5	10	13	1	11	14	10	14
Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone	4	4	4	4	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	4	4	4	4
Triacylglycerol biosynthesis	2	3	2	2	2	2	2	2	2	3	2	2	2	2	3	2	2	2	2	1	2	2	3	2
Phosphatidylcholine (PC) biosynthesis, choline => PC	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
Phosphatidylcholine (PC) biosynthesis, PE => PC	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Phosphatidylethanolamine (PE) biosynthesis, ethanolamine => PE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE	3	3	4	2	3	4	4	4	3	2	4	3	2	4	4	4	4	4	3	2	3	4	4	3
Ceramide biosynthesis	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
C5 isoprenoid biosynthesis, mevalonate pathway	4	4	4	3	3	5	4	3	3	3	3	4	4	2	2	4	4	4	3	3	4	4	4	5
C5 isoprenoid biosynthesis, non-mevalonate pathway	9	8	9	8	4	9	9	9	9	8	8	8	9	7	8	9	8	9	8	9	6	9	9	9
beta-Carotene biosynthesis, GGAP => beta-carotene	4	4	4	4	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
Acylglycerol degradation	1	3	2	0	2	1	2	2	2	1	2	1	2	2	2	2	2	2	2	2	2	2	3	2
Sphingosine biosynthesis	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
Sphingosine degradation	1	0	2	2	0	2	1	2	1	1	0	2	2	0	0	2	1	2	0	0	1	2	2	2
Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Ergocalciferol biosynthesis, squalene 2,3-epoxide => ergosterol/ergocalciferol	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Cholecalciferol biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate	0	1	0	0	1	1	2	0	0	1	1	0	3	2	1	1	1	0	3	2	2	2	1	2
Conjugated bile acid biosynthesis, cholate => taurocholate/glycocholate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Steroid hormone biosynthesis, cholesterol => prognenolone => progesterone	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C21-Steroid hormone biosynthesis, progesterone => corticosterone/aldosterone	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C19/C18-Steroid hormone biosynthesis, pregnenolone => androstenedione => estrone	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tocopherol/tocotorienol biosynthesis, homogentisate + phytyl/geranylgeranyl-PP => tocopherol/tocotorienol	2	1	2	2	1	2	2	2	1	2	2	2	1	3	2	2	1	2	2	2	1	1	2	2
Jasmonic acid biosynthesis	0	1	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	1	0	1	1	0	1
Ascorbate biosynthesis, plants, fructose-6P => ascorbate	4	2	4	2	4	4	4	3	4	2	2	2	4	4	4	4	4	4	4	4	4	4	4	4
NAD biosynthesis, aspartate => quinolinate => NAD	7	4	7	6	4	7	7	7	7	6	6	6	7	7	6	7	7	7	6	7	7	7	7	5
Menaquinone biosynthesis, chorismate (+ polyprenyl-PP) => menaquinol	5	7	7	6	3	8	9	7	6	6	7	7	7	9	6	8	6	9	8	6	6	8	8	8
Ubiquinone biosynthesis, prokaryotes, chorismate (+ polyprenyl-PP) => ubiquinol	9	7	9	6	4	6	10	8	7	7	6	7	7	9	5	8	7	8	8	7	7	6	8	6
Glutathione biosynthesis, glutamate => glutathione	0	0	0	1	1	0	2	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0
Pantothenate biosynthesis, valine/L-aspartate => pantothenate	3	3	6	6	2	6	6	6	3	3	3	6	6	5	3	6	5	6	6	3	3	6	6	3
Coenzyme A biosynthesis, pantothenate => CoA	9	8	7	7	4	9	7	8	8	8	7	8	8	7	7	9	8	7	9	7	8	7	10	5
Heme biosynthesis, plants and bacteria, glutamate => heme	7	7	8	12	7	10	14	8	12	7	13	10	8	12	11	10	8	9	11	7	10	10	9	7
Cobalamin biosynthesis, cobyrinate a,c-diamide => cobalamin	9	9	5	9	2	8	6	5	4	9	3	9	8	8	5	9	4	9	10	5	8	9	9	9
Biotin biosynthesis, pimeloyl-ACP/CoA => biotin	6	6	5	6	4	6	6	5	5	6	5	6	6	6	5	6	2	6	6	6	6	6	6	6
Pyridoxal-P biosynthesis, erythrose-4P => pyridoxal-P	4	3	5	3	1	6	6	5	3	4	5	3	3	3	3	6	4	6	3	3	4	5	6	3
Riboflavin biosynthesis, plants and bacteria, GTP => riboflavin/FMN/FAD	10	16	15	10	7	16	14	16	16	10	15	11	10	14	9	14	16	15	13	10	10	16	16	10
Tetrahydrofolate biosynthesis, GTP => THF	5	6	11	11	4	11	12	12	6	6	13	11	4	9	4	11	11	11	9	11	7	5	12	5
Thiamine biosynthesis, prokaryotes, AIR (+ DXP/tyrosine) => TMP/TPP	9	10	6	10	3	9	10	8	10	10	10	9	9	10	10	10	9	10	9	9	10	10	9	9
Ubiquinone biosynthesis, eukaryotes, 4-hydroxybenzoate + polyprenyl-PP => ubiquinol	1	1	1	0	0	0	1	1	1	1	0	1	1	0	0	0	0	0	1	1	1	0	0	0
Ascorbate biosynthesis, animals, glucose-1P => ascorbate	5	5	5	4	3	4	5	4	5	5	3	4	5	4	4	5	5	4	3	4	4	4	5	6
Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol	0	0	1	0	1	1	1	1	0	0	1	0	0	1	0	1	0	1	0	1	0	0	1	0
Inositol phosphate metabolism, Ins(1,3,4)P3 => phytate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine	5	4	4	4	5	2	5	3	5	4	4	3	4	4	5	4	2	3	5	4	2	4	5	6
Polyamine biosynthesis, arginine => ornithine => putrescine	1	2	2	1	1	1	2	2	1	2	1	1	1	2	2	2	1	1	1	1	1	1	2	2
GABA biosynthesis, eukaryotes, putrescine => GABA	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3
GABA biosynthesis, prokaryotes, putrescine => GABA	4	4	3	4	3	4	4	3	4	4	4	4	4	3	4	3	3	3	4	4	4	4	4	4
Flavanone biosynthesis, phenylalanine => naringenin	0	0	1	0	0	1	1	1	0	0	1	0	0	0	0	1	1	1	0	0	0	0	1	0
Flavonoid biosynthesis, naringenin => pelargonidin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1-unit interconversion, prokaryotes	4	5	3	3	3	5	2	5	5	4	3	4	3	3	3	5	4	5	5	3	4	3	4	4
C1-unit interconversion, eukaryotes	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
NADH:ubiquinone oxidoreductase, mitochondria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NADH:quinone oxidoreductase, prokaryotes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAD(P)H:quinone oxidoreductase, chloroplasts and cyanobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NADH dehydrogenase (ubiquinone) 1 alpha subcomplex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NADH dehydrogenase (ubiquinone) 1 beta subcomplex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Succinate dehydrogenase (ubiquinone)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Succinate dehydrogenase, prokaryotes	2	2	2	2	1	3	4	3	2	1	4	2	2	2	2	3	3	2	1	2	2	2	3	1
Fumarate reductase, prokaryotes	2	2	2	1	1	2	4	2	2	2	3	2	1	3	2	2	2	2	1	1	1	2	2	1
Cytochrome bc1 complex respiratory unit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cytochrome bc1 complex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cytochrome bd ubiquinol oxidase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cytochrome c oxidase	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1
Cytochrome c oxidase, prokaryotes	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cytochrome c oxidase, cbb3-type	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F-type ATPase, prokaryotes and chloroplasts	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F-type ATPase, eukaryotes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
V/A-type ATPase, prokaryotes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
V-type ATPase, eukaryotes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Photosystem II	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cytochrome b6f complex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Photosystem I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reductive pentose phosphate cycle (Calvin cycle)	7	7	8	6	7	8	12	7	7	7	9	7	7	10	6	7	7	8	9	7	7	7	7	7
Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P	4	4	4	3	4	4	4	4	4	4	4	4	4	3	3	4	4	4	4	4	4	4	4	4
Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P	3	3	4	3	3	4	8	3	3	3	5	3	3	7	3	3	3	4	5	3	3	3	3	3
CAM (Crassulacean acid metabolism), dark	1	1	1	1	1	1	2	1	1	0	1	1	1	1	0	1	1	1	1	1	0	1	1	1
CAM (Crassulacean acid metabolism), light	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	2	2	2
C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type	1	1	1	0	0	1	2	1	1	1	0	1	1	0	1	1	1	1	0	0	0	1	1	1
C4-dicarboxylic acid cycle, NAD - malic enzyme type	2	2	2	2	1	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2
C4-dicarboxylic acid cycle, NADP - malic enzyme type	2	2	2	2	1	2	3	2	2	2	2	2	2	2	2	2	1	2	2	2	1	2	2	2
Reductive citrate cycle (Arnon-Buchanan cycle)	33	33	30	30	25	33	42	30	32	31	38	33	31	38	31	36	32	37	27	30	26	33	34	30
Methane oxidation, methanotroph, methane => formaldehyde	1	0	2	1	1	2	3	1	1	0	2	1	1	1	1	2	1	1	1	1	1	1	1	1
Nitrogen fixation, nitrogen => ammonia	2	1	2	2	2	2	1	2	2	1	1	1	2	2	4	2	2	2	6	2	1	2	1	2
Assimilatory sulfate reduction, sulfate => H2S	5	4	6	6	4	8	10	7	6	4	4	5	5	8	7	9	4	9	7	5	6	7	9	4
Pyruvate oxidation, pyruvate => acetyl-CoA	11	10	11	11	11	11	11	11	11	10	11	11	11	10	11	11	10	11	11	11	11	11	11	11
Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P	7	6	4	6	6	7	7	3	7	6	7	7	7	6	6	5	3	5	7	6	7	7	7	7
Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate	7	7	2	3	2	4	4	2	7	7	5	7	4	7	4	3	2	3	4	6	7	7	4	4
Cysteine biosynthesis, homocysteine + serine => cysteine	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	0	3	3	3	3	3	3	3
Formaldehyde assimilation, xylulose monophosphate pathway	1	1	1	1	1	1	3	1	1	1	2	1	1	2	1	1	1	1	2	1	2	1	2	1
Formaldehyde assimilation, ribulose monophosphate pathway	6	6	6	7	5	6	7	6	6	6	5	7	7	6	5	6	7	6	7	6	7	7	6	6
Formaldehyde assimilation, serine pathway	5	5	5	5	6	5	9	5	6	5	8	5	5	9	4	5	5	7	6	4	5	5	5	5
Methanogenesis, methanol => methane	9	7	10	8	5	11	12	10	7	6	11	7	6	15	6	9	8	11	9	9	7	7	10	6
Methanogenesis, acetate => methane	14	9	12	9	7	12	13	12	12	8	12	11	9	17	10	10	11	12	11	11	10	10	12	9
Coenzyme M biosynthesis	2	2	2	2	0	2	3	2	2	2	2	2	2	3	2	2	0	2	2	3	3	2	1	2
EHEC pathogenicity signature, Shiga toxin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C10-C20 isoprenoid biosynthesis, bacteria	4	3	4	3	4	4	4	4	4	3	3	3	4	3	3	4	3	4	3	4	3	4	4	4
C10-C20 isoprenoid biosynthesis, archaea	2	1	2	1	2	2	2	2	2	1	1	1	2	1	1	2	1	2	1	2	1	2	2	2
C10-C20 isoprenoid biosynthesis, plants	2	1	2	1	2	2	2	2	2	1	1	1	2	1	1	2	1	2	1	2	1	2	2	2
