ko	pathway	ERR1995228_bin.1	ERR1995228_bin.10	ERR1995228_bin.11	ERR1995228_bin.12	ERR1995228_bin.13	ERR1995228_bin.14	ERR1995228_bin.15	ERR1995228_bin.16	ERR1995228_bin.2	ERR1995228_bin.3	ERR1995228_bin.4	ERR1995228_bin.5	ERR1995228_bin.6	ERR1995228_bin.7	ERR1995228_bin.8	ERR1995228_bin.9
ko00331	Clavulanic acid biosynthesis	2	3	3	4	4	4	2	3	3	3	4	4	2	2	4	2
ko00332	Carbapenem biosynthesis	9	4	8	9	5	7	3	9	6	6	12	12	7	7	7	6
ko00333	Prodigiosin biosynthesis	11	13	15	17	15	12	8	16	13	14	16	14	11	12	11	7
ko00340	Histidine metabolism	25	22	28	30	25	25	24	28	26	23	27	27	19	23	26	25
ko00350	Tyrosine metabolism	26	24	30	27	27	26	28	35	28	24	36	41	29	19	27	27
ko00360	Phenylalanine metabolism	38	27	35	33	28	34	28	38	32	29	41	47	35	30	31	30
ko00361	Chlorocyclohexane and chlorobenzene degradation	15	11	14	15	14	15	14	16	16	13	20	23	14	11	14	13
ko00362	Benzoate degradation	53	35	59	47	41	35	33	59	49	42	65	83	49	43	43	35
ko00363	Bisphenol degradation	1	2	2	2	1	2	1	2	2	2	2	1	1	1	2	2
ko00364	Fluorobenzoate degradation	5	4	6	5	4	5	5	6	6	5	7	9	6	5	4	5
ko00365	Furfural degradation	4	2	2	3	1	2	1	2	4	4	8	8	1	4	4	6
ko00380	Tryptophan metabolism	26	19	24	20	16	24	19	26	22	25	30	31	23	20	24	21
ko00400	Phenylalanine, tyrosine and tryptophan biosynthesis	48	50	53	46	41	50	45	50	50	49	52	53	47	47	50	50
ko00401	Novobiocin biosynthesis	12	14	14	14	15	12	15	14	14	15	14	15	12	14	13	11
ko00402	Benzoxazinoid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00403	Indole diterpene alkaloid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00404	Staurosporine biosynthesis	5	1	6	4	1	7	6	5	5	7	9	8	2	3	7	12
ko00405	Phenazine biosynthesis	6	8	11	8	8	11	6	11	10	9	13	13	10	10	8	7
ko00410	beta-Alanine metabolism	24	18	21	20	17	19	16	25	19	19	25	25	18	18	19	19
ko00430	Taurine and hypotaurine metabolism	14	11	12	11	12	12	9	13	15	12	15	17	12	11	15	14
ko00440	Phosphonate and phosphinate metabolism	12	14	12	10	11	14	11	12	13	12	15	18	14	10	11	13
ko00450	Selenocompound metabolism	20	19	19	17	15	17	15	19	19	19	25	25	19	21	19	17
ko00460	Cyanoamino acid metabolism	10	6	9	6	7	10	5	9	9	7	10	11	7	5	8	9
ko00470	D-Amino acid metabolism	30	27	26	26	27	26	25	30	30	27	29	30	31	24	29	24
ko00480	Glutathione metabolism	13	6	14	7	11	12	13	14	11	9	26	26	14	13	12	8
ko00500	Starch and sucrose metabolism	58	38	50	42	39	54	45	50	51	35	58	60	20	17	53	53
ko00510	N-Glycan biosynthesis	3	3	3	2	2	5	5	4	2	2	2	2	4	3	4	4
ko00511	Other glycan degradation	5	0	7	6	5	4	3	6	6	2	3	3	0	0	4	5
ko00512	Mucin type O-glycan biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00513	Various types of N-glycan biosynthesis	2	1	4	1	2	4	3	2	2	0	1	0	1	0	3	4
ko00514	Other types of O-glycan biosynthesis	1	0	1	1	2	0	2	1	1	1	1	1	1	1	1	1
ko00515	Mannose type O-glycan biosynthesis	0	0	2	0	3	0	1	1	1	1	0	0	0	1	0	0
ko00520	Amino sugar and nucleotide sugar metabolism	108	93	108	97	88	104	84	106	105	98	109	110	93	92	106	99
ko00521	Streptomycin biosynthesis	9	11	15	12	9	11	12	14	12	11	12	12	10	10	11	11
ko00522	Biosynthesis of 12-, 14- and 16-membered macrolides	12	5	7	15	4	6	4	15	14	7	16	14	5	6	6	13
ko00523	Polyketide sugar unit biosynthesis	22	29	31	24	16	32	25	31	30	30	37	27	21	23	28	32
ko00524	Neomycin, kanamycin and gentamicin biosynthesis	38	41	42	39	6	42	8	41	37	39	44	44	8	7	9	6
ko00525	Acarbose and validamycin biosynthesis	14	17	18	14	16	17	13	19	17	16	20	18	9	11	17	17
ko00531	Glycosaminoglycan degradation	8	1	10	9	5	4	2	10	8	1	5	7	2	2	4	4
ko00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
ko00533	Glycosaminoglycan biosynthesis - keratan sulfate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00540	Lipopolysaccharide biosynthesis	25	23	31	33	22	22	19	33	21	23	30	35	31	29	23	21
ko00541	O-Antigen nucleotide sugar biosynthesis	51	51	58	52	44	52	44	58	54	55	55	54	51	52	50	48
ko00542	O-Antigen repeat unit biosynthesis	2	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2
ko00550	Peptidoglycan biosynthesis	21	21	21	19	20	19	25	23	20	20	19	20	20	19	21	20
ko00552	Teichoic acid biosynthesis	14	15	14	16	12	15	11	17	15	13	16	13	13	13	11	15
ko00561	Glycerolipid metabolism	32	26	26	28	27	29	24	26	28	27	34	36	24	24	32	30
ko00562	Inositol phosphate metabolism	15	15	20	19	16	17	13	21	18	17	22	24	8	10	19	16
ko00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00564	Glycerophospholipid metabolism	40	36	38	39	33	39	28	36	34	33	40	43	30	33	38	35
ko00565	Ether lipid metabolism	5	3	4	6	4	3	2	4	3	4	5	4	1	1	5	5
ko00571	Lipoarabinomannan (LAM) biosynthesis	4	3	5	4	4	3	4	4	3	3	4	4	4	4	3	4
ko00572	Arabinogalactan biosynthesis - Mycobacterium	3	3	5	5	4	4	5	5	4	4	5	4	3	3	4	5
ko00590	Arachidonic acid metabolism	5	2	3	4	4	4	4	6	4	2	7	7	4	3	4	3
ko00591	Linoleic acid metabolism	2	2	2	2	2	2	2	3	2	2	4	3	2	2	2	2
ko00592	alpha-Linolenic acid metabolism	3	2	1	1	1	1	1	2	1	1	3	3	2	1	2	1
ko00600	Sphingolipid metabolism	12	7	13	14	10	11	7	13	12	7	9	8	4	3	9	11
ko00601	Glycosphingolipid biosynthesis - lacto and neolacto series	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00603	Glycosphingolipid biosynthesis - globo and isoglobo series	3	1	2	3	2	3	2	2	3	1	3	2	0	0	3	3
ko00604	Glycosphingolipid biosynthesis - ganglio series	1	0	1	1	1	1	0	1	1	0	1	0	0	0	1	1
ko00620	Pyruvate metabolism	72	72	73	72	78	69	55	78	79	71	93	98	71	70	78	75
ko00621	Dioxin degradation	7	5	7	11	8	9	9	9	7	7	12	25	5	8	7	5
ko00622	Xylene degradation	17	11	17	19	19	18	17	19	18	11	23	31	13	13	17	14
ko00623	Toluene degradation	19	14	20	18	13	15	15	23	21	13	26	31	17	10	13	16
ko00624	Polycyclic aromatic hydrocarbon degradation	14	11	13	13	13	13	10	15	15	10	18	34	11	6	14	10
ko00625	Chloroalkane and chloroalkene degradation	16	12	15	14	15	19	18	18	17	12	22	26	13	16	16	16
ko00626	Naphthalene degradation	20	10	11	18	11	12	10	11	11	8	13	18	10	8	11	10
ko00627	Aminobenzoate degradation	24	23	28	26	21	26	22	29	27	26	47	61	26	18	26	30
ko00630	Glyoxylate and dicarboxylate metabolism	57	54	70	58	58	59	51	66	62	57	74	80	55	60	62	64
ko00633	Nitrotoluene degradation	14	12	13	14	10	14	6	15	12	13	18	21	12	12	12	11
ko00640	Propanoate metabolism	60	58	69	60	57	58	50	67	63	56	66	79	59	61	61	54
ko00642	Ethylbenzene degradation	7	3	5	5	5	6	3	6	6	4	7	13	5	6	5	3
ko00643	Styrene degradation	7	6	8	7	7	7	7	10	7	8	11	14	11	6	7	7
ko00650	Butanoate metabolism	58	49	63	55	57	55	46	72	57	54	72	83	58	52	61	55
ko00660	C5-Branched dibasic acid metabolism	9	9	12	10	10	10	13	13	11	10	16	22	13	14	10	11
ko00670	One carbon pool by folate	25	16	28	25	20	21	20	28	23	24	22	22	26	25	21	24
ko00680	Methane metabolism	96	85	97	87	80	89	58	93	92	85	117	120	85	87	88	85
ko00710	Carbon fixation in photosynthetic organisms	16	16	18	16	16	17	12	17	17	15	22	22	16	16	17	16
ko00720	Carbon fixation pathways in prokaryotes	68	69	85	69	75	67	63	78	77	71	88	97	69	69	68	71
ko00730	Thiamine metabolism	21	21	21	16	19	21	16	20	23	22	21	21	18	18	21	21
ko00740	Riboflavin metabolism	25	25	30	30	21	27	21	33	25	30	36	37	24	25	25	26
ko00750	Vitamin B6 metabolism	10	9	12	13	9	11	10	13	10	10	17	17	8	7	10	13
ko00760	Nicotinate and nicotinamide metabolism	52	33	42	37	39	43	28	44	55	48	60	60	40	41	59	49
ko00770	Pantothenate and CoA biosynthesis	28	30	30	28	21	26	21	30	26	27	30	31	26	28	25	27
ko00780	Biotin metabolism	16	13	18	16	16	15	11	18	16	16	17	18	13	17	16	13
ko00785	Lipoic acid metabolism	1	1	7	3	0	1	3	7	0	1	6	6	1	1	1	0
ko00790	Folate biosynthesis	49	26	51	46	27	40	29	47	36	37	55	57	49	52	35	36
ko00791	Atrazine degradation	6	7	1	2	3	6	3	1	10	7	7	6	7	6	5	11
ko00830	Retinol metabolism	7	8	8	6	8	8	8	8	8	6	8	8	7	7	8	7
ko00860	Porphyrin metabolism	68	55	62	54	53	60	41	68	70	67	70	74	67	71	70	65
ko00900	Terpenoid backbone biosynthesis	28	29	31	30	28	29	25	30	27	28	30	31	27	28	29	30
ko00901	Indole alkaloid biosynthesis	1	1	0	0	1	1	2	2	2	2	2	2	2	1	3	1
ko00902	Monoterpenoid biosynthesis	7	5	8	7	4	6	7	8	7	5	6	7	5	1	6	9
ko00903	Limonene and pinene degradation	9	5	9	9	6	8	6	9	7	8	11	11	8	6	8	7
ko00904	Diterpenoid biosynthesis	0	5	5	5	5	0	0	5	5	6	0	0	0	0	5	5
ko00905	Brassinosteroid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00906	Carotenoid biosynthesis	12	14	13	15	13	14	13	15	14	13	19	15	14	13	13	14
ko00908	Zeatin biosynthesis	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1
ko00909	Sesquiterpenoid and triterpenoid biosynthesis	1	2	1	1	1	2	1	1	1	1	2	2	2	2	1	1
ko00910	Nitrogen metabolism	24	16	26	15	16	18	15	21	21	19	25	34	24	25	18	19
ko00920	Sulfur metabolism	51	38	54	44	35	44	27	51	42	40	70	75	47	39	39	34
ko00930	Caprolactam degradation	14	6	11	8	8	11	6	16	10	8	15	16	11	4	12	8
ko00940	Phenylpropanoid biosynthesis	2	1	3	3	1	2	0	3	2	2	4	3	1	2	2	3
ko00941	Flavonoid biosynthesis	1	0	1	1	1	1	0	1	1	1	4	0	1	1	1	1
ko00942	Anthocyanin biosynthesis	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ko00943	Isoflavonoid biosynthesis	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
ko00944	Flavone and flavonol biosynthesis	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1
ko00945	Stilbenoid, diarylheptanoid and gingerol biosynthesis	2	1	2	2	2	2	1	2	2	2	2	1	2	2	2	2
ko00950	Isoquinoline alkaloid biosynthesis	7	6	7	7	6	7	7	8	9	7	6	7	7	6	8	8
ko00960	Tropane, piperidine and pyridine alkaloid biosynthesis	9	9	10	10	10	12	10	11	9	10	10	14	10	9	10	10
ko00965	Betalain biosynthesis	4	3	4	4	1	0	0	5	5	1	5	4	2	1	2	5
ko00966	Glucosinolate biosynthesis	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2
ko00970	Aminoacyl-tRNA biosynthesis	33	36	30	29	29	34	33	31	31	34	34	33	37	32	31	35
ko00980	Metabolism of xenobiotics by cytochrome P450	7	7	7	4	8	8	7	8	8	5	9	9	5	4	8	9
ko00981	Insect hormone biosynthesis	2	1	2	1	2	2	1	2	1	2	1	2	1	1	1	2
ko00982	Drug metabolism - cytochrome P450	4	4	4	2	5	5	5	6	5	3	6	6	4	3	6	7
ko00983	Drug metabolism - other enzymes	17	12	17	14	13	15	13	17	15	16	20	21	13	14	16	18
ko00984	Steroid degradation	8	8	10	11	8	8	8	10	10	8	9	11	7	6	8	9
ko00996	Biosynthesis of various alkaloids	1	0	1	0	0	0	0	1	0	0	1	1	1	1	0	0
ko00997	Biosynthesis of various other secondary metabolites	6	4	5	5	3	5	5	6	4	4	15	15	5	3	5	5
ko00998	Biosynthesis of various antibiotics	20	22	20	18	19	22	11	20	21	20	26	25	20	20	18	20
ko00999	Biosynthesis of various plant secondary metabolites	7	6	11	6	6	12	8	11	7	5	8	8	11	10	8	7
ko01040	Biosynthesis of unsaturated fatty acids	7	3	3	3	3	3	4	3	4	3	7	6	4	2	3	4
ko01051	Biosynthesis of ansamycins	7	6	9	9	7	8	7	8	7	9	10	9	3	6	8	7
ko01052	Type I polyketide structures	11	3	6	14	3	6	5	13	13	6	14	14	3	6	6	11
ko01053	Biosynthesis of siderophore group nonribosomal peptides	8	12	12	8	6	9	9	12	12	12	14	14	9	11	10	9
ko01054	Nonribosomal peptide structures	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ko01055	Biosynthesis of vancomycin group antibiotics	9	6	10	6	5	8	7	11	6	5	13	12	10	11	6	4
ko01056	Biosynthesis of type II polyketide backbone	4	4	4	4	4	4	1	4	4	4	5	5	4	4	4	2
ko01057	Biosynthesis of type II polyketide products	17	14	16	15	14	20	12	18	17	21	24	23	13	15	18	17
ko01059	Biosynthesis of enediyne antibiotics	19	19	26	25	18	20	13	29	24	19	23	23	20	22	19	16
ko01100	Metabolic pathways	1733	1470	1814	1634	1485	1662	1357	1862	1723	1606	2102	2238	1531	1508	1695	1615
ko01110	Biosynthesis of secondary metabolites	753	724	840	780	643	772	610	849	770	747	944	929	642	665	721	712
ko01120	Microbial metabolism in diverse environments	611	475	589	529	492	551	441	605	606	529	765	878	529	506	578	547
ko01200	Carbon metabolism	199	181	225	186	182	189	161	219	207	187	247	265	188	186	196	198
ko01210	2-Oxocarboxylic acid metabolism	52	53	52	50	53	53	51	52	53	53	52	52	46	50	53	53
ko01212	Fatty acid metabolism	41	29	40	35	28	29	23	39	29	31	44	44	41	34	29	15
ko01220	Degradation of aromatic compounds	96	60	82	87	76	79	71	92	90	63	110	157	67	62	81	69
ko01230	Biosynthesis of amino acids	193	192	199	185	182	199	184	197	195	192	203	206	173	183	197	193
ko01232	Nucleotide metabolism	66	48	58	55	50	51	52	60	67	61	74	76	52	54	66	62
ko01240	Biosynthesis of cofactors	230	198	246	221	184	210	172	244	221	223	258	267	219	233	221	214
ko01250	Biosynthesis of nucleotide sugars	116	120	131	112	95	121	101	130	120	127	131	123	111	113	113	111
ko01501	beta-Lactam resistance	5	4	7	2	5	4	3	8	3	4	4	4	5	2	5	4
ko01502	Vancomycin resistance	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
ko01503	Cationic antimicrobial peptide (CAMP) resistance	7	9	9	11	9	6	6	10	7	7	10	12	9	8	8	8
ko01521	EGFR tyrosine kinase inhibitor resistance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko01522	Endocrine resistance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko01523	Antifolate resistance	4	2	4	4	4	4	4	4	4	3	4	4	4	4	4	3
ko01524	Platinum drug resistance	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1
ko02010	ABC transporters	0	0	0	1	1	1	0	0	1	0	1	1	0	0	1	1
ko02020	Two-component system	24	15	29	23	16	16	13	28	23	20	39	44	21	29	19	25
ko02024	Quorum sensing	13	14	20	17	16	16	12	21	18	18	28	27	16	15	17	13
ko02025	Biofilm formation - Pseudomonas aeruginosa	5	7	8	7	6	8	6	8	9	8	10	9	8	9	8	5
ko02026	Biofilm formation - Escherichia coli	4	3	2	2	3	4	3	3	4	3	5	5	2	1	4	4
ko02030	Bacterial chemotaxis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko02040	Flagellar assembly	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko02060	Phosphotransferase system (PTS)	52	11	3	10	1	56	1	3	16	11	52	59	20	11	44	21
ko03008	Ribosome biogenesis in eukaryotes	0	1	1	1	1	0	1	1	1	1	0	1	0	1	1	1
ko03010	Ribosome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03013	Nucleocytoplasmic transport	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03015	mRNA surveillance pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03018	RNA degradation	3	3	3	3	2	3	2	3	3	3	3	3	3	3	3	3
ko03020	RNA polymerase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03022	Basal transcription factors	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03030	DNA replication	2	2	2	2	3	3	2	2	2	2	2	2	2	2	2	2
ko03040	Spliceosome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03050	Proteasome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03060	Protein export	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03070	Bacterial secretion system	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03230	Viral genome structure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03240	Viral replication	0	1	1	1	0	1	0	1	1	1	0	0	1	0	1	1
ko03250	Viral life cycle - HIV-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03320	PPAR signaling pathway	6	3	7	8	6	2	3	7	5	5	7	8	7	4	3	2
ko03410	Base excision repair	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1
ko03420	Nucleotide excision repair	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1
ko03430	Mismatch repair	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1
ko03440	Homologous recombination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03450	Non-homologous end-joining	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
ko03460	Fanconi anemia pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04010	MAPK signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04011	MAPK signaling pathway - yeast	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0
ko04012	ErbB signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04013	MAPK signaling pathway - fly	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04014	Ras signaling pathway	2	1	1	1	1	1	0	0	1	1	0	0	0	0	1	1
ko04015	Rap1 signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04016	MAPK signaling pathway - plant	2	1	3	1	1	1	1	2	1	1	3	3	1	3	1	1
ko04020	Calcium signaling pathway	1	1	1	1	1	0	0	1	1	0	2	2	1	0	0	0
ko04022	cGMP-PKG signaling pathway	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
ko04024	cAMP signaling pathway	2	1	1	1	1	1	0	0	1	1	0	0	1	0	1	1
ko04060	Cytokine-cytokine receptor interaction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04061	Viral protein interaction with cytokine and cytokine receptor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04062	Chemokine signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04064	NF-kappa B signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04066	HIF-1 signaling pathway	8	7	8	7	6	9	7	7	7	7	10	10	9	8	7	7
ko04068	FoxO signaling pathway	1	0	1	1	1	0	0	0	0	0	1	1	1	1	1	1
ko04070	Phosphatidylinositol signaling system	3	3	4	5	2	3	5	5	2	3	6	6	2	2	3	2
ko04071	Sphingolipid signaling pathway	2	4	3	3	3	3	1	2	4	2	1	1	2	0	2	2
ko04072	Phospholipase D signaling pathway	4	4	3	4	4	3	1	3	3	3	2	2	3	2	3	3
ko04075	Plant hormone signal transduction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04080	Neuroactive ligand-receptor interaction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04110	Cell cycle	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04111	Cell cycle - yeast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04112	Cell cycle - Caulobacter	3	2	2	2	3	3	2	2	3	3	3	3	2	2	3	3
ko04113	Meiosis - yeast	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0
ko04114	Oocyte meiosis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04115	p53 signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04120	Ubiquitin mediated proteolysis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04122	Sulfur relay system	12	9	12	9	8	12	4	9	14	9	16	16	12	12	12	11
ko04130	SNARE interactions in vesicular transport	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04136	Autophagy - other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04137	Mitophagy - animal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04138	Autophagy - yeast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04139	Mitophagy - yeast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04140	Autophagy - animal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04141	Protein processing in endoplasmic reticulum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04142	Lysosome	10	0	13	10	6	5	2	13	9	1	5	7	1	2	4	5
ko04144	Endocytosis	1	1	1	1	1	1	0	0	1	1	0	0	0	0	1	1
ko04145	Phagosome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04146	Peroxisome	12	7	8	8	9	8	9	8	11	8	18	18	10	10	12	9
ko04150	mTOR signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04151	PI3K-Akt signaling pathway	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0
ko04152	AMPK signaling pathway	2	1	1	2	2	2	1	1	1	1	3	3	2	2	1	1
ko04210	Apoptosis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04211	Longevity regulating pathway	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0
ko04212	Longevity regulating pathway - worm	0	0	1	0	0	0	0	0	0	0	3	3	0	1	0	1
ko04213	Longevity regulating pathway - multiple species	0	1	1	0	0	1	0	0	0	0	2	1	0	1	1	0
ko04214	Apoptosis - fly	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04215	Apoptosis - multiple species	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04216	Ferroptosis	1	2	2	2	2	1	2	2	2	2	2	2	1	2	1	1
ko04217	Necroptosis	3	3	3	2	3	3	3	3	3	3	2	3	2	2	3	3
ko04218	Cellular senescence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
