ko	pathway	ERR1995215_bin.1	ERR1995215_bin.10	ERR1995215_bin.11	ERR1995215_bin.12	ERR1995215_bin.13	ERR1995215_bin.14	ERR1995215_bin.15	ERR1995215_bin.16	ERR1995215_bin.17	ERR1995215_bin.18	ERR1995215_bin.19	ERR1995215_bin.2	ERR1995215_bin.20	ERR1995215_bin.21	ERR1995215_bin.22	ERR1995215_bin.23	ERR1995215_bin.24	ERR1995215_bin.25	ERR1995215_bin.26	ERR1995215_bin.27	ERR1995215_bin.28	ERR1995215_bin.29	ERR1995215_bin.3	ERR1995215_bin.30	ERR1995215_bin.31	ERR1995215_bin.32	ERR1995215_bin.33	ERR1995215_bin.34	ERR1995215_bin.35	ERR1995215_bin.36	ERR1995215_bin.37	ERR1995215_bin.38	ERR1995215_bin.39	ERR1995215_bin.4	ERR1995215_bin.40	ERR1995215_bin.41	ERR1995215_bin.42	ERR1995215_bin.43	ERR1995215_bin.5	ERR1995215_bin.6	ERR1995215_bin.7	ERR1995215_bin.8	ERR1995215_bin.9
ko00220	Arginine biosynthesis	36	34	24	38	17	35	32	30	31	30	27	25	35	36	34	27	26	25	37	27	37	36	24	29	36	37	36	32	36	37	39	37	36	36	33	37	37	35	36	36	36	34	36
ko00230	Purine metabolism	84	81	71	69	50	84	76	67	78	73	74	74	67	84	75	73	77	67	79	71	74	71	61	74	69	72	69	79	80	75	74	90	87	79	76	85	75	68	80	85	81	76	80
ko00232	Caffeine metabolism	1	1	4	0	0	1	0	1	1	3	1	1	0	0	1	1	1	1	1	3	3	0	0	0	3	0	0	1	0	0	0	1	1	4	0	0	0	0	1	1	0	0	1
ko00240	Pyrimidine metabolism	54	52	47	54	41	45	54	52	48	51	49	41	53	61	49	49	50	41	49	53	54	50	43	52	51	53	55	53	56	56	54	55	54	48	58	63	53	40	46	54	59	55	49
ko00250	Alanine, aspartate and glutamate metabolism	46	48	39	49	29	39	44	42	44	36	38	29	50	53	47	38	39	24	52	37	43	53	38	39	49	47	50	42	47	47	47	46	43	47	48	50	45	47	50	46	46	43	47
ko00253	Tetracycline biosynthesis	6	8	5	5	2	6	6	6	5	4	6	6	7	7	4	6	5	4	3	5	7	5	4	6	4	5	6	8	9	6	6	5	6	3	6	6	6	4	6	7	5	5	6
ko00254	Aflatoxin biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00260	Glycine, serine and threonine metabolism	67	69	69	60	45	67	68	67	65	65	60	50	74	78	76	63	59	69	68	57	69	66	68	71	67	64	60	70	70	69	73	71	69	74	58	65	65	60	69	71	65	63	72
ko00261	Monobactam biosynthesis	13	15	13	13	12	11	17	13	14	11	9	10	13	18	13	14	14	12	11	15	15	14	11	13	13	12	14	14	15	13	14	15	14	14	14	14	14	14	11	15	15	14	12
ko00270	Cysteine and methionine metabolism	66	60	51	58	40	62	57	58	56	57	49	48	70	69	63	61	51	57	61	55	63	70	58	67	54	64	58	62	59	59	58	65	65	64	57	69	61	58	61	66	65	71	67
ko00280	Valine, leucine and isoleucine degradation	52	39	29	37	12	39	47	27	51	39	41	26	37	54	25	43	26	43	44	38	37	40	31	36	33	40	23	46	49	32	48	53	53	34	53	40	40	33	35	54	40	49	53
ko00281	Geraniol degradation	13	8	6	11	1	10	8	8	13	12	12	7	10	14	5	12	7	12	12	11	7	8	8	8	6	6	7	12	13	6	12	13	13	7	14	10	9	7	8	13	9	12	15
ko00290	Valine, leucine and isoleucine biosynthesis	16	16	8	16	4	14	8	11	6	12	8	6	16	16	11	11	7	11	10	11	16	16	13	14	16	16	16	15	16	15	16	16	16	13	8	16	16	10	14	16	16	15	16
ko00300	Lysine biosynthesis	37	39	31	38	22	31	33	32	32	30	23	24	38	41	31	32	31	32	36	34	40	37	35	33	39	39	37	41	40	36	41	40	39	36	33	38	39	37	39	39	37	41	40
ko00310	Lysine degradation	20	18	16	21	7	17	22	13	26	23	21	13	19	24	17	25	20	20	23	14	14	16	15	15	16	19	12	20	24	16	22	20	22	20	21	18	17	15	18	22	17	20	24
ko00311	Penicillin and cephalosporin biosynthesis	5	2	5	4	2	5	5	4	4	3	3	3	4	5	4	5	5	4	5	6	6	5	3	6	6	4	5	4	5	6	3	4	4	5	4	5	5	6	4	6	6	4	5
ko00330	Arginine and proline metabolism	40	49	41	50	25	31	33	37	39	24	26	22	43	49	38	34	40	29	42	28	41	44	40	41	49	47	36	41	54	43	50	42	42	40	45	45	45	45	41	44	42	36	45
ko00331	Clavulanic acid biosynthesis	4	3	2	4	2	2	2	1	1	1	1	2	2	3	1	1	1	2	2	1	3	3	1	2	3	4	2	4	3	3	2	3	3	2	1	2	3	2	3	3	3	3	3
ko00332	Carbapenem biosynthesis	9	6	6	6	5	7	2	3	7	4	7	8	3	9	3	7	4	9	9	7	3	5	5	4	5	3	4	4	8	6	6	6	7	6	8	4	4	5	3	9	5	10	8
ko00333	Prodigiosin biosynthesis	15	12	9	10	4	7	17	8	12	7	9	3	13	16	8	8	8	9	6	8	15	7	9	10	8	11	9	16	12	10	13	15	13	9	15	9	11	10	10	14	12	15	13
ko00340	Histidine metabolism	23	17	14	28	12	16	21	13	17	17	21	12	23	31	19	15	15	14	21	15	23	24	16	14	23	26	25	24	23	16	26	22	23	18	14	25	24	18	18	23	24	22	23
ko00350	Tyrosine metabolism	20	22	28	24	15	17	27	23	24	27	20	16	24	35	27	21	23	23	27	16	22	24	25	24	24	20	29	31	27	23	29	24	22	27	30	24	20	24	26	24	24	20	27
ko00360	Phenylalanine metabolism	29	28	28	35	20	27	30	28	29	30	30	22	32	38	30	29	27	29	31	28	27	32	28	28	31	30	28	27	33	29	35	34	32	32	33	29	31	29	28	33	31	32	34
ko00361	Chlorocyclohexane and chlorobenzene degradation	15	11	11	13	5	9	15	9	13	13	8	6	10	16	8	10	15	10	13	14	12	11	13	17	11	13	14	10	15	14	13	12	13	13	11	12	12	12	12	14	14	14	13
ko00362	Benzoate degradation	57	34	37	43	18	47	43	40	58	47	43	32	34	59	30	55	38	53	47	57	33	38	35	41	30	38	31	44	55	39	44	55	57	41	55	38	36	37	31	58	39	56	58
ko00363	Bisphenol degradation	1	2	2	1	2	1	1	1	2	1	2	2	1	2	1	1	1	1	1	2	2	1	1	2	1	2	2	2	2	1	2	1	2	1	2	2	1	2	1	1	2	1	1
ko00364	Fluorobenzoate degradation	5	3	4	5	2	4	5	3	5	5	3	3	4	6	3	4	6	4	5	5	4	4	5	7	4	4	4	6	5	4	5	5	4	6	3	4	4	6	5	5	5	5	4
ko00365	Furfural degradation	6	5	4	4	1	5	4	4	4	2	6	4	1	2	4	7	3	6	4	3	1	1	2	2	1	1	1	5	1	1	2	5	6	5	3	2	1	1	5	5	2	2	8
ko00380	Tryptophan metabolism	21	17	16	21	12	18	17	21	25	18	21	19	20	26	17	21	16	21	24	19	17	20	14	16	20	22	17	20	24	19	26	25	24	19	21	20	21	17	18	26	21	21	25
ko00400	Phenylalanine, tyrosine and tryptophan biosynthesis	46	43	42	52	16	46	38	39	26	34	37	34	49	51	41	38	37	37	44	35	49	46	39	43	47	47	43	49	41	45	50	50	50	43	35	43	43	32	43	49	49	51	49
ko00401	Novobiocin biosynthesis	13	14	14	13	9	16	14	14	13	11	13	10	14	14	15	13	13	12	12	14	21	15	14	15	14	12	14	14	12	15	13	14	14	15	15	15	15	13	11	14	15	15	14
ko00402	Benzoxazinoid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00403	Indole diterpene alkaloid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00404	Staurosporine biosynthesis	5	4	4	6	0	6	5	3	4	1	1	2	6	5	4	4	4	4	3	6	1	3	5	3	3	1	2	5	4	4	3	5	0	10	4	6	4	4	13	5	3	5	5
ko00405	Phenazine biosynthesis	8	9	6	9	4	5	8	6	6	5	7	3	10	11	5	6	5	6	4	5	9	7	6	10	6	10	6	10	8	7	11	9	8	5	8	7	7	7	7	10	10	9	9
ko00410	beta-Alanine metabolism	20	19	13	22	8	14	18	14	20	15	16	13	19	25	17	17	13	17	24	15	14	17	15	13	17	19	18	20	28	17	23	24	24	17	23	20	20	15	17	27	17	21	26
ko00430	Taurine and hypotaurine metabolism	13	13	10	11	3	12	10	10	14	11	9	7	12	14	12	11	7	7	13	10	11	13	9	10	11	13	12	12	14	13	10	12	13	11	9	11	10	10	12	12	11	10	13
ko00440	Phosphonate and phosphinate metabolism	10	14	11	13	9	10	10	12	14	10	10	9	11	12	11	11	13	10	10	10	13	14	10	13	11	10	13	10	12	11	13	13	10	12	13	14	14	10	12	12	11	11	13
ko00450	Selenocompound metabolism	17	19	14	19	12	17	15	15	15	14	16	15	19	19	18	17	19	18	16	14	17	17	12	15	15	16	15	17	19	14	17	18	19	17	14	16	16	15	16	18	18	16	19
ko00460	Cyanoamino acid metabolism	6	9	8	5	5	10	5	6	10	7	5	4	7	9	8	7	8	6	10	7	6	6	5	6	7	7	9	6	9	8	7	6	6	9	6	7	6	7	7	7	9	7	6
ko00470	D-Amino acid metabolism	27	25	28	21	16	28	27	28	32	28	24	18	26	29	25	29	27	25	24	25	24	26	25	27	27	26	21	23	28	23	24	26	28	26	27	25	23	26	27	27	24	21	26
ko00480	Glutathione metabolism	12	7	9	8	4	8	7	7	8	9	8	4	7	14	8	7	6	8	13	6	8	7	8	12	13	7	8	7	8	10	8	6	8	10	8	8	6	7	7	7	7	8	10
ko00500	Starch and sucrose metabolism	49	42	37	17	46	34	36	36	36	33	33	32	45	50	40	33	40	32	44	38	37	39	42	42	43	41	47	46	48	43	44	45	50	45	20	49	41	42	46	47	40	44	48
ko00510	N-Glycan biosynthesis	3	2	3	5	3	2	2	2	2	3	1	2	2	3	2	1	4	1	3	2	4	2	3	3	2	3	3	3	2	2	4	2	2	1	4	3	3	3	3	3	3	2	2
ko00511	Other glycan degradation	2	2	2	0	2	0	2	2	2	0	3	0	2	6	4	0	3	2	2	3	1	6	4	5	3	3	3	2	2	6	5	2	2	4	1	2	3	6	5	2	2	4	0
ko00512	Mucin type O-glycan biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00513	Various types of N-glycan biosynthesis	1	0	0	2	1	0	0	0	0	1	1	0	0	2	1	0	2	0	0	1	2	1	2	3	0	0	1	1	0	1	2	0	0	0	1	1	0	2	2	1	0	1	0
ko00514	Other types of O-glycan biosynthesis	1	1	2	1	0	1	1	2	2	2	1	1	2	1	1	0	1	0	0	1	2	0	0	2	1	1	0	0	1	0	1	1	1	1	2	2	0	1	1	1	1	1	1
ko00515	Mannose type O-glycan biosynthesis	1	1	1	2	0	0	0	1	1	1	0	0	1	1	0	0	1	0	0	1	2	1	1	1	1	0	0	0	1	0	1	0	2	0	1	2	1	0	0	0	0	0	0
ko00520	Amino sugar and nucleotide sugar metabolism	106	97	85	89	56	62	86	74	81	74	74	52	99	102	84	59	92	80	100	86	89	91	94	87	92	93	82	94	106	92	95	99	99	93	86	100	87	92	99	93	96	101	101
ko00521	Streptomycin biosynthesis	11	11	11	13	7	6	13	8	10	9	10	5	11	14	9	7	11	10	10	10	11	10	13	11	11	11	10	12	10	10	12	11	10	10	9	13	10	10	11	11	11	12	10
ko00522	Biosynthesis of 12-, 14- and 16-membered macrolides	6	6	4	4	1	7	14	2	5	1	3	3	6	14	5	6	13	2	2	12	5	2	12	4	2	13	3	6	4	5	7	5	4	13	6	8	6	4	6	5	5	6	5
ko00523	Polyketide sugar unit biosynthesis	34	34	14	32	5	11	28	20	25	18	16	11	27	29	23	13	26	19	19	20	35	19	29	32	37	28	14	26	26	29	31	33	25	27	18	29	30	22	25	33	21	28	27
ko00524	Neomycin, kanamycin and gentamicin biosynthesis	39	35	8	40	1	2	39	8	40	8	2	2	9	41	5	2	11	9	9	7	41	35	9	8	35	34	8	37	41	38	41	41	35	5	40	40	7	5	9	39	41	14	41
ko00525	Acarbose and validamycin biosynthesis	15	15	8	14	6	11	15	12	14	12	12	9	18	19	16	12	15	14	17	10	16	16	15	15	17	14	16	18	16	18	16	15	15	14	14	15	14	17	17	14	16	17	16
ko00531	Glycosaminoglycan degradation	2	2	2	0	2	2	2	1	2	2	2	1	3	10	2	1	3	2	2	4	0	8	7	7	3	2	2	1	8	9	10	3	3	2	0	3	2	5	8	3	2	8	2
ko00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	1	1	0	1	1	0	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1
ko00533	Glycosaminoglycan biosynthesis - keratan sulfate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00540	Lipopolysaccharide biosynthesis	21	22	18	18	18	18	30	16	18	14	18	15	21	33	21	19	22	19	23	20	22	21	24	20	21	23	20	21	23	24	34	21	16	19	31	27	20	21	22	18	22	35	18
ko00541	O-Antigen nucleotide sugar biosynthesis	56	51	46	54	16	28	50	40	44	39	37	22	48	55	42	27	52	43	48	41	52	45	48	45	52	50	39	48	54	52	52	52	49	48	49	54	44	49	51	46	51	53	48
ko00542	O-Antigen repeat unit biosynthesis	2	2	1	2	1	1	2	1	2	1	1	1	2	2	2	1	1	1	2	1	2	2	1	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
ko00550	Peptidoglycan biosynthesis	21	20	20	16	18	19	19	18	20	18	19	19	20	23	24	20	20	19	25	20	21	20	19	19	26	21	20	20	20	26	19	20	20	24	20	20	22	18	20	21	22	21	20
ko00552	Teichoic acid biosynthesis	13	14	15	12	11	10	13	8	12	11	7	8	12	17	10	9	13	11	12	13	14	16	14	12	15	13	11	11	16	16	13	16	13	9	14	16	15	12	16	14	12	12	15
ko00561	Glycerolipid metabolism	30	24	30	12	20	23	24	25	26	24	23	25	26	25	30	24	30	26	20	29	26	27	27	31	25	30	23	27	30	31	25	30	26	28	25	28	27	23	27	29	25	23	28
ko00562	Inositol phosphate metabolism	15	16	9	20	12	11	13	13	16	9	14	11	16	22	14	13	14	17	15	10	17	17	18	18	17	12	18	16	16	16	18	14	13	14	14	20	15	15	15	10	16	15	17
ko00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00564	Glycerophospholipid metabolism	35	32	37	25	19	31	36	28	26	25	31	32	32	36	31	29	34	33	25	34	30	27	29	32	29	34	27	37	28	29	34	34	34	26	33	33	27	23	27	34	29	35	34
ko00565	Ether lipid metabolism	5	3	4	1	0	3	3	2	1	1	3	2	4	4	3	3	4	4	3	3	1	2	3	2	1	2	3	5	2	2	4	4	4	2	1	4	1	2	5	2	4	3	4
ko00571	Lipoarabinomannan (LAM) biosynthesis	4	4	4	3	3	4	4	4	4	4	4	4	3	4	4	4	4	4	3	4	3	4	3	5	3	3	4	4	4	4	4	4	3	4	4	4	3	3	3	3	4	4	3
ko00572	Arabinogalactan biosynthesis - Mycobacterium	5	4	1	5	2	2	5	3	3	3	2	2	3	5	1	3	4	3	4	4	5	3	5	4	4	3	5	4	5	3	3	4	4	1	3	4	5	3	3	4	3	5	3
ko00590	Arachidonic acid metabolism	4	2	3	0	0	3	4	3	4	3	2	0	2	5	2	2	3	2	4	2	2	2	3	3	3	3	4	3	4	3	2	2	3	2	2	2	3	2	3	2	3	4	2
ko00591	Linoleic acid metabolism	3	2	1	2	0	1	2	2	2	1	2	0	2	2	1	1	2	1	2	1	2	2	2	2	2	2	2	3	2	2	2	2	1	1	2	2	1	2	2	2	2	2	2
ko00592	alpha-Linolenic acid metabolism	3	1	0	1	0	1	2	0	2	2	2	0	1	1	0	2	1	2	1	0	1	0	0	1	0	1	0	3	2	0	2	2	2	1	2	0	1	1	1	2	2	1	2
ko00600	Sphingolipid metabolism	7	5	8	3	5	5	8	6	4	5	7	6	10	13	7	8	5	8	4	8	4	10	11	9	10	9	6	7	8	12	10	8	9	7	3	6	7	10	10	7	7	10	7
ko00601	Glycosphingolipid biosynthesis - lacto and neolacto series	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ko00603	Glycosphingolipid biosynthesis - globo and isoglobo series	3	0	1	0	1	1	1	1	0	1	1	1	1	2	2	1	1	1	0	2	0	2	3	3	2	2	1	1	1	3	3	1	1	2	0	2	1	2	3	1	1	2	1
ko00604	Glycosphingolipid biosynthesis - ganglio series	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	1	0
ko00620	Pyruvate metabolism	71	66	67	58	36	59	64	59	57	56	58	42	72	78	59	59	59	60	58	52	62	69	56	69	65	72	52	69	75	72	86	72	65	69	64	70	71	65	65	77	77	67	73
ko00621	Dioxin degradation	4	7	5	7	2	5	10	9	5	10	3	1	5	10	5	4	8	5	5	6	8	5	8	8	5	9	6	6	6	9	6	5	6	5	6	9	8	5	5	7	6	9	5
ko00622	Xylene degradation	13	11	10	18	0	11	15	16	12	14	8	3	11	20	12	9	17	9	11	14	10	14	17	15	10	15	17	10	14	17	16	12	12	17	17	14	13	14	15	13	16	18	14
ko00623	Toluene degradation	13	11	11	16	4	14	17	10	13	18	13	7	11	23	11	13	19	15	15	19	10	12	18	15	11	16	11	12	15	15	16	13	14	15	14	11	10	22	14	13	15	19	17
ko00624	Polycyclic aromatic hydrocarbon degradation	10	11	8	15	3	8	12	10	11	9	9	3	11	15	12	11	14	6	12	11	10	13	13	14	12	13	10	9	11	13	13	11	10	13	12	13	11	13	11	9	14	12	13
ko00625	Chloroalkane and chloroalkene degradation	13	13	12	16	9	10	13	16	16	13	8	10	14	18	12	9	17	12	16	14	14	14	17	14	17	17	16	12	18	16	13	10	14	15	13	14	14	14	12	12	17	12	16
ko00626	Naphthalene degradation	8	9	9	11	4	6	19	9	11	7	5	6	11	11	12	7	12	7	12	9	10	11	10	11	11	9	10	9	10	10	12	8	8	20	10	11	9	11	11	9	11	15	12
ko00627	Aminobenzoate degradation	25	24	25	29	15	23	27	22	19	21	25	11	22	29	25	36	19	30	32	25	23	23	23	26	24	27	24	24	24	23	25	27	27	33	25	22	26	23	21	31	27	24	36
ko00630	Glyoxylate and dicarboxylate metabolism	59	55	49	42	26	49	54	46	51	55	49	42	53	67	55	53	50	55	49	42	58	53	46	57	49	53	45	63	62	53	70	60	59	59	51	55	55	50	57	61	57	57	57
ko00633	Nitrotoluene degradation	10	12	10	15	8	7	10	10	11	10	9	3	10	15	11	9	9	8	8	13	12	10	10	8	11	11	6	10	12	11	13	11	12	9	12	10	10	10	9	13	12	12	9
ko00640	Propanoate metabolism	62	51	39	44	23	51	56	41	59	47	44	40	55	66	41	54	43	53	47	49	53	59	46	50	50	58	39	58	64	49	64	64	62	46	53	57	56	50	49	66	58	57	66
ko00642	Ethylbenzene degradation	3	5	3	6	0	2	4	3	5	3	4	0	5	6	3	3	3	2	4	3	4	3	3	5	3	6	3	2	5	4	5	4	6	4	3	4	6	4	3	4	5	4	5
ko00643	Styrene degradation	4	6	13	7	4	9	9	4	8	8	6	9	5	10	5	10	5	8	8	9	5	8	4	9	6	9	10	4	8	7	11	7	7	8	11	6	6	4	6	9	9	9	12
ko00650	Butanoate metabolism	60	53	48	55	27	50	56	51	63	53	53	40	56	72	51	61	47	62	65	48	52	58	46	55	54	58	41	56	62	50	68	58	54	64	61	55	52	56	46	64	59	57	69
ko00660	C5-Branched dibasic acid metabolism	15	10	5	11	0	12	8	5	5	13	10	4	11	12	10	13	6	12	5	11	10	10	8	9	9	9	10	12	10	9	12	9	11	11	5	10	9	7	8	11	11	11	11
ko00670	One carbon pool by folate	16	22	18	6	8	21	27	16	13	18	19	15	23	28	18	18	13	20	19	19	14	22	9	15	19	16	22	18	22	19	21	24	20	20	21	16	23	22	15	21	22	22	19
ko00680	Methane metabolism	75	81	72	120	64	74	78	73	69	77	73	50	86	93	77	80	81	78	76	78	84	80	72	85	81	83	59	80	87	74	85	80	88	84	75	68	82	87	79	86	80	80	76
ko00710	Carbon fixation in photosynthetic organisms	15	13	18	11	13	15	15	17	11	15	15	13	15	17	11	15	15	15	12	14	12	15	13	15	15	10	12	15	16	16	13	15	17	14	18	16	12	13	13	16	15	16	17
ko00720	Carbon fixation pathways in prokaryotes	70	69	51	74	33	57	69	51	57	62	58	33	65	78	56	63	52	63	54	55	64	66	56	59	62	67	49	67	72	64	79	73	71	60	63	62	70	65	56	75	71	69	69
ko00730	Thiamine metabolism	19	22	16	18	13	19	19	16	14	17	17	12	17	21	16	17	18	17	22	20	19	19	16	17	20	18	18	20	21	18	19	20	22	18	16	18	21	19	19	22	23	19	20
ko00740	Riboflavin metabolism	20	29	18	22	15	20	30	15	14	17	16	10	23	33	20	15	19	14	19	19	23	21	19	21	26	24	20	22	32	20	24	32	31	20	25	24	19	17	20	30	23	27	25
ko00750	Vitamin B6 metabolism	10	7	9	10	5	10	12	8	9	10	8	6	9	14	7	10	12	9	11	11	8	10	8	9	9	11	9	10	12	9	12	11	11	8	9	10	10	8	9	11	10	11	13
ko00760	Nicotinate and nicotinamide metabolism	48	45	48	28	21	45	36	51	46	34	48	40	34	44	52	49	58	45	49	37	30	36	36	41	29	32	30	51	37	36	32	46	46	51	36	45	35	23	42	51	37	34	49
ko00770	Pantothenate and CoA biosynthesis	27	22	19	27	14	21	24	22	17	20	16	18	21	30	19	21	19	18	20	20	25	24	20	26	23	26	25	26	28	22	29	28	27	20	23	27	27	16	18	27	24	28	27
ko00780	Biotin metabolism	16	14	7	15	5	12	15	10	15	10	12	9	16	18	13	14	10	11	13	9	16	12	9	11	13	16	14	16	14	13	18	16	14	13	16	12	13	13	15	16	14	16	14
