ko	pathway	ERR1995231_bin.1	ERR1995231_bin.10	ERR1995231_bin.11	ERR1995231_bin.12	ERR1995231_bin.13	ERR1995231_bin.14	ERR1995231_bin.15	ERR1995231_bin.16	ERR1995231_bin.17	ERR1995231_bin.18	ERR1995231_bin.19	ERR1995231_bin.2	ERR1995231_bin.20	ERR1995231_bin.21	ERR1995231_bin.22	ERR1995231_bin.23	ERR1995231_bin.24	ERR1995231_bin.25	ERR1995231_bin.26	ERR1995231_bin.27	ERR1995231_bin.28	ERR1995231_bin.29	ERR1995231_bin.3	ERR1995231_bin.30	ERR1995231_bin.31	ERR1995231_bin.32	ERR1995231_bin.33	ERR1995231_bin.4	ERR1995231_bin.5	ERR1995231_bin.6	ERR1995231_bin.7	ERR1995231_bin.8	ERR1995231_bin.9
ko00270	Cysteine and methionine metabolism	58	63	67	57	65	68	71	61	72	67	66	67	67	71	74	64	66	68	65	65	68	66	69	65	70	64	65	63	62	62	61	68	67
ko00280	Valine, leucine and isoleucine degradation	41	39	55	54	54	52	52	48	39	52	40	53	43	40	59	47	38	39	40	39	48	39	41	43	48	53	37	48	37	38	47	35	47
ko00281	Geraniol degradation	9	9	14	14	13	13	13	9	9	13	9	13	12	10	15	12	7	8	9	8	12	9	11	10	14	14	9	9	9	9	13	7	14
ko00290	Valine, leucine and isoleucine biosynthesis	14	16	16	13	16	16	16	15	16	16	16	16	16	16	16	16	15	16	16	15	16	16	16	16	16	16	16	14	16	8	16	16	16
ko00300	Lysine biosynthesis	40	39	41	35	41	41	41	40	40	38	38	40	40	40	41	41	38	40	38	40	40	40	41	39	39	40	40	39	39	36	39	40	40
ko00310	Lysine degradation	20	17	26	20	22	22	21	18	19	24	16	22	22	18	29	23	16	16	16	15	22	18	22	22	22	25	17	20	15	20	21	16	20
ko00311	Penicillin and cephalosporin biosynthesis	4	4	5	5	4	5	5	5	6	3	4	6	4	5	6	5	5	4	5	6	5	5	4	5	4	6	5	4	5	5	3	4	4
ko00330	Arginine and proline metabolism	42	47	58	33	46	39	42	39	48	47	42	46	53	44	54	49	45	44	41	46	49	48	46	47	41	55	39	37	44	43	45	44	38
ko00331	Clavulanic acid biosynthesis	3	4	4	2	4	3	3	4	2	3	3	3	3	2	4	2	3	3	3	3	3	1	4	3	3	3	2	4	3	2	2	2	2
ko00332	Carbapenem biosynthesis	4	4	9	7	9	8	8	8	5	8	7	9	5	3	12	9	5	6	6	4	7	6	7	6	8	8	2	8	6	6	6	5	6
ko00333	Prodigiosin biosynthesis	16	11	13	13	15	16	17	16	13	14	11	15	14	12	16	13	8	14	13	15	8	13	14	14	14	14	12	15	12	13	13	11	13
ko00340	Histidine metabolism	32	25	25	24	25	28	29	30	25	24	24	24	23	24	28	15	24	24	24	25	27	24	27	30	23	24	24	31	23	24	26	24	24
ko00350	Tyrosine metabolism	28	24	30	26	32	29	29	26	28	27	26	25	26	30	41	34	24	23	22	26	24	24	28	27	27	27	32	28	22	21	22	26	27
ko00360	Phenylalanine metabolism	33	29	35	34	32	35	35	31	32	34	31	34	31	31	47	34	31	28	32	31	34	34	32	38	32	35	31	32	32	29	32	30	32
ko00361	Chlorocyclohexane and chlorobenzene degradation	13	12	14	11	16	14	14	15	16	10	14	13	14	10	23	15	10	12	13	13	13	13	15	15	12	13	11	14	10	13	12	12	12
ko00362	Benzoate degradation	44	34	63	55	57	59	56	45	44	53	37	53	49	33	83	60	37	40	36	36	50	40	48	51	54	59	34	47	34	31	53	35	48
ko00363	Bisphenol degradation	2	2	2	2	2	1	1	2	2	1	1	2	2	2	1	1	1	2	2	2	2	2	2	1	1	2	2	2	2	1	2	2	1
ko00364	Fluorobenzoate degradation	5	5	4	5	6	6	6	5	6	4	6	5	4	4	9	6	3	5	5	5	5	4	5	4	5	5	4	4	5	5	4	5	6
ko00365	Furfural degradation	2	1	6	3	6	2	2	4	4	3	4	3	5	1	8	5	2	4	2	1	5	5	6	3	4	5	1	4	2	6	4	4	1
ko00380	Tryptophan metabolism	21	21	27	23	24	23	22	19	21	25	21	25	23	22	31	26	19	22	21	18	26	18	24	22	24	24	17	20	20	21	24	20	24
ko00400	Phenylalanine, tyrosine and tryptophan biosynthesis	45	49	49	41	46	53	52	46	49	50	50	50	48	49	53	42	47	48	48	50	49	47	49	44	49	49	48	46	50	42	45	50	43
ko00401	Novobiocin biosynthesis	14	14	14	15	14	14	15	14	14	15	12	14	14	14	15	14	15	14	15	21	13	15	14	15	13	13	14	14	14	12	12	13	12
ko00402	Benzoxazinoid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00403	Indole diterpene alkaloid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00404	Staurosporine biosynthesis	6	3	4	3	5	5	7	5	3	5	2	5	4	6	9	3	4	6	3	1	4	6	6	6	13	5	2	4	4	5	11	12	12
ko00405	Phenazine biosynthesis	5	10	11	8	8	10	11	8	11	9	8	9	10	7	13	7	7	9	9	9	7	7	10	9	9	10	7	8	7	6	9	10	9
ko00410	beta-Alanine metabolism	20	17	24	25	24	21	23	18	17	27	17	27	21	19	25	23	16	18	17	18	27	17	18	23	24	28	17	19	18	19	25	18	23
ko00430	Taurine and hypotaurine metabolism	10	11	13	11	14	12	11	12	14	13	12	13	13	10	16	11	11	12	10	10	12	11	14	9	12	15	7	10	12	10	11	13	12
ko00440	Phosphonate and phosphinate metabolism	11	12	11	12	11	11	10	10	12	14	12	12	12	12	18	12	14	12	11	14	12	11	14	11	12	12	12	10	12	10	15	12	15
ko00450	Selenocompound metabolism	16	17	18	16	17	19	20	17	18	19	18	16	19	17	25	17	17	19	17	17	18	21	17	18	18	21	17	16	17	22	17	17	16
ko00460	Cyanoamino acid metabolism	7	7	6	8	6	10	9	6	8	8	7	9	10	8	11	10	6	7	6	6	10	9	9	8	7	9	8	6	6	7	9	8	8
ko00470	D-Amino acid metabolism	26	25	31	23	25	26	26	25	29	29	25	26	30	26	30	29	27	27	22	25	24	27	26	29	27	31	26	26	26	25	23	24	24
ko00480	Glutathione metabolism	7	7	12	7	7	13	14	10	12	10	9	9	7	8	26	12	8	7	8	9	10	10	7	18	10	8	7	6	5	9	8	8	7
ko00500	Starch and sucrose metabolism	38	49	37	49	45	49	46	44	50	40	43	50	39	44	60	36	40	34	42	37	51	48	45	15	52	49	46	45	34	48	47	49	57
ko00510	N-Glycan biosynthesis	2	2	2	2	3	3	3	2	2	2	2	2	2	3	2	2	2	2	3	4	2	2	2	1	4	3	3	2	3	2	2	3	3
ko00511	Other glycan degradation	6	3	2	2	2	7	6	3	3	2	5	2	2	3	3	0	6	2	3	1	3	2	2	0	6	2	2	6	2	3	3	5	5
ko00512	Mucin type O-glycan biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00513	Various types of N-glycan biosynthesis	1	0	0	0	1	4	2	1	0	0	1	0	0	1	0	0	1	0	0	2	1	0	0	0	3	1	1	1	1	0	0	3	1
ko00514	Other types of O-glycan biosynthesis	1	0	2	1	0	1	1	1	1	2	1	1	1	1	1	1	0	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	2
ko00515	Mannose type O-glycan biosynthesis	0	0	2	0	0	0	1	0	1	1	0	0	1	0	0	1	0	1	1	2	0	0	0	0	0	2	0	0	1	0	0	2	1
ko00520	Amino sugar and nucleotide sugar metabolism	88	100	87	105	91	106	104	98	101	97	99	99	93	91	109	82	92	83	97	95	102	97	101	78	106	106	90	96	88	104	99	102	110
ko00521	Streptomycin biosynthesis	11	10	11	8	11	14	14	13	11	11	10	10	11	11	13	10	10	11	9	11	11	11	12	11	11	11	11	12	11	10	10	11	11
ko00522	Biosynthesis of 12-, 14- and 16-membered macrolides	14	6	5	4	6	7	14	14	4	6	4	6	5	5	14	3	2	6	5	5	3	15	14	13	6	4	3	6	7	7	6	14	6
ko00523	Polyketide sugar unit biosynthesis	25	25	31	13	23	30	29	34	39	22	20	19	35	37	30	31	26	30	17	34	26	27	31	21	33	32	33	24	30	17	21	31	29
ko00524	Neomycin, kanamycin and gentamicin biosynthesis	38	41	3	8	36	42	42	39	41	38	5	34	37	7	44	5	35	35	41	9	3	34	38	34	9	41	9	39	41	40	7	10	9
ko00525	Acarbose and validamycin biosynthesis	15	15	16	16	16	18	16	15	17	17	16	15	17	17	19	17	15	16	19	16	16	14	18	13	17	17	18	14	16	16	15	17	17
ko00531	Glycosaminoglycan degradation	9	5	1	2	6	10	10	9	6	3	3	3	2	4	7	1	8	1	2	0	4	7	4	3	8	4	3	8	3	1	5	3	5
ko00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ko00533	Glycosaminoglycan biosynthesis - keratan sulfate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00540	Lipopolysaccharide biosynthesis	29	23	21	22	22	30	36	31	24	24	23	20	23	23	35	19	20	21	22	24	19	20	21	28	26	23	21	33	25	21	22	22	24
ko00541	O-Antigen nucleotide sugar biosynthesis	49	50	47	48	45	56	58	54	49	51	47	48	52	50	55	44	46	47	44	55	51	47	53	43	53	56	47	52	48	51	52	51	56
ko00542	O-Antigen repeat unit biosynthesis	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
ko00550	Peptidoglycan biosynthesis	19	26	20	18	20	21	23	19	22	19	21	20	20	19	19	20	25	20	22	21	21	20	21	19	21	20	19	19	26	21	20	20	20
ko00552	Teichoic acid biosynthesis	13	15	12	17	12	13	14	16	13	16	12	14	15	13	13	10	15	13	13	14	13	11	16	10	16	15	17	16	15	13	12	13	15
ko00561	Glycerolipid metabolism	25	28	26	26	31	26	26	28	30	26	27	30	27	25	33	22	27	26	27	23	28	32	30	21	30	28	28	28	27	29	28	30	29
ko00562	Inositol phosphate metabolism	19	12	15	17	16	19	18	18	15	15	16	18	18	17	24	11	16	17	12	17	21	10	20	18	18	16	18	18	16	15	14	16	15
ko00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00564	Glycerophospholipid metabolism	36	35	29	35	37	36	35	37	30	37	29	35	33	33	43	26	28	33	29	30	34	34	36	33	32	30	33	39	27	28	36	34	34
ko00565	Ether lipid metabolism	6	3	4	3	6	4	4	6	3	3	2	4	4	4	4	2	2	4	3	3	4	3	2	2	4	3	4	6	1	1	4	5	5
ko00571	Lipoarabinomannan (LAM) biosynthesis	5	3	4	3	4	5	4	4	3	3	3	3	4	3	4	3	3	3	4	3	3	3	3	4	3	4	3	4	5	3	3	3	3
ko00572	Arabinogalactan biosynthesis - Mycobacterium	5	4	4	3	5	5	5	5	5	5	3	5	4	4	4	3	3	4	4	4	3	5	5	3	5	4	4	5	4	3	4	5	4
ko00590	Arachidonic acid metabolism	3	2	3	2	4	3	4	3	3	4	4	3	2	2	7	4	2	2	2	3	4	3	3	5	3	4	3	3	2	2	3	3	4
ko00591	Linoleic acid metabolism	2	1	2	2	3	2	2	2	2	2	1	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
ko00592	alpha-Linolenic acid metabolism	1	1	2	2	3	1	1	1	2	2	2	2	1	1	3	2	0	1	1	1	2	1	2	1	2	3	1	1	2	1	2	1	2
ko00600	Sphingolipid metabolism	12	10	8	8	9	13	13	10	10	5	11	9	5	9	8	4	9	6	6	4	9	9	9	5	12	9	8	13	6	5	9	11	16
ko00601	Glycosphingolipid biosynthesis - lacto and neolacto series	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00603	Glycosphingolipid biosynthesis - globo and isoglobo series	2	1	1	0	2	2	2	2	2	1	3	1	0	1	2	0	2	1	1	0	2	2	2	0	3	1	1	3	1	1	1	3	2
ko00604	Glycosphingolipid biosynthesis - ganglio series	1	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0
ko00620	Pyruvate metabolism	74	72	75	67	75	74	78	76	78	74	77	72	74	69	97	75	69	71	74	70	74	74	80	77	70	75	67	71	72	63	69	75	71
ko00621	Dioxin degradation	10	5	9	5	7	7	7	10	8	5	6	7	8	6	25	7	6	6	5	9	5	6	8	11	5	7	5	10	5	3	5	5	5
ko00622	Xylene degradation	16	11	19	12	17	17	16	16	17	10	14	11	16	10	31	12	13	11	12	14	10	16	17	19	16	13	12	18	12	9	12	13	13
ko00623	Toluene degradation	18	13	18	14	16	20	22	19	16	14	15	17	14	10	31	16	10	11	14	12	14	17	19	18	15	15	12	16	11	14	14	16	16
ko00624	Polycyclic aromatic hydrocarbon degradation	15	12	14	11	11	13	13	12	12	11	9	11	11	12	34	12	12	11	12	11	11	12	14	14	11	11	12	12	10	13	11	10	12
ko00625	Chloroalkane and chloroalkene degradation	16	16	13	10	15	15	15	16	18	13	13	12	15	11	26	14	14	11	14	16	13	18	20	15	13	18	14	12	12	14	10	16	15
ko00626	Naphthalene degradation	19	11	9	10	10	10	10	18	12	9	8	9	12	9	18	10	10	7	11	10	8	10	11	8	11	10	11	17	11	9	9	10	11
ko00627	Aminobenzoate degradation	25	26	33	27	28	27	28	30	32	26	27	26	26	24	62	28	25	23	24	25	26	27	36	30	18	30	21	26	25	27	23	25	22
ko00630	Glyoxylate and dicarboxylate metabolism	57	57	62	57	64	70	68	60	68	62	61	61	63	59	80	62	53	57	54	59	60	59	58	59	59	62	59	56	52	54	59	59	56
ko00633	Nitrotoluene degradation	12	12	12	8	12	13	13	14	12	11	13	10	12	12	21	11	10	11	10	11	12	12	13	15	9	12	12	13	13	14	11	11	8
ko00640	Propanoate metabolism	53	56	67	65	66	69	67	61	59	64	56	63	60	52	74	62	59	55	55	55	62	56	59	53	60	66	48	60	56	55	61	54	60
ko00642	Ethylbenzene degradation	4	4	7	4	5	5	5	5	4	3	5	5	5	5	13	5	3	3	5	4	4	7	4	6	3	4	5	4	3	6	4	4	4
ko00643	Styrene degradation	5	5	13	5	8	8	8	8	7	4	5	6	10	8	14	14	8	8	6	6	6	8	7	10	6	6	6	7	5	6	7	6	6
ko00650	Butanoate metabolism	57	56	67	59	61	63	63	56	60	63	59	61	63	52	83	65	54	52	55	56	60	52	60	55	57	66	51	54	54	51	55	54	58
ko00660	C5-Branched dibasic acid metabolism	12	9	14	9	13	12	14	10	14	11	12	15	13	10	21	15	10	10	10	9	12	10	9	9	10	12	11	9	9	5	11	9	9
ko00670	One carbon pool by folate	23	16	21	15	19	28	28	25	25	16	20	21	23	25	22	23	22	24	24	25	24	22	23	24	22	22	23	25	17	23	22	24	22
ko00680	Methane metabolism	83	82	87	76	82	97	94	86	92	84	87	84	88	80	120	75	80	84	81	81	84	95	90	92	80	88	81	84	83	84	85	86	77
ko00710	Carbon fixation in photosynthetic organisms	16	16	16	11	15	18	17	18	16	16	16	17	16	15	22	13	15	15	15	12	16	16	17	15	15	16	17	15	16	16	15	16	14
ko00720	Carbon fixation pathways in prokaryotes	62	72	69	75	74	85	85	69	70	75	71	74	79	66	96	67	66	71	70	71	70	75	75	77	61	73	67	67	69	66	63	70	62
ko00730	Thiamine metabolism	15	21	21	20	23	22	21	15	23	20	18	21	23	21	21	21	18	22	22	20	21	21	20	19	21	22	19	16	21	20	19	22	18
ko00740	Riboflavin metabolism	29	24	29	21	22	29	30	30	30	29	24	21	29	23	37	29	22	30	23	23	31	29	29	26	23	31	22	29	20	23	28	26	23
ko00750	Vitamin B6 metabolism	10	8	14	10	9	12	12	12	12	12	10	12	10	11	17	10	10	10	11	9	12	7	10	9	11	11	10	13	9	11	10	12	12
ko00760	Nicotinate and nicotinamide metabolism	35	36	54	29	54	39	40	35	55	34	50	38	50	36	60	46	32	48	35	32	51	52	53	41	49	53	31	35	34	50	52	49	38
ko00770	Pantothenate and CoA biosynthesis	26	27	28	29	27	28	30	26	26	29	26	29	26	22	30	21	24	27	25	24	29	25	26	29	22	30	21	28	23	21	22	25	24
ko00780	Biotin metabolism	16	15	16	14	15	18	18	16	16	13	14	16	15	16	16	16	12	15	15	16	15	17	16	15	16	16	16	16	15	15	16	16	16
ko00785	Lipoic acid metabolism	5	0	1	0	1	7	6	3	1	1	0	0	2	1	6	1	0	1	1	1	1	1	0	3	0	1	1	0	0	1	1	0	1
ko00790	Folate biosynthesis	43	26	39	35	28	50	51	47	40	37	49	31	36	31	57	29	43	37	34	36	39	51	36	49	35	39	41	45	26	44	48	36	35
ko00791	Atrazine degradation	2	12	7	7	1	1	2	2	11	8	2	7	5	5	6	7	6	7	7	6	6	6	12	7	3	6	6	2	5	6	6	11	6
ko00830	Retinol metabolism	6	8	6	8	8	8	8	6	8	8	8	6	8	6	8	8	8	6	8	8	6	8	8	6	8	8	8	6	8	6	6	8	8
ko00860	Porphyrin metabolism	49	58	64	41	66	61	74	53	70	53	65	64	55	46	74	52	43	66	63	63	65	71	72	49	64	73	44	53	54	50	59	65	64
ko00900	Terpenoid backbone biosynthesis	27	28	30	22	27	31	30	30	30	30	28	28	27	28	31	26	28	28	29	28	27	25	29	29	28	31	27	30	27	29	23	30	28
ko00901	Indole alkaloid biosynthesis	1	3	2	1	1	0	0	0	2	2	1	0	2	2	2	1	1	2	1	1	0	1	1	0	2	1	2	0	2	2	1	0	2
ko00902	Monoterpenoid biosynthesis	8	6	5	7	8	8	8	8	8	5	5	6	5	8	8	7	4	5	6	5	7	7	8	5	7	6	7	7	5	5	5	9	7
ko00903	Limonene and pinene degradation	7	6	10	10	9	9	9	8	7	9	6	10	8	7	11	10	7	7	6	6	10	7	8	9	10	10	6	9	6	8	10	7	10
ko00904	Diterpenoid biosynthesis	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0	5	5	5	9	5	5	1	5	0	5	5	0	5	5	0	5	5	5
ko00905	Brassinosteroid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00906	Carotenoid biosynthesis	14	13	14	14	14	13	14	14	13	13	13	13	13	13	15	13	14	13	14	13	13	13	13	14	15	13	13	15	14	14	14	14	15
ko00908	Zeatin biosynthesis	0	1	2	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	0	1	2	1	1	1	1	1	1	1	1	1
ko00909	Sesquiterpenoid and triterpenoid biosynthesis	2	2	1	1	0	1	1	1	1	1	0	1	2	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1
ko00910	Nitrogen metabolism	14	20	16	20	16	27	22	14	17	18	18	18	19	17	33	15	16	18	17	17	19	20	23	26	18	22	16	15	16	21	17	19	16
ko00920	Sulfur metabolism	40	37	40	36	42	54	55	43	39	45	34	40	39	37	75	37	33	40	36	39	41	46	42	57	37	43	36	46	40	45	38	33	32
ko00930	Caprolactam degradation	11	9	13	12	12	11	12	8	10	11	8	11	15	11	16	12	6	6	7	7	13	8	13	8	16	11	11	8	8	11	14	8	15
ko00940	Phenylpropanoid biosynthesis	3	1	2	2	1	3	3	4	2	2	2	2	2	1	3	1	1	2	1	2	2	2	3	2	1	2	1	4	1	2	1	2	2
ko00941	Flavonoid biosynthesis	1	0	4	1	3	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	0	1	1	1	1	0	0	1	1	1
ko00942	Anthocyanin biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1
ko00943	Isoflavonoid biosynthesis	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ko00944	Flavone and flavonol biosynthesis	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1
ko00945	Stilbenoid, diarylheptanoid and gingerol biosynthesis	2	1	2	2	1	2	2	2	2	2	2	2	2	2	1	2	1	2	1	2	2	2	2	1	2	2	2	2	1	1	2	2	2
ko00950	Isoquinoline alkaloid biosynthesis	7	8	7	7	7	7	7	7	7	6	7	8	6	8	7	7	7	6	7	6	8	6	8	6	8	7	7	7	7	6	6	7	7
ko00960	Tropane, piperidine and pyridine alkaloid biosynthesis	9	10	13	9	10	10	10	10	11	10	9	12	13	9	14	10	11	10	10	10	10	10	12	9	9	11	9	10	9	9	10	10	9
ko00965	Betalain biosynthesis	4	1	2	2	1	4	4	4	2	1	1	1	1	1	4	2	0	1	0	1	1	4	4	4	2	1	1	4	1	0	1	4	1
ko00966	Glucosinolate biosynthesis	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2
ko00970	Aminoacyl-tRNA biosynthesis	30	36	32	33	31	30	30	29	34	34	29	35	34	34	33	33	35	34	37	34	36	34	35	37	32	34	31	28	37	37	34	35	34
ko00980	Metabolism of xenobiotics by cytochrome P450	6	7	6	7	8	7	7	5	8	8	8	6	8	6	9	7	8	6	7	7	6	7	8	6	8	8	8	4	8	6	5	9	8
ko00981	Insect hormone biosynthesis	1	2	1	2	2	2	2	1	1	1	1	1	2	2	2	1	2	2	1	1	1	1	2	1	2	2	2	2	1	1	1	2	1
ko00982	Drug metabolism - cytochrome P450	3	5	3	5	5	4	4	2	6	5	5	4	5	4	6	5	5	3	5	5	3	6	6	4	5	6	5	2	6	3	3	7	6
