ko	pathway	ERR1995214_bin.1	ERR1995214_bin.10	ERR1995214_bin.2	ERR1995214_bin.3	ERR1995214_bin.4	ERR1995214_bin.5	ERR1995214_bin.6	ERR1995214_bin.7	ERR1995214_bin.8	ERR1995214_bin.9
ko00250	Alanine, aspartate and glutamate metabolism	49	39	50	51	55	51	49	43	51	48
ko00253	Tetracycline biosynthesis	8	7	9	10	9	8	6	9	7	7
ko00254	Aflatoxin biosynthesis	0	0	0	0	0	0	0	0	0	0
ko00260	Glycine, serine and threonine metabolism	74	64	74	78	81	77	63	72	67	66
ko00261	Monobactam biosynthesis	16	11	13	17	19	17	14	15	14	11
ko00270	Cysteine and methionine metabolism	69	62	71	71	76	69	67	64	62	67
ko00280	Valine, leucine and isoleucine degradation	48	43	40	55	59	59	43	43	38	57
ko00281	Geraniol degradation	13	13	11	14	15	15	11	10	10	14
ko00290	Valine, leucine and isoleucine biosynthesis	16	14	16	16	16	16	13	16	16	11
ko00300	Lysine biosynthesis	39	38	41	41	40	40	33	39	39	30
ko00310	Lysine degradation	22	17	23	28	29	29	20	21	18	26
ko00311	Penicillin and cephalosporin biosynthesis	6	4	4	5	5	5	3	5	4	4
ko00330	Arginine and proline metabolism	45	48	47	61	54	48	48	46	53	41
ko00331	Clavulanic acid biosynthesis	3	2	4	3	4	4	2	3	3	2
ko00332	Carbapenem biosynthesis	6	7	7	7	12	12	9	6	2	6
ko00333	Prodigiosin biosynthesis	14	10	12	17	15	15	14	13	12	14
ko00340	Histidine metabolism	27	19	25	28	27	27	25	30	25	20
ko00350	Tyrosine metabolism	26	29	27	33	37	34	19	27	23	28
ko00360	Phenylalanine metabolism	36	34	33	40	42	40	32	38	32	33
ko00361	Chlorocyclohexane and chlorobenzene degradation	23	13	15	16	22	18	13	15	12	16
ko00362	Benzoate degradation	49	48	34	71	80	75	44	51	37	59
ko00363	Bisphenol degradation	1	1	2	2	1	2	1	1	1	1
ko00364	Fluorobenzoate degradation	6	5	5	5	9	7	5	4	4	6
ko00365	Furfural degradation	3	1	1	7	5	6	6	3	1	3
ko00380	Tryptophan metabolism	23	23	25	30	28	27	20	22	21	26
ko00400	Phenylalanine, tyrosine and tryptophan biosynthesis	50	42	50	51	52	44	39	44	44	40
ko00401	Novobiocin biosynthesis	14	12	12	15	15	16	14	15	14	14
ko00402	Benzoxazinoid biosynthesis	0	0	0	0	0	0	0	0	0	0
ko00403	Indole diterpene alkaloid biosynthesis	0	0	0	0	0	0	0	0	0	0
ko00404	Staurosporine biosynthesis	6	1	6	6	9	7	4	6	5	12
ko00405	Phenazine biosynthesis	11	7	10	11	13	9	9	9	7	10
ko00410	beta-Alanine metabolism	22	18	19	24	24	25	23	24	17	24
ko00430	Taurine and hypotaurine metabolism	12	11	12	12	17	14	12	9	12	13
ko00440	Phosphonate and phosphinate metabolism	12	14	14	16	20	11	12	11	11	13
ko00450	Selenocompound metabolism	15	19	16	23	23	19	18	18	16	14
ko00460	Cyanoamino acid metabolism	7	5	10	9	11	8	5	8	7	5
ko00470	D-Amino acid metabolism	29	29	26	35	31	31	25	29	27	28
ko00480	Glutathione metabolism	11	13	12	12	25	11	8	17	8	14
ko00500	Starch and sucrose metabolism	53	24	51	22	55	41	20	15	34	41
ko00510	N-Glycan biosynthesis	2	3	4	2	2	2	4	0	1	2
ko00511	Other glycan degradation	3	0	4	0	3	3	0	0	2	1
ko00512	Mucin type O-glycan biosynthesis	0	0	0	0	0	0	0	0	0	0
ko00513	Various types of N-glycan biosynthesis	1	1	3	1	0	0	1	0	0	0
ko00514	Other types of O-glycan biosynthesis	1	0	0	1	1	2	1	1	0	1
ko00515	Mannose type O-glycan biosynthesis	0	0	0	0	0	1	0	0	0	2
ko00520	Amino sugar and nucleotide sugar metabolism	106	93	101	90	111	87	91	77	76	100
ko00521	Streptomycin biosynthesis	11	10	10	13	13	11	9	11	9	10
ko00522	Biosynthesis of 12-, 14- and 16-membered macrolides	6	5	6	7	14	15	6	13	6	13
ko00523	Polyketide sugar unit biosynthesis	26	20	26	30	30	27	28	18	15	29
ko00524	Neomycin, kanamycin and gentamicin biosynthesis	36	8	42	42	43	41	38	34	8	35
ko00525	Acarbose and validamycin biosynthesis	15	10	17	14	19	18	9	12	17	13
ko00531	Glycosaminoglycan degradation	9	2	4	6	7	2	2	2	2	0
ko00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	1	0	1	1	1	1	1	0	1	1
ko00533	Glycosaminoglycan biosynthesis - keratan sulfate	0	0	0	0	0	0	0	0	0	0
ko00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	0	0	0	0	0	0	0	0	0	0
ko00540	Lipopolysaccharide biosynthesis	23	30	22	28	35	23	29	27	19	27
ko00541	O-Antigen nucleotide sugar biosynthesis	52	51	49	53	57	50	51	43	39	53
ko00542	O-Antigen repeat unit biosynthesis	2	1	2	2	2	2	2	2	2	2
ko00550	Peptidoglycan biosynthesis	21	19	19	20	19	20	19	19	19	19
ko00552	Teichoic acid biosynthesis	11	11	15	12	15	13	13	7	9	11
ko00561	Glycerolipid metabolism	31	23	30	24	33	35	22	21	22	28
ko00562	Inositol phosphate metabolism	20	8	15	20	24	19	9	17	11	9
ko00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	0	0	0	0	0	0	0	0	0	0
ko00564	Glycerophospholipid metabolism	33	27	39	39	44	36	34	33	29	38
ko00565	Ether lipid metabolism	4	1	3	3	4	2	1	2	3	3
ko00571	Lipoarabinomannan (LAM) biosynthesis	3	4	3	4	4	5	4	2	4	4
ko00572	Arabinogalactan biosynthesis - Mycobacterium	5	3	4	4	5	4	3	1	4	3
ko00590	Arachidonic acid metabolism	4	4	4	2	6	4	2	4	3	4
ko00591	Linoleic acid metabolism	2	2	2	2	3	2	2	2	2	2
ko00592	alpha-Linolenic acid metabolism	2	2	1	3	3	3	1	1	1	3
ko00600	Sphingolipid metabolism	11	5	12	4	8	11	3	5	5	3
ko00601	Glycosphingolipid biosynthesis - lacto and neolacto series	0	0	0	0	0	0	0	0	0	0
ko00603	Glycosphingolipid biosynthesis - globo and isoglobo series	3	0	3	0	2	2	0	0	0	0
ko00604	Glycosphingolipid biosynthesis - ganglio series	1	0	1	0	0	0	0	0	0	0
ko00620	Pyruvate metabolism	75	71	69	78	97	79	74	77	71	79
ko00621	Dioxin degradation	8	6	9	9	25	12	7	11	6	8
ko00622	Xylene degradation	18	13	18	22	31	23	14	19	13	18
ko00623	Toluene degradation	16	16	15	23	31	21	15	18	16	23
ko00624	Polycyclic aromatic hydrocarbon degradation	12	11	13	14	35	15	10	14	14	11
ko00625	Chloroalkane and chloroalkene degradation	17	13	19	16	26	20	12	15	14	16
ko00626	Naphthalene degradation	19	10	12	11	17	11	9	8	12	10
ko00627	Aminobenzoate degradation	30	25	25	47	54	39	28	31	24	26
ko00630	Glyoxylate and dicarboxylate metabolism	64	54	60	76	81	70	49	60	56	54
ko00633	Nitrotoluene degradation	7	12	14	17	21	13	13	14	12	13
ko00640	Propanoate metabolism	63	57	58	67	75	76	54	53	52	70
ko00642	Ethylbenzene degradation	3	5	6	7	12	4	4	6	8	4
ko00643	Styrene degradation	8	9	7	10	14	13	7	10	5	12
ko00650	Butanoate metabolism	69	54	55	65	82	81	57	55	56	74
ko00660	C5-Branched dibasic acid metabolism	16	11	11	14	20	14	8	9	9	12
ko00670	One carbon pool by folate	20	24	21	18	22	25	25	24	19	24
ko00680	Methane metabolism	75	82	88	118	119	90	86	91	75	81
ko00710	Carbon fixation in photosynthetic organisms	18	16	16	18	22	17	18	15	15	17
ko00720	Carbon fixation pathways in prokaryotes	63	67	68	86	94	81	64	76	70	69
ko00730	Thiamine metabolism	16	18	21	20	21	20	19	19	15	22
ko00740	Riboflavin metabolism	31	26	27	31	35	19	23	23	19	27
ko00750	Vitamin B6 metabolism	12	8	12	13	15	12	8	9	8	14
ko00760	Nicotinate and nicotinamide metabolism	40	35	39	56	49	58	44	43	32	31
ko00770	Pantothenate and CoA biosynthesis	27	26	25	27	30	26	30	29	25	23
ko00780	Biotin metabolism	14	13	15	18	16	16	16	15	16	17
ko00785	Lipoic acid metabolism	4	0	1	7	6	4	1	3	0	1
ko00790	Folate biosynthesis	39	49	40	48	57	34	53	49	28	44
ko00791	Atrazine degradation	7	7	7	11	4	5	7	7	3	7
ko00830	Retinol metabolism	8	7	8	8	8	8	6	6	8	8
ko00860	Porphyrin metabolism	41	64	58	74	73	76	77	49	41	73
ko00900	Terpenoid backbone biosynthesis	32	21	22	29	31	28	29	29	28	29
ko00901	Indole alkaloid biosynthesis	2	2	1	1	2	1	2	0	1	2
ko00902	Monoterpenoid biosynthesis	7	5	6	7	8	4	4	5	4	6
ko00903	Limonene and pinene degradation	12	8	8	10	11	10	8	9	7	8
ko00904	Diterpenoid biosynthesis	5	0	0	4	0	5	0	0	5	5
ko00905	Brassinosteroid biosynthesis	0	0	0	0	0	0	0	0	0	0
ko00906	Carotenoid biosynthesis	18	13	14	14	15	14	14	11	14	13
ko00908	Zeatin biosynthesis	1	2	1	2	2	1	1	2	1	2
ko00909	Sesquiterpenoid and triterpenoid biosynthesis	3	2	2	1	2	1	1	1	1	1
ko00910	Nitrogen metabolism	15	22	18	31	32	22	21	24	16	15
ko00920	Sulfur metabolism	37	46	40	69	75	49	39	54	38	35
ko00930	Caprolactam degradation	13	11	11	15	16	15	8	7	11	12
ko00940	Phenylpropanoid biosynthesis	2	1	2	2	3	1	2	2	2	3
ko00941	Flavonoid biosynthesis	1	1	1	0	0	3	1	0	1	4
ko00942	Anthocyanin biosynthesis	0	0	0	0	0	0	0	0	0	0
ko00943	Isoflavonoid biosynthesis	1	1	1	1	1	2	1	1	1	2
ko00944	Flavone and flavonol biosynthesis	1	0	1	0	1	0	0	0	1	0
ko00945	Stilbenoid, diarylheptanoid and gingerol biosynthesis	2	2	2	1	1	1	2	1	2	2
ko00950	Isoquinoline alkaloid biosynthesis	8	7	7	7	6	7	6	6	6	7
ko00960	Tropane, piperidine and pyridine alkaloid biosynthesis	12	10	12	13	13	9	10	9	11	9
ko00965	Betalain biosynthesis	2	2	0	3	4	0	1	4	4	4
ko00966	Glucosinolate biosynthesis	2	1	2	2	2	2	1	2	2	1
ko00970	Aminoacyl-tRNA biosynthesis	36	35	34	38	33	34	34	37	33	38
ko00980	Metabolism of xenobiotics by cytochrome P450	8	5	8	7	9	8	4	6	7	6
ko00981	Insect hormone biosynthesis	2	1	2	1	2	2	1	1	2	1
ko00982	Drug metabolism - cytochrome P450	5	4	5	5	6	5	3	4	5	5
ko00983	Drug metabolism - other enzymes	15	11	15	12	20	15	13	14	12	11
ko00984	Steroid degradation	9	7	8	11	11	10	8	8	8	10
ko00996	Biosynthesis of various alkaloids	1	1	0	1	1	1	1	1	0	1
ko00997	Biosynthesis of various other secondary metabolites	6	5	5	8	8	5	5	7	4	4
ko00998	Biosynthesis of various antibiotics	16	20	21	22	26	20	20	13	17	20
ko00999	Biosynthesis of various plant secondary metabolites	8	11	12	7	8	7	9	7	6	5
ko01040	Biosynthesis of unsaturated fatty acids	3	4	4	5	5	6	3	4	2	6
ko01051	Biosynthesis of ansamycins	8	3	8	7	9	10	5	6	7	8
ko01052	Type I polyketide structures	6	3	6	7	14	15	6	13	5	13
ko01053	Biosynthesis of siderophore group nonribosomal peptides	13	9	8	12	12	7	9	7	7	11
ko01054	Nonribosomal peptide structures	1	1	1	1	1	1	1	1	1	1
ko01055	Biosynthesis of vancomycin group antibiotics	11	9	7	11	13	10	11	12	6	12
ko01056	Biosynthesis of type II polyketide backbone	4	4	4	5	4	4	4	4	4	4
ko01057	Biosynthesis of type II polyketide products	17	13	20	23	23	20	15	18	16	20
ko01059	Biosynthesis of enediyne antibiotics	18	19	19	29	20	22	26	20	21	21
ko01100	Metabolic pathways	1689	1486	1634	1887	2166	1823	1536	1579	1404	1604
ko01110	Biosynthesis of secondary metabolites	773	622	748	839	913	814	690	701	645	730
ko01120	Microbial metabolism in diverse environments	566	510	543	731	826	673	525	579	472	542
ko01200	Carbon metabolism	193	181	187	245	260	224	180	194	173	193
ko01210	2-Oxocarboxylic acid metabolism	53	45	53	52	52	53	37	52	52	29
ko01212	Fatty acid metabolism	38	41	29	46	44	46	32	33	29	44
ko01220	Degradation of aromatic compounds	92	67	79	104	149	99	69	85	76	80
ko01230	Biosynthesis of amino acids	198	169	195	194	203	191	167	182	183	149
ko01232	Nucleotide metabolism	59	49	51	60	70	64	59	54	40	47
ko01240	Biosynthesis of cofactors	202	216	210	254	266	221	236	218	174	229
ko01250	Biosynthesis of nucleotide sugars	116	110	111	116	128	106	118	98	88	122
ko01501	beta-Lactam resistance	4	5	4	4	4	5	5	7	4	2
ko01502	Vancomycin resistance	7	7	7	7	7	7	7	7	7	7
ko01503	Cationic antimicrobial peptide (CAMP) resistance	7	7	6	11	11	8	10	8	7	8
ko01521	EGFR tyrosine kinase inhibitor resistance	0	0	0	0	0	0	0	0	0	0
ko01522	Endocrine resistance	0	0	0	0	0	0	0	0	0	0
ko01523	Antifolate resistance	4	4	4	2	4	4	4	4	4	4
ko01524	Platinum drug resistance	0	0	0	0	1	0	0	1	0	0
ko02010	ABC transporters	1	0	1	0	1	1	0	0	0	0
ko02020	Two-component system	29	20	16	27	43	22	21	26	14	24
ko02024	Quorum sensing	23	13	15	18	28	17	14	16	13	19
ko02025	Biofilm formation - Pseudomonas aeruginosa	8	5	7	8	9	7	7	8	4	8
ko02026	Biofilm formation - Escherichia coli	4	2	4	2	5	2	2	1	3	4
ko02030	Bacterial chemotaxis	0	0	0	0	0	0	0	0	0	0
ko02040	Flagellar assembly	0	0	0	0	0	0	0	0	0	0
ko02060	Phosphotransferase system (PTS)	57	24	56	3	59	1	15	14	1	22
ko03008	Ribosome biogenesis in eukaryotes	0	0	0	1	1	1	1	1	0	1
ko03010	Ribosome	0	0	0	0	0	0	0	0	0	0
ko03013	Nucleocytoplasmic transport	0	0	0	0	0	0	0	0	0	0
ko03015	mRNA surveillance pathway	0	0	0	0	0	0	0	0	0	0
ko03018	RNA degradation	3	3	3	3	2	3	3	2	2	3
ko03020	RNA polymerase	0	0	0	0	0	0	0	0	0	0
ko03022	Basal transcription factors	0	0	0	0	0	0	0	0	0	0
ko03030	DNA replication	2	2	2	2	2	2	2	2	2	2
ko03040	Spliceosome	0	0	0	0	0	0	0	0	0	0
ko03050	Proteasome	0	0	0	0	0	0	0	0	0	0
ko03060	Protein export	0	0	0	0	0	0	0	0	0	0
ko03070	Bacterial secretion system	0	0	0	0	0	0	0	0	0	0
ko03230	Viral genome structure	0	0	0	0	0	0	0	0	0	0
ko03240	Viral replication	1	1	1	1	0	1	0	0	0	1
ko03250	Viral life cycle - HIV-1	0	0	0	0	0	0	0	0	0	0
ko03320	PPAR signaling pathway	6	6	2	9	8	10	5	5	4	9
ko03410	Base excision repair	1	1	1	1	1	1	1	1	1	1
ko03420	Nucleotide excision repair	1	1	1	1	1	1	1	1	1	1
ko03430	Mismatch repair	1	1	1	1	1	1	1	1	1	1
ko03440	Homologous recombination	0	0	0	0	0	0	0	0	0	0
ko03450	Non-homologous end-joining	0	0	0	0	0	0	0	0	0	0
ko03460	Fanconi anemia pathway	0	0	0	0	0	0	0	0	0	0
ko04010	MAPK signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04011	MAPK signaling pathway - yeast	0	0	0	1	1	0	0	0	0	0
ko04012	ErbB signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04013	MAPK signaling pathway - fly	0	0	0	0	0	0	0	0	0	0
ko04014	Ras signaling pathway	0	0	1	0	0	1	0	0	1	0
ko04015	Rap1 signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04016	MAPK signaling pathway - plant	1	1	1	3	3	1	2	2	1	1
ko04020	Calcium signaling pathway	0	1	0	0	2	1	0	0	1	0
ko04022	cGMP-PKG signaling pathway	0	0	0	0	1	0	0	0	0	0
ko04024	cAMP signaling pathway	0	1	1	1	0	2	0	0	1	1
ko04060	Cytokine-cytokine receptor interaction	0	0	0	0	0	0	0	0	0	0
ko04061	Viral protein interaction with cytokine and cytokine receptor	0	0	0	0	0	0	0	0	0	0
ko04062	Chemokine signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04064	NF-kappa B signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04066	HIF-1 signaling pathway	7	9	8	7	9	7	8	6	6	9
ko04068	FoxO signaling pathway	1	1	0	1	1	2	1	0	0	0
ko04070	Phosphatidylinositol signaling system	4	1	2	5	6	3	2	5	2	1
ko04071	Sphingolipid signaling pathway	3	2	4	0	1	4	0	1	3	1
ko04072	Phospholipase D signaling pathway	1	3	3	1	2	4	2	1	4	1
ko04075	Plant hormone signal transduction	0	0	0	0	0	0	0	0	0	0
ko04080	Neuroactive ligand-receptor interaction	0	0	0	0	0	0	0	0	0	0
ko04110	Cell cycle	0	0	0	0	0	0	0	0	0	0
ko04111	Cell cycle - yeast	0	0	0	0	0	0	0	0	0	0
ko04112	Cell cycle - Caulobacter	3	2	3	3	3	2	2	2	2	2
ko04113	Meiosis - yeast	0	0	0	0	0	0	0	0	0	0
ko04114	Oocyte meiosis	0	0	0	0	0	0	0	0	0	0
ko04115	p53 signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04120	Ubiquitin mediated proteolysis	0	0	0	0	0	0	0	0	0	0
ko04122	Sulfur relay system	10	12	12	14	16	12	13	15	8	12
ko04130	SNARE interactions in vesicular transport	0	0	0	0	0	0	0	0	0	0
ko04136	Autophagy - other	0	0	0	0	0	0	0	0	0	0
ko04137	Mitophagy - animal	0	0	0	0	0	0	0	0	0	0
ko04138	Autophagy - yeast	0	0	0	0	0	0	0	0	0	0
ko04139	Mitophagy - yeast	0	0	0	0	0	0	0	0	0	0
ko04140	Autophagy - animal	0	0	0	0	0	0	0	0	0	0
ko04141	Protein processing in endoplasmic reticulum	0	0	0	0	0	0	0	0	0	0
ko04142	Lysosome	10	2	5	6	7	3	1	2	1	0
ko04144	Endocytosis	0	0	1	0	0	1	0	0	1	0
ko04145	Phagosome	0	0	0	0	0	0	0	0	0	0
ko04146	Peroxisome	12	10	8	15	17	11	8	9	7	11
ko04150	mTOR signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04151	PI3K-Akt signaling pathway	0	0	0	0	1	1	0	0	0	0
ko04152	AMPK signaling pathway	2	2	2	3	3	3	2	1	1	2
ko04210	Apoptosis	0	0	0	0	0	0	0	0	0	0
ko04211	Longevity regulating pathway	0	0	0	1	1	0	0	0	0	0
ko04212	Longevity regulating pathway - worm	0	0	0	2	3	0	0	1	0	0
ko04213	Longevity regulating pathway - multiple species	0	0	0	1	1	0	0	0	0	0
ko04214	Apoptosis - fly	0	0	0	0	0	0	0	0	0	0
ko04215	Apoptosis - multiple species	0	0	0	0	0	0	0	0	0	0
ko04216	Ferroptosis	2	1	1	2	2	2	2	2	2	2
ko04217	Necroptosis	3	2	3	3	3	3	2	1	3	3
ko04218	Cellular senescence	0	0	0	0	0	0	0	0	0	0
ko04260	Cardiac muscle contraction	0	0	0	0	0	0	0	0	0	0
ko04261	Adrenergic signaling in cardiomyocytes	0	0	0	0	0	0	0	0	0	0
ko04270	Vascular smooth muscle contraction	0	0	0	0	0	0	0	0	0	0
ko04310	Wnt signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04320	Dorso-ventral axis formation	0	0	0	0	0	0	0	0	0	0
ko04330	Notch signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04340	Hedgehog signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04341	Hedgehog signaling pathway - fly	0	0	0	0	0	0	0	0	0	0
ko04350	TGF-beta signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04360	Axon guidance	0	0	0	0	0	0	0	0	0	0
ko04361	Axon regeneration	2	2	1	0	1	1	1	0	1	1
ko04370	VEGF signaling pathway	0	1	0	0	1	1	0	0	1	0
ko04371	Apelin signaling pathway	0	1	0	0	2	1	0	0	1	0
ko04380	Osteoclast differentiation	1	0	0	0	0	0	0	0	0	0
ko04390	Hippo signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04391	Hippo signaling pathway - fly	0	0	0	0	0	0	0	0	0	0
ko04392	Hippo signaling pathway - multiple species	0	0	0	0	0	0	0	0	0	0
ko04510	Focal adhesion	0	0	0	0	0	0	0	0	0	0
ko04512	ECM-receptor interaction	0	0	0	0	0	0	0	0	0	0
ko04514	Cell adhesion molecules	0	0	0	0	0	0	0	0	0	0
ko04520	Adherens junction	0	0	0	0	0	0	0	0	0	0
ko04530	Tight junction	0	0	0	0	0	0	0	0	0	0
ko04540	Gap junction	0	0	0	0	0	0	0	0	0	0
ko04550	Signaling pathways regulating pluripotency of stem cells	0	0	0	0	0	0	0	0	0	0
ko04610	Complement and coagulation cascades	0	0	0	0	0	0	0	0	0	0
ko04611	Platelet activation	0	0	0	0	1	0	0	0	0	0
ko04612	Antigen processing and presentation	0	0	0	0	0	0	0	0	0	0
ko04613	Neutrophil extracellular trap formation	0	0	0	0	0	0	0	0	0	0
ko04614	Renin-angiotensin system	0	0	0	0	0	0	0	0	0	0
ko04620	Toll-like receptor signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04621	NOD-like receptor signaling pathway	0	1	0	0	0	0	0	0	0	0
ko04622	RIG-I-like receptor signaling pathway	1	0	0	0	1	1	0	0	0	1
ko04623	Cytosolic DNA-sensing pathway	0	0	0	0	0	0	0	0	0	0
ko04624	Toll and Imd signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04625	C-type lectin receptor signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04626	Plant-pathogen interaction	1	1	1	1	1	1	1	1	1	1
ko04630	JAK-STAT signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04640	Hematopoietic cell lineage	0	0	0	0	0	0	0	0	0	0
ko04650	Natural killer cell mediated cytotoxicity	0	0	0	0	0	0	0	0	0	0
ko04657	IL-17 signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04658	Th1 and Th2 cell differentiation	0	0	0	0	0	0	0	0	0	0
ko04659	Th17 cell differentiation	0	0	0	0	0	0	0	0	0	0
ko04660	T cell receptor signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04662	B cell receptor signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04664	Fc epsilon RI signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04666	Fc gamma R-mediated phagocytosis	0	1	1	0	0	2	0	0	2	0
ko04668	TNF signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04670	Leukocyte transendothelial migration	0	0	0	0	0	0	0	0	0	0
ko04672	Intestinal immune network for IgA production	0	0	0	0	0	0	0	0	0	0
ko04710	Circadian rhythm	0	0	0	0	0	0	0	0	0	0
ko04711	Circadian rhythm - fly	0	0	0	0	0	0	0	0	0	0
ko04712	Circadian rhythm - plant	0	0	0	0	0	0	0	0	0	0
ko04713	Circadian entrainment	0	0	0	0	0	0	0	0	0	0
ko04714	Thermogenesis	2	1	1	2	3	2	1	2	1	3
ko04720	Long-term potentiation	0	0	0	0	0	0	0	0	0	0
ko04721	Synaptic vesicle cycle	0	0	0	0	0	0	0	0	0	0
ko04722	Neurotrophin signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04723	Retrograde endocannabinoid signaling	2	1	2	1	2	2	1	2	0	2
ko04724	Glutamatergic synapse	1	1	2	1	2	2	1	2	2	2
ko04725	Cholinergic synapse	0	0	0	0	0	0	0	0	0	0
ko04726	Serotonergic synapse	2	2	1	1	1	1	1	1	1	2
ko04727	GABAergic synapse	3	3	3	3	5	4	3	4	3	4
ko04728	Dopaminergic synapse	3	3	1	1	1	1	2	1	2	2
ko04730	Long-term depression	0	0	0	0	0	0	0	0	0	0
ko04740	Olfactory transduction	0	0	0	0	0	0	0	0	0	0
ko04742	Taste transduction	0	0	0	0	0	0	0	0	0	0
ko04744	Phototransduction	0	0	0	0	0	0	0	0	0	0
ko04745	Phototransduction - fly	0	0	0	0	0	0	0	0	0	0
ko04750	Inflammatory mediator regulation of TRP channels	0	0	0	0	0	0	0	0	0	0
ko04810	Regulation of actin cytoskeleton	0	0	0	0	0	0	0	0	0	0
ko04910	Insulin signaling pathway	1	1	1	2	2	2	0	1	1	1
ko04911	Insulin secretion	0	0	0	0	0	0	0	0	0	0
ko04912	GnRH signaling pathway	0	0	1	0	0	1	0	0	1	0
ko04913	Ovarian steroidogenesis	0	0	1	0	0	0	0	0	0	0
ko04914	Progesterone-mediated oocyte maturation	0	0	0	0	0	0	0	0	0	0
ko04915	Estrogen signaling pathway	0	0	0	0	1	0	0	0	0	0
ko04916	Melanogenesis	0	0	0	0	0	0	0	0	0	0
ko04917	Prolactin signaling pathway	1	1	1	0	1	0	1	0	1	1
ko04918	Thyroid hormone synthesis	2	2	2	1	1	2	1	1	1	2
ko04919	Thyroid hormone signaling pathway	1	1	1	1	1	1	1	0	1	1
ko04920	Adipocytokine signaling pathway	2	0	0	2	2	3	2	2	2	2
ko04921	Oxytocin signaling pathway	0	0	0	0	1	0	0	0	0	0
ko04922	Glucagon signaling pathway	8	7	7	7	8	9	6	5	6	7
ko04923	Regulation of lipolysis in adipocytes	2	1	1	1	2	1	0	1	0	2
ko04924	Renin secretion	0	0	0	0	0	0	0	0	0	0
ko04925	Aldosterone synthesis and secretion	0	0	0	0	0	0	0	0	0	0
ko04926	Relaxin signaling pathway	0	0	0	0	2	0	0	0	0	0
ko04927	Cortisol synthesis and secretion	0	0	0	0	0	0	0	0	0	0
ko04928	Parathyroid hormone synthesis, secretion and action	0	0	1	0	0	1	0	0	1	0
ko04929	GnRH secretion	0	0	0	0	0	0	0	0	0	0
